Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.444952965,5.445999,7.39209699999998,-4.099612,0.9798647,-0.1475807,0.3627323,-35.59654,-38.52825,24.02545
14.454811573,6.68831799999999,19.29388,1.969384,0.9533464,-0.1283147,0.3723776,-35.59654,-38.52825,24.02545
14.467134953,6.874665,34.34964,8.83531999999998,0.952395,-0.1234334,0.378662,-34.84139,-39.94811,24.03604
14.476993084,6.50197000000002,47.20358,13.86217,0.9822326,-0.1036409,0.3956549,-34.84139,-39.94811,24.03604
14.486851692,6.129274,60.1765200000001,18.95032,1.001659,-0.1039961,0.3848327,-34.84139,-39.94811,24.03604
14.496710301,5.321767,72.6138900000003,23.85456,1.018186,-0.09362602,0.3861223,-34.84139,-39.94811,24.03604
14.506567955,5.011188,84.45617,28.8814,1.031025,-0.1032438,0.3863373,-34.84139,-39.94811,24.03604
14.516426563,5.383883,95.88188,33.35652,1.062394,-0.09220792,0.4003593,-34.84139,-39.94811,24.03604
14.526285172,5.197536,107.4266,37.46382,1.099815,-0.06509238,0.4058052,-35.22478,-39.28044,23.19888
14.53614378,2.899247,118.9118,41.26461,1.153942,-0.04171384,0.4133774,-35.22478,-39.28044,23.19888
14.546001911,-0.2686647,130.5161,45.12669,1.215309,-0.01829858,0.4136588,-35.22478,-39.28044,23.19888
14.55586052,-3.933504,141.8823,48.98878,1.289496,-0.016712,0.4020725,-35.22478,-39.28044,23.19888
14.565719128,-7.16353100000001,152.9509,52.91217,1.350307,-0.01138429,0.3816036,-35.22478,-39.28044,23.19888
14.575576782,-8.84066099999998,162.1748,56.65166,1.420972,-0.01473818,0.3585249,-36.30042,-38.92857,21.15214
14.58543539,-10.26933,170.8631,60.7589599999998,1.496756,-0.01749561,0.3526295,-36.30042,-38.92857,21.15214
14.595293999,-10.64202,178.9564,64.92756,1.568557,-0.00712572,0.3531313,-36.30042,-38.92857,21.15214
14.60515213,-11.57376,185.6214,69.0348599999999,1.625171,0.004568612,0.3533815,-36.30042,-38.92857,21.15214
14.615010738,-12.62973,191.5127,72.5904300000002,1.663412,0.01420691,0.367773,-36.30042,-38.92857,21.15214
14.624869347,-13.49935,196.5115,75.4103700000002,1.662616,0.0307147,0.3597773,-40.83431,-37.11177,15.71529
14.637192726,-14.8659,202.3434,78.59813,1.641523,0.0241651,0.3499595,-40.83431,-37.11177,15.71529
14.647050381,-15.05225,206.1519,80.62112,1.609812,0.01609634,0.3493849,-40.83431,-37.11177,15.71529
14.656908989,-14.18263,209.7225,82.8893400000002,1.586148,-0.008928214,0.3499902,-40.83431,-37.11177,15.71529
14.666767597,-12.87819,213.4715,85.7705800000001,1.566341,-0.04516349,0.3365491,-43.13337,-34.96341,9.49492
14.676625729,-9.64816799999999,216.3875,89.26485,1.538525,-0.0599028,0.3646147,-43.13337,-34.96341,9.49492
14.686484337,-5.73486500000002,219.601,91.9008800000002,1.533192,-0.06663658,0.3981779,-43.13337,-34.96341,9.49492
14.696342945,-2.815417,223.469,92.3913000000002,1.521922,-0.05502428,0.4070621,-43.13337,-34.96341,9.49492
14.706201553,-0.3307806,227.6942,92.3299999999997,1.494597,-0.05196452,0.3792046,-43.13337,-34.96341,9.49492
14.716059208,1.719045,230.4911,92.5139100000002,1.462426,-0.05430574,0.349933,-45.8174,-31.34438,2.813298
14.725917816,2.837131,232.2169,92.4526099999997,1.447339,-0.03551216,0.3364098,-45.8174,-31.34438,2.813298
14.735776424,1.594813,233.4665,91.6556600000002,1.441965,-0.03165203,0.3403526,-45.8174,-31.34438,2.813298
14.745634556,-0.951939799999999,232.6334,90.1843900000001,1.419937,-0.03526849,0.3363233,-45.8174,-31.34438,2.813298
14.755493164,-4.119852,230.2531,88.65182,1.411372,-0.04992476,0.3411136,-45.8174,-31.34438,2.813298
14.765351772,-5.610633,227.9917,87.6096600000003,1.386471,-0.08284343,0.3157931,-45.8174,-31.34438,2.813298
