Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.438334465,-1.573099,7.74915000000002,4.421504,1.050135,-0.02874216,0.0953404,-33.43386,-36.29559,31.86621
13.448194504,0.849421699999999,15.54482,7.18013899999999,1.066568,-0.03730467,0.1089307,-33.43386,-36.29559,31.86621
13.458053589,2.588667,23.63803,10.18399,1.078193,-0.03856329,0.1351104,-33.43386,-36.29559,31.86621
13.467913151,2.775015,33.21898,12.63611,1.097346,-0.02909658,0.1488141,-32.68515,-37.04587,31.4858
13.477772236,2.278088,42.85942,15.39474,1.094278,-0.01402548,0.1523394,-32.68515,-37.04587,31.4858
13.487632275,0.973653600000002,52.0238,18.15338,1.101061,-0.004707234,0.1556758,-32.68515,-37.04587,31.4858
13.49749136,-1.635215,61.1881799999998,21.15722,1.108322,0.009982534,0.1628842,-32.68515,-37.04587,31.4858
13.507350922,-4.927359,70.5310700000002,24.52889,1.115094,0.02076237,0.1667123,-32.68515,-37.04587,31.4858
13.519675255,-9.46182000000001,81.9567899999998,28.20707,1.128708,0.006836521,0.1841311,-33.44508,-35.94527,30.58216
13.529534817,-13.62359,91.2401899999997,30.53658,1.150235,-0.009436643,0.2057301,-33.44508,-35.94527,30.58216
13.539393902,-16.97785,100.7021,33.47913,1.172176,-0.02377404,0.223506,-33.44508,-35.94527,30.58216
13.549253464,-18.96556,110.3426,36.72818,1.178493,-0.04556457,0.2371289,-33.44508,-35.94527,30.58216
13.559113026,-20.76692,119.5664,40.65158,1.190977,-0.05270736,0.2493498,-33.44508,-35.94527,30.58216
13.568972587,-22.00924,128.7308,45.00409,1.208614,-0.05449685,0.2495626,-34.96517,-35.23269,27.63771
13.578831673,-22.69251,137.3001,49.3566,1.245345,-0.04683635,0.2591669,-34.96517,-35.23269,27.63771
13.588691234,-24.18329,146.0479,53.15739,1.276981,-0.03732457,0.2554418,-34.96517,-35.23269,27.63771
13.598550796,-24.92868,153.189,56.89687,1.315753,-0.04280489,0.259635,-34.96517,-35.23269,27.63771
13.608410358,-23.68637,160.1515,59.9007200000001,1.353001,-0.04733797,0.2605035,-34.96517,-35.23269,27.63771
