Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
200.89,0.785192100000002,0.575864100000001,0.911463099999998,0.9885402,-0.02178711,-0.110258,-32.50183,-31.03495,18.29789
200.9,0.3503807,0.3378284,1.156675,0.9797807,-0.02282847,-0.1077459,-32.50183,-31.03495,18.29789
200.91,0.3503807,0.0997926599999997,1.46319,0.9856381,-0.02180366,-0.1078208,-32.50183,-31.03495,18.29789
200.92,0.598844300000001,-0.197752,1.708402,0.991877,-0.01885236,-0.1141144,-32.50183,-31.03495,18.29789
200.93,0.5367284,-0.4952967,1.769705,0.9855232,-0.02037177,-0.114995,-32.13254,-31.41989,17.40354
200.94,0.5367284,-0.673823499999999,2.137523,0.9832274,-0.02035059,-0.1039405,-32.13254,-31.41989,17.40354
200.95,0.5367284,-1.090386,2.260129,0.9763057,-0.01799096,-0.1071764,-32.13254,-31.41989,17.40354
200.96,0.4746125,-1.506949,2.260129,0.9791961,-0.01700126,-0.1096052,-32.13254,-31.41989,17.40354
200.97,-0.1465467,-1.566458,2.627947,0.9821514,-0.02917517,-0.1188549,-31.75236,-31.41173,18.2978
200.98,-0.1465467,-2.102038,2.995765,0.9870756,-0.03302846,-0.119916,-31.75236,-31.41173,18.2978
200.99,0.2882648,-2.042529,3.057068,0.9866009,-0.03205218,-0.1179842,-31.75236,-31.41173,18.2978
201,0.1640329,-2.161547,3.179674,0.9840564,-0.02868437,-0.1222323,-31.75236,-31.41173,18.2978
201.01,-0.0844307499999999,-2.280565,3.30228,0.9766558,-0.02388501,-0.1225655,-31.75236,-31.41173,18.2978
201.02,-0.2707785,-2.280565,3.424886,0.9790845,-0.03070343,-0.1298456,-31.75236,-31.41173,18.2978
201.03,-0.4571262,-2.102038,3.424886,0.9864252,-0.02770825,-0.1270498,-31.7596,-30.68167,17.84216
201.04,-0.5192421,-1.566458,3.240977,0.9888366,-0.03306694,-0.1343174,-31.7596,-30.68167,17.84216
201.05,-0.3328944,-1.328422,3.363583,0.9860647,-0.04183447,-0.1300391,-31.7596,-30.68167,17.84216
201.06,-0.643474,-0.971368099999998,3.240977,0.9899419,-0.04376306,-0.1344234,-31.7596,-30.68167,17.84216
201.07,-0.643474,-0.673823499999999,3.057068,0.9864901,-0.04526592,-0.1377413,-31.7596,-30.68167,17.84216
201.08,-1.140401,-0.2572609,3.118371,0.982136,-0.04382636,-0.1328751,-31.75236,-31.41173,18.2978
201.09,-1.078285,-0.01922521,3.057068,0.9859641,-0.04381606,-0.1391591,-31.75236,-31.41173,18.2978
201.1,-0.767705800000001,0.2783195,3.240977,0.9919648,-0.04714447,-0.132564,-31.75236,-31.41173,18.2978
201.11,-0.3950103,0.575864100000001,3.30228,0.9820963,-0.04432594,-0.1362331,-31.75236,-31.41173,18.2978
201.12,0.03980108,0.694881999999998,2.934462,0.9801682,-0.03847636,-0.1289683,-31.75236,-31.41173,18.2978
201.13,0.4746125,0.694881999999998,2.995765,0.9831945,-0.04233016,-0.1256895,-31.75437,-31.04359,18.29403
201.14,0.598844300000001,0.754390900000001,2.873159,0.9853187,-0.04324154,-0.1142267,-31.75437,-31.04359,18.29403
201.15,1.095772,0.635373100000001,2.811856,0.9793685,-0.04966328,-0.1256969,-31.75437,-31.04359,18.29403
201.16,1.841163,0.754390900000001,2.566644,0.9836843,-0.04623149,-0.1290839,-31.75437,-31.04359,18.29403
201.17,1.779047,0.8138999,2.505341,0.9758567,-0.04776566,-0.1304228,-32.50108,-30.66146,18.6782
201.18,2.213858,1.051936,2.382735,0.981189,-0.04480256,-0.1314322,-32.50108,-30.66146,18.6782
201.19,3.021365,1.34948,2.444038,0.9856117,-0.04817544,-0.1329613,-32.50108,-30.66146,18.6782
201.2,3.083481,1.289971,2.382735,0.9836293,-0.04380602,-0.1309794,-32.50108,-30.66146,18.6782
201.21,2.524438,1.408989,2.014917,0.9841742,-0.04134469,-0.1247368,-32.50108,-30.66146,18.6782
