Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.2065488,-0.9986635,-0.3601296,1.008077,-0.06808686,-0.04575605,-37.30614,-31.36731,16.91815
0.120723724,0.2903785,-0.8201367,-0.1762206,1.00598,-0.05740306,-0.0465944,-37.67711,-31.35765,17.30416
0.120723724,0.2903785,-0.8201367,-0.1762206,1.00598,-0.05740306,-0.0465944,-37.67711,-31.35765,17.30416
0.130578518,0.6009581,-0.582101,-0.05361458,1.009005,-0.05783967,-0.04041161,-37.67711,-31.35765,17.30416
0.140433311,0.5388422,-0.7606278,0.007688423,1.007965,-0.05591311,-0.04325572,-37.67711,-31.35765,17.30416
0.150288582,0.663074,-0.6416099,0.06899142,1.004965,-0.06035157,-0.05187601,-37.67711,-31.35765,17.30416
0.256229878,-0.5171283,0.2510241,-0.1762206,1.005914,-0.06230412,-0.05573961,-37.30488,-32.10895,16.5416
0.261157036,-0.3928965,0.1915152,-0.1149176,1.006045,-0.06177855,-0.04567385,-37.30488,-32.10895,16.5416
0.271011829,-0.2065488,0.1915152,0.007688423,1.010835,-0.05981147,-0.05147591,-37.67865,-30.98861,17.3644
0.2808671,0.4767263,0.1320062,-0.1149176,1.007456,-0.06031705,-0.04855683,-37.67865,-30.98861,17.3644
0.29072237,0.4146104,0.01298836,-0.2375236,1.004974,-0.05449034,-0.04607628,-37.67865,-30.98861,17.3644
0.300576687,0.2282626,-0.1060295,-0.1149176,1.004536,-0.05496823,-0.04271968,-37.67865,-30.98861,17.3644
0.406517983,-0.8277079,-0.7606278,-0.05361458,1.003083,-0.05839462,-0.04464468,-37.30016,-31.35573,17.75032
0.411445618,-0.5171283,-0.7011189,-0.1149176,1.004006,-0.06084304,-0.05090808,-37.30016,-31.35573,17.75032
0.421300888,-0.4550124,-0.7011189,-0.1762206,1.008302,-0.05741682,-0.0557324,-37.6774,-31.73025,16.98786
0.431155205,-0.3928965,-0.6416099,-0.1149176,1.001589,-0.06329745,-0.05089436,-37.6774,-31.73025,16.98786
0.441010475,0.1661467,-0.3440652,-0.1762206,1.006031,-0.06666476,-0.05098609,-37.6774,-31.73025,16.98786
0.450865269,0.1661467,-0.582101,-0.2375236,1.007905,-0.06130075,-0.05240512,-37.6774,-31.73025,16.98786
0.556806564,-2.629069,0.9651313,-0.5440385,1.009832,-0.05445658,-0.04854123,-37.74094,-30.98789,17.36473
0.561734676,-2.380606,0.9651313,-0.4827355,1.0089,-0.05884625,-0.04904418,-37.74094,-30.98789,17.36473
0.571588993,-2.00791,0.6675866,-0.5440385,1.005985,-0.05886651,-0.04756521,-37.36872,-31.73919,16.60217
0.581444263,-1.635215,0.9056224,-0.2988266,1.011436,-0.05879873,-0.04237115,-37.36872,-31.73919,16.60217
0.591299057,-1.200403,1.02464,-0.2375236,1.009589,-0.06415532,-0.03903563,-37.36872,-31.73919,16.60217
0.601154327,-1.076172,1.143658,-0.3601296,1.006576,-0.05980936,-0.04087281,-37.36872,-31.73919,16.60217
0.707095623,1.843277,-0.4630831,-0.2375236,1.000052,-0.04917174,-0.04356524,-37.73768,-32.09768,16.99195
0.712022781,1.532697,-0.7011189,-0.2988266,1.000613,-0.05354107,-0.04217251,-37.73768,-32.09768,16.99195
0.721878052,2.09174,-0.6416099,-0.2988266,1.005628,-0.06615649,-0.04426725,-37.74245,-31.73488,16.6041
0.731732845,3.023479,-0.7606278,-0.2375236,0.998282,-0.06817666,-0.0465756,-37.74245,-31.73488,16.6041
0.741588116,3.582522,-0.9391546,-0.2375236,1.004133,-0.06275965,-0.04325888,-37.74245,-31.73488,16.6041
0.751442432,2.837131,-1.058172,-0.2375236,1.006877,-0.05546485,-0.05090361,-37.74245,-31.73488,16.6041
0.857383728,-1.448867,-0.1655384,-0.4214326,1.003408,-0.05501954,-0.05372562,-37.73692,-31.72419,17.37227
0.86231184,-1.324635,-0.2845563,-0.4214326,1.010849,-0.05883089,-0.04955105,-37.73692,-31.72419,17.37227
0.872166634,-1.138287,-0.2250474,-0.3601296,1.008348,-0.0486157,-0.04463718,-37.74169,-31.36138,16.98441
0.882021904,-1.138287,0.07249729,-0.4827355,1.003811,-0.05650468,-0.06141108,-37.74169,-31.36138,16.98441
0.891876221,-0.8898239,0.1320062,-0.2375236,1.003886,-0.0579477,-0.05711155,-37.74169,-31.36138,16.98441
0.995354652,-0.765592,-0.04652058,-0.4214326,1.006019,-0.05788035,-0.04420298,-37.36596,-31.73385,16.98625
1.000281811,-0.4550124,-0.1060295,-0.3601296,1.007026,-0.05591058,-0.04036711,-37.36596,-31.73385,16.98625
1.010137081,-0.5792443,0.01298836,-0.2375236,1.011925,-0.05488881,-0.03899071,-37.36596,-31.73385,16.98625
1.022455692,-0.5171283,-0.1655384,-0.2988266,1.013859,-0.05634246,-0.04190575,-38.11417,-32.09871,16.6098
1.032310963,-0.5171283,-0.2250474,-0.4827355,1.00204,-0.04963367,-0.04168068,-38.11417,-32.09871,16.6098
1.042165279,-0.6413602,-0.1060295,-0.4214326,1.008946,-0.06273888,-0.0490777,-38.11417,-32.09871,16.6098
1.150570869,-2.00791,-2.486387,-1.708796,1.007495,-0.06469996,-0.04955277,-36.99223,-31.73816,16.98432
1.150570869,-2.00791,-2.486387,-1.708796,1.007495,-0.06469996,-0.04955277,-36.99223,-31.73816,16.98432
1.16042614,-1.635215,-2.605405,-1.402281,1.018574,-0.0656261,-0.06313607,-36.99223,-31.73816,16.98432
1.170280457,-0.5171283,-2.367369,-1.340978,1.009669,-0.0593855,-0.06487328,-37.74646,-30.99858,16.59656
1.180135727,0.7251899,-2.069824,-1.218372,1.013967,-0.04619429,-0.06098961,-37.74646,-30.99858,16.59656
1.192454338,2.029624,-2.010315,-1.157069,1.006142,-0.04577472,-0.06039535,-37.74646,-30.99858,16.59656
1.29593277,3.334059,-0.7606278,1.233748,1.006167,-0.06383197,-0.07444489,-36.99223,-31.73816,16.98432
1.300859928,4.514261,-0.582101,1.295051,1.005369,-0.07404201,-0.07020688,-36.99223,-31.73816,16.98432
1.310715199,7.123129,-0.4630831,1.47896,1.004815,-0.06527676,-0.06724981,-36.99223,-31.73816,16.98432
1.320569515,7.86852,-0.1655384,1.662869,1.012071,-0.04033542,-0.05132916,-37.36596,-31.73385,16.98625
1.330424786,6.377738,0.07249729,1.540263,1.004139,-0.02920557,-0.04920538,-37.36596,-31.73385,16.98625
1.340280056,3.893102,0.1915152,1.724172,1.007945,-0.02627209,-0.05450607,-37.36596,-31.73385,16.98625
1.446221829,3.955218,-0.4035742,3.011535,1.007885,-0.06130632,-0.05384248,-37.73893,-31.35604,17.3685
1.451148987,3.893102,-0.5225921,2.950232,1.010786,-0.06226664,-0.05724633,-37.73893,-31.35604,17.3685
1.461004257,4.700608,-0.3440652,2.950232,1.011694,-0.06081316,-0.0610806,-37.73893,-31.35604,17.3685
1.470858574,5.073304,-0.2250474,2.766323,1.007375,-0.06668712,-0.06011022,-36.98946,-31.73282,17.3684
1.480713844,5.756579,-0.4630831,2.827626,1.00998,-0.07345541,-0.05445407,-36.98946,-31.73282,17.3684
1.490569115,7.309477,-0.4035742,2.643717,1.001719,-0.08523061,-0.0606653,-36.98946,-31.73282,17.3684
1.596510887,13.95588,-1.17719,2.398505,1.000291,-0.05935647,-0.03502901,-37.36169,-30.98152,18.13096
1.601438045,13.14837,-1.296208,2.582414,1.003778,-0.05589058,-0.02738227,-37.36169,-30.98152,18.13096
1.611293316,10.66374,-1.831789,2.521111,1.000252,-0.05009105,-0.02967907,-37.36169,-30.98152,18.13096
1.621148586,8.613912,-2.426878,2.643717,1.00823,-0.06169635,-0.02893231,-37.7391,-30.30226,18.12598
1.631002903,7.309477,-2.843441,2.582414,1.003337,-0.06271627,-0.02982959,-37.7391,-30.30226,18.12598
1.640858173,6.191391,-3.319512,2.521111,1.004769,-0.06466638,-0.03417925,-37.7391,-30.30226,18.12598
1.746799946,0.9736536,-4.747726,2.275899,0.9975816,-0.07019412,-0.06383383,-37.35985,-30.29589,18.89221
1.751727581,0.6009581,-4.807235,2.09199,1.002543,-0.07550157,-0.06347013,-37.35985,-30.29589,18.89221
1.761582375,0.7873058,-4.450181,1.969384,1.001612,-0.08721406,-0.0702645,-37.35985,-30.29589,18.89221
1.771437645,1.160001,-4.331164,2.09199,1.009479,-0.0900628,-0.06992146,-37.73634,-30.29692,18.51006
1.781292915,1.097885,-4.450181,2.153293,1.001091,-0.0779511,-0.06442851,-37.73634,-30.29692,18.51006
1.791147232,0.7251899,-4.390673,1.969384,1.001108,-0.07989927,-0.06492439,-37.73634,-30.29692,18.51006
1.897089481,-1.262519,-3.795583,1.049839,1.006285,-0.08039791,-0.08033677,-37.73035,-30.28533,19.34224
1.90201664,-1.076172,-3.914601,0.8046274,1.005878,-0.07793775,-0.07216381,-37.73035,-30.28533,19.34224
1.91187191,-1.386751,-3.736075,1.233748,1.002819,-0.0784873,-0.08170883,-37.73035,-30.28533,19.34224
1.921726704,-1.945794,-3.676566,0.9885363,1.005178,-0.0711671,-0.08168068,-37.73035,-30.28533,19.34224
1.931581974,-2.194258,-3.557548,0.8659304,0.9999727,-0.08044086,-0.07689276,-37.73035,-30.28533,19.34224
2.037523746,-1.138287,-1.831789,0.6820214,1.002252,-0.0824195,-0.09083874,-37.73358,-30.29157,18.89414
2.042451382,-1.262519,-1.474735,0.4981124,0.9988583,-0.0843941,-0.09032783,-37.73358,-30.29157,18.89414
2.052306652,-1.386751,-1.355717,0.4368094,1.000355,-0.08632564,-0.08988626,-37.73358,-30.29157,18.89414
2.062160969,-1.262519,-1.117681,0.7433244,1.003641,-0.07852325,-0.09322164,-37.73237,-29.91719,19.33847
2.072016239,-1.697331,-0.7011189,0.4368094,1.003807,-0.08482277,-0.08656839,-37.73237,-29.91719,19.33847
2.08187151,-1.635215,-0.582101,0.3755064,1.009631,-0.08917817,-0.09387613,-37.73237,-29.91719,19.33847
2.187812805,-0.765592,0.01298836,0.1915974,1.000495,-0.08433291,-0.07789145,-37.35663,-30.28965,19.34031
2.1902771,-0.8277079,0.01298836,0.1915974,1.002919,-0.08578226,-0.08081342,-37.35663,-30.28965,19.34031
2.202595711,-0.8277079,-0.1060295,0.007688423,1.005737,-0.08090736,-0.08512524,-37.35663,-30.28965,19.34031
2.212450981,-0.3307806,-0.2250474,-0.05361458,0.9994321,-0.08436565,-0.08410618,-36.98215,-29.92048,19.71869
