Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
19.328216076,6.62620199999998,11.08165,2.214596,1.010524,0.1489255,0.0734444,-37.33325,-33.03733,29.10027
19.338075638,5.632347,19.82946,1.662869,1.014263,0.1547692,0.06577323,-37.33325,-33.03733,29.10027
19.347935677,3.830986,28.81531,0.682021400000003,1.022036,0.1592173,0.06569998,-37.33325,-33.03733,29.10027
19.357796192,2.153856,37.3846,-0.2988266,1.023563,0.1509472,0.06273323,-37.33325,-33.03733,29.10027
19.367656231,1.097885,45.77536,-1.340978,1.0411,0.1476646,0.0543092,-37.33325,-33.03733,29.10027
19.37751627,0.1661467,54.40416,-2.383129,1.05635,0.1419646,0.05548133,-36.95827,-33.78329,28.72179
19.387376785,-0.2686647,62.9139300000002,-3.915704,1.077512,0.1382813,0.06137823,-36.95827,-33.78329,28.72179
19.397236824,-0.951939799999999,71.4832199999999,-5.570884,1.111354,0.1278643,0.05841199,-36.95827,-33.78329,28.72179
19.409562111,-1.014056,81.8972900000002,-7.90039899999997,1.130934,0.1260883,0.05763873,-36.95827,-33.78329,28.72179
19.41942215,-1.014056,90.1095100000003,-9.67818499999998,1.147738,0.1214022,0.06598528,-36.95827,-33.78329,28.72179
19.429281712,-0.703476100000001,98.0242000000002,-11.45597,1.164938,0.1196233,0.07003792,-38.09113,-33.4209,27.37953
19.439142704,-1.076172,106.1174,-13.54027,1.190005,0.1242722,0.08265828,-38.09113,-33.4209,27.37953
19.449002266,-1.759447,114.4487,-15.68588,1.212091,0.1235113,0.08712906,-38.09113,-33.4209,27.37953
19.458862305,-2.132142,122.4229,-17.95409,1.229161,0.1309717,0.08982392,-38.09113,-33.4209,27.37953
19.468722344,-2.815417,130.04,-19.67057,1.234211,0.1281306,0.09883277,-38.09113,-33.4209,27.37953
19.478582859,-3.809272,137.6572,-21.26445,1.236738,0.1350106,0.1108348,-39.22992,-34.18612,24.38421
19.488442898,-5.36217,145.0958,-23.34875,1.251469,0.1395505,0.1188096,-39.22992,-34.18612,24.38421
19.498302937,-7.10141600000002,152.7129,-25.00393,1.264288,0.1387153,0.1253286,-39.22992,-34.18612,24.38421
19.508162975,-7.97103800000001,159.7945,-26.72042,1.273342,0.1276349,0.1337316,-39.22992,-34.18612,24.38421
19.518023491,-8.654313,166.9951,-27.94648,1.284487,0.1364923,0.1336475,-39.22992,-34.18612,24.38421
19.52788353,-8.90277699999999,173.422,-28.98863,1.302495,0.1517615,0.1402285,-40.0062,-34.60533,20.10292
19.537743092,-9.33758799999999,179.6109,-29.78557,1.318698,0.1504568,0.143341,-40.0062,-34.60533,20.10292
19.547603607,-9.58605199999997,184.7882,-30.76641,1.347725,0.1424593,0.148131,-40.0062,-34.60533,20.10292
19.557463646,-8.90277699999999,189.906,-31.56335,1.376788,0.1417959,0.1620871,-40.0062,-34.60533,20.10292
19.567323685,-7.72257499999999,193.8931,-32.4216,1.41205,0.1567663,0.1780037,-40.0062,-34.60533,20.10292
19.579648971,-7.41199499999999,198.7728,-33.83157,1.429314,0.1584231,0.1897516,-40.79449,-33.93168,14.97814
19.58950901,-6.79083600000002,202.4029,-33.95417,1.439043,0.1755821,0.2007793,-40.79449,-33.93168,14.97814
19.599369526,-7.78468999999998,204.7832,-33.83157,1.445158,0.1916803,0.1969945,-40.79449,-33.93168,14.97814
19.609229565,-9.399704,206.39,-33.83157,1.448353,0.191292,0.2156344,-40.79449,-33.93168,14.97814
19.619089603,-10.64202,207.0446,-33.46375,1.439211,0.2010179,0.235494,-40.79449,-33.93168,14.97814
19.628949165,-12.44338,206.866,-33.89287,1.422455,0.1951118,0.2572469,-41.95164,-35.84856,8.601408
19.638810158,-14.99014,206.509,-34.01548,1.404976,0.1974343,0.2690164,-41.95164,-35.84856,8.601408
19.64866972,-16.85361,206.5685,-34.26068,1.370146,0.1889343,0.2905259,-41.95164,-35.84856,8.601408
19.658529758,-17.9717,205.5569,-34.32199,1.335575,0.1828138,0.2971965,-41.95164,-35.84856,8.601408
19.668389797,-18.46863,204.7832,-33.95417,1.304458,0.1757559,0.3052477,-41.95164,-35.84856,8.601408
19.678250313,-18.53074,203.4145,-33.83157,1.271248,0.1857297,0.3182644,-42.37507,-35.94046,1.689848
19.688110351,-19.08979,201.5102,-33.46375,1.238496,0.1971637,0.3303284,-42.37507,-35.94046,1.689848
19.69797039,-20.20787,198.8323,-32.97332,1.211433,0.1970155,0.3546728,-42.37507,-35.94046,1.689848
19.707830906,-22.2577,195.9164,-32.36029,1.187458,0.1910783,0.385154,-42.37507,-35.94046,1.689848
19.717690945,-25.54984,193.5956,-32.36029,1.164248,0.1816713,0.3969063,-42.37507,-35.94046,1.689848
19.727550507,-26.79216,192.0483,-31.86987,1.131879,0.1663621,0.4135312,-40.5621,-36.06985,-6.06548
19.737410545,-27.04062,191.0367,-30.82772,1.102662,0.1519819,0.410951,-40.5621,-36.06985,-6.06548
19.747271061,-25.73619,189.3109,-29.47905,1.079902,0.1469621,0.4236922,-40.5621,-36.06985,-6.06548
19.759596348,-25.36349,185.9189,-28.13039,1.052431,0.1481622,0.4193019,-40.5621,-36.06985,-6.06548
19.769456387,-24.68022,183.241,-26.65911,1.020074,0.1488327,0.4149767,-40.5621,-36.06985,-6.06548
19.779316425,-24.74234,179.0754,-24.82002,0.9962294,0.1554914,0.4302279,-39.11562,-36.92498,-13.36324
19.789176464,-25.30138,174.3147,-23.83918,0.9637525,0.141616,0.4401577,-39.11562,-36.92498,-13.36324
19.79903698,-26.29523,169.8515,-22.49051,0.9212254,0.1266014,0.4296155,-39.11562,-36.92498,-13.36324
19.808897018,-26.04677,165.2693,-20.52881,0.8840216,0.1093122,0.4486886,-39.11562,-36.92498,-13.36324
19.81875658,-26.5437,161.2227,-18.2606,0.836046,0.1093658,0.4464976,-39.11562,-36.92498,-13.36324
19.828616619,-28.0966,158.4853,-16.42151,0.7726573,0.09421442,0.4487108,-34.68136,-36.33046,-19.85936
19.838477135,-27.59967,155.0933,-14.33721,0.7195032,0.07670199,0.4459662,-34.68136,-36.33046,-19.85936
19.848337173,-25.36349,150.8086,-12.74334,0.6841098,0.06622346,0.460279,-34.68136,-36.33046,-19.85936
19.858197212,-24.6181,146.1669,-11.27206,0.6703095,0.05630825,0.4440992,-34.68136,-36.33046,-19.85936
19.868057728,-22.13347,141.4062,-10.046,0.6453963,0.05023864,0.4415279,-34.68136,-36.33046,-19.85936
19.877917767,-19.1519,135.0388,-8.94255000000001,0.6072305,0.03866889,0.4309526,-31.73356,-36.07436,-25.44778
19.887777805,-16.48092,127.7787,-7.961701,0.5515952,0.04003039,0.4063595,-31.73356,-36.07436,-25.44778
19.897637844,-12.44338,118.2572,-7.04215600000001,0.4945019,0.04395797,0.4206239,-31.73356,-36.07436,-25.44778
19.90749836,-11.69799,108.5573,-6.24521700000002,0.4691222,0.05302554,0.4330422,-31.73356,-36.07436,-25.44778
19.917358398,-12.62973,100.9401,-5.019157,0.4537169,0.0684459,0.4290791,-31.73356,-36.07436,-25.44778
19.92721796,-13.49935,95.22729,-4.222218,0.397912,0.05342967,0.4493949,-26.52901,-35.07222,-28.49479
19.939543247,-9.71028300000003,88.26474,-4.038309,0.3610022,0.006442403,0.4639004,-26.52901,-35.07222,-28.49479
19.949403286,-5.921213,83.14697,-4.099612,0.3358706,0.01105153,0.4547135,-26.52901,-35.07222,-28.49479
19.959263802,-2.691185,78.1482199999998,-3.8544,0.3049013,0.02782358,0.4586508,-26.52901,-35.07222,-28.49479
19.96912384,-1.759447,73.0899599999997,-3.609189,0.265961,0.04302062,0.4507085,-26.52901,-35.07222,-28.49479
19.978983879,0.600958099999998,65.8893799999999,-3.24137,0.2258102,0.04704872,0.4517939,-23.18511,-34.40506,-30.69618
19.988844395,0.849421699999999,58.3317499999999,-2.996159,0.2128177,0.06687538,0.4492712,-23.18511,-34.40506,-30.69618
19.998704433,1.781161,51.48822,-2.934855,0.1915626,0.0652968,0.4677704,-23.18511,-34.40506,-30.69618
20.008564472,3.582522,44.76371,-2.750947,0.1907447,0.05131051,0.5031248,-23.18511,-34.40506,-30.69618
20.018424034,5.75657900000002,39.76496,-2.812249,0.1897185,0.03726481,0.5231472,-23.18511,-34.40506,-30.69618
20.028285027,10.10469,34.7067,-2.689644,0.1747598,0.03000107,0.5678647,-20.57699,-34.0787,-31.54565
20.038144588,13.14837,30.48156,-2.567038,0.1664507,0.05092318,0.5868485,-20.57699,-34.0787,-31.54565
20.048004627,16.3784,25.18527,-1.954008,0.1450498,0.07810842,0.6199685,-20.57699,-34.0787,-31.54565
20.057864666,16.3784,19.59143,-1.279675,0.1448912,0.1112626,0.6375017,-20.57699,-34.0787,-31.54565
20.067725182,14.88762,14.7117,-0.4827355,0.1417666,0.1327997,0.67846,-20.57699,-34.0787,-31.54565
20.07758522,13.02414,10.12951,0.2529004,0.1470918,0.144684,0.720654,-18.71277,-34.48091,-32.44773
20.087445259,9.918345,6.38044500000002,0.620718400000002,0.1563063,0.145367,0.7511971,-18.71277,-34.48091,-32.44773
20.097305775,9.04872300000001,2.15531,0.804627399999999,0.1485589,0.1459437,0.7934819,-18.71277,-34.48091,-32.44773
20.109630108,6.93678100000001,-2.069824,0.988536299999999,0.1714378,0.1569913,0.8306267,-18.71277,-34.48091,-32.44773
20.1194911,4.327913,-4.866744,1.785475,0.1776363,0.1771542,0.8723989,-18.71277,-34.48091,-32.44773
20.129350662,1.03577,-6.89004799999999,1.908081,0.167089,0.1756554,0.8869125,-18.33382,-34.84714,-31.9978
20.139210701,-2.00791,-9.32991399999999,2.09199,0.1741055,0.1713699,0.895402,-18.33382,-34.84714,-31.9978
20.149071217,-3.312345,-11.41273,2.582414,0.1783005,0.1817376,0.92514,-18.33382,-34.84714,-31.9978
