Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.469580174,0.5694358,-3.094834,-2.920122,0.3185894,0.02494056,0.8955084,-18.302,-23.08047,-21.68814
11.479465485,0.1964268,-2.800622,-2.859031,0.3345663,0.02665741,0.9147548,-18.302,-23.08047,-21.68814
11.48935175,-0.984768300000001,-1.506087,-2.248117,0.3297179,0.03658573,0.9267221,-18.302,-23.08047,-21.68814
11.499237061,-1.482114,-0.3292377,-1.820477,0.3143316,0.05510394,0.8929465,-18.302,-23.08047,-21.68814
11.509122372,-0.922600200000001,-0.2115527,-1.759386,0.2960058,0.06782769,0.8620825,-19.06054,-21.92808,-21.33209
11.51900816,0.5072676,-0.6234501,-1.637203,0.290141,0.06461035,0.8741151,-19.06054,-21.92808,-21.33209
11.528893471,1.688463,-1.270717,-2.064843,0.3092887,0.04187664,0.952161,-19.06054,-21.92808,-21.33209
11.541250706,3.180499,-2.094512,-2.614666,0.3039219,0.0161848,0.9267958,-19.06054,-21.92808,-21.33209
11.551136017,2.745321,-1.917985,-2.187026,0.3135882,0.007966629,0.9321385,-18.68426,-22.31167,-21.31821
11.561021328,1.501958,-2.094512,-1.087381,0.3421106,0.002663585,0.9721143,-18.68426,-22.31167,-21.31821
11.570907116,1.750631,-0.6234501,-0.3542839,0.2754004,0.03243081,0.9021543,-18.68426,-22.31167,-21.31821
11.580792427,1.812799,-2.153355,-0.4153753,0.2676125,0.0385556,0.9199086,-18.68426,-22.31167,-21.31821
11.590677738,1.812799,-1.976827,-1.026289,0.2705047,0.04215984,0.9333594,-18.68426,-22.31167,-21.31821
11.600563526,3.242667,-3.212519,-1.148472,0.2666169,0.03174746,0.9204229,-18.31397,-22.31003,-20.92051
11.610448837,4.672534,-4.801267,-0.843015,0.2729089,0.02289084,0.9151846,-18.31397,-22.31003,-20.92051
11.620334148,3.491339,-5.80158899999998,-0.1710097,0.2728115,0.008577291,0.9349746,-18.31397,-22.31003,-20.92051
11.630220413,0.880276599999999,-6.09580100000001,0.562087,0.261095,-0.000428739,0.9499154,-18.31397,-22.31003,-20.92051
11.640105724,-0.922600200000001,-4.801267,0.928635399999997,0.2567042,-0.0122219,0.9422752,-18.31397,-22.31003,-20.92051
11.649991035,-0.487423,-3.683259,0.562087,0.2321155,-0.004757882,0.884499,-18.69161,-22.68257,-20.92379
11.659876823,1.626294,-4.330527,-0.1710097,0.2374907,0.004956121,0.8834942,-18.69161,-22.68257,-20.92379
11.669762134,2.061472,-6.27232800000001,-0.965197799999999,0.2322472,0.02377061,0.8708892,-18.69161,-22.68257,-20.92379
11.679647446,0.1342586,-4.977794,-0.2321011,0.3821119,0.06700575,0.981453,-18.69161,-22.68257,-20.92379
11.689533234,-3.222822,-0.917662500000002,-1.392838,0.3175378,0.04187472,0.9531322,-18.69161,-22.68257,-20.92379
11.699418545,-3.906672,3.201311,-2.675757,0.3340456,0.04628935,0.9574569,-19.06259,-23.06226,-21.31618
11.709303856,-2.538972,4.319319,-3.469945,0.3534521,0.04481173,0.9589292,-19.06259,-23.06226,-21.31618
11.719189644,-3.28499,6.26111999999998,-3.897585,0.3805427,0.04682295,0.9993472,-19.06259,-23.06226,-21.31618
11.729074955,-4.031008,7.79102499999999,-4.080859,0.3758169,0.0649338,0.9723188,-19.06259,-23.06226,-21.31618
11.738960266,-2.476804,6.20227800000001,-4.813955,0.3269841,0.06283419,0.8905173,-19.06259,-23.06226,-21.31618
11.751317501,-2.2903,4.731216,-5.119412,0.3017581,0.06578417,0.8890309,-18.31508,-22.30884,-20.85566
11.761202812,-4.466185,4.142791,-4.325224,0.2847266,0.05265579,0.8881161,-18.31508,-22.30884,-20.85566
11.771089077,-5.087867,3.377839,-3.592128,0.2788454,0.04406767,0.899214,-18.31508,-22.30884,-20.85566
11.780974388,-4.279681,4.966586,-3.897585,0.2681791,0.04550646,0.896309,-18.31508,-22.30884,-20.85566
11.790859699,-3.471495,3.672051,-4.264133,0.2923448,0.03018544,0.9170936,-18.31508,-22.30884,-20.85566
11.800745487,-3.409327,3.024784,-4.508498,0.2835963,0.03923384,0.934832,-18.68495,-22.68973,-21.3129
11.810630798,-4.528353,5.260798,-5.424869,0.3314601,0.0244052,0.9917101,-18.68495,-22.68973,-21.3129
11.820516109,-5.64738,8.791347,-5.302687,0.3579692,0.003137435,1.038497,-18.68495,-22.68973,-21.3129
11.830401897,-6.89074399999999,11.38042,-5.608143,0.353101,-0.008705106,1.02749,-18.68495,-22.68973,-21.3129
