Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-2.476804,-1.741457,0.5009956,0.9975228,-0.1770027,0.0518417,-44.09993,-6.780871,18.05983
0.042007446,-3.160654,-1.56493,0.5009956,1.005337,-0.1653817,0.04842541,-44.47868,-7.152211,18.1214
0.04447794,-3.409327,-1.388402,0.6842698,1.005834,-0.1619668,0.04888964,-44.47868,-7.152211,18.1214
0.054362774,-3.595831,-0.85882,0.6231784,1.00435,-0.1692538,0.04988662,-44.47868,-7.152211,18.1214
0.064246655,-4.155344,-0.3880802,0.562087,0.9965639,-0.1725967,0.0532611,-43.78827,-7.540401,18.14244
0.074130535,-3.96884,-0.3880802,0.5009956,0.9941217,-0.1749835,0.05615592,-43.78827,-7.540401,18.14244
0.084014416,-3.471495,-0.9176625,0.4399042,0.9911819,-0.183263,0.05571349,-43.78827,-7.540401,18.14244
0.096369743,-2.041627,-1.682615,0.6231784,0.9907101,-0.1793665,0.05569327,-43.78827,-7.540401,18.14244
0.106253624,-1.109105,-2.212197,0.6231784,0.9926928,-0.1701759,0.05180171,-43.78691,-6.784283,18.13183
0.116137505,0.009922287,-2.800622,0.5009956,0.9931878,-0.1697403,0.04843362,-43.78691,-6.784283,18.13183
0.126021385,0.8802766,-2.859464,0.4399042,0.997081,-0.1678217,0.04698559,-43.78691,-6.784283,18.13183
0.135905266,1.315454,-2.918307,0.25663,0.9980584,-0.1648804,0.0484146,-43.78691,-6.784283,18.13183
0.145789623,1.315454,-2.918307,0.07335586,1.000009,-0.1619553,0.04888296,-43.78691,-6.784283,18.13183
0.155673504,1.004613,-2.624094,0.01226447,1.005835,-0.159489,0.05176265,-43.7816,-7.547561,17.75332
0.165557861,0.6937721,-1.917985,-0.04882693,1.00339,-0.16136,0.05657854,-43.7816,-7.547561,17.75332
0.175441742,0.1964268,-1.211875,-0.1099183,0.99757,-0.1593864,0.05752378,-43.7816,-7.547561,17.75332
0.185326099,-0.2387504,-0.6822926,0.01226447,0.9931985,-0.1643335,0.05177276,-43.7816,-7.547561,17.75332
0.19520998,-0.5495912,-0.7999775,-0.1710097,0.9956289,-0.1693372,0.04314423,-43.7816,-7.547561,17.75332
0.205093861,-1.171273,-0.976505,-0.04882693,0.9941986,-0.1605405,0.04502183,-43.40396,-7.175028,17.75659
0.214977741,-1.295609,-1.035347,-0.04882693,0.9961316,-0.1599927,0.04934955,-43.40396,-7.175028,17.75659
0.224861622,-1.60645,-1.211875,-0.1099183,0.9932466,-0.1561777,0.04355594,-43.40396,-7.175028,17.75659
0.234746456,-1.730786,-1.506087,-0.1099183,1.002926,-0.1619899,0.04696277,-43.40396,-7.175028,17.75659
0.244630337,-1.979459,-1.8003,0.25663,1.002464,-0.160149,0.03973912,-43.40396,-7.175028,17.75659
0.254514217,-1.855123,-2.094512,0.8064526,1.002877,-0.1761113,0.04703407,-43.41175,-7.166675,18.21057
0.264398098,-1.668618,-1.8003,0.9286354,1.006271,-0.1756023,0.04895904,-43.41175,-7.166675,18.21057
0.274281979,-0.7360957,-1.8003,0.867544,0.9999676,-0.1711498,0.05277674,-43.41175,-7.166675,18.21057
0.284166336,0.07209045,-1.917985,0.562087,0.9951112,-0.1746064,0.04894132,-43.41175,-7.166675,18.21057
0.294050217,1.004613,-2.212197,0.3177214,0.9941703,-0.1643426,0.05129299,-43.41175,-7.166675,18.21057
0.306405544,1.004613,-2.682937,0.1344473,0.9927649,-0.1477404,0.05409302,-43.7887,-7.161149,18.20198
0.316289425,0.6937721,-2.624094,0.3177214,0.9956942,-0.1448676,0.05119631,-43.7887,-7.161149,18.20198
0.326173306,-0.4252549,-2.094512,0.562087,1.002463,-0.1546703,0.04788709,-43.7887,-7.161149,18.20198
0.336057186,-1.233441,-1.741457,0.5009956,0.9990438,-0.1599984,0.0493529,-43.7887,-7.161149,18.20198
0.34594202,-1.60645,-1.32956,0.4399042,1.002884,-0.1726739,0.04894039,-43.7887,-7.161149,18.20198
0.355825901,-1.668618,-0.7999775,0.4399042,0.9941195,-0.1759646,0.05567995,-43.79469,-6.77593,18.5858
0.365709782,-1.046937,-0.3292377,0.25663,1.000442,-0.180038,0.04464654,-43.79469,-6.77593,18.5858
0.375593662,0.009922287,-0.03502529,0.07335586,0.9984853,-0.1834213,0.04610417,-43.79469,-6.77593,18.5858
0.385477543,0.5694358,-0.2115527,0.07335586,0.9975343,-0.1810565,0.04128193,-43.79469,-6.77593,18.5858
0.395361424,1.066781,-0.3292377,-0.04882693,0.9926624,-0.1809319,0.0489705,-43.79469,-6.77593,18.5858
0.405246258,1.191117,-0.7999775,-0.5375581,0.9970744,-0.1727559,0.04268223,-43.80272,-7.524888,18.98552
0.415130138,1.43979,-1.388402,-0.7208322,0.9932067,-0.1723476,0.03690472,-43.80272,-7.524888,18.98552
0.425014019,1.874967,-1.976827,-0.6597409,0.9936813,-0.1747689,0.03787933,-43.80272,-7.524888,18.98552
0.4348979,2.061472,-2.682937,-0.7208322,0.9922388,-0.1688795,0.04073346,-43.80272,-7.524888,18.98552
0.444782257,1.999303,-2.859464,-0.5375581,1.00002,-0.1630227,0.04263639,-43.80272,-7.524888,18.98552
0.454666138,1.688463,-2.50641,-0.1099183,0.9985518,-0.1669226,0.04217351,-43.79469,-6.77593,18.5858
0.464550018,1.937135,-2.329882,0.1344473,1.002439,-0.1664577,0.04121374,-43.79469,-6.77593,18.5858
0.474434376,1.937135,-2.03567,0.3788128,1.000985,-0.1634828,0.0445635,-43.79469,-6.77593,18.5858
0.484318733,1.937135,-1.917985,0.562087,1.001503,-0.1527422,0.0464335,-43.79469,-6.77593,18.5858
0.494202614,1.564126,-1.682615,0.6231784,0.9995625,-0.1507546,0.04882585,-43.79469,-6.77593,18.5858
0.504086495,0.7559403,-1.153032,0.4399042,0.9981127,-0.1522845,0.04402272,-43.41243,-7.544734,18.21587
0.516441822,-0.1765822,-1.035347,0.3788128,0.9971346,-0.1527336,0.04642849,-43.41243,-7.544734,18.21587
0.526325703,-1.357777,-1.09419,0.3788128,0.9947111,-0.1537458,0.04354532,-43.41243,-7.544734,18.21587
0.536209583,-2.103795,-1.035347,0.562087,0.9917324,-0.1712342,0.04603491,-43.41243,-7.544734,18.21587
0.546093464,-3.036318,-0.6234501,0.6231784,1.00335,-0.1765345,0.05136504,-43.41243,-7.544734,18.21587
0.555977344,-3.098486,-0.3292377,0.4399042,1.001856,-0.1847522,0.05525224,-43.41175,-7.166675,18.21057
0.565862179,-2.974149,0.4945571,0.25663,1.003777,-0.1925903,0.0524085,-43.41175,-7.166675,18.21057
0.575746059,-2.476804,0.4945571,0.07335586,0.9984553,-0.1906967,0.04806459,-43.41175,-7.166675,18.21057
0.58562994,-1.233441,0.1415022,0.3177214,0.9916804,-0.182849,0.05090275,-43.41175,-7.166675,18.21057
0.595513821,0.07209045,-0.2115527,0.5009956,0.993153,-0.1844493,0.04177502,-43.41175,-7.166675,18.21057
0.605397701,1.128949,-0.5057651,0.5009956,0.9941428,-0.1766098,0.04510297,-43.4244,-6.774296,18.9835
0.615282059,1.874967,-0.7411351,0.867544,0.9883483,-0.1683274,0.04457361,-43.4244,-6.774296,18.9835
0.625166416,2.310144,-1.388402,0.6231784,0.9932417,-0.1626159,0.03637466,-43.4244,-6.774296,18.9835
0.635050297,2.372312,-2.329882,0.562087,0.9985959,-0.1552575,0.04067185,-43.4244,-6.774296,18.9835
0.644934177,1.626294,-2.74178,0.25663,1.000559,-0.1499265,0.03920438,-43.4244,-6.774296,18.9835
0.654818535,0.2585949,-2.329882,0.1955387,1.007344,-0.1503693,0.0430617,-43.41773,-6.781456,18.59438
0.664702415,-1.357777,-1.623772,0.07335586,1.006328,-0.1560525,0.05366953,-43.41773,-6.781456,18.59438
0.674586296,-2.725477,-0.7999775,0.01226447,1.003889,-0.1629369,0.04889233,-43.41773,-6.781456,18.59438
0.684470653,-3.471495,-0.2703952,0.01226447,0.9980296,-0.1741539,0.04701867,-43.41773,-6.781456,18.59438
0.694355011,-3.782336,0.08265968,0.3177214,0.9955956,-0.1775865,0.04510956,-43.41773,-6.781456,18.59438
0.704238892,-3.782336,0.2003446,0.25663,0.9887749,-0.1828864,0.04801411,-43.04744,-6.779822,18.99207
0.714122772,-3.347158,0.2003446,0.562087,0.9912082,-0.1864149,0.04033998,-43.04744,-6.779822,18.99207
0.7264781,-2.414636,0.02381719,0.07335586,0.9955494,-0.1912282,0.04469752,-43.04744,-6.779822,18.99207
0.73636198,-2.041627,0.02381719,-0.04882693,0.9999165,-0.1912297,0.04518342,-43.04744,-6.779822,18.99207
0.746245861,-1.046937,-0.4469227,-0.04882693,0.9892423,-0.1897406,0.04564468,-43.04744,-6.779822,18.99207
0.756129742,0.2585949,-1.211875,-0.1710097,0.9921936,-0.1815329,0.04127827,-43.79469,-6.77593,18.5858
0.766014576,1.43979,-2.094512,-0.1099183,0.9960663,-0.1814759,0.04561067,-43.79469,-6.77593,18.5858
0.775898457,1.874967,-2.565252,0.07335586,1.000938,-0.1801037,0.04031914,-43.79469,-6.77593,18.5858
0.785782337,1.874967,-1.859142,0.25663,1.00338,-0.1782183,0.03646503,-43.79469,-6.77593,18.5858
0.795666218,1.564126,-1.211875,0.25663,0.9985318,-0.1777433,0.03501435,-43.79469,-6.77593,18.5858
0.805550098,1.626294,-0.7999775,0.4399042,0.9946811,-0.1744565,0.02633678,-43.03479,-7.172201,18.21914
0.815434456,1.315454,-0.7411351,0.3177214,0.9936977,-0.17338,0.03306312,-43.03479,-7.172201,18.21914
0.825318813,0.4450994,-1.035347,0.3177214,0.9937338,-0.160669,0.03636538,-43.03479,-7.172201,18.21914
0.835202694,-0.9847683,-1.035347,0.1344473,1.002014,-0.1509176,0.0382492,-43.03479,-7.172201,18.21914
0.845086575,-2.352468,-0.9176625,0.1344473,1.001542,-0.1445288,0.04206375,-43.03479,-7.172201,18.21914
0.854970932,-3.782336,-0.7999775,0.1955387,1.002479,-0.1522787,0.0449895,-43.7887,-7.161149,18.20198
0.864854813,-4.714858,-0.2703952,0.07335586,1.005835,-0.159489,0.05176265,-43.7887,-7.161149,18.20198
0.874738693,-4.901362,-0.2115527,-0.1099183,0.9975643,-0.1727856,0.04075925,-43.7887,-7.161149,18.20198
0.884623051,-4.590521,-0.5057651,-0.04882693,0.9927112,-0.1762638,0.03548118,-43.7887,-7.161149,18.20198
0.894507408,-3.409327,-0.6234501,0.1344473,0.9955891,-0.1855071,0.036493,-43.7887,-7.161149,18.20198
0.904391289,-2.165963,-0.6822926,0.07335586,0.9980391,-0.1831707,0.03023201,-43.4262,-7.151162,19.05365
0.914275169,-0.9847683,-0.3880802,0.01226447,1.001388,-0.193317,0.03605814,-43.4262,-7.151162,19.05365
0.92415905,-0.2387504,0.02381719,0.25663,1.002819,-0.1986403,0.03849127,-43.4262,-7.151162,19.05365
0.936514378,0.3207631,0.729927,0.01226447,0.9960185,-0.1995864,0.03945016,-43.4262,-7.151162,19.05365
0.946398258,1.004613,0.9064545,0.1955387,0.9945952,-0.1938193,0.03412927,-43.4262,-7.151162,19.05365
0.956282139,1.377622,0.2591871,-0.1099183,0.993648,-0.1840137,0.03840693,-43.42551,-6.773103,19.04835
0.966166973,1.253286,-0.6234501,-0.2321011,0.9941356,-0.1810426,0.04175892,-43.42551,-6.773103,19.04835
0.976050854,0.5694358,-0.9176625,-0.2321011,1.004368,-0.1748403,0.03452539,-43.42551,-6.773103,19.04835
0.985934734,-0.3630867,-1.270717,-0.1099183,1.003874,-0.1727981,0.04076649,-43.42551,-6.773103,19.04835
0.995818615,-0.7982638,-1.035347,-0.1099183,0.9990272,-0.1728317,0.03787562,-43.42551,-6.773103,19.04835
1.005702496,-0.9226002,-0.7999775,-0.1710097,0.9970891,-0.1718539,0.03786848,-43.7887,-7.161149,18.20198
1.01558733,-0.6117593,-0.3292377,-0.1099183,0.9995273,-0.1689442,0.03737563,-43.7887,-7.161149,18.20198
1.02547121,0.009922287,-0.1527103,-0.1710097,0.9951686,-0.1694945,0.03256424,-43.7887,-7.161149,18.20198
1.035355091,0.6937721,0.3180296,-0.04882693,1.004379,-0.1729213,0.03259203,-43.7887,-7.161149,18.20198
1.045238972,1.128949,0.729927,0.07335586,1.001453,-0.1788021,0.02973289,-43.7887,-7.161149,18.20198
1.055123329,1.066781,0.612242,0.01226447,0.999532,-0.1749458,0.02682569,-43.41884,-6.780262,18.65923
1.065007687,0.6937721,0.4945571,-0.1099183,0.9971008,-0.1808851,0.02012005,-43.41884,-6.780262,18.65923
1.074891567,0.5072676,-0.3292377,-0.2321011,0.9907699,-0.1802418,0.02972802,-43.41884,-6.780262,18.65923
1.084775448,0.3207631,-1.211875,-0.2931925,0.9927446,-0.1710009,0.02920265,-43.41884,-6.780262,18.65923
1.094659805,-0.3630867,-2.565252,-0.1710097,0.9985768,-0.1621035,0.03878274,-43.41884,-6.780262,18.65923
1.104543686,-1.171273,-2.565252,-0.2321011,1.002956,-0.1577008,0.04068915,-43.80315,-7.145636,19.04507
1.114427567,-1.544282,-2.094512,-0.04882693,1.001508,-0.1547619,0.0416345,-43.80315,-7.145636,19.04507
1.124311924,-1.419945,-1.447245,-0.04882693,1.003449,-0.1567567,0.03876126,-43.80315,-7.145636,19.04507
1.134196281,-1.295609,-0.7999775,-0.04882693,1.002456,-0.1635792,0.03831368,-43.80315,-7.145636,19.04507
1.144080162,-0.860432,-0.1527103,0.01226447,1.009248,-0.1665574,0.03545093,-43.80315,-7.145636,19.04507
1.15643549,-0.1765822,0.4357146,-0.2931925,1.001944,-0.1748571,0.03307996,-43.41953,-7.158321,18.66454
1.16631937,0.4450994,0.3768721,-0.2931925,0.9907958,-0.1724435,0.03016956,-43.41953,-7.158321,18.66454
1.176203251,0.9424447,0.3180296,-0.4764667,0.9883949,-0.1646403,0.03060832,-43.41953,-7.158321,18.66454
1.186087132,1.377622,0.02381719,-0.5375581,0.9850222,-0.1637964,0.02146272,-43.41953,-7.158321,18.66454
1.195971966,1.874967,-0.6822926,-0.6597409,0.9883859,-0.1675692,0.03014219,-43.41953,-7.158321,18.66454
1.205855846,2.558817,-0.7999775,-0.7208322,0.9927282,-0.1713943,0.03545659,-43.04256,-7.163847,18.67311
1.215739727,2.683153,-0.5057651,-0.4764667,1.002419,-0.1723011,0.04124324,-43.04256,-7.163847,18.67311
1.225623608,2.558817,0.4945571,-0.5986494,0.9980404,-0.1687472,0.05035781,-43.04256,-7.163847,18.67311
1.235507488,2.12364,1.141824,-0.4764667,1.005303,-0.1736238,0.05087163,-43.04256,-7.163847,18.67311
1.245392323,1.626294,1.494879,-0.1710097,1.006751,-0.1755673,0.05136402,-43.04256,-7.163847,18.67311
1.255276203,1.128949,1.965619,0.07335586,1.00625,-0.182434,0.0480317,-43.04256,-7.163847,18.67311
1.265160084,0.8802766,1.847934,0.4399042,1.002881,-0.178131,0.04223507,-43.04256,-7.163847,18.67311
1.275043964,0.3829313,1.730249,0.6231784,1.002896,-0.1767277,0.03838063,-43.04256,-7.163847,18.67311
1.284927845,-0.1765822,1.847934,0.562087,0.999063,-0.1695741,0.02775986,-43.04256,-7.163847,18.67311
1.294812679,-1.046937,1.789092,0.562087,0.9942262,-0.1696723,0.02054104,-43.04256,-7.163847,18.67311
1.30469656,-1.233441,1.259509,0.4399042,0.9932579,-0.1716757,0.01670269,-43.79648,-7.152795,18.65595
