Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.651373863,2.061472,-0.6234501,-0.5375581,0.2806522,-0.1401253,0.8919711,-18.33757,-17.23753,-22.74457
12.661261558,3.677844,-1.506087,-0.720832200000002,0.2850671,-0.1334605,0.882324,-18.33757,-17.23753,-22.74457
12.671149731,4.983376,-2.153355,-0.965197799999999,0.2904344,-0.1266826,0.8803722,-18.33757,-17.23753,-22.74457
12.681037426,5.542889,-2.565252,-1.209563,0.2971915,-0.1249619,0.8986462,-18.33757,-17.23753,-22.74457
12.690924644,5.107712,-3.389047,-1.759386,0.3010298,-0.1341424,0.9039872,-18.33757,-17.23753,-22.74457
12.700812817,3.304835,-2.977149,-1.881569,0.3097294,-0.1448725,0.9040512,-19.08314,-16.91978,-23.22012
12.710700512,1.564126,-1.270717,-1.637203,0.3174718,-0.1546915,0.8997813,-19.08314,-16.91978,-23.22012
12.720588684,0.5072676,-0.2703952,-1.51502,0.306262,-0.1683111,0.8993565,-19.08314,-16.91978,-23.22012
12.730475902,-0.3630867,-0.1527103,-1.209563,0.2979694,-0.1804757,0.8989276,-19.08314,-16.91978,-23.22012
12.740364075,-1.482114,-1.56493,-0.904106400000002,0.2839192,-0.1840939,0.8830595,-19.08314,-16.91978,-23.22012
12.75025177,-2.2903,-2.918307,-0.720832200000002,0.284901,-0.1732175,0.8940669,-18.33825,-17.61559,-22.73927
12.760139942,-3.098486,-3.212519,-0.4764667,0.2974985,-0.1706136,0.9070529,-18.33825,-17.61559,-22.73927
12.770027637,-5.89605299999999,-3.624417,-0.4153753,0.3077078,-0.1508322,0.928606,-18.33825,-17.61559,-22.73927
12.779914856,-9.12879799999998,-2.624094,-0.2931925,0.3159883,-0.135108,0.9391162,-18.33825,-17.61559,-22.73927
12.789803028,-10.4965,-0.5057651,-0.720832200000002,0.3180228,-0.1227605,0.9183766,-18.33825,-17.61559,-22.73927
12.7996912,-10.74517,-0.4469227,-0.904106400000002,0.3039469,-0.1227326,0.9183604,-19.09884,-17.59738,-22.36731
12.809578896,-11.55336,-1.211875,-1.209563,0.3000424,-0.1265702,0.9217418,-19.09884,-17.59738,-22.36731
