Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
82.49,0.415704,-0.2379636,0.1490391,0.241009,-0.2720295,0.9410685,-2.390175,-18.21405,-25.79972
82.5,0.291252,-0.0612440899999998,0.02692074,0.2376614,-0.2773966,0.9391181,-2.390175,-18.21405,-25.79972
82.51,0.1045742,-0.2379636,-0.0951975900000001,0.2424469,-0.2714817,0.9468639,-2.390175,-18.21405,-25.79972
82.52,0.1045742,-0.1790571,0.0879799099999998,0.2419842,-0.2734386,0.9449283,-2.383423,-18.57657,-25.79388
82.53,0.1668001,-0.2379636,0.1490391,0.2424719,-0.2725021,0.9410713,-2.383423,-18.57657,-25.79388
82.54,0.1045742,-0.1201506,0.1490391,0.2405392,-0.2758389,0.9482973,-2.383423,-18.57657,-25.79388
82.55,-0.0821036699999998,-0.1790571,-0.03413842,0.2434838,-0.2782533,0.9463695,-2.383423,-18.57657,-25.79388
82.56,0.1668001,-0.4735897,-0.0951975900000001,0.2463871,-0.2758416,0.9430044,-2.383423,-18.57657,-25.79388
82.57,0.291252,-0.2968701,0.02692074,0.2459103,-0.2782212,0.9478235,-2.393322,-17.85771,-26.18466
82.58,0.4779299,0.174382,0.0879799099999998,0.2463544,-0.2738577,0.9483166,-2.393322,-17.85771,-26.18466
82.59,0.602381800000001,0.2332885,0.0879799099999998,0.2410069,-0.2724915,0.9434802,-2.393322,-17.85771,-26.18466
82.6,0.726833699999999,-0.002337579,0.1490391,0.2414645,-0.2695799,0.9439701,-2.393322,-17.85771,-26.18466
82.61,0.726833699999999,-0.1201506,0.1490391,0.2453706,-0.2696065,0.9377071,-2.393322,-17.85771,-26.18466
82.62,0.5401558,0.2332885,0.0879799099999998,0.2463544,-0.2738577,0.9483166,-2.685072,-18.58077,-26.17589
82.63,0.291252,0.5278211,0.0879799099999998,0.2415463,-0.2796983,0.9487742,-2.685072,-18.58077,-26.17589
82.64,-0.01987772,0.05656894,0.0879799099999998,0.2371697,-0.2783201,0.9444229,-2.685072,-18.58077,-26.17589
82.65,0.2290261,-0.0612440899999998,0.02692074,0.2464167,-0.279691,0.9454089,-2.685072,-18.58077,-26.17589
82.66,0.664607699999999,-0.1790571,0.2100982,0.2454069,-0.2758229,0.9458971,-2.023869,-18.21642,-25.79624
82.67,0.602381800000001,0.174382,0.2100982,0.2424775,-0.2739275,0.9439634,-2.023869,-18.21642,-25.79624
82.68,0.789059599999997,0.2332885,0.3322166,0.2424356,-0.2686307,0.9410795,-2.023869,-18.21642,-25.79624
82.69,0.851285599999998,0.1154754,0.2100982,0.2463133,-0.2680946,0.9435034,-2.023869,-18.21642,-25.79624
82.7,0.353478,0.410008,0.0879799099999998,0.2487231,-0.2661312,0.9444789,-2.023869,-18.21642,-25.79624
82.71,-0.0821036699999998,0.410008,-0.0951975900000001,0.2468402,-0.272446,0.9434953,-2.023869,-18.21642,-25.79624
