Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.08210367,-0.1790571,-0.03413842,0.9996161,-0.006757257,-0.0716875,-31.99562,-28.99232,9.109669
0.017725945,0.1045742,-0.2379636,-0.03413842,0.9952461,-0.008683245,-0.06687742,-32.00485,-28.68404,9.48391
0.017725945,0.1045742,-0.2379636,-0.03413842,0.9952461,-0.008683245,-0.06687742,-32.00485,-28.68404,9.48391
0.027854443,-0.1443296,-0.2379636,0.08797991,0.999112,-0.007170476,-0.06348635,-32.00485,-28.68404,9.48391
0.037983894,-0.01987772,-0.3557767,0.3322166,0.9971428,-0.005228088,-0.06107451,-32.00485,-28.68404,9.48391
0.048112869,-0.01987772,-0.6503092,0.3932757,0.9931747,0.003914015,-0.06347784,-32.00485,-28.68404,9.48391
0.058242321,0.1045742,-0.7092157,0.4543349,0.9921132,0.01358033,-0.06394235,-31.99149,-29.0579,8.794722
0.068370819,-0.01987772,-0.8270288,0.08797991,0.9940529,0.01314226,-0.06056045,-31.99149,-29.0579,8.794722
0.078500271,0.04234824,-0.7681223,0.08797991,0.997413,0.01565412,-0.05330815,-31.99149,-29.0579,8.794722
0.088629723,0.291252,-0.2968701,-0.2173159,0.9997934,0.02005899,-0.0499147,-31.99149,-29.0579,8.794722
0.098758698,0.6023818,0.05656894,-0.09519759,1.001276,0.01623849,-0.04557614,-31.99149,-29.0579,8.794722
0.108888149,0.6646077,0.3511015,-0.2783751,1.003291,0.01226843,-0.05812575,-32.7241,-29.05315,8.78776
0.119016647,0.6646077,0.5278211,-0.2173159,0.9974909,0.008831121,-0.05863065,-32.7241,-29.05315,8.78776
0.129146099,0.353478,0.5867276,-0.1562568,0.9999061,0.008431904,-0.05138705,-32.7241,-29.05315,8.78776
0.139275551,-0.1443296,0.4689145,0.02692074,1.000418,0.006007364,-0.05235604,-32.7241,-29.05315,8.78776
0.149405003,-1.077719,0.292195,-0.1562568,0.9984491,0.00841614,-0.05187339,-32.7241,-29.05315,8.78776
