Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.793131828,1.43979,0.3180296,1.173001,0.2955827,-0.1742557,0.8911988,-7.598282,-21.2451,-26.27475
18.803020477,0.9424447,-0.2703952,0.745361200000002,0.2892175,-0.1868319,0.8960643,-7.968145,-21.62599,-26.73199
18.812909126,1.128949,-0.682292600000002,0.01226447,0.2843875,-0.1829915,0.8917111,-7.968145,-21.62599,-26.73199
18.822797775,1.874967,-1.153032,-0.5375581,0.2940895,-0.189943,0.8840625,-7.968145,-21.62599,-26.73199
18.832686424,1.812799,-0.6234501,-0.965197799999999,0.2950524,-0.1918855,0.8845543,-7.968145,-21.62599,-26.73199
18.842575073,-0.3009185,-0.3292377,-1.453929,0.3008859,-0.1899636,0.8835894,-7.968145,-21.62599,-26.73199
18.852462769,-3.160654,-0.2115527,-2.125934,0.3071567,-0.1961985,0.8908418,-7.221322,-21.25063,-26.26617
18.862351418,-4.466185,-0.3292377,-2.675757,0.3119811,-0.2009985,0.8961618,-7.221322,-21.25063,-26.26617
18.872240066,-4.155344,0.3180296,-2.614666,0.3206691,-0.2056838,0.9096611,-7.221322,-21.25063,-26.26617
18.882128715,-2.974149,1.789092,-2.125934,0.326474,-0.2160219,0.9029871,-7.221322,-21.25063,-26.26617
18.892017364,-2.974149,2.083304,-1.881569,0.3260041,-0.2196022,0.8914625,-7.221322,-21.25063,-26.26617
18.901906013,-5.585212,2.907099,-1.698295,0.32987,-0.2185065,0.9001179,-7.591185,-21.63151,-26.72341
18.911794662,-8.56928299999999,3.377839,-1.881569,0.3313249,-0.2175067,0.9020382,-7.591185,-21.63151,-26.72341
18.921683311,-10.06132,3.024784,-1.637203,0.3186731,-0.2297202,0.8977572,-7.591185,-21.63151,-26.72341
18.93157196,-8.63145299999999,2.318674,-1.026289,0.3085072,-0.2353441,0.8785372,-7.591185,-21.63151,-26.72341
18.941460609,-5.83388499999998,1.612564,-0.965197799999999,0.2969824,-0.2236652,0.8438388,-7.591185,-21.63151,-26.72341
18.953821182,-2.725477,0.965297,-0.904106400000002,0.2964584,-0.2254107,0.8573129,-7.590502,-21.25345,-26.72872
18.963709831,-2.725477,2.377517,-0.5375581,0.305584,-0.2317859,0.8881344,-7.590502,-21.25345,-26.72872
18.97359848,-3.782336,2.377517,-0.04882693,0.297784,-0.2549447,0.8690057,-7.590502,-21.25345,-26.72872
18.983487129,-4.466185,0.729926999999997,-0.2931925,0.3122513,-0.252887,0.9108519,-7.590502,-21.25345,-26.72872
18.993375778,-4.839194,0.729926999999997,-0.598649399999998,0.3079519,-0.2373895,0.9045168,-7.590502,-21.25345,-26.72872
19.003264427,-5.523044,2.318674,-1.087381,0.3138074,-0.2291373,0.9035198,-7.583405,-21.63987,-27.17738
19.013153076,-7.82326600000002,4.848901,-1.637203,0.302702,-0.2334639,0.8732311,-7.583405,-21.63987,-27.17738
19.023041725,-8.81795700000002,4.731216,-1.881569,0.304672,-0.2376294,0.8554603,-7.583405,-21.63987,-27.17738
19.032929897,-7.26375199999999,4.966586,-1.698295,0.2945072,-0.2268389,0.8592415,-7.583405,-21.63987,-27.17738
19.042818546,-5.025699,3.495524,-1.698295,0.2973271,-0.2192939,0.9082605,-7.583405,-21.63987,-27.17738
19.052706718,-3.782336,4.672373,-1.209563,0.3045349,-0.2198434,0.9376077,-7.206444,-21.64539,-27.1688
19.062595367,-3.471495,6.26111999999998,-1.331746,0.3088859,-0.2137714,0.9534523,-7.206444,-21.64539,-27.1688
19.072484016,-5.398708,9.203244,-2.3703,0.3094318,-0.2161445,0.9250907,-7.206444,-21.64539,-27.1688
19.082372665,-8.32061100000001,11.91,-2.553574,0.3172087,-0.2022952,0.940419,-7.206444,-21.64539,-27.1688
19.092261314,-10.99384,13.4399,-2.614666,0.3075695,-0.1842949,0.9379124,-7.206444,-21.64539,-27.1688
19.102149963,-12.11287,13.8518,-2.79794,0.2964979,-0.179878,0.9061368,-7.197726,-20.51837,-27.57383
19.112038612,-12.92105,11.32157,-3.531036,0.2949909,-0.1905017,0.9119598,-7.197726,-20.51837,-27.57383
19.121927261,-12.17504,12.02768,-3.164488,0.304123,-0.2043825,0.9293535,-7.197726,-20.51837,-27.57383
19.131815434,-9.99915100000003,13.79296,-2.79794,0.3046269,-0.1980315,0.9307647,-7.197726,-20.51837,-27.57383
19.141704083,-10.37216,17.44119,-3.042305,0.3090106,-0.2130657,0.9029523,-7.197726,-20.51837,-27.57383
19.151592732,-9.812647,17.50003,-2.431391,0.3065518,-0.2292812,0.8929321,-6.812986,-20.53225,-28.01922
19.161481381,-6.89074399999999,19.97142,-1.087381,0.3278906,-0.2267232,0.9040046,-6.812986,-20.53225,-28.01922
19.171370029,-5.89605299999999,23.20776,-0.2321011,0.2915903,-0.2208316,0.8697882,-6.812986,-20.53225,-28.01922
19.183730602,-9.37747000000002,17.44119,-1.698295,0.2377314,-0.2273072,0.8529273,-6.812986,-20.53225,-28.01922
19.193619251,-10.86951,12.38074,-1.51502,0.2453135,-0.2604975,0.8814781,-6.812986,-20.53225,-28.01922
19.2035079,-7.94760199999998,14.32254,-0.720832200000002,0.2727873,-0.2881982,0.9215657,-6.797853,-20.16971,-28.86761
19.213396549,-4.279681,17.08814,-0.4153753,0.2500838,-0.2674445,0.9060456,-6.797853,-20.16971,-28.86761
19.223285198,-2.787645,18.67688,-0.781923700000001,0.2651065,-0.2827494,0.894117,-6.797853,-20.16971,-28.86761
19.233173847,-3.160654,19.50068,-1.270655,0.2991421,-0.3025986,0.8413547,-6.797853,-20.16971,-28.86761
19.243062496,-4.093176,22.08975,-0.5375581,0.3038673,-0.3037865,0.8928246,-6.797853,-20.16971,-28.86761
19.252950192,-8.19627499999999,25.85567,1.356275,0.2932703,-0.2659612,0.913301,-6.051285,-20.55166,-28.45603
19.262838841,-11.30468,25.09072,1.050818,0.26416,-0.26001,0.9166042,-6.051285,-20.55166,-28.45603
19.27272749,-12.92105,24.61997,1.356275,0.2763645,-0.2435568,0.9112449,-6.051285,-20.55166,-28.45603
19.282616139,-11.30468,25.67914,0.1955387,0.2748387,-0.2709812,0.9008014,-6.051285,-20.55166,-28.45603
19.292504788,-10.62083,24.67882,0.25663,0.261234,-0.2743486,0.9017649,-6.051285,-20.55166,-28.45603
19.302393437,-11.18035,26.09104,0.745361200000002,0.2603496,-0.2515033,0.8987629,-4.968099,-20.20477,-29.28011
19.312282085,-11.80203,28.32705,1.173001,0.2375866,-0.2572461,0.8699108,-4.968099,-20.20477,-29.28011
19.322170734,-10.80734,27.62094,1.722824,0.20115,-0.2624371,0.8761475,-4.968099,-20.20477,-29.28011
19.332059383,-12.17504,26.67946,1.539549,0.1924012,-0.2588603,0.8862188,-4.968099,-20.20477,-29.28011
19.341948032,-13.72924,21.38364,1.295184,0.197579,-0.2852213,0.9152132,-4.968099,-20.20477,-29.28011
19.351836681,-14.5996,22.20743,0.25663,0.229158,-0.2506365,0.9525862,-4.584042,-20.59671,-29.7202
19.36172533,-15.65645,25.44377,-1.698295,0.2543705,-0.2564866,0.9555299,-4.584042,-20.59671,-29.7202
19.371613979,-18.8892,25.67914,-3.653219,0.2393271,-0.2689182,0.9363388,-4.584042,-20.59671,-29.7202
19.381502628,-20.87858,26.67946,-4.508498,0.2436171,-0.2938114,0.9331031,-4.584042,-20.59671,-29.7202
19.391391277,-20.69208,28.20937,-2.79794,0.2121447,-0.2987141,0.8941374,-4.584042,-20.59671,-29.7202
19.40375185,-20.31907,22.79586,-2.736848,0.1865291,-0.2819366,0.872863,-3.814306,-19.86716,-30.55673
19.413640499,-21.74893,18.9711,-1.698295,0.2029965,-0.2787599,0.8921025,-3.814306,-19.86716,-30.55673
19.423529148,-20.31907,18.79457,-0.2931925,0.2101731,-0.3184255,0.8783644,-3.814306,-19.86716,-30.55673
19.43341732,-19.20004,20.85406,0.25663,0.2173539,-0.3277617,0.9063132,-3.814306,-19.86716,-30.55673
19.443305969,-21.93544,21.08943,1.234092,0.1940442,-0.3545142,0.8727574,-2.674962,-19.51402,-30.99027
19.453194141,-22.9923,19.85373,2.45592,0.1866468,-0.3880991,0.8729187,-2.674962,-19.51402,-30.99027
19.46308279,-21.25159,18.26499,4.777393,0.1542939,-0.3851102,0.8079424,-2.674962,-19.51402,-30.99027
19.472971439,-15.78079,12.20421,5.205033,0.1232849,-0.3819135,0.789616,-2.674962,-19.51402,-30.99027
19.482860088,-8.32061100000001,7.20260000000002,5.87703800000003,0.1223896,-0.3739283,0.7698569,-2.674962,-19.51402,-30.99027
