Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
24.944152832,3.180499,-0.682292600000002,3.189017,0.3270843,-0.1894421,0.8893877,-7.236709,-22.37049,-25.47202
24.954042435,3.11833,-0.3880802,3.494474,0.332897,-0.1938578,0.8879738,-7.236709,-22.37049,-25.47202
24.963930607,4.050853,0.2003446,4.227571,0.3444771,-0.210365,0.8928796,-7.24449,-22.36213,-25.01805
24.973819256,5.16988,0.1415022,4.594119,0.3300052,-0.1919905,0.88219,-7.24449,-22.36213,-25.01805
24.986179829,6.59974800000002,0.4945571,5.021759,0.3334478,-0.1743664,0.8888378,-7.24449,-22.36213,-25.01805
24.996069431,6.288907,0.906454499999998,4.838485,0.3286231,-0.1586163,0.899333,-7.24449,-22.36213,-25.01805
25.00595808,6.04023399999999,1.612564,4.716302,0.3276879,-0.1473931,0.9007179,-7.24449,-22.36213,-25.01805
25.015846729,5.356384,1.671407,4.410845,0.3267498,-0.1406314,0.8968353,-7.250476,-21.97691,-24.63424
25.025735378,4.983376,1.671407,4.105388,0.3136741,-0.1338242,0.8943815,-7.250476,-21.97691,-24.63424
25.035624027,4.548198,1.436037,3.555565,0.3166076,-0.1240119,0.8996253,-7.250476,-21.97691,-24.63424
25.045512676,4.050853,1.200667,3.433383,0.3117601,-0.1225487,0.8991315,-7.250476,-21.97691,-24.63424
25.055400848,3.180499,1.141824,2.822469,0.3093573,-0.1122461,0.903886,-7.250476,-21.97691,-24.63424
25.065290451,2.745321,0.847612000000001,2.45592,0.3098189,-0.114087,0.9111096,-6.874881,-22.73856,-24.61505
25.0751791,1.874967,0.788769499999999,2.089372,0.3049721,-0.1171069,0.9039056,-6.874881,-22.73856,-24.61505
25.085067749,1.43979,1.024139,1.417367,0.3059342,-0.1155617,0.9096699,-6.874881,-22.73856,-24.61505
25.094956398,0.880276599999999,0.5533996,0.745361200000002,0.307873,-0.1200272,0.9044045,-6.874881,-22.73856,-24.61505
25.104845047,0.1342586,0.612241999999999,0.1955387,0.303499,-0.1209781,0.9053662,-6.874881,-22.73856,-24.61505
25.114733219,-0.2387504,0.612241999999999,-0.598649399999998,0.3010574,-0.1238662,0.9073017,-7.251842,-22.73303,-24.62363
25.124622822,-0.1765822,0.2003446,-1.026289,0.2971593,-0.1322229,0.9015684,-7.251842,-22.73303,-24.62363
25.134511471,-0.2387504,0.3180296,-1.759386,0.3087796,-0.140524,0.9016235,-7.251842,-22.73303,-24.62363
