Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
25.719406128,-0.736095699999999,0.02381719,0.623178399999998,0.2888655,0.1102496,0.8647456,-9.149261,-29.94864,-20.9308
25.729293346,-0.2387504,-0.0938677799999998,0.6842698,0.3038936,0.1048634,0.8647898,-9.149261,-29.94864,-20.9308
25.739181042,-0.487423,0.2003446,0.5009956,0.3057893,0.09569391,0.8706094,-9.149261,-29.94864,-20.9308
25.74906826,-1.295609,0.671084500000001,0.4399042,0.3018956,0.09228577,0.8701413,-9.149261,-29.94864,-20.9308
25.758955479,-1.544282,0.612241999999999,0.623178399999998,0.2921835,0.09332919,0.8734913,-8.771618,-29.57611,-20.92752
25.768842697,-1.730786,-0.2115527,0.5009956,0.2873608,0.100607,0.8710445,-8.771618,-29.57611,-20.92752
25.781201839,-1.730786,-1.211875,1.11191,0.2869114,0.1143144,0.875784,-8.771618,-29.57611,-20.92752
25.791090012,-1.979459,-1.859142,1.539549,0.2927511,0.1196809,0.8772063,-8.771618,-29.57611,-20.92752
25.80097723,-2.165963,-2.74178,1.967189,0.2884076,0.1245086,0.8738104,-8.771618,-29.57611,-20.92752
25.810864449,-2.538972,-2.800622,1.722824,0.2869746,0.1308346,0.8732959,-9.155248,-29.56342,-20.54699
25.820751667,-2.911981,-3.094834,1.845006,0.289892,0.1302988,0.8704164,-9.155248,-29.56342,-20.54699
25.830638885,-2.974149,-3.683259,1.845006,0.2878944,0.1212017,0.8805595,-9.155248,-29.56342,-20.54699
25.840526581,-3.533663,-4.389369,1.783915,0.2898034,0.1084653,0.8758168,-9.155248,-29.56342,-20.54699
25.850414276,-3.782336,-5.213164,1.967189,0.284397,0.09247851,0.8807006,-9.155248,-29.56342,-20.54699
25.860301495,-3.782336,-6.62538299999997,2.272646,0.2828521,0.07562524,0.893288,-8.763838,-29.58446,-21.38149
25.870188713,-3.906672,-7.56686399999999,2.45592,0.2823112,0.0660239,0.9024734,-8.763838,-29.58446,-21.38149
25.880076408,-3.720167,-8.33181600000001,2.700286,0.2885742,0.054862,0.9059034,-8.763838,-29.58446,-21.38149
25.889963627,-3.471495,-8.44950099999998,3.250108,0.2895389,0.05042003,0.9020795,-8.763838,-29.58446,-21.38149
