Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.835894108,-5.83388499999998,-21.92443,-2.736848,-0.2563163,-0.2621525,0.5736075,-4.2731,-25.70818,-26.33163
13.84578228,9.956828,-35.28167,-3.836493,-0.2423555,-0.2768801,0.6001484,-4.2731,-25.70818,-26.33163
13.855669975,24.31767,-47.75628,-3.225579,-0.2019324,-0.2141271,0.6335418,-4.2731,-25.70818,-26.33163
13.865558624,32.64821,-58.5244500000003,-1.94266,-0.134159,-0.1097014,0.6566563,-4.2731,-25.70818,-26.33163
13.875446796,35.32144,-65.3501800000001,-1.392838,-0.06689278,0.003821092,0.7018467,-4.636977,-26.47429,-27.1727
13.885334492,33.39423,-68.1157799999998,0.01226447,-0.02440426,0.08718535,0.7134966,-4.636977,-26.47429,-27.1727
13.895223141,25.37453,-68.2922999999998,2.639194,-0.001866094,0.1310938,0.6892543,-4.636977,-26.47429,-27.1727
13.905111313,14.37077,-69.2337900000003,4.960668,-0.004760883,0.1190461,0.664785,-4.636977,-26.47429,-27.1727
13.914999008,2.247976,-70.7636900000002,5.87703800000003,-0.02669253,0.07785487,0.6428459,-4.636977,-26.47429,-27.1727
13.92488718,-3.720167,-72.5289600000002,4.716302,-0.05995015,0.005365018,0.6431744,-6.117304,-25.65761,-25.07605
13.934775829,-1.855123,-77.7659499999998,2.944651,-0.0665915,-0.02338208,0.7390153,-6.117304,-25.65761,-25.07605
13.944663525,-3.347158,-81.0022799999999,1.417367,-0.02096697,-0.001989796,0.970763,-6.117304,-25.65761,-25.07605
13.954551697,-2.974149,-81.5318599999998,1.539549,0.0205949,-0.05708573,1.167304,-6.117304,-25.65761,-25.07605
13.964439392,6.04023399999999,-82.7087199999997,2.089372,0.0676595,-0.1022776,1.31042,-6.117304,-25.65761,-25.07605
13.974328041,20.33891,-84.2386200000003,0.25663,0.1337463,-0.1057929,1.474988,-7.662507,-25.97418,-22.96492
13.984216213,33.95374,-70.1164199999998,-1.698295,0.220321,-0.09804999,1.613552,-7.662507,-25.97418,-22.96492
