Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.750239372,4.889941,6.23619700000001,-1.391501,1.105177,-0.0449175,0.1082135,-45.06523,-27.32745,34.66728
17.76023674,3.659276,13.41783,1.047329,1.101817,-0.04726883,0.124013,-45.06523,-27.32745,34.66728
17.770234108,2.490145,21.48975,4.034896,1.112236,-0.05657566,0.1464903,-44.31914,-27.31528,35.44684
17.780230999,2.428612,30.0365,6.473727,1.124649,-0.0682377,0.1727933,-44.31914,-27.31528,35.44684
17.790228367,2.305545,38.88,8.72964499999998,1.131989,-0.0693575,0.1938382,-44.31914,-27.31528,35.44684
17.800226688,1.997879,47.78286,10.98556,1.143668,-0.06794871,0.2163105,-44.31914,-27.31528,35.44684
17.810223579,1.813279,57.04182,13.11954,1.156445,-0.07345301,0.2244254,-44.31914,-27.31528,35.44684
17.820220947,1.936346,66.77561,15.0706,1.162168,-0.09200217,0.2560063,-44.69836,-26.94428,34.66803
17.830218315,2.736278,76.92487,17.08264,1.163617,-0.09080864,0.2770608,-44.69836,-26.94428,34.66803
17.840215683,3.16701,86.9554099999999,19.27759,1.163908,-0.07996304,0.2933291,-44.69836,-26.94428,34.66803
17.850213051,1.813279,96.5704999999998,21.35059,1.164614,-0.06521294,0.3105528,-44.69836,-26.94428,34.66803
17.860210419,-0.1557842,105.414,23.24068,1.174604,-0.05244688,0.3033535,-44.69836,-26.94428,34.66803
17.870207787,-2.678647,114.4356,25.25272,1.19714,-0.05876974,0.3071444,-45.43293,-27.34388,33.05199
17.880205631,-4.893843,123.5758,26.89893,1.215891,-0.07092848,0.3186007,-45.43293,-27.34388,33.05199
17.890202999,-5.93990799999998,132.3006,27.93543,1.249869,-0.08959395,0.3295535,-45.43293,-27.34388,33.05199
17.900200367,-6.12450699999998,141.4409,28.91097,1.287205,-0.1052072,0.3481568,-45.43293,-27.34388,33.05199
17.910197735,-4.955376,149.9876,29.70359,1.300036,-0.1136217,0.356751,-47.70123,-25.49657,28.57464
17.920195103,-3.663178,157.466,30.49621,1.304197,-0.101255,0.3715765,-47.70123,-25.49657,28.57464
17.930192471,-3.047846,165.0631,31.53271,1.315398,-0.100346,0.3935712,-47.70123,-25.49657,28.57464
17.940189362,-2.986313,172.4228,33.11795,1.30996,-0.09599661,0.4026725,-47.70123,-25.49657,28.57464
17.950186729,-2.863246,179.0703,34.70319,1.296314,-0.09571885,0.4093963,-47.70123,-25.49657,28.57464
17.960185051,-2.494047,185.3616,35.86163,1.292856,-0.09343644,0.4007874,-49.91558,-25.94447,22.56146
17.970181942,-2.124848,191.3562,36.95911,1.28707,-0.09708831,0.3859625,-49.91558,-25.94447,22.56146
17.98017931,-2.617113,195.9264,37.50784,1.301171,-0.09528609,0.3931161,-49.91558,-25.94447,22.56146
17.990176678,-2.063314,200.5558,37.75173,1.338371,-0.1035735,0.416025,-49.91558,-25.94447,22.56146
18.000174046,-0.586516899999998,205.304,38.48338,1.360438,-0.1108906,0.4183814,-49.91558,-25.94447,22.56146
18.010171413,1.567146,209.1026,38.97114,1.364615,-0.1259337,0.4116779,-52.17017,-24.18452,15.24644
18.020168781,3.35161,212.3076,39.09308,1.367627,-0.1300503,0.4332096,-52.17017,-24.18452,15.24644
18.030166149,6.55133799999999,215.2159,39.15405,1.354279,-0.1194698,0.4499803,-52.17017,-24.18452,15.24644
18.040163994,8.21273500000003,216.9371,38.97114,1.329211,-0.1077375,0.4586354,-52.17017,-24.18452,15.24644
18.050161362,8.21273500000003,217.7087,38.48338,1.293189,-0.1092457,0.4778416,-52.17017,-24.18452,15.24644
18.06015873,6.92053700000001,218.6583,37.99561,1.265658,-0.1217495,0.4984715,-52.93462,-21.60502,6.067637
18.070156097,7.90506900000002,220.0828,37.3859,1.248153,-0.09778073,0.5004102,-52.93462,-21.60502,6.067637
18.080153465,8.88960099999997,221.0918,36.47134,1.216198,-0.08290142,0.4961548,-52.93462,-21.60502,6.067637
18.090150833,8.33580199999998,221.6853,35.37387,1.165835,-0.07366096,0.4995903,-52.93462,-21.60502,6.067637
18.100147724,5.136074,220.2608,34.09348,1.125244,-0.06563263,0.508752,-52.93462,-21.60502,6.067637
18.110145092,2.428612,218.3616,33.11795,1.099684,-0.05405927,0.5011363,-53.30467,-19.79104,-4.007331
18.120143414,0.644147799999998,216.8184,32.32533,1.059798,-0.05846382,0.4777568,-53.30467,-19.79104,-4.007331
18.130140781,-2.001781,213.7914,31.3498,0.9908481,-0.04582587,0.4678237,-53.30467,-19.79104,-4.007331
18.140137672,-5.386109,208.8058,30.74009,0.9365345,-0.03449694,0.4425509,-53.30467,-19.79104,-4.007331
18.15013504,-9.878035,201.8616,30.00844,0.8747212,-0.03880491,0.4239953,-53.30467,-19.79104,-4.007331
18.160132408,-14.49303,193.4336,29.33776,0.8152997,-0.04057012,0.4126135,-51.43948,-17.56948,-12.84214
18.170129776,-16.58516,184.6494,28.54514,0.7665685,-0.0406312,0.4050412,-51.43948,-17.56948,-12.84214
18.180127144,-17.01589,176.2214,27.14281,0.6902561,-0.0260336,0.3597058,-51.43948,-17.56948,-12.84214
18.190124512,-19.78489,164.9444,25.13078,0.5900998,-0.01269036,0.334991,-51.43948,-17.56948,-12.84214
18.200122356,-25.26134,151.056,23.60651,0.5224694,0.007104871,0.307825,-51.43948,-17.56948,-12.84214
18.210119724,-30.43013,138.2359,22.32612,0.4861404,-0.00496938,0.2882698,-47.33709,-14.94416,-20.88828
18.220117092,-30.98393,128.8582,21.47253,0.4471615,-0.03170494,0.265373,-47.33709,-14.94416,-20.88828
18.23011446,-27.415,121.0237,20.25312,0.3784714,-0.03330769,0.2386929,-47.33709,-14.94416,-20.88828
18.240111828,-26.55354,111.7054,18.48497,0.3015002,-0.00867091,0.2297278,-47.33709,-14.94416,-20.88828
18.250109196,-28.76874,99.5381200000001,16.29002,0.2620438,0.01617286,0.2154329,-47.33709,-14.94416,-20.88828
18.260106087,-29.261,86.5399500000002,14.15604,0.2190147,-0.002324686,0.1987625,-42.91123,-13.43358,-26.08802
18.270103455,-27.04581,73.1856599999998,11.16848,0.1785082,-0.02499235,0.1988389,-42.91123,-13.43358,-26.08802
18.280101776,-23.90761,58.8817499999999,7.38828800000001,0.1549826,-0.04327907,0.2161134,-42.91123,-13.43358,-26.08802
18.290099144,-20.21562,43.74689,3.851984,0.1596122,-0.05632996,0.2137158,-42.91123,-13.43358,-26.08802
18.300096035,-15.04683,29.73973,0.620533899999998,0.1656589,-0.06687928,0.2161009,-42.91123,-13.43358,-26.08802
18.310093403,-10.3703,16.74156,-2.306063,0.1628462,-0.07275298,0.217543,-40.29135,-12.67716,-28.91062
18.320090771,-7.90897099999997,4.396273,-4.927805,0.1676657,-0.06964123,0.2285411,-40.29135,-12.67716,-28.91062
