Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.486282349,-21.87701,18.70019,10.98556,1.112612,-0.1028204,0.13693,-32.15518,-21.90088,42.66962
13.496279717,-16.40056,35.08145,10.43683,1.082794,-0.1494818,0.1470441,-30.65201,-22.2629,43.52127
13.506277084,-7.60130500000002,51.58141,8.79061600000001,1.062821,-0.1755875,0.1518714,-30.65201,-22.2629,43.52127
13.516274452,1.751746,67.7846000000001,6.41275599999997,1.061684,-0.1668191,0.1566569,-30.65201,-22.2629,43.52127
13.52627182,9.935666,83.3942699999999,4.034896,1.054396,-0.1158471,0.1667066,-30.65201,-22.2629,43.52127
13.536269188,13.99686,98.4104200000001,1.535095,1.072265,-0.05515842,0.1752741,-30.65201,-22.2629,43.52127
13.546266556,14.05839,113.4266,-0.1111153,1.09774,-0.01039056,0.180004,-31.02926,-21.89571,42.29096
13.556263924,10.9202,127.315,-0.720822899999998,1.130937,0.0120669,0.1727617,-31.02926,-21.89571,42.29096
13.566260815,6.73593800000001,140.1351,-0.3549984,1.162719,0.03204913,0.1636082,-31.02926,-21.89571,42.29096
13.576258183,2.490145,151.8869,0.681504599999997,1.215021,0.048965,0.1467625,-31.02926,-21.89571,42.29096
13.586255551,-1.571049,162.8078,2.510627,1.27651,0.04370908,0.1299065,-31.02926,-21.89571,42.29096
13.596252918,-4.770776,173.3725,4.644604,1.345804,0.03818722,0.1202156,-33.64819,-21.55847,39.49596
13.606250286,-6.678307,183.5217,7.14440499999997,1.416366,0.01718414,0.1153122,-33.64819,-21.55847,39.49596
13.616247654,-5.87837500000002,193.1368,9.70517700000002,1.462343,0.007804394,0.1061416,-33.64819,-21.55847,39.49596
13.626245022,-3.540112,202.4551,12.26595,1.501473,-0.0002440251,0.09793962,-33.64819,-21.55847,39.49596
13.63624239,-0.2788507,211.0612,14.52187,1.510495,-0.01373795,0.09074873,-33.64819,-21.55847,39.49596
13.646239757,2.244012,218.777,16.5339,1.50502,-0.03388376,0.07832047,-37.35506,-22.39525,33.79618
13.656236648,4.643808,225.1871,17.93623,1.480166,-0.06038852,0.05013464,-37.35506,-22.39525,33.79618
13.666234016,8.705001,229.5792,18.30205,1.452716,-0.07884144,0.004722518,-37.35506,-22.39525,33.79618
13.676231384,10.98173,233.6151,17.87526,1.433344,-0.1113577,-0.001935405,-37.35506,-22.39525,33.79618
13.686228752,12.76619,238.0072,16.83875,1.436757,-0.1368522,0.01912256,-37.35506,-22.39525,33.79618
13.69622612,15.16599,242.2806,15.74128,1.439621,-0.1075777,0.02581009,-40.64155,-22.10076,26.54555
