Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
188.75,-1.498983,3.615198,-0.581815799999999,0.9947028,0.07112367,-0.1414405,-17.8587,-38.20855,-8.743494
188.76,-1.375916,4.030665,-0.5208451,0.9926714,0.0754263,-0.1447881,-17.8587,-38.20855,-8.743494
188.77,-1.683583,3.852607,-0.3379328,0.9917023,0.07556946,-0.1270791,-17.8587,-38.20855,-8.743494
188.78,-1.498983,3.496493,-0.3379328,1.000771,0.05970379,-0.128048,-17.8587,-38.20855,-8.743494
188.79,1.02388,3.852607,-0.4598743,1.001087,0.04260997,-0.1380943,-17.8587,-38.20855,-8.743494
188.8,3.669809,3.852607,-0.1550205,0.9870916,0.06125446,-0.1414247,-16.73447,-38.20011,-8.735153
188.81,4.592807,3.555846,-0.276962,0.9866174,0.08652284,-0.1404732,-16.73447,-38.20011,-8.735153
188.82,3.915941,3.555846,-0.276962,0.9937774,0.09441742,-0.1428806,-16.73447,-38.20011,-8.735153
188.83,3.177543,3.377789,-0.033079,0.9997516,0.08776736,-0.1390607,-16.73447,-38.20011,-8.735153
188.84,3.731342,3.852607,0.0888625199999999,0.9995656,0.09737287,-0.1510273,-16.73447,-38.20011,-8.735153
188.85,2.069945,4.14937,0.2717748,0.9922509,0.1233902,-0.1596356,-18.23174,-38.21463,-9.133278
188.86,-0.637517700000003,4.327427,0.210804,0.9953474,0.1142361,-0.1577243,-18.23174,-38.21463,-9.133278
188.87,-1.868182,4.802246,0.7595409,0.9989487,0.1040981,-0.1582066,-18.23174,-38.21463,-9.133278
188.88,-1.806649,5.277065,0.820511700000002,0.9951439,0.09919417,-0.1548486,-18.23174,-38.21463,-9.133278
188.89,-2.298915,5.455122,0.881482400000002,0.9935536,0.1059265,-0.1591548,-17.47609,-38.58609,-8.738686
188.9,-2.421981,5.573826,0.942453199999999,0.990485,0.08799566,-0.1471804,-17.47609,-38.58609,-8.738686
188.91,-1.929716,5.75188400000003,1.125365,0.9902578,0.07452518,-0.1318621,-17.47609,-38.58609,-8.738686
188.92,-0.822117399999998,6.10799800000002,1.552161,0.9914178,0.09057539,-0.1328254,-17.47609,-38.58609,-8.738686
188.93,-1.006717,6.04864499999998,1.49119,0.9878883,0.0967878,-0.1366495,-17.47609,-38.58609,-8.738686
188.94,-1.622049,5.98929300000002,1.247307,0.9919042,0.09056307,-0.1352191,-18.61605,-37.83381,-8.751083
188.95,-1.745116,6.04864499999998,1.308278,0.9891105,0.08374416,-0.1309053,-18.61605,-37.83381,-8.751083
188.96,-1.560516,6.16734999999998,1.186336,0.9983566,0.08441278,-0.1309216,-18.61605,-37.83381,-8.751083
188.97,-1.806649,6.04864499999998,1.125365,0.9949645,0.08336072,-0.1323512,-18.61605,-37.83381,-8.751083
188.98,-1.806649,5.87058800000001,1.247307,0.990066,0.08471738,-0.1328216,-18.61605,-37.83381,-8.751083
188.99,-2.114315,5.929941,1.186336,0.9895818,0.08479993,-0.1227706,-17.48815,-37.83246,-9.581247
189,-2.298915,5.633179,1.003424,0.9912057,0.07603242,-0.1285141,-17.48815,-37.83246,-9.581247
189.01,-1.991249,5.455122,1.064395,0.9863267,0.07646145,-0.1241985,-17.48815,-37.83246,-9.581247
189.02,-0.452918,4.92095,0.881482400000002,0.9927328,0.07272242,-0.1218159,-17.48815,-37.83246,-9.581247
189.03,0.2239475,4.861598,0.637599399999998,0.9843263,0.07942531,-0.1146243,-17.48815,-37.83246,-9.581247
189.04,0.1008811,4.090017,0.3327456,0.9871857,0.08290094,-0.1127159,-17.84914,-38.59217,-9.128469
189.05,0.5316137,3.733903,0.3327456,0.9960724,0.07676366,-0.1122512,-17.84914,-38.59217,-9.128469
189.06,0.593147,3.259084,0.2717748,0.9907518,0.07474986,-0.1084128,-17.84914,-38.59217,-9.128469
189.07,0.347014,2.546855,0.1498333,0.9912018,0.07668059,-0.110807,-17.84914,-38.59217,-9.128469
189.08,0.1008811,1.893979,-0.3379328,0.9878754,0.07228526,-0.1060143,-17.84914,-38.59217,-9.128469
189.09,0.654680200000001,1.241103,-0.8256989,0.9827349,0.06047723,-0.110788,-18.2413,-37.831,-8.748302
189.1,1.516145,0.4101702,-0.947640400000002,0.9822026,0.06291398,-0.1088734,-18.2413,-37.831,-8.748302
189.11,2.500677,-0.005296402,-1.374436,0.9864327,0.07129803,-0.1045758,-18.2413,-37.831,-8.748302
189.12,2.439144,-0.5988201,-1.557348,0.9868642,0.0741915,-0.1079273,-18.2413,-37.831,-8.748302
189.13,2.685277,-1.311049,-1.984143,0.9903554,0.06986506,-0.1103252,-18.2413,-37.831,-8.748302
