Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.624334335,-12.2163,-16.49576,3.54713,-0.0201664,-0.1169172,-0.07070794,-30.26436,-26.60236,-27.40912
11.634331703,-4.032378,-30.08745,1.535095,-0.001059476,-0.1480075,-0.0578117,-30.26436,-26.60236,-27.40912
11.644329071,0.5826145,-44.03526,-1.208589,0.03046571,-0.1129082,-0.007625204,-30.26436,-26.60236,-27.40912
11.654326439,9.19726699999998,-57.6269500000002,-3.525478,0.07890583,-0.1229216,0.01478601,-30.26436,-26.60236,-27.40912
11.664323807,17.13505,-70.4470699999999,-5.232659,0.1183699,-0.09623789,0.03098192,-30.26436,-26.60236,-27.40912
11.674321175,21.25778,-82.1394799999999,-6.14722099999998,0.1629273,-0.02818263,0.09645165,-30.27561,-26.21547,-26.63715
11.684318542,19.28872,-93.7132,-5.232659,0.2102894,-0.03220625,0.1384848,-30.27561,-26.21547,-26.63715
11.694315433,18.05805,-104.2779,-4.257127,0.2626531,-0.01720566,0.1776329,-30.27561,-26.21547,-26.63715
11.704312801,14.18146,-114.7239,-3.586449,0.3444315,0.01525341,0.2554899,-30.27561,-26.21547,-26.63715
11.714310169,8.27426799999999,-126.6537,-2.549946,0.4269039,0.0100411,0.3041622,-30.27561,-26.21547,-26.63715
11.724307537,7.78200200000001,-140.008,-1.940238,0.4949515,-0.004986403,0.373441,-32.52862,-26.58873,-23.81379
11.734304905,5.013007,-154.6087,-1.696355,0.5677111,-0.03743226,0.4408017,-32.52862,-26.58873,-23.81379
11.744302273,12.76619,-166.7166,-0.8427644,0.682502,-0.05136175,0.4760198,-32.52862,-26.58873,-23.81379
11.754299641,9.44340000000003,-175.6788,0.5595631,0.7575453,0.02872249,0.5687121,-32.52862,-26.58873,-23.81379
11.764297008,6.48980500000002,-181.8515,3.059364,0.7956155,0.02567484,0.578218,-32.52862,-26.58873,-23.81379
11.77679348,-2.494047,-187.2525,4.644604,0.8213643,0.004583764,0.6073717,-35.15527,-27.33208,-19.44318
11.784291267,-8.15510499999999,-189.8047,4.705575,0.8580477,-0.1033606,0.733201,-35.15527,-27.33208,-19.44318
11.794288635,8.08966899999999,-188.4989,3.425189,0.9226124,-0.2233233,0.6010324,-35.15527,-27.33208,-19.44318
11.804286003,30.30317,-181.436,2.449656,0.9853579,-0.06028164,0.6520887,-35.15527,-27.33208,-19.44318
11.814283371,19.90405,-177.9342,3.54713,1.033517,0.2035598,0.6514583,-35.15527,-27.33208,-19.44318
11.826779842,-3.847778,-182.8604,5.86401899999998,1.079643,0.2362529,0.5666614,-39.61008,-27.69123,-13.02402
11.834278107,-20.83095,-190.5762,7.69314200000002,1.129223,0.2680695,0.5378522,-39.61008,-27.69123,-13.02402
11.846774578,-59.1046199999999,-204.4053,9.76614900000002,1.29221,0.1788564,0.5792272,-39.61008,-27.69123,-13.02402
11.854272842,-78.4875900000002,-209.2722,9.58323599999998,1.385611,-0.09600768,0.6624075,-39.61008,-27.69123,-13.02402
11.871767998,-18.92342,-206.542,4.888487,1.254258,-0.5494084,0.6259028,-42.26289,-27.65372,-6.270954
11.876766682,12.39699,-201.3784,4.888487,1.221202,-0.424365,0.6082209,-42.26289,-27.65372,-6.270954
11.884264469,33.44136,-191.4072,6.90052199999999,1.204204,-0.06407948,0.6139007,-42.26289,-27.65372,-6.270954
11.896761417,3.043944,-179.7148,9.82711900000002,1.176417,0.375252,0.519078,-42.26289,-27.65372,-6.270954
11.906758785,-33.876,-176.6284,10.43683,1.181728,0.3490221,0.4027815,-42.26289,-27.65372,-6.270954
11.916755676,-61.9966899999998,-178.4684,8.79061600000001,1.18186,0.1846264,0.33343,-43.79346,-27.60395,0.9419575
11.924253941,-67.84234,-182.1482,7.754113,1.222315,0.05335385,0.2917572,-43.79346,-27.60395,0.9419575
11.936750412,-63.9657499999998,-186.4809,5.681107,1.286427,-0.117609,0.2691964,-43.79346,-27.60395,0.9419575
11.94674778,-53.44357,-187.0151,5.376253,1.290774,-0.1932729,0.2754298,-43.79346,-27.60395,0.9419575
11.956745148,-44.64431,-186.1248,5.742078,1.274919,-0.2565261,0.3008382,-43.79346,-27.60395,0.9419575
11.966742516,-35.78353,-184.1662,7.022464,1.31266,-0.3190353,0.3448175,-44.17872,-28.3168,6.941762
11.976739883,-10.49337,-178.6464,6.83955100000002,1.348325,-0.2978597,0.35145,-44.17872,-28.3168,6.941762
11.986737251,11.22786,-170.2184,4.522663,1.332688,-0.1396815,0.3590937,-44.17872,-28.3168,6.941762
11.994235039,16.58125,-164.4019,3.730042,1.325212,0.02492694,0.3614572,-44.17872,-28.3168,6.941762
12.00673151,6.24367199999998,-158.0511,3.364218,1.308156,0.206183,0.3451687,-44.17872,-28.3168,6.941762
12.016728878,-9.63190200000001,-153.7184,2.449656,1.309308,0.144285,0.3226895,-43.07089,-28.64186,12.49916
12.026726246,-12.0317,-146.8336,0.01082622,1.297722,-0.01809581,0.2863798,-43.07089,-28.64186,12.49916
12.036723614,-3.786245,-138.1088,-1.696355,1.275651,-0.08862589,0.2735149,-43.07089,-28.64186,12.49916
12.046720982,2.120945,-129.562,-1.757326,1.252389,-0.09615184,0.2448428,-43.07089,-28.64186,12.49916
12.056718349,4.397675,-122.4397,-1.147618,1.189826,-0.08709636,0.2013991,-43.07089,-28.64186,12.49916
12.066715717,5.566806,-117.3948,-0.1111153,1.147637,-0.09898029,0.1622325,-41.96165,-28.96965,17.73405
12.076713085,5.87447300000001,-112.9434,1.047329,1.138518,-0.1072425,0.1287502,-41.96165,-28.96965,17.73405
12.086710453,7.47433699999998,-108.9074,1.535095,1.148666,-0.1290586,0.1124665,-41.96165,-28.96965,17.73405
12.096707344,9.68953300000002,-104.456,1.413154,1.156999,-0.1318842,0.1043169,-41.96165,-28.96965,17.73405
12.106704712,11.474,-100.0639,1.291212,1.176288,-0.09499604,0.1109739,-41.96165,-28.96965,17.73405
12.11670208,11.16633,-95.5531199999998,1.230241,1.177995,-0.05606068,0.1138323,-40.46445,-29.68534,21.74825
12.126699448,8.397335,-92.2887300000002,1.596066,1.159232,-0.0171052,0.1100264,-40.46445,-29.68534,21.74825
12.136696816,3.597743,-88.7275900000003,2.571598,1.152163,-0.004216553,0.09998531,-40.46445,-29.68534,21.74825
12.146694183,-0.894183000000003,-85.1071000000002,3.181306,1.147847,-0.008351656,0.08228659,-40.46445,-29.68534,21.74825
12.156691551,-5.201509,-81.0711400000003,4.095867,1.139066,-0.008131299,0.07225174,-40.46445,-29.68534,21.74825
12.166688919,-9.07810300000001,-77.0351800000003,4.583633,1.127158,-0.02309396,0.05600476,-39.35432,-29.64966,24.98161
12.176686287,-11.72403,-73.0585699999998,5.010429,1.113741,-0.03570059,0.03497405,-39.35432,-29.64966,24.98161
12.186683655,-13.1393,-68.4884400000003,5.13237,1.103173,-0.04438094,0.01202306,-39.35432,-29.64966,24.98161
12.196680546,-14.18536,-64.2150700000003,5.254312,1.094527,-0.05151723,-0.005667349,-39.35432,-29.64966,24.98161
12.206677914,-14.67763,-59.5262299999998,5.315282,1.078928,-0.05143598,-0.01616885,-39.35432,-29.64966,24.98161
12.216675282,-15.53909,-55.0748,5.376253,1.069065,-0.0453794,-0.02333185,-37.47562,-30.37561,27.45058
12.226672649,-15.90829,-50.92013,5.437224,1.084517,-0.06414865,-0.03675409,-37.47562,-30.37561,27.45058
12.236670017,-13.5085,-46.76547,5.193341,1.114213,-0.08898443,-0.05354962,-37.47562,-30.37561,27.45058
12.246667385,-8.46277000000003,-41.42376,4.034896,1.098876,-0.0773933,-0.08128328,-37.47562,-30.37561,27.45058
12.256664753,-6.92443900000002,-37.68456,4.888487,1.104248,-0.0519919,-0.07842772,-37.47562,-30.37561,27.45058
12.266662121,-8.955036,-34.00471,6.10790299999999,1.121965,-0.03577248,-0.09664869,-36.41723,-30.3611,28.23246
12.276659489,-10.12417,-30.38422,5.498195,1.121946,-0.08686689,-0.1042927,-36.41723,-30.3611,28.23246
12.28665638,-6.06297400000002,-26.05149,4.095867,1.103909,-0.1125536,-0.1109547,-36.41723,-30.3611,28.23246
12.296653748,-2.370981,-22.84646,3.973926,1.109489,-0.09835108,-0.1109681,-36.41723,-30.3611,28.23246
12.306651115,-0.2173175,-19.40403,4.095867,1.094404,-0.09973504,-0.1233844,-36.42062,-30.35456,29.00647
12.316648483,0.890280700000001,-15.72418,4.034896,1.069129,-0.07748725,-0.1333962,-36.42062,-30.35456,29.00647
12.326645851,-0.894183000000003,-12.10369,4.156838,1.02335,-0.05324119,-0.1462442,-36.42062,-30.35456,29.00647
12.336643219,-3.663178,-9.25477200000002,3.791013,0.9811194,-0.03615273,-0.1523965,-36.42062,-30.35456,29.00647
12.346640587,-5.816842,-6.82132499999999,2.815481,0.9631632,-0.04058803,-0.1734214,-36.42062,-30.35456,29.00647
12.356637955,-6.49370699999998,-4.44723,0.925387699999998,0.9410828,-0.05857957,-0.1800783,-36.42428,-30.34748,29.84497
12.366635323,-6.12450699999998,-2.013783,-0.4769399,0.9358472,-0.06564411,-0.1972961,-36.42428,-30.34748,29.84497
12.376632214,-6.678307,0.716426,-0.964705900000002,0.9450551,-0.06308072,-0.2025771,-36.42428,-30.34748,29.84497
12.386629582,-8.70890300000002,2.971816,-1.025677,0.9386559,-0.05989768,-0.2126169,-36.42428,-30.34748,29.84497
12.396626949,-9.63190200000001,4.218216,-0.903735200000002,0.9407771,-0.0691062,-0.2145325,-36.42428,-30.34748,29.84497
12.406624317,-8.58583600000001,4.871092,-1.025677,0.9385207,-0.0789749,-0.2260119,-36.04784,-30.34793,29.46075
12.416621685,-6.001441,5.93943499999998,-1.086647,0.9501831,-0.07731298,-0.2289041,-36.04784,-30.34793,29.46075
12.426619053,-4.83231,7.24518699999998,-1.025677,0.9643209,-0.0517954,-0.2322854,-36.04784,-30.34793,29.46075
12.436616421,-6.18604100000003,8.19482400000001,-0.3549984,0.9766377,-0.03312575,-0.2366188,-36.04784,-30.34793,29.46075
12.446613789,-8.093571,9.02575799999998,0.31568,0.9791846,-0.0388497,-0.2304003,-36.04784,-30.34793,29.46075
12.456611157,-7.35517199999998,9.14446299999999,1.169271,0.97322,-0.05908854,-0.2519206,-36.04587,-30.35175,29.00925
12.466608048,-5.139976,9.79733799999999,1.657037,0.9736384,-0.08147306,-0.2562228,-36.04587,-30.35175,29.00925
12.476605415,-2.678647,10.92503,2.266744,0.9903818,-0.06523778,-0.2706134,-36.04587,-30.35175,29.00925
12.486602783,-4.586177,12.17143,2.876452,0.9877158,-0.02680018,-0.2596114,-36.04587,-30.35175,29.00925
12.496600151,-9.01656900000002,12.23079,3.48616,0.9742403,-0.03583969,-0.262457,-36.04587,-30.35175,29.00925
12.506597519,-10.49337,12.17143,3.242276,0.9634491,-0.08427954,-0.2753473,-36.35815,-30.35409,29.00693
12.516594887,-8.955036,12.17143,2.815481,0.9548401,-0.1190041,-0.2810663,-36.35815,-30.35409,29.00693
12.526592255,-5.816842,11.51856,2.327715,0.9544997,-0.126764,-0.2786708,-36.35815,-30.35409,29.00693
12.536589623,-2.92478,11.51856,2.205774,0.9571434,-0.1115291,-0.2657578,-36.35815,-30.35409,29.00693
12.54658699,-1.386449,11.04374,2.083832,0.9494006,-0.08829987,-0.2595288,-36.35815,-30.35409,29.00693
12.556584835,-1.078783,10.45021,1.96189,0.9466022,-0.0688517,-0.2523502,-36.4032,-31.11854,28.62352
