Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.210624218,-2.617113,8.31352900000002,2.937423,1.119424,-0.1572886,0.01154522,-34.08414,-31.4821,28.5782
14.220620632,-2.063314,15.79193,5.13237,1.153863,-0.1480665,0.04211168,-34.08414,-31.4821,28.5782
14.230618,-3.047846,23.38903,7.44925899999998,1.182041,-0.1428775,0.07029721,-33.33018,-31.85029,29.35979
14.240614891,-4.216978,31.34225,9.88808900000002,1.170755,-0.1644117,0.07797965,-33.33018,-31.85029,29.35979
14.250611782,-1.386449,39.59223,12.38789,1.147219,-0.1830232,0.05983958,-33.33018,-31.85029,29.35979
14.260608673,2.120945,46.71451,14.4609,1.12723,-0.182398,0.0651386,-33.33018,-31.85029,29.35979
14.270606041,4.397675,55.14255,16.41196,1.129249,-0.1591592,0.1043723,-33.33018,-31.85029,29.35979
14.280602455,4.459208,64.1047499999997,17.69235,1.118054,-0.13345,0.1235283,-33.69787,-31.86673,27.7445
14.290599823,2.982411,72.8295500000002,18.66788,1.110926,-0.1434413,0.109186,-33.69787,-31.86673,27.7445
14.300597191,2.613211,80.78277,19.82632,1.117693,-0.1667424,0.09721579,-33.69787,-31.86673,27.7445
14.310594082,4.274609,87.1928300000002,21.35059,1.12759,-0.1748123,0.09672204,-33.69787,-31.86673,27.7445
14.320590973,4.889941,93.9589900000002,22.75292,1.161626,-0.1706768,0.1033617,-33.69787,-31.86673,27.7445
14.330587864,5.320673,100.4878,23.91136,1.164637,-0.1755425,0.09617907,-35.57069,-31.51732,25.72906
14.340585232,4.582274,106.3636,25.13078,1.169913,-0.1710648,0.09616872,-35.57069,-31.51732,25.72906
14.350581646,3.043944,112.5363,26.59408,1.190109,-0.1821486,0.115758,-35.57069,-31.51732,25.72906
14.360579014,3.228544,118.7089,27.87446,1.20721,-0.1840518,0.1363074,-35.57069,-31.51732,25.72906
14.370575905,3.843876,124.7035,28.97194,1.233879,-0.1765287,0.1573163,-35.57069,-31.51732,25.72906
14.380573273,1.997879,130.5201,30.06941,1.252723,-0.1678603,0.1611099,-37.46204,-30.03666,22.54653
14.390569687,-0.586516899999998,135.9211,30.49621,1.270615,-0.1864498,0.1620406,-37.46204,-30.03666,22.54653
14.400567055,-2.494047,141.1441,31.22786,1.301563,-0.1992692,0.181133,-37.46204,-30.03666,22.54653
14.410563469,-2.063314,146.1297,31.59368,1.320176,-0.2034144,0.2189092,-37.46204,-30.03666,22.54653
14.420560837,-1.078783,151.1747,32.20339,1.327094,-0.2079091,0.2437842,-37.46204,-30.03666,22.54653
14.430558205,2.305545,156.5757,33.11795,1.320465,-0.1918636,0.259106,-39.73231,-28.18553,18.52069
14.440555096,3.474676,161.9175,33.54474,1.287091,-0.1795253,0.2457609,-39.73231,-28.18553,18.52069
14.450552464,2.120945,166.547,33.72766,1.275254,-0.1976601,0.2544006,-39.73231,-28.18553,18.52069
14.460548878,3.53621,170.761,34.03251,1.312956,-0.2334179,0.2481226,-39.73231,-28.18553,18.52069
14.470546246,5.197607,174.4408,35.12998,1.354055,-0.268005,0.2561956,-39.73231,-28.18553,18.52069
14.48054266,9.44340000000003,178.2394,35.25193,1.372246,-0.276261,0.2705233,-41.93138,-26.35083,12.4958
14.490540028,11.16633,180.9696,35.19096,1.389479,-0.2848113,0.3078244,-41.93138,-26.35083,12.4958
14.500536919,14.55066,185.4803,35.73969,1.396153,-0.2753359,0.3728967,-41.93138,-26.35083,12.4958
14.510534287,17.25812,191.5343,35.80066,1.358349,-0.2334988,0.4064522,-41.93138,-26.35083,12.4958
14.520530701,15.16599,196.2825,34.8861,1.308705,-0.2098887,0.4385972,-41.93138,-26.35083,12.4958
14.530528069,11.90473,200.4371,34.21542,1.285793,-0.2085721,0.4726157,-44.92606,-24.91891,4.5319
