Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
126.950445175,5.573338,-0.5225234,2.914952,0.9752111,-0.1388149,-0.1915233,-44.51682,-6.452099,39.5563
126.960358143,5.573338,-0.4060195,3.099041,0.9681452,-0.1248689,-0.1966468,-44.51682,-6.452099,39.5563
126.970271587,4.830081,0.0599961999999999,2.976315,0.9636016,-0.1132911,-0.1970078,-44.51682,-6.452099,39.5563
126.980185032,4.582329,0.642515800000001,2.976315,0.9641514,-0.1117898,-0.1893204,-45.26533,-6.452158,39.5602
126.990098953,4.458453,0.9920276,2.976315,0.9623367,-0.119058,-0.1840703,-45.26533,-6.452158,39.5602
127.000011921,4.520391,1.108532,3.344493,0.9595558,-0.1326737,-0.1850956,-45.26533,-6.452158,39.5602
127.009925365,5.139772,0.875523700000001,3.467218,0.9586801,-0.1482426,-0.1933539,-45.26533,-6.452158,39.5602
127.022316933,6.502409,-0.1730116,3.467218,0.9596547,-0.1545735,-0.2010876,-45.26533,-6.452158,39.5602
127.032230854,7.67923199999999,-0.4642715,3.344493,0.9566997,-0.1560847,-0.2049116,-44.52812,-5.704738,39.10428
127.042143822,8.85605400000001,-0.4060195,3.160404,0.960434,-0.1532012,-0.2188515,-44.52812,-5.704738,39.10428
127.052057266,10.21869,-0.4642715,2.914952,0.9521117,-0.1577007,-0.2250466,-44.52812,-5.704738,39.10428
127.061970711,11.33358,-0.2312636,2.301323,0.9524528,-0.1572838,-0.2389716,-44.52812,-5.704738,39.10428
127.071883678,12.5104,0.2347521,2.117234,0.9568102,-0.1528609,-0.2380221,-44.52812,-5.704738,39.10428
127.081797123,13.43947,0.817271699999998,1.626331,0.9571251,-0.1407503,-0.2408253,-44.89592,-6.077533,39.5571
127.091710567,14.3066,1.341539,1.564968,0.9592007,-0.1421268,-0.2307703,-44.89592,-6.077533,39.5571
