Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
50.39,11.33358,-2.037075,-0.5213705,0.9517113,-0.08157198,-0.2226151,-37.20013,-22.94998,20.23195
50.4,11.58133,-2.386586,-0.582733500000001,0.9522585,-0.08934043,-0.226033,-37.20013,-22.94998,20.23195
50.41,11.82908,-2.736098,-0.3986447,0.9488142,-0.09329695,-0.2327497,-37.20013,-22.94998,20.23195
50.42,12.26265,-3.260366,-0.3372818,0.9483365,-0.09671186,-0.235649,-37.20013,-22.94998,20.23195
50.43,12.63428,-3.37687,-0.3372818,0.9517723,-0.09080853,-0.2274788,-37.20983,-22.20079,20.22964
50.44,12.82009,-3.202114,-0.1531931,0.9448499,-0.09093431,-0.2350981,-37.20983,-22.20079,20.22964
50.45,12.69621,-3.08561,-0.03046724,0.9395378,-0.09194268,-0.229774,-37.20983,-22.20079,20.22964
50.46,12.88203,-2.969106,0.2763473,0.9518752,-0.09612087,-0.2236739,-37.20983,-22.20079,20.22964
50.47,13.19172,-2.852602,0.3990731,0.9728439,-0.0993017,-0.233012,-37.20983,-22.20079,20.22964
50.48,13.12978,-2.037075,-0.214556,0.9990523,-0.07809712,-0.2273512,-37.58595,-21.82282,21.06561
50.49,12.20071,-1.279799,-0.644096300000003,1.003529,-0.04020216,-0.2232989,-37.58595,-21.82282,21.06561
50.5,10.03288,-0.1147597,-0.644096300000003,0.9935321,-0.02238883,-0.2235679,-37.58595,-21.82282,21.06561
50.51,7.617294,0.409508,-0.889547900000002,0.9665413,-0.01448389,-0.2237458,-37.58595,-21.82282,21.06561
50.52,4.830081,0.1765001,-1.257725,0.9524738,-0.01557862,-0.2140198,-37.58595,-21.82282,21.06561
50.53,2.910002,-0.639027300000002,-1.441814,0.9575548,-0.02956415,-0.2117592,-37.21494,-21.44637,21.51222
50.54,1.980931,-1.105043,-1.380451,0.9643505,-0.05852437,-0.2028919,-37.21494,-21.44637,21.51222
50.55,1.980931,-0.8720351,-1.073637,0.9685898,-0.07196336,-0.1866953,-37.21494,-21.44637,21.51222
50.56,1.857055,-0.4642715,-0.889547900000002,0.9668976,-0.09526536,-0.1882754,-37.21494,-21.44637,21.51222
50.57,2.166745,-0.2895156,-0.3986447,0.9689893,-0.1054141,-0.1869218,-37.21494,-21.44637,21.51222
