Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
22.462264061,-3.779308,3.613366,1.933146,0.3450268,-0.2082592,0.9297299,-18.97663,-18.90591,-14.37599
22.472174645,-3.407679,3.14735,1.933146,0.3366965,-0.2030068,0.9341633,-18.97663,-18.90591,-14.37599
22.482085228,-2.602484,2.739586,2.853589,0.3418523,-0.2103724,0.9038166,-18.97663,-18.90591,-14.37599
22.491995812,0.1227897,4.312389,4.019485,0.3557743,-0.2020363,0.8883783,-18.97663,-18.90591,-14.37599
22.501906395,3.653259,5.94344499999998,3.344493,0.3287611,-0.1658503,0.9191191,-17.86217,-18.15507,-13.99867
22.511816979,4.520391,6.584216,1.319517,0.3065612,-0.1493945,0.9669698,-17.86217,-18.15507,-13.99867
22.521727562,2.042869,5.82694100000001,0.0922585699999997,0.292931,-0.17051,0.948229,-17.86217,-18.15507,-13.99867
22.531638146,0.3705419,2.914342,0.705887599999999,0.2907767,-0.1823451,0.9150391,-17.86217,-18.15507,-13.99867
22.541548729,2.228683,0.5842639,2.301323,0.3169987,-0.1845481,0.8946153,-17.86217,-18.15507,-13.99867
22.551459313,7.369542,0.409508,3.344493,0.3243796,-0.1732125,0.9123884,-18.24266,-17.78207,-14.38335
22.561370373,9.47543500000001,0.642515800000001,3.221767,0.3210559,-0.1600332,0.9374751,-18.24266,-17.78207,-14.38335
22.571280956,5.75915199999997,0.700767799999999,2.914952,0.3242352,-0.1686491,0.951313,-18.24266,-17.78207,-14.38335
22.58119154,3.529382,0.875523700000001,3.160404,0.3296261,-0.1812583,0.9377347,-18.24266,-17.78207,-14.38335
22.591102123,7.12178899999997,2.098815,3.344493,0.3418072,-0.1830788,0.9313679,-18.24266,-17.78207,-14.38335
22.601012707,11.2097,4.487145,2.976315,0.3419064,-0.1703442,0.9559398,-18.24128,-17.7805,-13.99788
22.61092329,11.2097,5.593933,2.23996,0.3146132,-0.1599093,0.9769086,-18.24128,-17.7805,-13.99788
22.620834827,7.30760400000002,4.487145,1.503605,0.2925983,-0.1567762,0.9795338,-18.24128,-17.7805,-13.99788
22.630745411,4.086825,3.322106,0.951339199999998,0.3052029,-0.1737466,0.9490542,-18.24128,-17.7805,-13.99788
22.640655994,6.06884200000002,5.244421,0.951339199999998,0.3249664,-0.2046145,0.9328207,-18.24128,-17.7805,-13.99788
22.650566578,7.98892199999997,7.224988,1.074065,0.3149998,-0.2104398,0.9554414,-17.48791,-18.15504,-14.00062
22.660477161,6.997913,7.574499,1.196791,0.3073142,-0.2153442,0.9631623,-17.48791,-18.15504,-14.00062
22.670387745,6.93597599999999,7.45799500000003,1.871783,0.3132358,-0.2079255,0.9770816,-17.48791,-18.15504,-14.00062
22.682775974,10.40451,7.92401099999998,3.467218,0.3153653,-0.1885467,0.9690283,-17.48791,-18.15504,-14.00062
22.692686558,12.13877,8.44827800000003,3.405856,0.3103453,-0.173066,0.9744596,-18.23643,-18.1551,-13.99673
22.702597141,11.89102,7.224988,3.344493,0.2850063,-0.1599289,0.9507735,-18.23643,-18.1551,-13.99673
22.712507725,11.95296,5.244421,2.792227,0.2851173,-0.1596317,0.9142824,-18.23643,-18.1551,-13.99673
22.722418308,11.95296,6.05994799999998,1.81042,0.2899524,-0.1356964,0.9369647,-18.23643,-18.1551,-13.99673
22.732328892,10.15675,7.74925499999999,0.889976299999999,0.2879474,-0.116722,0.9543954,-18.23643,-18.1551,-13.99673
22.742239475,5.263648,9.14730199999998,0.0922585699999997,0.3024891,-0.09953135,0.9620579,-18.24564,-17.78547,-15.21853
22.752150059,-1.859228,9.90457699999998,-0.644096300000003,0.3125307,-0.1046382,0.9816174,-18.24564,-17.78547,-15.21853
22.762060642,-6.38070599999998,9.90457699999998,-1.319088,0.3243487,-0.1222574,0.921371,-18.24564,-17.78547,-15.21853
22.771971226,-5.327759,10.19584,-1.319088,0.334419,-0.1222318,0.9020717,-18.24564,-17.78547,-15.21853
22.781882286,-4.212874,12.23466,-2.300895,0.3210726,-0.1163703,0.9425675,-18.24564,-17.78547,-15.21853
22.791793346,-7.43365200000003,13.45795,-3.834968,0.326142,-0.1393818,0.9807798,-17.4909,-18.15843,-14.8358
22.80170393,-9.78729900000003,14.44823,-4.325871,0.3349011,-0.1780697,0.9790007,-17.4909,-18.15843,-14.8358
22.811614513,-9.78729900000003,17.41908,-2.853161,0.3518507,-0.2098876,0.9733502,-17.4909,-18.15843,-14.8358
22.821525097,-11.83125,21.14721,-1.012274,0.3457218,-0.2218044,0.9339545,-17.4909,-18.15843,-14.8358
22.83143568,-10.03505,20.27343,0.03089567,0.302624,-0.2467695,0.8981749,-17.4909,-18.15843,-14.8358
22.841346741,-1.301785,18.29286,1.319517,0.2857955,-0.2482988,0.9242489,-17.1307,-17.41418,-16.0607
22.851257324,7.617294,20.09867,2.669501,0.3187416,-0.2558363,0.9810328,-17.1307,-17.41418,-16.0607
22.861167908,10.65226,25.3996,4.326299,0.3258802,-0.2399883,1.028128,-17.1307,-17.41418,-16.0607
