Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.411130428,2.910002,2.098815,-0.828185100000001,0.3746181,-0.1609393,0.9144063,-27.6654,-15.95006,-8.879152
13.421042919,3.28163,1.632799,-0.582733500000001,0.3735456,-0.1600252,0.9062597,-28.41392,-15.95012,-8.875259
13.430954933,3.095816,2.215319,-0.582733500000001,0.3792748,-0.1546578,0.89904,-28.41392,-15.95012,-8.875259
13.440867424,2.600312,3.846374,-0.3372818,0.3852673,-0.146475,0.8731107,-28.41392,-15.95012,-8.875259
13.450779438,2.910002,5.244421,0.2763473,0.3893727,-0.1221832,0.8727543,-28.41392,-15.95012,-8.875259
13.460691452,3.219692,6.351208,0.767250500000003,0.3766497,-0.09942081,0.898472,-28.41392,-15.95012,-8.875259
13.470603943,0.3705419,5.710437,0.767250500000003,0.3729621,-0.08227997,0.940394,-27.28976,-15.94846,-8.49563
13.480515957,-2.230856,4.720153,1.196791,0.3720137,-0.07154514,0.9558394,-27.28976,-15.94846,-8.49563
13.490427971,-2.478608,3.962878,1.933146,0.3606447,-0.06492064,0.9516673,-27.28976,-15.94846,-8.49563
13.502818585,-2.664423,3.205602,2.301323,0.3500571,-0.05009347,0.9379394,-27.28976,-15.94846,-8.49563
13.512730599,-2.602484,2.914342,2.178597,0.3441084,-0.05606284,0.9230698,-27.28976,-15.94846,-8.49563
13.522642613,-1.859228,3.496862,1.749057,0.3420818,-0.06539247,0.9052605,-27.6767,-15.2027,-9.331172
13.532555103,-0.992095199999997,3.380358,1.319517,0.3358664,-0.07759379,0.9047565,-27.6767,-15.2027,-9.331172
13.542467117,-0.4965908,2.215319,0.889976299999999,0.3243594,-0.08591476,0.9172916,-27.6767,-15.2027,-9.331172
13.552379608,0.2466658,0.933775699999999,0.6445247,0.3224605,-0.09273889,0.9148629,-27.6767,-15.2027,-9.331172
13.562291622,1.795117,0.46776,-0.214556,0.321566,-0.08734187,0.9293119,-27.6767,-15.2027,-9.331172
13.572203636,2.042869,-0.05650773,-1.196362,0.3160273,-0.07432181,0.9289697,-27.28305,-16.70105,-9.328503
13.582116127,0.494418,-0.988539100000001,-2.116806,0.3143292,-0.07104585,0.9102811,-27.28305,-16.70105,-9.328503
13.592028141,0.1847278,-2.79435,-2.116806,0.3110706,-0.08271065,0.9126343,-27.28305,-16.70105,-9.328503
13.601940155,0.0608516599999998,-3.959389,-1.687266,0.3156898,-0.09278569,0.9221275,-27.28305,-16.70105,-9.328503
13.611852646,-0.1869005,-3.435122,-1.257725,0.3272431,-0.09297285,0.9517894,-27.28305,-16.70105,-9.328503
13.62176466,-0.8682191,-2.270082,-1.012274,0.3253102,-0.08664387,0.9614525,-26.53777,-16.32456,-8.883837
13.631676674,-0.9301572,-1.804067,-1.012274,0.3322888,-0.08502549,0.9762837,-26.53777,-16.32456,-8.883837
13.641589641,1.05186,-0.580775400000001,-0.828185100000001,0.3456903,-0.09890269,0.9794284,-26.53777,-16.32456,-8.883837
