Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.592238426,-4.708378,-2.619594,-0.214556,0.07920356,-0.2442016,0.7149172,-13.79414,-21.94043,-23.7734
14.602149486,2.538374,-5.706948,-1.073637,0.03880345,-0.3131464,0.6999467,-12.67782,-21.56758,-24.23011
14.612061024,1.918993,-12.87194,-1.196362,0.01266083,-0.3328533,0.702458,-12.67782,-21.56758,-24.23011
14.621973038,-5.513573,-21.90099,-1.748629,0.04458597,-0.283361,0.7265003,-12.67782,-21.56758,-24.23011
14.631884098,-6.69039600000003,-26.79416,-3.650879,0.1140347,-0.2085851,0.7676498,-12.67782,-21.56758,-24.23011
14.641796112,-5.265821,-28.77472,-4.694048,0.1361538,-0.1275218,0.8260844,-12.67782,-21.56758,-24.23011
14.651707649,-11.5835,-31.97858,-2.975887,0.1420147,-0.06087081,0.8557639,-12.67782,-21.56758,-24.23011
14.661618709,-19.51157,-36.40573,-1.99408,0.1508642,0.0102358,0.896009,-12.67782,-21.56758,-24.23011
14.671530723,-22.17491,-36.87175,-3.405427,0.1807481,-0.007161381,0.9287476,-12.67782,-21.56758,-24.23011
14.681442261,-29.11197,-36.8135,-2.975887,0.2528114,-0.118342,1.007047,-12.67782,-21.56758,-24.23011
14.691354275,-36.54454,-37.62902,-1.625903,0.3623233,-0.2408634,1.052273,-12.67782,-21.56758,-24.23011
14.701265335,-38.71237,-37.10476,0.951339199999998,0.4692469,-0.2681372,1.052063,-14.15732,-22.68808,-23.38368
14.711177349,-24.77631,-31.68732,-0.5213705,0.5077665,-0.276242,1.079502,-14.15732,-22.68808,-23.38368
14.721088409,-10.46862,-24.69709,-1.012274,0.4280932,-0.2728356,1.086503,-14.15732,-22.68808,-23.38368
14.730999947,-12.94614,-30.28927,0.2149844,0.3038635,-0.2305147,1.037998,-14.15732,-22.68808,-23.38368
14.740911961,-10.03505,-30.11452,-1.625903,0.3049133,-0.2477777,1.072444,-14.15732,-22.68808,-23.38368
14.750823021,-5.699387,-24.28932,-3.282701,0.3084971,-0.2998551,0.9318582,-14.91877,-21.56253,-22.93354
14.760735035,7.12178899999997,-20.85246,-4.509959,0.285117,-0.3125633,0.6875893,-14.91877,-21.56253,-22.93354
14.770646572,17.27963,-27.14367,-6.22812100000001,0.2023169,-0.3853917,0.5865564,-14.91877,-21.56253,-22.93354
14.780557632,7.30760400000002,-41.12414,-4.816774,0.2248691,-0.3555445,0.8655187,-14.91877,-21.56253,-22.93354
14.790469646,-7.309776,-42.9882,-5.92130599999998,0.4269495,-0.2873111,1.196374,-14.91877,-21.56253,-22.93354
14.800381184,-16.7863,-33.08537,-4.509959,0.630857,-0.1964505,1.3982,-15.65461,-22.30838,-22.09216
14.812770843,-7.86721900000001,-15.02726,-2.239532,0.7682645,-0.3237451,1.297169,-15.65461,-22.30838,-22.09216
14.822682381,7.92698399999999,0.5260119,-3.89633,0.7215959,-0.3564133,0.9996848,-15.65461,-22.30838,-22.09216
14.832593441,33.0119,1.225035,-7.63946799999999,0.467025,-0.2837059,0.579024,-15.65461,-22.30838,-22.09216
14.842505455,48.68222,-7.33800299999997,-10.09398,0.1928779,-0.137328,0.4812211,-15.65461,-22.30838,-22.09216
14.852416992,20.56235,-22.0175,-9.97125800000001,0.08432526,-0.08038297,0.690993,-17.14865,-22.3051,-21.24919
14.862329006,-25.20987,-28.65822,-9.05081500000002,0.2891649,-0.115849,1.026414,-17.14865,-22.3051,-21.24919
14.872240066,-42.98609,-23.7068,-10.21671,0.5150226,-0.1820533,1.086784,-17.14865,-22.3051,-21.24919
14.882151604,-22.85623,-17.88161,-6.10539499999999,0.6177956,-0.2416956,1.025417,-17.14865,-22.3051,-21.24919
14.892063141,11.02389,-7.68751500000001,-2.607709,0.6021641,-0.2096973,0.969116,-17.14865,-22.3051,-21.24919
14.901974678,22.04886,0.351256,-4.019056,0.4854812,-0.1615688,0.9004126,-17.51321,-23.05432,-21.24494
14.911886692,8.67023999999999,-2.852602,-8.62127400000002,0.353906,-0.1478866,0.769677,-17.51321,-23.05432,-21.24494
14.921797752,-5.699387,-10.77487,-11.25988,0.3505277,-0.1771746,0.7397434,-17.51321,-23.05432,-21.24494
14.931709766,-16.72436,-10.60011,-9.66444299999998,0.4067182,-0.1333161,0.8345872,-17.51321,-23.05432,-21.24494
14.941621304,-15.23785,-5.240932,-8.55991099999998,0.4240554,-0.1025021,0.8447155,-17.51321,-23.05432,-21.24494
14.951532364,-3.407679,-1.978823,-5.184951,0.4425595,-0.1074266,0.879083,-17.89071,-22.67793,-20.79443
14.961444378,1.733179,-5.415688,-1.441814,0.4378247,-0.177403,0.8599344,-17.89071,-22.67793,-20.79443
14.971355915,2.042869,-8.91080699999998,1.503605,0.5130284,-0.3240491,0.9168412,-17.89071,-22.67793,-20.79443
14.981267929,-3.221865,-8.03702600000001,1.196791,0.5449373,-0.3172351,1.03231,-17.89071,-22.67793,-20.79443
14.991178989,-9.60148500000001,-7.27975100000002,-3.03725,0.5308976,-0.3080802,0.9614372,-17.89071,-22.67793,-20.79443
15.001090527,-6.13295399999998,-6.34771999999997,-4.694048,0.4922091,-0.3261653,0.8392341,-17.50377,-23.42369,-19.95889
15.011002064,-5.265821,-6.52247499999999,-4.509959,0.4695996,-0.3140734,0.7943888,-17.50377,-23.42369,-19.95889
15.020913601,-5.389697,-5.998208,-5.123589,0.4379414,-0.2912404,0.7857107,-17.50377,-23.42369,-19.95889
15.030825615,-4.088998,-6.58072700000001,-5.430403,0.4039812,-0.255193,0.8064316,-17.50377,-23.42369,-19.95889
15.040736675,-6.87620999999998,-9.31857,-5.79858000000001,0.3771744,-0.2032898,0.8756879,-17.50377,-23.42369,-19.95889
15.050648689,-11.95513,-9.72633399999999,-4.080419,0.3974594,-0.1877931,0.9168972,-19.00864,-23.05261,-20.78744
15.060560226,-9.97311299999999,-9.085562,-4.141782,0.4182608,-0.2381297,0.8837187,-19.00864,-23.05261,-20.78744
