Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
14.074219704,2.414498,1.516295,0.3990731,0.4254814,-0.1712855,0.7602164,-19.73477,-24.54766,-19.94375
14.084131241,0.0608516599999998,1.283287,-0.644096300000003,0.4639318,-0.1703975,0.8390929,-19.73477,-24.54766,-19.94375
14.094043255,1.175737,2.215319,-1.196362,0.4837089,-0.2054003,0.8670061,-19.73477,-24.54766,-19.94375
14.103954315,4.830081,1.283287,0.5217989,0.4839323,-0.1935767,0.9026145,-19.73477,-24.54766,-19.94375
14.113865852,6.93597599999999,0.700767799999999,1.012702,0.4637963,-0.1968007,0.8902951,-19.3686,-23.7966,-19.49829
14.123776913,10.34257,2.215319,0.583161800000002,0.4233653,-0.1779655,0.8797508,-19.3686,-23.7966,-19.49829
14.133688927,13.31559,-0.3477675,-0.582733500000001,0.3723197,-0.1696831,0.8231393,-19.3686,-23.7966,-19.49829
14.143600464,13.8111,-2.21183,-1.625903,0.4075415,-0.1894731,0.8490904,-19.3686,-23.7966,-19.49829
14.153511524,11.76714,-1.046791,-0.644096300000003,0.4579901,-0.2163544,0.873413,-19.3686,-23.7966,-19.49829
14.163423061,6.502409,-2.153579,1.687694,0.4666436,-0.1953455,0.8835562,-19.7364,-24.1694,-19.04548
14.173334599,5.697214,-3.260366,1.933146,0.463994,-0.182312,0.878866,-19.7364,-24.1694,-19.04548
14.183246136,6.502409,-1.163295,0.3990731,0.4474741,-0.1736851,0.8992429,-19.7364,-24.1694,-19.04548
14.193157196,10.40451,0.759019800000003,-0.214556,0.4534004,-0.1708937,0.9558654,-19.7364,-24.1694,-19.04548
14.20306921,8.79411600000002,2.098815,-0.5213705,0.4568313,-0.1442656,0.9401658,-19.7364,-24.1694,-19.04548
14.212980747,6.56434699999999,3.14735,-0.644096300000003,0.4682057,-0.1699117,0.9226041,-19.36699,-23.79477,-19.04858
14.222891808,4.334577,5.069665,-0.3372818,0.4687864,-0.1986383,0.8979192,-19.36699,-23.79477,-19.04858
14.235281467,6.81209899999999,7.74925499999999,1.074065,0.4621654,-0.2000707,0.9181376,-19.36699,-23.79477,-19.04858
14.245192528,8.05085899999999,12.70067,1.564968,0.4733093,-0.1614464,0.9533434,-19.36699,-23.79477,-19.04858
14.255104542,3.591321,17.06957,2.792227,0.4854158,-0.119891,0.9904804,-19.36699,-23.79477,-19.04858
14.265016079,1.857055,19.4579,1.933146,0.4604612,-0.1533832,0.9496747,-19.36214,-24.16937,-19.04743
14.274927139,2.538374,19.4579,0.889976299999999,0.4453056,-0.1638158,0.9377414,-19.36214,-24.16937,-19.04743
14.284839153,2.228683,21.90448,1.135428,0.4626651,-0.1812741,0.9888414,-19.36214,-24.16937,-19.04743
14.294750214,4.148763,25.22484,2.669501,0.4699172,-0.2119568,0.9448755,-19.36214,-24.16937,-19.04743
14.304661751,4.89202,26.9724,4.817203,0.481641,-0.2015718,0.95588,-19.36214,-24.16937,-19.04743
14.314573765,-1.115971,30.11801,3.651307,0.4862343,-0.1345959,0.9577242,-18.61684,-24.17297,-19.95074
14.324484825,-2.478608,30.93354,0.705887599999999,0.4837953,-0.1214528,0.9736794,-18.61684,-24.17297,-19.95074
14.334396362,-1.363724,37.63251,-0.03046724,0.5283259,-0.1362387,1.00726,-18.61684,-24.17297,-19.95074
14.344307423,-5.018068,41.41889,2.178597,0.4742583,-0.1912054,0.915684,-18.61684,-24.17297,-19.95074
14.35421896,-14.86622,33.72963,5.001291,0.4398661,-0.2102564,0.8774626,-18.61684,-24.17297,-19.95074
14.364130974,-12.57451,33.38012,4.264936,0.4719477,-0.2174987,0.9933158,-19.00218,-23.42538,-20.33657
14.374042034,-1.054033,38.04028,2.608138,0.4816573,-0.1757096,0.9877425,-19.00218,-23.42538,-20.33657
14.383953571,15.73118,39.55483,1.81042,0.4422947,-0.07389705,0.9878244,-19.00218,-23.42538,-20.33657
14.393865585,18.45645,40.1956,-1.503177,0.3761567,0.051294,0.9791869,-19.00218,-23.42538,-20.33657
14.403776646,0.742170199999999,42.81694,-2.853161,0.3542008,-0.025294,0.9419075,-19.00218,-23.42538,-20.33657
14.413688183,-4.64644,44.7975,3.835396,0.3923144,-0.1094505,0.9837285,-17.50328,-23.80325,-21.17839
14.423599243,1.609303,50.79745,6.28991200000003,0.4432966,-0.05703859,1.057551,-17.50328,-23.80325,-21.17839
14.433511257,18.02289,55.51587,4.510388,0.454178,-0.03025824,1.053307,-17.50328,-23.80325,-21.17839
14.443422794,27.49941,61.1663000000001,3.099041,0.4356632,-0.05094457,1.035574,-17.50328,-23.80325,-21.17839
14.453333855,18.02289,61.5158200000001,3.405856,0.3279495,-0.1528536,0.9028879,-17.50328,-23.80325,-21.17839
14.463245392,7.92698399999999,53.18579,10.33986,0.2254294,-0.2594124,0.8896816,-15.63659,-23.80833,-22.47301
14.473156929,4.086825,45.55478,13.03983,0.1465861,-0.3077693,0.9169775,-15.63659,-23.80833,-22.47301
14.483068466,-1.983104,36.87524,12.54893,0.1052152,-0.4152593,0.8575845,-15.63659,-23.80833,-22.47301
14.492979527,-0.4346527,30.29277,11.07622,0.130253,-0.407817,0.9236645,-15.63659,-23.80833,-22.47301
14.502891541,3.343568,28.25395,8.74442899999999,0.1817579,-0.3109999,0.9574442,-15.63659,-23.80833,-22.47301
14.515281201,5.325586,28.77821,4.080848,0.1831965,-0.2154041,0.8759607,-14.52811,-23.06428,-23.76605
14.525192261,10.34257,24.23456,1.074065,0.1496692,-0.2062179,0.7644551,-14.52811,-23.06428,-23.76605
14.535103798,7.24566599999997,19.74916,3.037678,0.154578,-0.1268827,0.8115135,-14.52811,-23.06428,-23.76605
14.545014858,6.93597599999999,20.9142,4.571751,0.1561903,0.005637241,0.8378299,-14.52811,-23.06428,-23.76605
14.554926872,10.34257,23.41903,5.369469,0.1172853,0.1398743,0.8251594,-14.52811,-23.06428,-23.76605
14.564837932,8.85605400000001,21.26371,4.510388,-0.02327669,0.1760371,0.7503551,-13.40694,-23.06602,-24.2216
14.57474947,-7.929157,10.31234,4.019485,-0.09956583,0.06240185,0.7118909,-13.40694,-23.06602,-24.2216
14.58466053,-29.79329,-6.58072700000001,4.14221,-0.06431499,-0.1163887,0.6498739,-13.40694,-23.06602,-24.2216
14.594572544,-30.04104,-18.81364,2.055871,0.002528665,-0.2756161,0.5444807,-13.40694,-23.06602,-24.2216
14.604484081,-15.54754,-23.18254,-3.46679,0.0752617,-0.3323196,0.5611961,-13.40694,-23.06602,-24.2216
14.614395142,-7.49559099999998,-24.11457,-6.71902399999997,0.1173422,-0.3673784,0.6181924,-13.41179,-22.69142,-24.22275
14.624307156,-4.770316,-23.24079,-9.41899200000002,0.1635589,-0.4444622,0.6955173,-13.41179,-22.69142,-24.22275
14.634218693,-0.6204669,-21.84274,-7.88491900000001,0.1459118,-0.2017963,0.7846859,-13.41179,-22.69142,-24.22275
14.644129753,5.94496599999999,-22.0175,-8.13037100000001,0.09374818,-0.1531024,0.8570363,-13.41179,-22.69142,-24.22275
14.65404129,7.18372799999999,-26.21164,-8.13037100000001,0.06212943,-0.1270737,0.9035974,-13.41179,-22.69142,-24.22275
14.663953304,1.05186,-35.24069,-8.31446000000002,0.04758817,-0.1050003,0.8942757,-13.79253,-21.9386,-23.32369
14.673864365,-9.29179500000003,-46.59982,-9.48035400000003,0.1034844,-0.1251974,0.8854615,-13.79253,-21.9386,-23.32369
14.683775902,-23.35173,-53.99782,-9.23490300000001,0.2228187,-0.129782,0.9299424,-13.79253,-21.9386,-23.32369
14.693687916,-33.69538,-51.959,-8.92808800000003,0.3664058,-0.1124503,1.028603,-13.79253,-21.9386,-23.32369
14.703598976,-42.30478,-44.26974,-5.246314,0.5233245,-0.07415847,1.116716,-13.79253,-21.9386,-23.32369
14.713510513,-44.28679,-32.73586,-0.950910899999997,0.5681115,-0.03760028,1.140073,-14.16355,-22.31506,-23.7703
14.723421574,-31.2798,-18.69714,0.889976299999999,0.5001814,-0.07453051,1.100602,-14.16355,-22.31506,-23.7703
14.733333588,-20.13095,-15.26027,1.503605,0.320704,-0.1285089,0.9400892,-14.16355,-22.31506,-23.7703
14.743244648,1.05186,-19.1049,-0.1531931,0.1481655,-0.261608,0.8390047,-14.16355,-22.31506,-23.7703
14.753156185,13.06784,-26.09513,-1.257725,0.08766668,-0.4986179,0.813017,-14.16355,-22.31506,-23.7703
14.763067245,2.290622,-38.91056,0.6445247,0.1339715,-0.4251812,0.9321572,-14.89453,-23.4355,-22.92777
14.772979259,-4.708378,-51.43474,-2.178169,0.3066382,-0.3539667,0.9732887,-14.89453,-23.4355,-22.92777
14.782890797,0.43248,-50.73571,-4.264508,0.5393874,-0.3008061,1.034871,-14.89453,-23.4355,-22.92777
