Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
20.153018475,-0.2488386,2.506578,-0.2759189,0.4992209,0.005191425,0.8620235,-17.44905,-27.54267,-19.56073
20.162930489,-0.1869005,2.914342,-0.09183015,0.506609,0.001896607,0.8633737,-17.44905,-27.54267,-19.56073
20.175320625,-0.001086392,4.487145,0.1536215,0.5077568,-0.005319827,0.8714777,-17.07964,-27.16805,-19.56383
20.185232639,-0.5585288,4.720153,0.3377102,0.5002235,0.007655561,0.8673124,-17.07964,-27.16805,-19.56383
20.195144653,-0.2488386,5.419177,-0.03046724,0.5060631,0.01161697,0.8692054,-17.07964,-27.16805,-19.56383
20.205055714,1.113798,5.88519199999999,-0.03046724,0.499117,0.02172279,0.8712576,-17.07964,-27.16805,-19.56383
20.214967728,1.733179,5.652184,0.03089567,0.4936358,0.03282152,0.8742632,-17.07964,-27.16805,-19.56383
20.224879742,1.175737,5.535681,0.1536215,0.4953335,0.04246777,0.8603871,-16.68785,-28.2884,-18.72713
20.234790802,0.3705419,4.545397,-0.03046724,0.494898,0.04005048,0.8627759,-16.68785,-28.2884,-18.72713
20.244702816,0.43248,5.302673,-0.1531931,0.5047265,0.03629614,0.8631401,-16.68785,-28.2884,-18.72713
20.25461483,1.237675,6.81722400000001,-0.2759189,0.5106704,0.02616543,0.8586962,-16.68785,-28.2884,-18.72713
20.264526844,1.857055,7.807507,-0.3372818,0.5117558,0.02086778,0.8629723,-16.68785,-28.2884,-18.72713
20.274438858,3.777135,7.807507,-0.09183015,0.5025342,0.02176275,0.8707461,-16.33112,-27.16799,-19.56772
20.284349918,3.901011,6.64246800000002,-0.03046724,0.4925994,0.02741295,0.8622328,-16.33112,-27.16799,-19.56772
20.294261932,3.033878,6.00169699999999,-0.09183015,0.492554,0.02543811,0.8554978,-16.33112,-27.16799,-19.56772
20.304173946,2.042869,5.477429,0.1536215,0.4877147,0.02247627,0.8569633,-16.33112,-27.16799,-19.56772
20.31408596,1.795117,4.428894,1.012702,0.4739161,0.01834637,0.8416984,-16.33112,-27.16799,-19.56772
20.323997498,3.157754,4.079382,0.951339199999998,0.47208,0.0120427,0.8459948,-17.06994,-27.91723,-19.56152
20.333909512,3.839073,3.263854,0.6445247,0.4639149,0.01006399,0.8580611,-17.06994,-27.91723,-19.56152
