Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.016713142,3.962949,4.487145,-2.669072,0.3722558,-0.2565369,0.8105573,-21.22205,-17.39312,-26.12622
17.026623249,9.35155899999998,3.788122,-1.748629,0.3633098,-0.2542834,0.7991312,-21.22205,-17.39312,-26.12622
17.036532402,14.67823,2.681334,-0.644096300000003,0.3440321,-0.2504798,0.8310253,-21.22205,-17.39312,-26.12622
17.046441555,14.67823,-1.163295,-0.214556,0.3296823,-0.2365994,0.8307703,-21.22205,-17.39312,-26.12622
17.056351185,10.46644,-7.27975100000002,0.3990731,0.3348553,-0.223956,0.8255249,-21.2172,-17.76772,-26.12506
17.066260338,10.77613,-9.49332599999999,0.3990731,0.3542735,-0.2074382,0.878753,-21.2172,-17.76772,-26.12506
17.076169491,10.59032,-7.221499,-0.214556,0.3653302,-0.1847086,0.9345006,-21.2172,-17.76772,-26.12506
17.086078644,9.16574500000002,-8.095279,-0.3986447,0.3553351,-0.175675,0.9240897,-21.2172,-17.76772,-26.12506
17.09598875,6.19271900000002,-12.46418,0.3990731,0.3835606,-0.1666093,0.9214882,-21.2172,-17.76772,-26.12506
17.105897903,3.591321,-12.17292,0.6445247,0.4575803,-0.184612,0.918283,-21.2007,-18.82593,-25.35086
17.115807533,5.5114,-6.93023899999998,0.705887599999999,0.5094453,-0.2134525,0.935377,-21.2007,-18.82593,-25.35086
17.125716686,10.7142,-2.677846,2.608138,0.5295332,-0.2314686,0.9658014,-21.2007,-18.82593,-25.35086
17.135625839,16.04087,-0.05650773,4.203574,0.524139,-0.1722802,0.985932,-21.2007,-18.82593,-25.35086
17.145535469,16.04087,6.75897199999999,2.608138,0.5200214,-0.150485,0.991397,-21.2007,-18.82593,-25.35086
17.157921791,10.46644,13.10844,3.344493,0.5002582,-0.188637,0.9745201,-21.5887,-17.76461,-25.35218
17.167831898,9.47543500000001,13.6327,5.124017,0.5018536,-0.208064,0.9642926,-21.5887,-17.76461,-25.35218
17.177741051,8.36055000000001,16.5453,6.35127500000001,0.5429751,-0.2480033,1.017424,-21.5887,-17.76461,-25.35218
17.187650681,5.263648,23.24428,8.86715399999999,0.5626796,-0.2781658,1.04393,-21.5887,-17.76461,-25.35218
17.197559834,5.75915199999997,29.53549,12.36484,0.5654258,-0.2562754,1.051252,-21.5887,-17.76461,-25.35218
17.207468987,14.55436,36.70048,13.96028,0.5407568,-0.1962175,1.004825,-21.57496,-18.82596,-25.34891
17.217378616,25.51739,47.65185,8.19216299999999,0.5172325,-0.1543489,1.001,-21.57496,-18.82596,-25.34891
17.227288246,24.65026,52.60327,9.29669499999999,0.485988,-0.1827597,1.020306,-21.57496,-18.82596,-25.34891
17.237197876,19.5094,51.14697,11.9353,0.463788,-0.2538605,1.013316,-21.57496,-18.82596,-25.34891
17.247107029,15.73118,52.42851,11.75121,0.4943657,-0.313584,1.016476,-21.57496,-18.82596,-25.34891
17.257016182,23.59731,56.5644,13.16256,0.5391942,-0.3230974,1.037605,-20.44734,-19.20046,-25.3536
17.266925335,38.7102,63.3216199999999,12.24211,0.5980357,-0.2803249,1.103608,-20.44734,-19.20046,-25.3536
17.276834965,49.11579,72.17593,7.51716999999999,0.5762009,-0.2029606,1.115369,-20.44734,-19.20046,-25.3536
17.286744118,47.62928,79.8651799999997,6.044461,0.5369059,-0.1113567,1.110101,-20.44734,-19.20046,-25.3536
17.296654224,42.79811,85.0496099999997,6.10582399999999,0.4812362,-0.07299291,1.162248,-20.44734,-19.20046,-25.3536
