Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
12.154258728,6.99889700000002,12.33134,1.969384,1.036738,0.05980902,0.123593,-26.6678,-27.059,44.09246
12.164118767,6.50197000000002,23.93558,2.275899,1.04267,0.07110768,0.1379798,-26.6678,-27.059,44.09246
12.173977852,5.197536,35.71835,3.011535,1.048243,0.06974543,0.1508273,-25.23717,-26.7074,44.08129
12.183837414,3.45829,48.51277,4.053687,1.071457,0.09540021,0.1895281,-25.23717,-26.7074,44.08129
12.193696976,-0.765591999999998,63.0924599999999,4.666717,1.114364,0.09991739,0.254605,-25.23717,-26.7074,44.08129
12.203556538,-5.79698099999998,78.9813499999998,5.034534,1.12844,0.09442304,0.3132995,-25.23717,-26.7074,44.08129
12.213416576,-12.44338,94.6916999999997,5.83147299999998,1.130759,0.05903828,0.344595,-25.23717,-26.7074,44.08129
12.223275662,-18.71709,110.4021,8.28359300000002,1.14797,-0.02058324,0.3527826,-25.99383,-26.71659,42.80488
12.233134747,-20.33211,127.0646,11.47135,1.156169,-0.1096182,0.3375383,-25.99383,-26.71659,42.80488
12.242994785,-17.03996,142.7749,15.76256,1.197157,-0.2066589,0.3160088,-25.99383,-26.71659,42.80488
12.252854347,-9.27547199999997,157.8902,19.68595,1.249144,-0.2623077,0.2764623,-25.99383,-26.71659,42.80488
12.262713432,2.712899,172.4699,22.87371,1.309363,-0.2734784,0.2697593,-25.99383,-26.71659,42.80488
12.272573471,14.57704,186.4545,24.59019,1.359169,-0.2238869,0.2704264,-28.94254,-26.72376,39.87537
12.282432556,24.08077,199.9035,22.62849,1.414827,-0.1250728,0.2771758,-28.94254,-26.72376,39.87537
12.292291641,29.17428,212.5789,19.50204,1.468314,-0.04670717,0.2861797,-28.94254,-26.72376,39.87537
12.304616451,28.55312,227.2776,16.4982,1.557731,0.02129579,0.3017719,-28.94254,-26.72376,39.87537
12.31447649,23.52173,238.1082,15.02692,1.642061,0.06394747,0.3167436,-28.94254,-26.72376,39.87537
12.324335575,16.62686,248.9984,15.02692,1.728247,0.09584666,0.314826,-33.83587,-25.99105,35.60402
12.334195137,8.86237499999997,259.948,16.19168,1.810809,0.1154528,0.2874588,-33.83587,-25.99105,35.60402
12.344054699,2.340204,268.9934,17.60165,1.877578,0.1451339,0.2589641,-33.83587,-25.99105,35.60402
12.353914261,-4.554663,276.432,17.96947,1.952948,0.1871751,0.2620783,-33.83587,-25.99105,35.60402
12.363773346,-12.81608,281.0142,18.33729,2.018565,0.2179092,0.2575689,-33.83587,-25.99105,35.60402
12.373633385,-21.20173,287.7387,15.82386,2.151834,0.1790301,0.3454308,-39.50982,-24.19782,27.5484
12.38349247,-24.74234,293.6896,13.49435,2.214277,0.1210834,0.3172167,-39.50982,-24.19782,27.5484
12.393352032,-23.06521,295.2963,13.92347,2.199849,0.05804271,0.2799919,-39.50982,-24.19782,27.5484
12.403212071,-16.60515,294.1656,14.6591,2.208586,0.03626628,0.2916636,-39.50982,-24.19782,27.5484
12.413071156,-10.26933,288.2743,13.61695,2.212456,0.09110513,0.3725768,-39.50982,-24.19782,27.5484
12.422931194,-9.02700799999998,296.8436,9.50965299999998,2.262639,0.0943398,0.4677287,-45.20493,-22.44558,16.54815
12.432790279,-5.237938,298.0337,11.59396,2.144999,0.1204387,0.4384776,-45.20493,-22.44558,16.54815
12.442649365,-2.31849,296.308,10.00008,2.028866,0.08678011,0.4312232,-45.20493,-22.44558,16.54815
12.452509403,-1.200403,294.5822,11.59396,1.955284,0.07546626,0.4427188,-45.20493,-22.44558,16.54815
12.462368965,0.600958099999998,293.8681,12.5135,1.918499,0.06681404,0.4283149,-45.20493,-22.44558,16.54815
12.47222805,3.76887,292.6779,13.86217,1.856401,0.09884829,0.4232407,-49.72177,-21.46112,4.26904
12.48455286,0.5388422,289.8215,14.04607,1.773929,0.1583079,0.3832276,-49.72177,-21.46112,4.26904
12.494411945,-6.231793,285.9534,16.86601,1.7087,0.1938128,0.4026665,-49.72177,-21.46112,4.26904
12.504271984,-15.36283,283.9896,17.72425,1.625034,0.1852562,0.3946819,-49.72177,-21.46112,4.26904
12.514131069,-22.31981,280.8952,19.01162,1.523734,0.1548368,0.4375594,-49.72177,-21.46112,4.26904
12.523990631,-31.51297,278.7528,19.07292,1.434956,0.1253156,0.4309083,-50.18906,-21.26595,-8.471547
12.533850193,-37.60033,278.3958,20.42159,1.354188,0.1006628,0.4059747,-50.18906,-21.26595,-8.471547
12.543709755,-41.32728,275.3608,22.7511,1.288397,0.06583795,0.3582193,-50.18906,-21.26595,-8.471547
12.553569794,-40.51978,269.767,23.79325,1.219767,0.01246205,0.301243,-50.18906,-21.26595,-8.471547
12.563428879,-38.2836,261.7333,23.24153,1.175359,0.004286951,0.3022862,-50.18906,-21.26595,-8.471547
12.573287964,-39.029,257.2106,20.91201,1.12852,0.0486878,0.3148293,-46.61291,-19.63961,-20.86406
12.583148003,-42.38326,254.3542,17.78556,1.063765,0.1040749,0.314782,-46.61291,-19.63961,-20.86406
12.593007088,-50.14774,253.8186,11.71656,0.9858401,0.02341091,0.2696879,-46.61291,-19.63961,-20.86406
12.60286665,-53.31565,257.8057,8.22229000000003,0.9577007,-0.3721023,-0.02508139,-46.61291,-19.63961,-20.86406
12.612726688,-11.82222,247.8677,22.56719,0.7437546,-0.6846392,-0.2034111,-46.61291,-19.63961,-20.86406
12.622585773,38.11897,231.3242,26.00016,0.4705654,-0.8236884,-0.3041981,-40.33472,-18.37047,-30.258
12.632444858,85.2028400000003,201.4507,23.73195,0.2511874,-0.5909605,-0.4011768,-40.33472,-18.37047,-30.258
12.642304897,125.4539,178.7778,14.84301,0.2140849,-0.158669,-0.2661783,-40.33472,-18.37047,-30.258
12.654629707,146.2007,159.616,-2.321826,0.103149,0.1943734,-0.1978842,-40.33472,-18.37047,-30.258
12.664488792,151.6048,135.5743,-12.80464,-0.05223574,0.2208751,-0.1604643,-40.33472,-18.37047,-30.258
