Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.338439465,1.532697,3.583524,1.846778,0.9930485,0.06648565,0.1904016,-47.41385,-31.9658,14.09659
18.34829855,-0.02020105,6.61847999999998,1.601566,0.9998625,0.06604818,0.1874256,-47.41385,-31.9658,14.09659
18.358157635,-1.076172,9.23687400000002,1.356354,1.001386,0.05143033,0.1786549,-47.41385,-31.9658,14.09659
18.368017197,-1.324635,11.61723,1.662869,1.012359,0.04133287,0.1851221,-47.41385,-31.9658,14.09659
18.377877236,-0.889823900000002,14.29513,1.417657,1.02144,0.04441895,0.2080203,-47.41385,-31.9658,14.09659
18.387736321,-0.5171283,17.15156,0.4368094,1.028139,0.02016084,0.2115537,-47.41828,-32.34642,13.20417
18.397595406,1.594813,20.48406,0.007688423,1.018677,-0.005710187,0.2124286,-47.41828,-32.34642,13.20417
18.407454968,5.321767,23.34049,0.620718400000002,1.0094,0.008859225,0.2265806,-47.41828,-32.34642,13.20417
18.419779301,8.11698399999998,27.80366,0.8659304,1.009388,0.04449642,0.2570711,-47.41828,-32.34642,13.20417
18.429638863,7.43370899999999,31.90978,0.804627399999999,1.017946,0.06856233,0.2959673,-47.41828,-32.34642,13.20417
18.439497948,5.13542,36.73,0.007688423,1.018985,0.07067635,0.3381399,-47.42828,-31.62171,12.36445
18.449357987,2.712899,42.14531,-0.727947499999999,1.015726,0.05081103,0.3686875,-47.42828,-31.62171,12.36445
18.459217072,1.594813,48.39375,-0.789250600000002,1.014805,0.02849535,0.3891179,-47.42828,-31.62171,12.36445
18.469076634,2.464436,54.64219,-0.05361458,1.01021,0.02170148,0.4049396,-47.42828,-31.62171,12.36445
18.478935719,4.141565,61.4262100000002,0.4981124,1.008274,0.0397545,0.4223707,-47.42828,-31.62171,12.36445
18.488795757,4.82484,67.9721899999998,0.804627399999999,1.003678,0.05395406,0.4565792,-47.81151,-32.00781,10.7698
18.498654842,4.265797,75.05376,0.1302944,1.017669,0.06538843,0.4881035,-47.81151,-32.00781,10.7698
18.508514404,4.203681,84.0396000000002,-0.789250600000002,1.039674,0.05936928,0.5179286,-47.81151,-32.00781,10.7698
18.51837349,5.073304,93.1444699999999,-1.034463,1.042374,0.04628104,0.5249677,-47.81151,-32.00781,10.7698
