Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
65.900412559,0.1709892,0.0810062700000002,0.2468183,0.9955617,0.01515774,-0.1368814,-44.34814,-32.53278,15.55879
65.910269737,-0.2637638,0.1997542,0.4303595,0.9999952,0.01032327,-0.1389022,-44.34814,-32.53278,15.55879
65.920126438,-0.3874498,0.318409,0.5524635,1.001866,0.009827911,-0.1456419,-44.34814,-32.53278,15.55879
65.929983616,-0.2627508,0.08006677,0.5519236,1.004888,0.007437557,-0.1413923,-44.34814,-32.53278,15.55879
65.939840317,-0.0761120800000002,0.0799848900000002,0.4900236,1.011215,0.008461102,-0.1429114,-44.72939,-32.17101,14.78878
65.949697494,-0.01388107,-0.0986236900000002,0.4894274,1.00789,0.008947256,-0.1351928,-44.72939,-32.17101,14.78878
65.96201849,0.420679,-0.2769209,0.4886976,1.007986,0.003604178,-0.1328432,-44.72939,-32.17101,14.78878
65.971875668,0.482247,-0.3360634,0.4882955,1.006437,0.01382055,-0.1298597,-44.72939,-32.17101,14.78878
65.981732368,0.1711398,-0.3355478,0.5489659,1.004985,0.01137103,-0.1308181,-44.72939,-32.17101,14.78878
65.991589546,0.2329237,-0.3946727,0.3032185,0.9999952,0.01471733,-0.1350316,-44.34964,-33.27977,14.79816
66.001446247,-0.01557889,-0.3347428,0.2416309,0.9912481,0.008797191,-0.1359152,-44.34964,-33.27977,14.79816
66.011303425,-0.1397131,-0.274776,0.0575723900000001,0.987781,0.01021937,-0.1377706,-44.34964,-33.27977,14.79816
66.021160126,0.2330798,-0.0959601100000002,-0.0650096299999999,0.991792,0.01077009,-0.1301559,-44.34964,-33.27977,14.79816
66.031017303,0.4189787,0.2014995,-0.0648509799999999,0.9957243,0.006416036,-0.1326447,-44.34964,-33.27977,14.79816
66.040874004,0.4184329,0.2013585,-0.3098083,0.9980556,0.017146,-0.131629,-44.34889,-32.90627,15.17848
66.050731182,0.2938706,0.02265354,-0.2481546,0.9985107,0.01616415,-0.1349982,-44.34889,-32.90627,15.17848
66.060587883,-0.2031722,0.2010211,-0.125237,1.002994,0.01427328,-0.1307652,-44.34889,-32.90627,15.17848
66.070445061,-0.2650329,0.02233523,-0.002569944,1.00968,0.015264,-0.1418737,-44.34889,-32.90627,15.17848
66.080301762,-0.1405072,0.2602121,-0.002662979,1.006908,0.0104021,-0.1342081,-44.34889,-32.90627,15.17848
66.090158939,0.04601705,0.1409047,0.1199079,1.002891,0.01033795,-0.1418186,-44.72939,-32.17101,14.78878
66.10001564,0.4185182,0.02174728,-0.002733208,0.9999301,0.01469876,-0.1398228,-44.72939,-32.17101,14.78878
66.109872818,0.5421463,-0.2161102,-0.1866003,1.001067,0.01182318,-0.1307584,-44.72939,-32.17101,14.78878
66.119729519,0.2309248,-0.3942908,0.1198411,0.9966179,0.01079457,-0.1350165,-44.72939,-32.17101,14.78878
66.129586697,0.2306152,-0.1559467,0.1811668,0.9942101,0.01420137,-0.1292031,-44.72939,-32.17101,14.78878
66.141907692,0.1060019,-0.0962489799999999,-0.0639638500000003,0.9917566,0.01320112,-0.1306141,-43.9744,-32.5371,15.55686
66.151764393,-0.01828508,-0.2746923,-0.0637679900000001,0.9917154,0.01172468,-0.1349388,-43.9744,-32.5371,15.55686
66.161621571,0.04400985,0.0825567799999998,-0.0636493699999998,0.9926184,0.01366475,-0.1387689,-43.9744,-32.5371,15.55686
66.171478272,-0.0801797099999999,-0.0958120699999998,-0.1860984,1.002488,0.01133466,-0.1346164,-43.9744,-32.5371,15.55686
66.181335449,-0.01806062,-0.03607064,-0.3696196,1.006028,0.00261009,-0.1337821,-43.9744,-32.5371,15.55686
66.19119215,0.1682318,-0.0954034499999998,-0.4303429,1.008023,0.006544072,-0.1275477,-44.3509,-32.53813,15.17471
66.201049328,-0.0182883,-0.3926227,-0.4297638,1.011695,0.01090387,-0.1414601,-44.3509,-32.53813,15.17471
66.210906029,-0.2044375,-0.2732612,-0.3067528,1.011767,0.01092429,-0.1361897,-44.3509,-32.53813,15.17471
66.22076273,-0.4526054,0.08402351,-0.3063868,1.008919,0.007993849,-0.1323403,-44.3509,-32.53813,15.17471
66.230619907,-0.3278636,0.02455854,-0.1833767,0.9985381,0.008360326,-0.1398564,-44.3509,-32.53813,15.17471
66.240476608,-0.01693071,0.08401793,-0.2443339,1.001483,0.006436127,-0.140873,-44.72865,-31.79752,15.1691
66.250333786,0.1073029,0.1434214,-0.2441618,0.9990763,0.006425743,-0.1379636,-44.72865,-31.79752,15.1691
66.260190487,0.169245,0.2029183,-0.1213453,0.9937289,0.006387678,-0.1354917,-44.72865,-31.79752,15.1691
66.270047665,0.2932642,0.2622471,-0.1211352,0.9907907,0.003919677,-0.1378667,-44.72865,-31.79752,15.1691
66.279904366,0.3548557,0.08346568,-0.1208097,0.9889212,0.005391902,-0.1301604,-44.72865,-31.79752,15.1691
66.289761543,0.726929899999998,0.3212284,-0.0593165000000002,0.9918303,0.005898735,-0.1316352,-44.72738,-32.53915,14.79255
66.299618244,0.726075399999998,0.2613907,-0.0592612399999997,0.9972255,0.007415104,-0.1293033,-44.72738,-32.53915,14.79255
66.31193924,0.414395,0.2608869,-0.0593029600000002,1.0035,0.01232942,-0.1312681,-44.72738,-32.53915,14.79255
66.321796894,0.1654889,0.0820698100000001,0.247171,1.006381,0.01136352,-0.1361093,-44.72738,-32.53915,14.79255
66.331653118,-0.02093017,0.1413822,0.1855383,1.008868,0.00846743,-0.1356899,-44.72738,-32.53915,14.79255
66.341510773,-0.02090388,0.1411859,0.3692527,1.008856,0.009440587,-0.1356816,-44.3509,-32.53813,15.17471
66.351366997,0.1032957,0.0815931000000003,0.5526209,1.007172,0.01668921,-0.1451804,-44.3509,-32.53813,15.17471
66.361224651,-0.02104639,0.2004711,0.4907585,0.9985374,0.01226595,-0.1364691,-44.3509,-32.53813,15.17471
66.371080875,-0.0831553799999999,0.5571234,0.4288199,0.9930018,0.01266247,-0.1474084,-44.3509,-32.53813,15.17471
66.38093853,-0.02083746,0.734875599999998,0.4895072,0.9857833,0.008725706,-0.1420676,-44.3509,-32.53813,15.17471
66.390794754,0.04134364,0.912423399999998,0.1825314,0.9882245,0.01021068,-0.1411314,-44.3509,-32.53813,15.17471
66.400652409,0.475869,0.851805700000002,0.1209799,0.9873453,0.00241867,-0.1407054,-44.3509,-32.53813,15.17471
66.410508633,0.909731599999997,0.672265099999998,-0.001778033,0.9932411,0.002966185,-0.1383888,-44.3509,-32.53813,15.17471
66.420366287,1.156877,0.5523654,-0.001737315,0.9985353,0.0151947,-0.1340483,-44.3509,-32.53813,15.17471
