Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,6.288907,1.906777,-1.637203,0.9588572,0.1454175,0.2444606,-38.95874,-27.62226,9.578458
0.017298222,-1.419945,3.730894,0.4399042,0.9645438,0.1134329,0.2556898,-38.94945,-26.1802,9.169009
0.019769669,-2.103795,4.201633,0.7453612,0.9620934,0.1046295,0.252846,-38.94945,-26.1802,9.169009
0.029654503,-4.093176,4.378161,1.478458,0.9523315,0.07762209,0.2366201,-38.94945,-26.1802,9.169009
0.03953886,-3.782336,1.082982,1.967189,0.9590003,0.02914203,0.2195595,-38.94945,-26.1802,9.169009
0.049424171,-2.414636,-0.5646076,2.761377,0.9802084,-0.009275484,0.2260297,-38.94945,-26.1802,9.169009
0.059309006,-0.6739275,-0.9176625,3.372291,0.9793096,-0.01569945,0.1871065,-38.94945,-26.1802,9.169009
0.069194317,3.056162,-1.32956,3.005743,0.9814067,0.009687779,0.1590872,-38.9507,-26.8733,9.178733
0.079078674,7.780943,-1.741457,1.967189,0.9816223,0.04664331,0.1228316,-38.9507,-26.8733,9.178733
0.088963985,11.82187,-2.153355,0.4399042,0.9928665,0.06104268,0.1102677,-38.9507,-26.8733,9.178733
0.10131979,12.38139,-0.6234501,-0.4764667,1.006891,0.06680997,0.1395907,-38.9507,-26.8733,9.178733
0.111204624,10.08116,0.6710845,-0.1710097,1.017485,0.05886316,0.163208,-39.71807,-26.91095,9.940691
0.121089935,7.407934,0.7887695,0.6842698,1.012074,0.04688703,0.1757663,-39.71807,-26.91095,9.940691
0.130974293,4.672534,0.08265968,1.234092,1.000386,0.04715456,0.192103,-39.71807,-26.91095,9.940691
0.140859604,3.056162,-0.3880802,1.783915,0.9872835,0.049157,0.1940017,-39.71807,-26.91095,9.940691
0.150744438,3.80218,-0.03502529,2.45592,0.9828603,0.03607561,0.1979101,-39.71807,-26.91095,9.940691
0.160628796,4.983376,1.200667,3.3112,0.9639251,0.0321671,0.1945419,-38.95139,-27.25136,9.184037
0.170514107,5.16988,0.847612,3.555565,0.96583,0.02194457,0.1950766,-38.95139,-27.25136,9.184037
0.180398941,6.413243,0.6710845,3.250108,0.971621,0.01965654,0.205675,-38.95139,-27.25136,9.184037
0.190284252,8.153952,0.3180296,2.211555,0.9838205,0.0460931,0.2166165,-38.95139,-27.25136,9.184037
0.20016861,9.397315,0.7887695,1.783915,0.992586,0.05435393,0.2165847,-38.95139,-27.25136,9.184037
0.210053921,10.39201,2.200989,2.02828,0.9868481,0.07024052,0.2035131,-39.71198,-27.23315,9.555994
0.219938755,11.5732,2.789414,1.845006,0.9728547,0.08766177,0.1942716,-39.71198,-27.23315,9.555994
0.229824066,11.01369,2.142147,1.661732,0.9505848,0.1102349,0.2027888,-39.71198,-27.23315,9.555994
0.239708424,8.651297,2.436359,0.867544,0.9501614,0.1451758,0.2271387,-39.71198,-27.23315,9.555994
0.249593258,5.85373,3.848579,-0.2931925,0.9428889,0.1585751,0.2429331,-39.71198,-27.23315,9.555994
0.259478569,3.304835,5.025428,-1.270655,0.9351256,0.1600657,0.2438786,-39.71198,-27.23315,9.555994
0.269363403,1.564126,5.555011,-2.064843,0.9345924,0.1439471,0.240593,-39.71198,-27.23315,9.555994
0.279248238,1.43979,6.025751,-2.492483,0.9486202,0.1173508,0.2224684,-39.71198,-27.23315,9.555994
0.289133072,2.683153,5.555011,-2.003752,0.95676,0.08121417,0.2168892,-39.71198,-27.23315,9.555994
0.299018383,3.180499,5.613853,-1.392838,0.9561893,0.06533286,0.2294727,-39.71198,-27.23315,9.555994
0.311374188,2.558817,5.260798,-0.4764667,0.9707363,0.05046556,0.2141749,-39.33612,-27.23749,9.629427
0.321259022,0.07209045,4.142791,-0.04882693,0.9867742,0.04930899,0.2040997,-39.33612,-27.23749,9.629427
0.331144333,-1.544282,4.495846,0.07335586,0.9950896,0.05635237,0.1877222,-39.33612,-27.23749,9.629427
0.34102869,-0.7982638,5.437326,0.07335586,0.9917256,0.0586356,0.1771266,-39.33612,-27.23749,9.629427
0.350914002,1.128949,5.908066,-0.3542839,0.9796202,0.05897393,0.165569,-39.33612,-27.23749,9.629427
0.360798836,1.937135,5.849223,-0.2931925,0.9829945,0.05961238,0.1761499,-38.95082,-26.93632,9.179617
0.370684147,2.620985,5.613853,-0.4764667,0.984937,0.06358323,0.1814222,-38.95082,-26.93632,9.179617
0.380568504,3.304835,6.025751,-0.7819237,0.9873505,0.05570098,0.1756937,-38.95082,-26.93632,9.179617
0.390453816,2.993994,5.496168,-0.843015,0.9834769,0.0611226,0.1795092,-38.95082,-26.93632,9.179617
0.40033865,2.061472,3.966264,-0.7819237,0.986415,0.07190159,0.1842673,-38.95082,-26.93632,9.179617
0.410223007,1.253286,3.260154,-0.3542839,0.9859537,0.08518676,0.1933372,-39.33556,-26.92244,9.625007
0.420108318,1.377622,2.907099,-0.1099183,0.9845559,0.09527168,0.1836662,-39.33556,-26.92244,9.625007
0.429993153,0.8181084,2.495202,-0.1099183,0.9811107,0.0846303,0.1880443,-39.33556,-26.92244,9.625007
0.439878464,-0.9226002,2.848256,-0.1099183,0.9747271,0.07814195,0.2092304,-39.33556,-26.92244,9.625007
0.449762821,-1.792954,2.965941,-0.2321011,0.9641004,0.08331089,0.1952455,-39.33556,-26.92244,9.625007
0.459648132,-1.233441,2.083304,-0.6597409,0.9606681,0.08005282,0.2048765,-39.70599,-27.61837,9.172181
0.469532967,-0.3009185,1.789092,-0.2931925,0.9761821,0.07615531,0.2068375,-39.70599,-27.61837,9.172181
0.479418278,1.191117,2.083304,-0.2321011,0.985879,0.0697339,0.2020717,-39.70599,-27.61837,9.172181
0.489302635,2.869658,2.377517,-0.1099183,0.98444,0.0696289,0.1948568,-39.70599,-27.61837,9.172181
0.49918747,3.056162,2.200989,-0.04882693,0.9732932,0.07551591,0.1962572,-39.70599,-27.61837,9.172181
0.509072781,2.496649,1.730249,-0.1710097,0.9680216,0.0989862,0.2019036,-39.69738,-26.55437,8.768036
0.518957138,1.812799,0.9064545,-0.3542839,0.9738492,0.1099033,0.2162827,-39.69738,-26.55437,8.768036
0.531313896,1.812799,2.024462,-0.4153753,0.9680227,0.09997448,0.2028605,-39.69738,-26.55437,8.768036
0.541198731,1.253286,1.789092,-0.3542839,0.9602759,0.1058404,0.2033029,-39.69738,-26.55437,8.768036
0.551084041,0.5694358,1.259509,-0.4764667,0.963199,0.1052686,0.198019,-39.69738,-26.55437,8.768036
0.560968399,-0.4252549,1.259509,-0.5986494,0.9646651,0.1131647,0.2051946,-39.70517,-26.54601,9.222006
0.57085371,-1.171273,1.671407,-1.148472,0.9632248,0.1180442,0.2056492,-39.70517,-26.54601,9.222006
0.580738544,-1.419945,1.730249,-1.698295,0.9568544,0.1040072,0.2105221,-39.70517,-26.54601,9.222006
0.590622902,-0.7982638,0.965297,-1.51502,0.9563023,0.08850496,0.21589,-39.70517,-26.54601,9.222006
0.600508213,-0.2387504,0.3768721,-1.392838,0.9664875,0.08554874,0.2149547,-39.70517,-26.54601,9.222006
0.610393047,0.07209045,-0.6822926,-0.9651978,0.9674816,0.0839062,0.2029411,-39.32752,-26.17348,9.225282
0.620278358,0.6937721,-0.976505,-0.843015,0.972341,0.08386065,0.2005422,-39.32752,-26.17348,9.225282
0.630162716,1.128949,-0.2703952,-0.9651978,0.9747852,0.09320133,0.2067498,-39.32752,-26.17348,9.225282
0.640048027,0.4450994,0.729927,-0.9041064,0.9771701,0.08948074,0.2187943,-39.32752,-26.17348,9.225282
