Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
26.271817684,-86.9633400000002,-129.5473,32.32961,0.8864595,0.02527771,0.5051636,-42.22585,-25.33207,-23.23437
26.281703949,-99.5834799999998,-129.665,25.97611,0.9158382,-0.06589228,0.4695886,-42.22585,-25.33207,-23.23437
26.291590214,-109.5304,-120.4856,22.98263,0.940491,-0.1842345,0.3422897,-45.58778,-22.97263,-17.56777
26.301476479,-105.8003,-110.9531,22.43281,0.9450036,-0.2100359,0.2457601,-45.58778,-22.97263,-17.56777
26.313833714,-85.5334699999998,-103.0094,25.42628,0.8906964,-0.2008204,0.2360334,-45.58778,-22.97263,-17.56777
26.323719502,-65.88834,-101.4795,24.99864,0.8376997,-0.1926781,0.2849859,-45.58778,-22.97263,-17.56777
26.333605766,-49.10292,-97.1251200000003,22.31062,0.80128,-0.2462464,0.2150007,-47.83231,-21.0606,-14.78993
26.343491554,-31.88235,-92.9473000000003,18.8895,0.7676743,-0.3200996,0.1566633,-47.83231,-21.0606,-14.78993
26.353378296,-17.83234,-87.41611,16.99567,0.7731991,-0.417745,0.1408117,-47.83231,-21.0606,-14.78993
26.363264084,-5.958221,-84.0032500000002,17.17895,0.7607534,-0.5033374,0.1470012,-47.83231,-21.0606,-14.78993
26.373149872,9.02430599999998,-84.4151499999999,20.3557,0.7655265,-0.5252308,0.1490409,-47.83231,-21.0606,-14.78993
26.383036137,26.30705,-84.5916699999999,23.22699,0.8431646,-0.4968804,0.1990017,-47.83231,-21.0606,-14.78993
26.392921925,39.67321,-81.7672299999998,29.27504,0.9018884,-0.4845136,0.2196856,-49.01048,-19.47809,-11.91851
26.402807713,53.10153,-75.4122499999998,37.82784,0.9665158,-0.4537477,0.2340312,-49.01048,-19.47809,-11.91851
26.412693977,69.9491000000003,-69.2926300000001,46.5639,0.9565786,-0.3841805,0.2278973,-49.01048,-19.47809,-11.91851
26.422580242,87.7913699999998,-63.5849100000001,53.34505,0.9082677,-0.3218201,0.223199,-49.01048,-19.47809,-11.91851
26.432466507,101.4684,-58.2890800000002,57.86581,0.8381689,-0.2687137,0.1829345,-49.01048,-19.47809,-11.91851
26.442352295,111.7883,-53.93474,61.59239,0.788385,-0.2171928,0.1696326,-49.84694,-18.30517,-7.021885
26.452238083,119.2485,-49.1685,64.1582299999999,0.7507655,-0.151452,0.1644485,-49.84694,-18.30517,-7.021885
26.462124348,121.9839,-45.46142,65.1967800000001,0.733017,-0.08954553,0.1660391,-49.84694,-18.30517,-7.021885
26.472010136,120.4918,-43.10772,65.2578699999999,0.7467703,-0.03834948,0.172048,-49.84694,-18.30517,-7.021885
26.481896401,112.6586,-41.46013,65.2578699999999,0.7725671,-0.008996516,0.184433,-49.84694,-18.30517,-7.021885
26.491782189,100.9088,-39.81254,65.9298800000001,0.7993023,0.01607988,0.2040544,-50.27187,-17.11177,-4.128
26.50166893,84.8694600000002,-36.51736,65.9298800000001,0.822073,0.01430995,0.2189978,-50.27187,-17.11177,-4.128
26.511554718,68.7057299999998,-33.81061,66.0520600000003,0.8278813,0.003950302,0.2108811,-50.27187,-17.11177,-4.128
26.521440506,53.28804,-32.33955,66.2964299999997,0.8224367,-0.02473305,0.2134245,-50.27187,-17.11177,-4.128
26.533797741,32.52387,-31.92765,66.7851600000002,0.8154996,-0.05716527,0.2256035,-51.38485,-14.83826,-1.329727
26.543684006,9.70815600000002,-32.2807,67.1517099999999,0.8327829,-0.08585566,0.26328,-51.38485,-14.83826,-1.329727
26.55357027,-17.77017,-32.98682,69.1066399999998,0.849103,-0.1220569,0.2870466,-51.38485,-14.83826,-1.329727
26.563456535,-40.52372,-32.33955,71.4281100000002,0.8514057,-0.1357085,0.318859,-51.38485,-14.83826,-1.329727
26.573342323,-53.33036,-30.22122,72.7110299999999,0.8321105,-0.1289628,0.2788865,-51.38485,-14.83826,-1.329727
26.583228588,-54.76023,-32.81029,72.1001100000001,0.8152475,-0.1113078,0.2523275,-51.39925,-11.09801,-0.1496794
26.593114376,-52.02483,-39.3418,71.7335700000001,0.809469,-0.1071079,0.2393148,-51.39925,-11.09801,-0.1496794
