Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
71.342606545,-0.2236819,-0.00821026000000002,-0.1642137,0.3004423,-0.160866,0.9079688,-5.760438,-25.07337,-23.84322
71.352491856,-0.1611937,-0.06700548,-0.04180542,0.3033914,-0.1566259,0.8988132,-5.760438,-25.07337,-23.84322
71.36237669,0.0876424000000001,-0.1259116,0.01933847,0.3038704,-0.1531031,0.9064908,-6.130046,-24.69695,-24.24622
71.372261047,-0.03678453,-0.1846699,-0.1028494,0.3058221,-0.1521762,0.9036027,-6.130046,-24.69695,-24.24622
71.382145882,0.1495514,-0.1845303,-0.04170562,0.3019159,-0.1535143,0.9112998,-6.130046,-24.69695,-24.24622
71.392031193,0.3358485,-0.1256409,-0.1028022,0.2990184,-0.1516111,0.9079204,-6.130046,-24.69695,-24.24622
71.40191555,-0.03726994,0.168563,-0.04158165,0.2990261,-0.1456887,0.9131806,-6.130046,-24.69695,-24.24622
71.411800385,-0.2235519,-0.00821312899999998,-0.10264,0.3004853,-0.1521801,0.9026349,-5.759756,-24.69531,-23.84853
71.421684742,-0.1610444,-0.0671192299999998,0.01959495,0.2970763,-0.1521014,0.9074398,-5.759756,-24.69531,-23.84853
71.431570053,-0.2229712,-0.2435069,0.0196087,0.3043665,-0.1486928,0.9083927,-5.759756,-24.69531,-23.84853
71.441454887,-0.2847421,-0.1843771,0.01960325,0.3048427,-0.1486362,0.9122403,-5.759756,-24.69531,-23.84853
71.451339245,-0.159931,-0.184201,0.1417806,0.3019589,-0.1458239,0.9045281,-5.759756,-24.69531,-23.84853
71.461224079,-0.0975033899999998,0.168882,-0.04161409,0.2956219,-0.1536025,0.9045602,-5.383478,-25.0789,-23.83464
71.473579884,0.08895895,0.109682,0.1416678,0.3009785,-0.1462585,0.9078956,-5.383478,-25.0789,-23.83464
71.483465195,0.1509568,0.1682943,-0.1638711,0.2975791,-0.1467388,0.9078942,-5.383478,-25.0789,-23.83464
71.493350029,0.0885599600000001,-0.0672315299999998,-0.2247567,0.3053457,-0.1482509,0.9055061,-5.383478,-25.0789,-23.83464
71.503234387,0.1506169,-0.00830460300000002,-0.4688783,0.302894,-0.1520698,0.9103318,-5.383478,-25.0789,-23.83464
71.513119221,-0.222347,0.05058527,-0.1019521,0.3038857,-0.1497161,0.9050309,-6.129364,-24.31889,-24.25153
71.523003578,-0.1599581,0.109549,-0.1017089,0.2999766,-0.1525294,0.9117736,-6.129364,-24.31889,-24.25153
71.532888889,-0.1595815,-0.1258846,-0.04037465,0.3038631,-0.1545496,0.9074599,-6.129364,-24.31889,-24.25153
71.542773723,-0.03512287,-0.1846429,0.08182044,0.3038738,-0.1511338,0.9079236,-6.129364,-24.31889,-24.25153
71.552658558,0.0891403999999998,-0.0666335999999998,0.203958,0.2951303,-0.1540598,0.9064857,-6.129364,-24.31889,-24.25153
71.562542915,0.0890479699999997,0.05113507,0.08163419,0.3028957,-0.1545693,0.9060162,-6.130046,-24.69695,-24.24622
71.572428226,0.08889706,0.1687373,0.2648634,0.2990076,-0.153036,0.9103323,-6.130046,-24.69695,-24.24622
71.582313061,-0.03547283,0.2860995,0.1425782,0.3004706,-0.1560684,0.9031354,-6.130046,-24.69695,-24.24622
71.592197418,-0.03540875,0.285777,-0.162866,0.2951206,-0.1535009,0.911292,-6.130046,-24.69695,-24.24622
71.602082252,0.0269601,0.1677886,-0.04063216,0.2941601,-0.1535637,0.906963,-6.130046,-24.69695,-24.24622
71.611967564,-0.0972538599999999,-0.0677551500000002,-0.2237402,0.2956065,-0.1510168,0.9146464,-5.759756,-24.69531,-23.84853
71.621851921,-0.0971512499999999,-0.2440496,-0.2234783,0.2990127,-0.1535661,0.9074494,-5.759756,-24.69531,-23.84853
71.631736755,-0.1592559,-0.3025301,-0.22314,0.2985364,-0.1516318,0.9064773,-5.759756,-24.69531,-23.84853
71.641621113,-0.0970439499999999,-0.1256227,-0.1006002,0.3038992,-0.1438296,0.9078867,-5.759756,-24.69531,-23.84853
71.651505947,0.02721901,-0.0665300499999998,-0.344686,0.3053463,-0.1467613,0.9074222,-5.759756,-24.69531,-23.84853
71.661391258,0.2136112,0.05114609,-0.1610748,0.304853,-0.1496964,0.9064747,-6.513676,-24.68426,-23.86569
71.671275616,0.213421,-0.007723648,0.02236335,0.3009609,-0.1496312,0.9103173,-6.513676,-24.68426,-23.86569
71.683631897,0.02671817,0.1686311,0.0832469499999998,0.3014594,-0.1492172,0.9055066,-6.513676,-24.68426,-23.86569
71.693516254,-0.03550306,-0.0667657899999997,-0.03902121,0.303872,-0.1506253,0.9093637,-6.513676,-24.68426,-23.86569
71.703401089,-0.03539988,-0.184256,-0.03897221,0.3034178,-0.145347,0.9040465,-6.513676,-24.68426,-23.86569
71.7132864,-0.346001,-0.2428855,-0.1001106,0.301465,-0.1472622,0.9059776,-6.122266,-24.7053,-24.70019
71.723170757,-0.2834763,-0.1249509,-0.03893179,0.304362,-0.1516505,0.9060031,-6.122266,-24.7053,-24.70019
71.733055592,-0.407398,0.169326,-0.1001086,0.3009559,-0.153083,0.9074492,-6.122266,-24.7053,-24.70019
71.742939949,-0.03407262,-0.007358637,0.2664888,0.3019279,-0.1560785,0.9026563,-6.122266,-24.7053,-24.70019
71.75282526,-0.03402986,-0.0661549200000002,0.0829949799999998,0.2980369,-0.157016,0.9045802,-6.122266,-24.7053,-24.70019
71.762710094,-0.0962529,0.05163161,0.2660498,0.3028946,-0.1545621,0.9064971,-6.130046,-24.69695,-24.24622
71.772594452,0.0901772500000002,-0.3013218,0.3268645,0.2999823,-0.1545563,0.9064937,-6.130046,-24.69695,-24.24622
71.782479286,-0.0964405100000002,-0.1833508,0.204348,0.2975424,-0.1549665,0.9113021,-6.130046,-24.69695,-24.24622
71.792364597,-0.0963583900000001,-0.00670391500000002,0.1429615,0.2946534,-0.1516241,0.9064728,-6.130046,-24.69695,-24.24622
71.802248955,-0.03404966,-0.1243435,0.0817097700000002,0.3004705,-0.1540775,0.9060109,-6.130046,-24.69695,-24.24622
71.812133789,-0.1582066,0.05226619,-0.04055645,0.2941498,-0.1544944,0.9098532,-6.889953,-24.30068,-23.87957
71.822018146,-0.0958787400000001,-0.2419195,-0.1015969,0.2990064,-0.1520333,0.9122509,-6.889953,-24.30068,-23.87957
71.831902981,-0.03372683,0.05243053,-0.04045462,0.2985188,-0.154009,0.9103366,-6.889953,-24.30068,-23.87957
71.841788292,0.02848367,-0.0652833399999997,-0.1624331,0.3024143,-0.1531003,0.9064891,-6.889953,-24.30068,-23.87957
71.851673126,-0.0958493900000001,0.1112706,-0.2844694,0.3014419,-0.1545808,0.9050527,-6.889953,-24.30068,-23.87957
71.861557484,0.0906778899999999,-0.2416653,-0.1620252,0.3043564,-0.1536054,0.905532,-6.130046,-24.69695,-24.24622
71.871442318,0.02847388,-0.3589728,-0.2228556,0.3077772,-0.14928,0.9021476,-6.130046,-24.69695,-24.24622
71.881327629,0.0905867800000001,-0.2410217,-0.03935901,0.3058,-0.1545247,0.9093857,-6.130046,-24.69695,-24.24622
71.891211987,0.2148288,-0.181895,0.0829307599999999,0.3082474,-0.1546589,0.9007325,-6.130046,-24.69695,-24.24622
71.903567791,0.02812378,-0.005192904,0.02188183,0.3024064,-0.1550409,0.9069799,-6.130046,-24.69695,-24.24622
71.913452625,-0.3448034,0.1124801,-0.03916031,0.3019294,-0.1516097,0.9084046,-5.753769,-25.08053,-24.23234
71.92333746,-0.4066947,0.2300607,-0.03907277,0.2990013,-0.1544897,0.9108205,-5.753769,-25.08053,-24.23234
71.933222294,-0.0955187099999998,0.1708924,0.1442889,0.3062939,-0.1520909,0.9093739,-5.753769,-25.08053,-24.23234
