Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
121.886201382,-19.43438,0.4689145,5.339068,1.033535,-0.0227475,-0.1560804,-29.82175,-29.84281,13.44164
121.896332741,-15.76304,2.471736,4.48424,1.023735,-0.01740831,-0.1459607,-29.82175,-29.84281,13.44164
121.9064641,-12.27839,3.767679,3.934707,1.004707,-0.01123036,-0.1421361,-29.82175,-29.84281,13.44164
121.916595459,-9.167092,4.710184,3.75153,0.9862188,-0.009443263,-0.1426625,-29.82175,-29.84281,13.44164
121.926726818,-6.304699,5.475968,3.263057,0.9692206,-0.01150296,-0.1417457,-29.82175,-29.84281,13.44164
121.936858177,-3.504531,6.18284700000001,3.201997,0.9557816,-0.02765284,-0.1500184,-29.44149,-30.22007,12.69275
121.946989059,-1.264397,6.713005,3.324116,0.946659,-0.03654055,-0.1616422,-29.44149,-30.22007,12.69275
121.954587936,0.2290261,6.47737900000001,3.629411,0.9385052,-0.04353321,-0.1785675,-29.44149,-30.22007,12.69275
121.964719295,1.411319,4.297838,4.117885,0.9395566,-0.04331775,-0.2089649,-29.44149,-30.22007,12.69275
121.974850655,1.971353,1.352512,4.789536,0.9615303,-0.05097727,-0.2185756,-29.44149,-30.22007,12.69275
121.984982014,1.909127,-1.003748,5.88860100000002,0.9849498,-0.0581152,-0.2252863,-29.79429,-30.94274,12.70093
121.995113373,1.037963,-3.536729,6.74342900000002,0.9948235,-0.07354646,-0.2277067,-29.79429,-30.94274,12.70093
122.005244255,0.1668001,-5.421737,6.80448800000001,0.9866074,-0.07939602,-0.2253277,-29.79429,-30.94274,12.70093
122.015375614,-1.202171,-6.776587,6.25495599999998,0.9587553,-0.06366067,-0.2272959,-29.79429,-30.94274,12.70093
122.025506973,-1.948882,-9.66300599999999,4.911654,0.9228965,-0.02143647,-0.2364661,-29.79429,-30.94274,12.70093
122.035638332,-2.633368,-14.19881,3.873648,0.9247794,0.03807325,-0.2397111,-29.82851,-29.48029,13.4358
122.045769691,-3.068949,-18.08664,2.469287,0.9470974,0.09299084,-0.2332624,-29.82851,-29.48029,13.4358
122.055901051,-4.686824,-19.5593,1.370222,0.9768954,0.125771,-0.2196037,-29.82851,-29.48029,13.4358
122.06603241,-8.48260700000002,-17.7332,1.431281,0.9995459,0.1401975,-0.1958694,-29.82851,-29.48029,13.4358
122.076163769,-13.46068,-12.96177,1.980814,1.020092,0.1197633,-0.1722154,-29.82851,-29.48029,13.4358
122.086295128,-17.00756,-7.13002599999999,3.629411,1.025242,0.08930152,-0.1737152,-29.8186,-30.19915,13.82657
122.096426487,-18.62544,-1.239374,5.21695,1.030534,0.04008101,-0.1627088,-29.8186,-30.19915,13.82657
122.106557369,-17.62982,4.533464,7.04872499999998,1.033858,-0.009075806,-0.1430214,-29.8186,-30.19915,13.82657
122.116688728,-14.08294,9.65833,8.14779000000001,1.026875,-0.04672904,-0.1267137,-29.8186,-30.19915,13.82657
122.126820087,-7.61144399999998,13.84069,8.02567199999998,1.01928,-0.07459386,-0.09784026,-29.8186,-30.19915,13.82657
122.136951447,1.037963,16.07914,6.438133,1.011085,-0.087078,-0.08003392,-29.82281,-30.19194,14.26886
122.147082806,10.37186,17.02165,3.75153,0.9915863,-0.08611296,-0.06367548,-29.82281,-30.19194,14.26886
122.154681683,17.15448,15.7257,1.248104,0.9774022,-0.08077726,-0.05018922,-29.82281,-30.19194,14.26886
122.164812565,25.92834,12.9571,-1.682736,0.9559455,-0.07696773,-0.0386552,-29.82281,-30.19194,14.26886
122.174943924,33.89326,7.53769600000003,-3.636629,0.9581457,-0.05743008,-0.02075322,-29.82281,-30.19194,14.26886
122.185075283,40.6759,2.05939,-4.796753,0.9627336,-0.03398023,-0.0004239196,-30.19948,-29.82086,14.63865
122.195206642,45.52952,-2.82985,-5.163108,0.9766291,-0.0186673,0.02184208,-30.19948,-29.82086,14.63865
122.205338001,46.96072,-6.59986700000002,-4.918872,0.996413,-0.001614183,0.01758683,-30.19948,-29.82086,14.63865
122.21546936,44.96949,-8.66159499999999,-3.758748,1.007964,0.01104988,0.01667875,-30.19948,-29.82086,14.63865
122.22560072,38.62244,-9.132848,-2.720742,1.021986,0.01844492,0.0196261,-30.19948,-29.82086,14.63865
122.235732079,28.66629,-8.13143699999999,-1.37744,1.031108,0.03436787,0.006655039,-30.20729,-29.80747,15.46004
122.245863438,16.15887,-5.480643,0.2711574,1.044228,0.04058154,-0.01308227,-30.20729,-29.80747,15.46004
122.25599432,3.464776,-1.475,2.163991,1.049182,0.03937561,-0.04347266,-30.20729,-29.80747,15.46004
122.266125679,-7.11363599999998,2.707362,3.079879,1.049317,0.03189781,-0.06761583,-30.20729,-29.80747,15.46004
122.276257038,-14.14517,6.24175300000002,3.812589,1.042666,0.01961101,-0.08261842,-30.22545,-29.42537,16.6547
122.286388397,-17.87873,9.01035900000002,3.812589,1.017581,0.003299952,-0.09864228,-30.22545,-29.42537,16.6547
122.296519756,-16.88311,10.36521,3.140938,1.004076,-0.005595611,-0.1073821,-30.22545,-29.42537,16.6547
122.306651115,-11.22055,9.83504999999998,1.675518,0.9920842,-0.0212283,-0.1132372,-30.22545,-29.42537,16.6547
122.316782475,-2.011108,7.832229,-0.03413842,0.9912291,-0.03569197,-0.1065148,-30.22545,-29.42537,16.6547
122.326913834,9.56291900000002,5.063623,-1.560618,0.9825161,-0.04244743,-0.09690087,-29.86229,-29.07141,16.27324
122.334512234,18.52345,2.766268,-2.84286,0.9664549,-0.03922467,-0.1012783,-29.86229,-29.07141,16.27324
122.344643593,29.78635,-0.2968701,-4.002984,0.951913,-0.0441645,-0.09987878,-29.86229,-29.07141,16.27324
122.354774952,38.43576,-2.770944,-4.613576,0.9518446,-0.0387801,-0.09311169,-29.86229,-29.07141,16.27324
122.364906311,42.97826,-4.066887,-4.735694,0.9663594,-0.03328187,-0.08630676,-29.86229,-29.07141,16.27324
122.37503767,42.72935,-4.243607,-4.552517,0.9833177,-0.02874564,-0.08094523,-30.22079,-29.08243,15.44837
122.385169029,37.25347,-3.242196,-4.30828,0.9817573,-0.017165,-0.08333711,-30.22079,-29.08243,15.44837
122.395300388,28.41738,-1.887346,-3.392393,0.9807792,-0.01199413,-0.09925263,-30.22079,-29.08243,15.44837
122.405431271,18.1501,-1.180468,-2.049091,0.9754035,-0.00678292,-0.1069761,-30.22079,-29.08243,15.44837
122.41556263,8.44285199999998,-1.180468,-0.644730100000001,0.9782303,0.005729595,-0.1170754,-30.22079,-29.08243,15.44837
122.425693989,0.353478,-1.710626,0.3932757,0.9811006,0.01153304,-0.1199508,-29.87265,-28.70271,16.64651
122.435825348,-5.744665,-2.417505,1.187045,0.9810859,0.0162714,-0.1310393,-29.87265,-28.70271,16.64651
122.445956707,-8.980414,-3.772354,1.370222,0.9835784,0.009519957,-0.1305648,-29.87265,-28.70271,16.64651
122.456088066,-9.41599700000003,-4.714859,0.9428082,0.9899239,0.007607337,-0.1334479,-29.87265,-28.70271,16.64651
122.466219425,-7.48699199999998,-5.245017,0.2711574,0.9865375,0.006120271,-0.1344249,-29.87265,-28.70271,16.64651
122.476350784,-4.313468,-6.01080199999999,-0.4004934,0.9952849,0.007134487,-0.1368129,-29.87685,-28.69549,17.08879
122.486482144,-1.139945,-6.01080199999999,-0.8279076,1.001591,0.008635554,-0.1367934,-29.87685,-28.69549,17.08879
122.496613503,0.975737500000002,-5.95189500000001,-1.194263,0.9908516,0.01292045,-0.1353642,-29.87685,-28.69549,17.08879
122.506744385,1.660223,-4.832672,-1.072144,0.9868347,0.02644407,-0.134863,-29.87685,-28.69549,17.08879
122.516875744,0.415704,-4.00798,-0.888966700000001,0.9945306,0.03662316,-0.1396467,-29.87685,-28.69549,17.08879
122.527007103,-1.886656,-3.124383,-0.4615526,1.003218,0.04627772,-0.1497371,-29.8659,-29.06523,16.65234
122.534605026,-4.002338,-2.181879,-0.2173159,1.006178,0.04381081,-0.1574555,-29.8659,-29.06523,16.65234
122.544736385,-7.48699199999998,-0.885935200000002,0.698571599999999,1.008158,0.04089621,-0.160352,-29.8659,-29.06523,16.65234
122.554867745,-10.22493,0.4689145,0.881749099999998,1.00341,0.02876042,-0.1603903,-29.8659,-29.06523,16.65234
122.564999104,-11.46945,1.116886,1.431281,1.003954,0.02482279,-0.1681182,-29.8659,-29.06523,16.65234
122.575130463,-11.40723,1.764858,1.797637,0.9992263,0.007460343,-0.1575516,-30.25134,-28.03571,16.63233
122.585261822,-10.16271,2.530643,1.5534,0.9978439,-0.002181123,-0.1522679,-30.25134,-28.03571,16.63233
122.595393181,-8.35815500000002,3.296427,1.431281,0.9876747,-0.00848596,-0.1450694,-30.25134,-28.03571,16.63233
122.60552454,-6.304699,3.885493,1.064927,0.9776312,-0.02739885,-0.1407931,-30.25134,-28.03571,16.63233
122.615655899,-4.313468,4.121119,0.881749099999998,0.9732831,-0.03127364,-0.1374348,-30.25134,-28.03571,16.63233
122.625786781,-2.75782,4.062212,0.698571599999999,0.9811404,-0.03944824,-0.1383972,-29.87159,-28.35358,15.81928
122.63591814,-1.015493,3.649866,0.881749099999998,0.9918158,-0.03789549,-0.1364361,-29.87159,-28.35358,15.81928
122.646049499,0.2290261,3.41424,0.9428082,0.9962953,-0.04711705,-0.1432001,-29.87159,-28.35358,15.81928
122.656180859,1.597997,3.473147,1.248104,0.989417,-0.03895678,-0.1446479,-29.87159,-28.35358,15.81928
122.666312218,2.344709,3.59096,1.614459,0.9923088,-0.03463137,-0.1504217,-29.87159,-28.35358,15.81928
122.676443577,2.904742,3.178614,1.858696,0.9849243,-0.02406408,-0.1528308,-30.59385,-28.71753,15.43905
122.686574936,3.09142,3.532053,1.858696,0.9813247,-0.003744343,-0.1503837,-30.59385,-28.71753,15.43905
122.696706295,3.09142,4.121119,1.797637,0.9725151,0.002011855,-0.1484638,-30.59385,-28.71753,15.43905
122.706837654,2.966968,4.297838,1.309163,0.9728718,0.01557401,-0.1474686,-30.59385,-28.71753,15.43905
122.716968536,3.153646,4.710184,0.820689899999999,0.978174,0.02139204,-0.1508203,-30.59385,-28.71753,15.43905
122.724567413,3.340324,4.76909,0.3932757,0.9850175,0.0170987,-0.1498468,-30.23317,-28.41781,15.43767
122.734698772,3.651453,4.592371,0.0879799099999998,0.9970981,0.02681049,-0.1565504,-30.23317,-28.41781,15.43767
122.744830131,4.024809,4.710184,0.1490391,1.005892,0.0206361,-0.151233,-30.23317,-28.41781,15.43767
122.754961491,3.900357,4.886903,-0.1562568,1.009903,0.005726466,-0.144499,-30.23317,-28.41781,15.43767
122.76509285,3.464776,5.299249,-0.4004934,1.004601,-0.001028723,-0.1377715,-30.23317,-28.41781,15.43767
122.775223732,2.095805,6.24175300000002,-0.2173159,1.011985,-0.01159601,-0.1353624,-29.85448,-29.0848,15.45185
122.785355091,0.726833699999999,7.71441600000001,0.3932757,1.014546,-0.02842202,-0.1252585,-29.85448,-29.0848,15.45185
122.79548645,-0.1443296,9.59942399999999,0.3932757,1.00686,-0.03722823,-0.1291576,-29.85448,-29.0848,15.45185
122.805617809,0.1668001,11.13099,0.3932757,0.9918702,-0.04604754,-0.1282502,-29.85448,-29.0848,15.45185
