Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-0.894183,1.784769,1.047329,1.011456,0.008404126,-0.1811754,-32.77494,-18.08119,37.54931
0.017494202,-1.447982,1.725416,0.9863584,1.004322,-0.0009872537,-0.1830748,-32.77494,-18.08119,37.54931
0.024991989,-1.386449,1.606712,1.047329,0.9965453,-0.002143481,-0.186411,-32.77494,-18.08119,37.54931
0.034988403,-1.263382,1.606712,0.9863584,0.9990288,-0.004453942,-0.1787575,-33.1657,-17.32274,37.60697
0.044985294,-1.017249,1.844121,0.8644169,1.00878,-0.004747227,-0.1787744,-33.1657,-17.32274,37.60697
0.054981709,-1.632582,1.547359,0.9863584,0.9999977,-0.003830425,-0.1658378,-33.1657,-17.32274,37.60697
0.0649786,-1.878715,1.488007,0.9253877,1.002937,-0.004792486,-0.171107,-33.1657,-17.32274,37.60697
0.074975014,-1.571049,1.428654,0.9863584,1.010776,-0.007076089,-0.1720773,-33.1657,-17.32274,37.60697
0.084971905,-1.571049,1.250597,0.8034461,1.010795,-0.008038835,-0.1711199,-33.53116,-17.70864,37.28371
0.094968319,-1.201849,0.8351307,0.6205339,1.008775,-0.004125401,-0.1639387,-33.53116,-17.70864,37.28371
0.10496521,-0.9557163,0.716426,0.4376215,1.004758,0.002055447,-0.1701548,-33.53116,-17.70864,37.28371
0.114962578,-1.386449,0.716426,0.4985923,1.008231,-0.001303851,-0.1730314,-33.53116,-17.70864,37.28371
0.124958992,-1.694115,0.4196641,0.5595631,0.9980474,-0.00392598,-0.1720559,-33.53116,-17.70864,37.28371
0.134955883,-1.694115,0.2416071,0.4376215,0.9981121,-0.007299972,-0.1691837,-33.15642,-17.70582,37.2865
0.144952297,-0.9557163,0.2416071,0.3766508,0.9986443,-0.009736714,-0.1710983,-33.15642,-17.70582,37.2865
0.154949188,-0.1557842,0.004197581,0.2547093,1.004994,-0.01061385,-0.1744591,-33.15642,-17.70582,37.2865
0.164945602,0.4595481,0.1229023,0.3766508,1.007686,0.00150892,-0.1830813,-33.15642,-17.70582,37.2865
0.174942493,0.2134152,0.2416071,0.31568,1.011015,0.00599642,-0.177824,-33.21887,-17.70629,37.28603
0.184938908,-0.5249836,0.06354995,0.31568,1.007614,0.005430125,-0.1792536,-33.21887,-17.70629,37.28603
0.194935799,-1.078783,0.1229023,0.4376215,1.009827,-0.008622847,-0.1797324,-33.21887,-17.70629,37.28603
0.204933167,-1.201849,0.3009594,0.6205339,0.9990367,-0.004979206,-0.1830646,-33.21887,-17.70629,37.28603
0.214929581,-1.447982,0.5383689,0.4376215,1.005397,-0.00630699,-0.1825967,-33.21887,-17.70629,37.28603
0.224926472,-1.263382,0.5383689,0.2547093,1.000598,-0.01031127,-0.1849802,-33.58435,-18.09219,36.96278
0.234922886,-0.03271778,0.9538354,0.3766508,1.006433,-0.009736354,-0.187862,-33.58435,-18.09219,36.96278
0.244919777,0.5826145,1.07254,0.31568,1.00957,0.00492141,-0.1859569,-33.58435,-18.09219,36.96278
0.254916191,-0.1557842,1.428654,0.4985923,1.013319,0.01271791,-0.1917084,-33.58435,-18.09219,36.96278
0.264913082,-1.263382,1.666064,0.6205339,1.003694,0.006157868,-0.1974328,-33.58435,-18.09219,36.96278
0.274909496,-2.063314,1.844121,0.6815046,1.006169,0.004372669,-0.1854723,-33.58604,-18.08892,37.34978
0.284906864,-1.755648,1.962826,0.7424754,1.009709,-0.002290393,-0.1778196,-33.58604,-18.08892,37.34978
0.294903278,-1.017249,1.903473,0.6815046,1.007809,-0.004656744,-0.1668084,-33.58604,-18.08892,37.34978
0.304900169,-0.8326498,1.784769,0.8034461,1.007379,-0.007528267,-0.161064,-33.58604,-18.08892,37.34978
0.314896584,-0.2173175,1.488007,0.7424754,1.006837,-0.004627712,-0.1615423,-33.58604,-18.08892,37.34978
0.324893475,0.5210813,1.131893,0.5595631,1.010183,-0.00113807,-0.1591562,-33.58604,-18.08892,37.34978
0.334889889,-0.094251,0.8944831,0.8644169,1.005092,0.01037129,-0.1648932,-33.58604,-18.08892,37.34978
0.34488678,-1.509515,0.8351307,0.8034461,1.006432,0.01664045,-0.1730329,-33.58604,-18.08892,37.34978
0.354883194,-2.063314,0.6570736,1.047329,0.9974595,0.001394601,-0.173492,-33.58604,-18.08892,37.34978
0.364880562,-2.186381,0.4196641,0.9863584,1.002954,-0.00581668,-0.1768497,-33.58604,-18.08892,37.34978
0.374877453,-2.186381,0.4196641,0.9863584,1.004563,-0.01350293,-0.170629,-33.58435,-18.09219,36.96278
0.384873867,-0.9557163,0.3603118,0.8644169,1.00525,-0.024202,-0.1730204,-33.58435,-18.09219,36.96278
0.394870758,-0.1557842,0.3009594,0.7424754,1.00024,-0.0170601,-0.1782778,-33.58435,-18.09219,36.96278
0.404867172,-0.3403839,0.1229023,0.8034461,1.001753,0.006378334,-0.1691935,-33.58435,-18.09219,36.96278
0.414864063,-1.017249,0.4790165,0.8034461,1.006622,0.006395566,-0.1778164,-33.58435,-18.09219,36.96278
0.424860478,-1.632582,0.1822547,1.047329,1.006281,-0.001399406,-0.1792495,-33.9532,-18.47154,37.41353
0.434857369,-1.386449,0.1229023,0.7424754,1.004056,-0.01257614,-0.174457,-33.9532,-18.47154,37.41353
0.444854736,-0.6480501,0.2416071,0.6205339,1.011014,-0.01968833,-0.1701601,-33.9532,-18.47154,37.41353
0.454851151,0.1518819,0.06354995,0.6205339,1.012439,-0.0177208,-0.1706417,-33.9532,-18.47154,37.41353
0.464848042,0.5826145,0.1822547,0.4985923,1.004451,-0.007752799,-0.1792447,-33.9532,-18.47154,37.41353
0.474844456,0.3364816,0.2416071,0.4376215,1.001382,-3.836013e-05,-0.1792413,-33.58332,-18.15503,37.02762
0.484841347,0.02881546,0.1822547,0.4985923,1.004351,-0.002391867,-0.1773316,-33.58332,-18.15503,37.02762
0.494837761,0.1518819,0.4196641,0.6205339,1.00786,-0.007711766,-0.1821221,-33.58332,-18.15503,37.02762
0.504834175,0.8902807,0.5383689,0.4985923,1.0073,-0.003813354,-0.1797292,-33.58332,-18.15503,37.02762
0.514831543,1.936346,1.131893,0.7424754,1.01022,-0.003839006,-0.1888273,-33.58332,-18.15503,37.02762
0.524828434,1.874812,1.191245,0.9253877,1.010634,5.670858e-05,-0.188829,-33.58501,-18.15176,37.41462
0.534824848,1.690213,1.488007,1.1083,1.013438,0.00642935,-0.1888355,-33.58501,-18.15176,37.41462
0.544821739,0.705681,2.140883,1.352183,1.000627,0.01393375,-0.1907294,-33.58501,-18.15176,37.41462
0.554818154,-0.5865169,2.437645,1.474125,1.012456,0.006917809,-0.1864411,-33.58501,-18.15176,37.41462
0.564815045,-0.2788507,2.675054,1.596066,1.016672,-0.009993679,-0.1850083,-33.58501,-18.15176,37.41462
0.574811459,0.5826145,3.32793,1.90092,1.01282,-0.01252581,-0.1878724,-32.83383,-18.14941,37.03318
0.584808827,1.136414,3.802749,1.90092,1.012712,-0.006661563,-0.1840451,-32.83383,-18.14941,37.03318
0.594805718,0.7672142,4.336921,1.839949,1.014452,0.004584556,-0.1802225,-32.83383,-18.14941,37.03318
0.604802132,-0.2788507,4.277568,2.144803,1.004576,0.01177506,-0.1696784,-32.83383,-18.14941,37.03318
0.614799023,-1.263382,4.396273,2.388686,1.008665,0.001677399,-0.1668115,-32.83383,-18.14941,37.03318
0.624795437,-0.894183,4.099511,2.327715,1.006488,-0.01188864,-0.1577113,-33.59118,-17.77468,37.02559
0.634792328,0.2749484,4.158864,2.266744,1.001673,-0.01483361,-0.1505235,-33.59118,-17.77468,37.02559
0.644788742,0.8902807,3.743397,2.449656,1.003448,-0.005578819,-0.1519647,-33.59118,-17.77468,37.02559
0.65478611,1.751746,3.32793,2.327715,1.001042,-0.00702716,-0.1457386,-33.59118,-17.77468,37.02559
0.664783001,1.628679,2.675054,2.266744,1.011299,-0.00825601,-0.1428847,-33.59118,-17.77468,37.02559
0.674779415,2.120945,2.022178,2.205774,1.010434,-0.01412634,-0.1452746,-33.59118,-17.77468,37.02559
0.684776306,2.182479,1.666064,2.388686,1.012255,-0.007265241,-0.1428866,-33.59118,-17.77468,37.02559
0.69477272,2.120945,1.30995,2.388686,1.012282,-0.008748859,-0.1457578,-33.59118,-17.77468,37.02559
0.704769611,1.751746,0.9538354,2.388686,1.004872,-0.003642015,-0.1557963,-33.59118,-17.77468,37.02559
0.714766025,0.8287475,0.6570736,2.632569,0.9981245,-0.007684784,-0.1581763,-33.59118,-17.77468,37.02559
0.724763393,0.5210813,0.5383689,2.327715,1.004145,-0.01673731,-0.1514844,-33.59118,-17.77468,37.02559
0.734759808,0.9518139,-0.1738595,2.449656,1.003816,-0.02491271,-0.1414317,-33.59118,-17.77468,37.02559
0.744756699,1.874812,-0.6486785,2.510627,1.003317,-0.02451557,-0.1500453,-33.59118,-17.77468,37.02559
0.754753113,2.551678,-0.9454404,2.388686,1.006626,-0.01913556,-0.1534024,-33.59118,-17.77468,37.02559
0.764750004,2.859344,-1.360907,2.266744,1.003006,-0.008039194,-0.1543561,-33.58163,-18.1583,36.64062
0.774746418,2.920877,-1.717021,2.266744,1.017151,-0.008714069,-0.1524663,-33.58163,-18.1583,36.64062
0.784743309,2.551678,-1.598316,2.144803,1.006439,-0.00954323,-0.1668047,-33.58163,-18.1583,36.64062
0.794740677,2.797811,-1.657669,2.144803,1.004121,-0.01594575,-0.1711062,-33.58163,-18.1583,36.64062
0.804737091,2.920877,-1.657669,2.083832,1.001225,-0.01747394,-0.1725365,-33.58163,-18.1583,36.64062
0.814733982,2.551678,-1.479612,1.96189,1.002216,-0.01849644,-0.1801952,-33.96004,-18.15403,37.47634
0.824730396,1.936346,-1.420259,2.266744,0.9964275,-0.0214475,-0.17157,-33.96004,-18.15403,37.47634
0.834727287,1.321013,-1.301555,2.205774,0.9964462,-0.02240585,-0.170134,-33.96004,-18.15403,37.47634
0.844723701,1.136414,-1.242202,2.144803,1.004856,-0.02902096,-0.1677541,-33.96004,-18.15403,37.47634
0.854721069,2.551678,-1.123497,2.022861,1.011581,-0.02412517,-0.1782958,-33.96004,-18.15403,37.47634
0.86471796,2.920877,-0.7673832,2.083832,1.012825,-0.01239414,-0.1735152,-34.34881,-17.3994,37.0825
0.874714375,2.490145,-0.4706214,1.96189,1.008399,-0.01068255,-0.1893009,-34.34881,-17.3994,37.0825
0.884711266,1.628679,-0.1145072,2.083832,1.001649,-0.01480871,-0.2007739,-34.34881,-17.3994,37.0825
0.89470768,1.44408,0.5383689,2.083832,0.9919624,-0.01790259,-0.1993205,-34.34881,-17.3994,37.0825
0.904704571,0.5210813,1.07254,1.96189,0.9943804,-0.016861,-0.1969321,-34.34881,-17.3994,37.0825
0.914700985,-0.2788507,1.30995,2.022861,1.002484,-0.03322729,-0.1974206,-33.60102,-17.39051,37.47506
