Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
92.926178455,5.197607,-2.251192,0.681504599999997,1.010459,0.01155107,-0.1007737,-39.67653,-18.01013,14.5981
92.9361763,4.766874,-2.963421,0.5595631,1.009909,0.0149681,-0.09790213,-39.67653,-18.01013,14.5981
92.946174145,3.659276,-3.735002,0.31568,1.006407,0.01970568,-0.1036402,-39.67653,-18.01013,14.5981
92.956172466,2.182479,-4.091116,0.5595631,0.9998717,0.03021026,-0.109853,-39.67653,-18.01013,14.5981
92.966170311,0.02881546,-4.862697,0.2547093,0.9982439,0.03885486,-0.1175096,-39.68439,-17.62978,14.59607
92.976168156,-2.55558,-5.278163,-0.1720861,1.001707,0.03597694,-0.1208649,-39.68439,-17.62978,14.59607
92.986166477,-4.586177,-5.337515,-0.1720861,1.007734,0.02635526,-0.1232658,-39.68439,-17.62978,14.59607
92.996164322,-5.693775,-5.337515,-0.1720861,1.008258,0.02440428,-0.1251805,-39.68439,-17.62978,14.59607
93.006162167,-6.862906,-5.337515,-0.2330568,1.006885,0.01944318,-0.1333127,-39.68439,-17.62978,14.59607
93.016160011,-7.29363900000002,-4.922049,-0.2940276,1.004981,0.01694076,-0.1371373,-40.43726,-17.62886,15.36452
93.026158333,-7.232106,-4.506582,-0.2940276,1.003471,0.01923097,-0.1490996,-40.43726,-17.62886,15.36452
93.036156178,-7.10903899999999,-4.031764,-0.4769399,1.004398,0.0216483,-0.1524519,-40.43726,-17.62886,15.36452
93.046154022,-6.80137299999998,-3.43824,-0.2940276,1.010702,0.02319119,-0.1567705,-40.43726,-17.62886,15.36452
93.056152344,-6.001441,-2.607306,-0.05014454,1.004406,0.02111425,-0.1577161,-40.43726,-17.62886,15.36452
93.066149235,-5.263042,-1.835726,0.0717969800000001,1.005269,0.02691875,-0.1625049,-39.69395,-17.24615,14.98105
93.076147556,-4.032378,-0.886087999999999,0.1327677,1.007288,0.02300532,-0.169686,-39.69395,-17.24615,14.98105
93.086145401,-2.986313,-0.05515479,0.1327677,1.012622,0.02464308,-0.16156,-39.69395,-17.24615,14.98105
93.096143246,-1.817181,0.4790165,0.2547093,1.014579,0.02419142,-0.1620418,-39.69395,-17.24615,14.98105
93.106141567,-0.6480501,1.07254,0.3766508,1.00791,0.0164074,-0.1486281,-39.69395,-17.24615,14.98105
93.116139412,0.8287475,1.547359,0.5595631,1.006577,0.009608598,-0.145274,-39.67653,-18.01013,14.5981
93.126137257,1.690213,2.022178,0.5595631,1.00647,0.01551674,-0.1366609,-39.67653,-18.01013,14.5981
93.136135101,1.936346,2.022178,0.5595631,1.000599,0.0169156,-0.1304296,-39.67653,-18.01013,14.5981
93.146133423,1.690213,1.547359,0.4985923,0.9941404,0.02363943,-0.1251557,-39.67653,-18.01013,14.5981
93.156131268,1.013347,1.428654,0.4985923,1.001854,0.02821354,-0.119906,-39.67653,-18.01013,14.5981
93.166129112,0.2749484,1.30995,0.4985923,1.003398,0.02390128,-0.1165575,-38.92874,-18.00124,14.99067
93.176127434,-0.0942510000000003,1.013188,0.4376215,1.012284,0.01774645,-0.1180072,-38.92874,-18.00124,14.99067
93.186125279,-0.3403839,0.716426,0.620533899999998,1.008818,0.02054976,-0.1227876,-38.92874,-18.00124,14.99067
93.196123123,-0.709583300000001,0.06354995,0.620533899999998,1.00436,0.0243229,-0.1256523,-38.92874,-18.00124,14.99067
93.206120968,-1.632582,-0.4706214,0.5595631,1.003811,0.02777505,-0.1189522,-38.92874,-18.00124,14.99067
93.216119289,-2.124848,-1.064145,0.4985923,1.000532,0.02097286,-0.111766,-39.67036,-18.38722,14.98713
93.226117134,-1.940248,-1.538964,0.3766508,1.00259,0.01520417,-0.1093753,-39.67036,-18.38722,14.98713
93.236114979,-1.694115,-2.132488,0.5595631,1.00712,0.007501047,-0.1112955,-39.67036,-18.38722,14.98713
93.2461133,-0.832649800000001,-2.369897,0.4376215,1.007181,0.004026102,-0.1194305,-39.67036,-18.38722,14.98713
