Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
143.571143627,-2.159143,-0.2708724,-1.011318,1.005672,0.08405381,-0.1328486,-56.28507,-25.93232,-7.803572
143.581141472,-1.605344,-0.21152,-1.011318,1.001323,0.08197588,-0.1381048,-56.28507,-25.93232,-7.803572
143.591139317,-1.051545,-0.21152,-1.011318,1.005192,0.08351454,-0.1376334,-56.28507,-25.93232,-7.803572
143.601137638,-0.866944999999998,0.0258895,-0.9503473,0.9979031,0.08237233,-0.1404918,-56.28507,-25.93232,-7.803572
143.611135483,-0.990011499999998,0.1445942,-0.828405700000001,0.9991832,0.09215593,-0.1361894,-56.28507,-25.93232,-7.803572
143.621133327,-0.866944999999998,0.5600607,-0.9503473,1.001258,0.08536305,-0.1395413,-56.28507,-25.93232,-7.803572
143.631132126,-0.928478300000002,0.0852418700000001,-0.828405700000001,1.001648,0.09079505,-0.130929,-56.28507,-25.93232,-7.803572
143.64112997,-1.174611,0.263299,-0.889376499999997,0.9978151,0.08733089,-0.1294857,-56.28507,-25.93232,-7.803572
143.651127815,-1.482278,0.3226513,-1.011318,0.9978769,0.08386472,-0.1366636,-56.28507,-25.93232,-7.803572
143.661126137,-1.359211,0.263299,-1.011318,0.9993495,0.08347806,-0.1290088,-56.28507,-25.93232,-7.803572
143.671123981,-1.359211,0.441356,-0.828405700000001,1.003659,0.08739371,-0.1352388,-56.66767,-25.55477,-7.80838
143.681121826,-1.174611,0.441356,-0.889376499999997,0.9977863,0.08874428,-0.1342718,-56.66767,-25.55477,-7.80838
143.691119671,-1.297678,0.3226513,-1.13326,1.002189,0.08786376,-0.1338007,-56.66767,-25.55477,-7.80838
143.701118469,-1.297678,0.3226513,-1.13326,0.9987788,0.087792,-0.1342733,-56.66767,-25.55477,-7.80838
143.711116314,-1.236145,0.263299,-1.011318,0.9968308,0.08776668,-0.1328341,-56.66767,-25.55477,-7.80838
143.721114635,-1.482278,0.263299,-0.9503473,0.9986539,0.09468044,-0.1247033,-56.64998,-26.3193,-8.255829
143.73111248,-1.666877,0.2039466,-1.072289,0.9967956,0.08974923,-0.1285274,-56.64998,-26.3193,-8.255829
143.741110325,-1.72841,0.1445942,-1.255201,0.9973273,0.08729932,-0.1318777,-56.64998,-26.3193,-8.255829
143.751108646,-1.420744,0.0258895,-1.255201,1.00137,0.07959536,-0.1328399,-56.64998,-26.3193,-8.255829
143.761106491,-1.482278,0.0852418700000001,-1.13326,1.003661,0.08745077,-0.1290174,-56.64998,-26.3193,-8.255829
143.771105289,-1.236145,0.0852418700000001,-1.19423,1.000243,0.08789989,-0.1256615,-57.03259,-25.94175,-8.260637
143.781103134,-1.359211,-0.03346287,-1.255201,0.998394,0.08250046,-0.1275712,-57.03259,-25.94175,-8.260637
143.791100979,-1.236145,-0.0928152399999999,-1.072289,1.00266,0.08891075,-0.1266231,-57.03259,-25.94175,-8.260637
143.801098824,-1.359211,0.0258895,-1.255201,1.000122,0.09415334,-0.1323629,-57.03259,-25.94175,-8.260637
143.811097145,-1.605344,-0.03346287,-1.255201,0.9962246,0.09405879,-0.1342704,-57.03259,-25.94175,-8.260637
143.82109499,-1.91301,0.0852418700000001,-1.316172,1.002034,0.09613487,-0.1323668,-57.03876,-25.56467,-8.649666
143.831092834,-2.282209,-0.03346287,-1.377143,0.998094,0.0985613,-0.1242247,-57.03876,-25.56467,-8.649666
143.841091633,-2.220676,-0.21152,-1.377143,1.000104,0.09511607,-0.1333203,-57.03876,-25.56467,-8.649666
143.851089478,-2.220676,-0.21152,-1.255201,0.9987436,0.08977456,-0.1299665,-57.03876,-25.56467,-8.649666
143.861087799,-2.036077,-0.3895771,-1.19423,0.9953141,0.09063482,-0.1347465,-57.03876,-25.56467,-8.649666
143.871085644,-1.72841,-0.21152,-1.377143,0.999157,0.09364832,-0.1323611,-57.02921,-25.94829,-9.034641
143.881083488,-0.990011499999998,-0.5082818,-1.255201,0.9957582,0.09315664,-0.125655,-57.02921,-25.94829,-9.034641
143.891081333,-0.682345300000002,-0.5676342,-1.316172,1.002098,0.09273455,-0.132366,-57.02921,-25.94829,-9.034641
143.901079655,-0.5592789,-0.5676342,-1.621026,0.9987795,0.08781394,-0.1318804,-57.02921,-25.94829,-9.034641
143.911077976,-0.2516128,-0.5082818,-1.499084,1.001648,0.09081699,-0.1285361,-57.02303,-26.32538,-8.645611
143.921076298,0.7944522,-0.626986600000001,-1.499084,0.9971436,0.09697505,-0.1361871,-57.02303,-26.32538,-8.645611
143.931074142,1.040585,-0.5676342,-1.742967,0.9956287,0.09990025,-0.131878,-57.02303,-26.32538,-8.645611
143.941071987,1.163651,-0.805043700000001,-1.499084,0.9931666,0.1013357,-0.1290026,-57.02303,-26.32538,-8.645611
