Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
53.25,5.074541,-0.2332119,-2.91577,1.002667,-0.01575078,-0.1466964,-49.7972,-34.69312,22.60764
53.26,2.182479,-0.411269,-2.367033,0.999038,-0.004164257,-0.1471716,-49.81124,-33.93567,22.21658
53.27,-1.447982,-0.648678499999998,-1.818297,1.006164,-0.02067269,-0.1610585,-49.81124,-33.93567,22.21658
53.28,-0.586516899999998,-0.589326100000003,-1.635384,1.006979,-0.06456239,-0.179713,-49.81124,-33.93567,22.21658
53.29,2.428612,-0.3519166,-1.696355,1.009957,-0.0674236,-0.1801961,-49.81124,-33.93567,22.21658
53.3,3.720809,0.1229023,-1.574414,1.001323,-0.04855473,-0.1706144,-49.81124,-33.93567,22.21658
53.31,2.859344,0.4790165,-1.147618,0.9971438,-0.03354679,-0.1677395,-49.07916,-33.16607,22.60509
53.32,0.3980148,0.4196641,-1.025677,0.9886525,-0.02255983,-0.1701204,-49.07916,-33.16607,22.60509
53.33,-2.92478,0.5383689,-0.8427644,1.002809,-0.02364146,-0.1596161,-49.07916,-33.16607,22.60509
53.34,-5.263042,0.5383689,-0.659852100000001,1.00608,-0.0419812,-0.152917,-49.07916,-33.16607,22.60509
53.35,-5.139976,0.1822547,-0.4159691,1.00241,-0.05425489,-0.1586504,-49.07916,-33.16607,22.60509
53.36,-3.355512,0.1822547,-0.7817937,1.015864,-0.06998567,-0.1543626,-49.46795,-32.41144,22.21125
53.37,-0.586516899999998,0.657073599999999,-0.720822899999998,1.017331,-0.0705479,-0.1658509,-49.46795,-32.41144,22.21125
53.38,0.5210813,0.3603118,-0.903735200000002,1.011609,-0.05120575,-0.1639315,-49.46795,-32.41144,22.21125
53.39,0.0903486900000002,0.5383689,-1.025677,1.009665,-0.05110379,-0.1486138,-49.46795,-32.41144,22.21125
53.4,-0.5249836,0.5383689,-0.903735200000002,0.997304,-0.04164672,-0.1505089,-49.46795,-32.41144,22.21125
