Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
159.144245625,-0.5249836,-2.785364,3.669072,1.014048,0.02742116,-0.1266271,-41.43948,-33.26844,3.827075
159.154242992,-0.2173175,-2.963421,3.303247,1.012632,0.02495471,-0.1275812,-41.43948,-33.26844,3.827075
159.16424036,-0.03271778,-3.43824,3.120335,1.009782,0.02100648,-0.1280538,-41.43948,-33.26844,3.827075
159.174237728,0.0903486900000002,-4.091116,2.815481,1.012661,0.02356326,-0.1204022,-41.43948,-33.26844,3.827075
159.184235096,0.3980148,-4.269173,2.266744,1.016501,0.02649776,-0.1266312,-41.81423,-33.27125,3.824295
159.19423151,0.5210813,-4.565935,1.718008,1.011715,0.02211745,-0.1170502,-41.81423,-33.27125,3.824295
159.204228878,0.8287475,-4.743992,1.169271,1.015596,0.02321864,-0.1113143,-41.81423,-33.27125,3.824295
159.214226246,1.013347,-4.981401,0.864416900000002,1.012119,0.02645943,-0.1213592,-41.81423,-33.27125,3.824295
159.224223614,1.321013,-5.100106,0.31568,1.00485,0.02441592,-0.1165602,-41.81423,-33.27125,3.824295
159.234220982,1.382547,-5.100106,0.01082622,1.001323,0.030681,-0.1146414,-41.81423,-33.27125,3.824295
159.24421835,1.013347,-5.218811,-0.2940276,1.004198,0.03311927,-0.1199114,-41.81423,-33.27125,3.824295
159.254215241,0.644147799999998,-5.396868,-0.4769399,1.006643,0.03269919,-0.1180012,-41.81423,-33.27125,3.824295
159.264212608,0.4595481,-5.100106,-0.7817937,1.003297,0.02922271,-0.1189516,-41.81423,-33.27125,3.824295
159.274209976,0.3980148,-5.515573,-1.086647,1.006211,0.02977499,-0.1179997,-41.81423,-33.27125,3.824295
159.284206867,0.2134152,-5.634277,-1.330531,1.012434,0.03574241,-0.1165763,-41.82209,-32.89089,3.822267
159.294204235,0.02881546,-5.515573,-1.330531,1.017524,0.02418915,-0.1156251,-41.82209,-32.89089,3.822267
159.304201126,-0.03271778,-5.515573,-1.635384,1.016009,0.02708802,-0.1141875,-41.82209,-32.89089,3.822267
159.314198494,-0.1557842,-5.515573,-1.635384,1.012573,0.02851743,-0.1098747,-41.82209,-32.89089,3.822267
159.324195862,-0.03271778,-5.574925,-1.696355,1.012598,0.0269987,-0.1165744,-41.82209,-32.89089,3.822267
159.33419323,-0.2788507,-5.75298199999998,-1.940238,1.014125,0.02367553,-0.1113119,-41.4552,-32.50772,3.823019
159.344190598,-0.1557842,-5.278163,-1.940238,1.016633,0.01981122,-0.1141867,-41.4552,-32.50772,3.823019
159.354187965,-0.1557842,-5.100106,-2.123151,1.018048,0.02226012,-0.1151469,-41.4552,-32.50772,3.823019
159.36418438,-0.0942510000000003,-4.803344,-2.245092,1.015575,0.02411554,-0.1194503,-41.4552,-32.50772,3.823019
159.374181748,0.2749484,-4.625287,-2.428004,1.015189,0.01879327,-0.1160982,-41.4552,-32.50772,3.823019
159.384179115,0.3980148,-4.328525,-2.671887,1.012727,0.02023755,-0.1122657,-41.82378,-32.88762,4.209268
159.394176483,0.5826145,-4.031764,-2.8548,1.014242,0.01730357,-0.1175319,-41.82378,-32.88762,4.209268
159.404173851,0.644147799999998,-3.794354,-2.976741,1.012679,0.02259174,-0.120402,-41.82378,-32.88762,4.209268
159.414171219,0.767214200000001,-3.675649,-3.037712,1.009814,0.01969843,-0.1117819,-41.82378,-32.88762,4.209268
159.424168587,0.767214200000001,-3.260183,-3.098683,1.008866,0.01819557,-0.1146513,-41.82378,-32.88762,4.209268
159.434165955,0.644147799999998,-3.20083,-3.159653,1.011789,0.01826209,-0.1136993,-41.82547,-32.88435,4.59627
159.444163323,0.4595481,-2.666659,-3.220624,1.013646,0.0231582,-0.1137038,-41.82547,-32.88435,4.59627
159.454159737,0.5210813,-2.547954,-3.220624,1.011788,0.01823136,-0.1170493,-41.82547,-32.88435,4.59627
159.464157105,-0.03271778,-2.013783,-3.281595,1.012653,0.02407536,-0.1175309,-41.82547,-32.88435,4.59627
159.474154472,-0.1557842,-1.717021,-3.342566,1.015161,0.02023739,-0.1175343,-41.82547,-32.88435,4.59627
159.48415184,-0.3403839,-1.598316,-3.342566,1.017202,0.01545338,-0.113708,-41.83165,-32.50727,4.20724
159.494149208,-0.1557842,-1.242202,-3.342566,1.019241,0.01061232,-0.1161032,-41.83165,-32.50727,4.20724
159.504146099,-0.03271778,-0.886087999999999,-3.342566,1.013846,0.01241878,-0.1194443,-41.83165,-32.50727,4.20724
159.514143467,0.0903486900000002,-0.5299737,-3.464507,1.014297,0.01439778,-0.1165741,-41.83165,-32.50727,4.20724
159.524140835,0.0903486900000002,-0.05515479,-3.464507,1.01381,0.01439255,-0.1160947,-41.83165,-32.50727,4.20724
159.534137726,0.1518819,0.2416071,-3.403537,1.011888,0.01285726,-0.1203981,-41.44286,-33.2619,4.601079
