Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-5.139976,-5.278163,-1.025677,1.023198,0.006395022,-0.1606165,-40.66666,-33.18615,-2.102068
82.835422516,16.48034,12.39755,-0.4207399,1.321472,-0.02827701,-0.3985013,-37.92754,-34.66971,7.472819
82.845419407,21.27994,18.21408,-0.7255937,1.37665,0.0439273,-0.3804302,-38.32757,-33.52818,7.850956
82.855415821,20.41847,21.95328,-1.21336,1.367949,0.0932829,-0.331613,-38.32757,-33.52818,7.850956
82.865411758,18.01867,24.44608,-1.030447,1.275089,0.1336374,-0.341033,-38.32757,-33.52818,7.850956
82.875408649,13.34215,27.47305,1.347412,1.187017,0.1520262,-0.3715131,-38.32757,-33.52818,7.850956
82.885405064,9.957822,30.08455,4.33498,1.09681,0.1814802,-0.3565276,-38.32757,-33.52818,7.850956
82.895401955,6.265829,31.21225,6.225073,1.015743,0.2168014,-0.3573525,-38.31184,-34.28889,7.855012
82.905398369,-0.6874265,32.57735,7.261576,1.012623,0.2018905,-0.333893,-38.31184,-34.28889,7.855012
82.915394306,-7.579148,33.70505,8.35905,1.059596,0.1147149,-0.2971021,-38.31184,-34.28889,7.855012
82.925391197,-10.40968,34.47663,9.212641,1.092079,-0.006084838,-0.2923418,-38.31184,-34.28889,7.855012
82.935387611,-9.302079,35.18886,9.578465,1.127311,-0.09196531,-0.3009955,-38.31184,-34.28889,7.855012
82.945384502,-6.902283,35.96044,9.15167,1.153873,-0.1049591,-0.291467,-37.93819,-33.9188,6.307757
82.955380917,-6.040817,36.1385,7.749342,1.157489,-0.06334582,-0.2656409,-37.93819,-33.9188,6.307757
82.965377331,-6.533084,36.1385,6.225073,1.148779,-0.04066986,-0.2646744,-37.93819,-33.9188,6.307757
82.975373745,-7.086883,35.84173,4.944687,1.136621,-0.01542179,-0.2407309,-37.93819,-33.9188,6.307757
82.985370636,-6.717683,35.18886,3.176535,1.091202,-0.009993125,-0.2396959,-37.93819,-33.9188,6.307757
82.99536705,-4.56402,34.41727,1.713237,1.056683,-0.04045355,-0.2544638,-39.43011,-33.94367,4.684127
83.005363941,-0.1951607,34.17987,-0.1768569,1.0521,-0.08184472,-0.2539665,-39.43011,-33.94367,4.684127
83.015359879,4.850564,33.70505,-1.579184,1.037747,-0.09558553,-0.2376664,-39.43011,-33.94367,4.684127
83.025356293,7.43496,33.11152,-2.554717,1.016283,-0.06826267,-0.2323717,-39.43011,-33.94367,4.684127
83.035353184,5.219764,33.05217,-2.859571,1.018021,-0.03141081,-0.2448272,-39.43011,-33.94367,4.684127
83.045349598,0.5432381,32.93347,-3.65219,1.003496,-0.01025496,-0.2381072,-39.79808,-33.95956,3.133339
83.055345535,-2.902623,33.34893,-4.200927,0.9713002,-0.03489957,-0.2595807,-39.79808,-33.95956,3.133339
83.065342426,-3.456422,33.94246,-4.505781,0.95386,-0.06637949,-0.2633708,-39.79808,-33.95956,3.133339
83.075338841,-1.302759,34.65469,-4.871605,0.9390312,-0.08054544,-0.2394125,-39.79808,-33.95956,3.133339
83.085335732,2.512301,34.17987,-5.725196,0.9377545,-0.09022371,-0.2322291,-39.79808,-33.95956,3.133339
83.095332146,7.865692,34.47663,-5.969079,0.9318241,-0.08605952,-0.24227,-39.80227,-33.58628,2.292807
83.105328083,12.11149,34.47663,-6.151991,0.9279643,-0.06165008,-0.2216908,-39.80227,-33.58628,2.292807
83.115324974,14.94201,34.17987,-6.212962,0.9350792,-0.02489283,-0.2030482,-39.80227,-33.58628,2.292807
83.125321388,15.06508,33.82375,-6.03005,0.9551757,-0.004965999,-0.1930382,-39.80227,-33.58628,2.292807
83.135318279,13.46522,33.70505,-5.847137,0.975754,-0.01084158,-0.189244,-39.80227,-33.58628,2.292807
83.145314693,12.29609,33.40829,-5.725196,0.9956703,-0.03318646,-0.1782657,-39.4129,-33.97691,0.749608
83.155310631,12.84988,33.64569,-5.969079,1.014422,-0.04607676,-0.1936095,-39.4129,-33.97691,0.749608
83.165307522,15.18815,33.52699,-6.700728,1.042116,-0.04159822,-0.1888732,-39.4129,-33.97691,0.749608
83.175303936,15.12661,34.53598,-7.371407,1.085329,-0.006355713,-0.1482786,-39.4129,-33.97691,0.749608
83.185300827,9.219423,35.12951,-7.310436,1.110367,0.03842295,-0.03538984,-39.79998,-33.22554,-0.03123283
83.195296764,1.281637,33.28958,-7.432377,1.058984,0.02519439,0.01064645,-39.79998,-33.22554,-0.03123283
83.205293179,-5.302419,24.38672,-6.578786,0.9261728,0.01398579,0.02858817,-39.79998,-33.22554,-0.03123283
83.21529007,-11.14808,17.38314,-5.481313,0.9326314,-0.01760784,0.06687114,-39.79998,-33.22554,-0.03123283
83.225286484,-9.302079,4.800443,-6.151991,0.9349765,-0.06550838,0.03146475,-39.79998,-33.22554,-0.03123283
83.235283375,0.6663046,-7.960317,-7.798202,0.9854958,-0.1365622,-0.03608425,-39.78059,-33.99334,-0.8656807
83.245279312,13.28062,-18.16893,-8.224997,1.023663,-0.1722371,-0.08734923,-39.78059,-33.99334,-0.8656807
83.255275726,19.86467,-27.36854,-4.627722,1.020322,-0.2058403,-0.2471792,-39.78059,-33.99334,-0.8656807
83.265272617,20.11081,-36.21204,-0.4817107,1.032262,-0.1440058,-0.3659028,-39.78059,-33.99334,-0.8656807
83.275269032,11.12695,-43.21562,2.688769,1.050974,-0.07735598,-0.3980171,-39.78059,-33.99334,-0.8656807
83.285265923,-0.6258934,-47.37029,4.883717,1.065222,-0.1089361,-0.3750622,-39.02493,-34.3648,-0.4710894
83.29526186,-6.65615,-45.64907,7.871284,1.064329,-0.1646396,-0.3535104,-39.02493,-34.3648,-0.4710894
83.305258274,-4.37942,-40.78217,10.554,1.026919,-0.1436288,-0.3132502,-39.02493,-34.3648,-0.4710894
83.315255165,-2.225757,-33.48183,13.35865,0.9945712,-0.07991654,-0.2375952,-39.02493,-34.3648,-0.4710894
83.325251579,-5.056286,-24.22287,16.16331,0.9565108,-0.04937429,-0.1633574,-39.02493,-34.3648,-0.4710894
83.33524847,-10.96348,-15.32001,19.27281,0.9151801,-0.05329418,-0.1307412,-39.41459,-33.97364,1.13661
83.345244408,-15.51694,-6.120393,22.87009,0.8829668,-0.07618304,-0.1196719,-39.41459,-33.97364,1.13661
83.355241299,-17.91673,3.7321,25.73571,0.8474463,-0.1044124,-0.1009382,-39.41459,-33.97364,1.13661
83.365237713,-16.50147,13.822,28.54037,0.8438017,-0.09100431,-0.06169208,-39.41459,-33.97364,1.13661
83.375234127,-15.0862,22.78421,29.75978,0.8486364,-0.01048719,-0.03539955,-39.41459,-33.97364,1.13661
83.385231018,-18.7782,30.0252,30.00367,0.8910286,0.06925367,0.03724958,-40.54668,-33.60172,1.126241
83.395226956,-27.94665,35.07015,30.85726,0.8979324,0.06508679,0.04489583,-40.54668,-33.60172,1.126241
83.405223847,-44.86829,36.91008,35.91784,0.8406753,-0.07970083,-0.04111076,-40.54668,-33.60172,1.126241
83.415220261,-13.42481,20.70687,23.23591,0.6318912,0.3883703,-0.4802001,-40.54668,-33.60172,1.126241
83.425217152,7.558026,-1.78767,6.225073,0.9574407,0.8016712,-0.4660382,-40.54668,-33.60172,1.126241
83.435213566,-31.63864,3.079224,3.542359,1.258819,0.6181071,-0.04249796,-41.30484,-32.86025,-0.4958849
83.445209503,-41.54549,5.868785,0.7986753,1.315949,0.3555601,0.08429271,-41.30484,-32.86025,-0.4958849
83.455206394,-9.302079,7.115185,2.81071,1.282202,-0.1117469,-0.1954951,-41.30484,-32.86025,-0.4958849
83.465202808,41.7705,5.453319,10.98079,1.266467,-0.5472133,-0.2743206,-41.30484,-32.86025,-0.4958849
83.4751997,86.01289,8.955109,11.04176,1.275651,-0.5174552,-0.281523,-41.30484,-32.86025,-0.4958849
83.485195637,106.0727,11.80402,5.798278,1.107545,-0.1805866,-0.2779666,-40.94244,-32.10327,-1.271164
83.495192051,85.45909,12.04143,1.225471,1.008387,0.146658,-0.1477053,-40.94244,-32.10327,-1.271164
83.505188942,33.70965,12.39755,3.969155,0.964964,0.3587706,-0.08068357,-40.94244,-32.10327,-1.271164
83.515185356,-31.45404,13.822,11.1637,0.9698991,0.3539244,-0.1429058,-40.94244,-32.10327,-1.271164
83.525182247,-81.84976,15.83998,15.98039,1.004258,0.1827052,-0.2352868,-40.94244,-32.10327,-1.271164
83.535178185,-94.21794,18.45148,16.77301,1.002225,-0.1246298,-0.2548257,-41.33629,-31.33883,-0.5039968
83.545174599,-69.23545,19.81659,15.61457,1.025352,-0.319518,-0.3074592,-41.33629,-31.33883,-0.5039968
83.55517149,-29.85418,22.36874,13.17574,1.02577,-0.3419201,-0.3136757,-41.33629,-31.33883,-0.5039968
83.565167904,0.2355719,25.09895,9.456524,1.041235,-0.2554265,-0.2414599,-41.33629,-31.33883,-0.5039968
83.575164795,15.55735,26.46406,8.846816,1.022517,-0.08761133,-0.1830842,-41.33629,-31.33883,-0.5039968
83.585160732,16.48034,26.99823,9.94429,0.9764826,0.02950252,-0.1366123,-41.32952,-31.35191,-2.052004
83.595157146,9.896289,25.92988,10.1272,0.9972704,0.01321671,-0.1026654,-41.32952,-31.35191,-2.052004
83.605154037,8.97329,24.74284,10.06623,1.015038,-0.07618232,-0.08640178,-41.32952,-31.35191,-2.052004
83.615150452,15.24968,23.19967,10.06623,0.9968815,-0.1468358,-0.06816604,-41.32952,-31.35191,-2.052004
83.625147343,18.69554,20.35076,9.517494,0.9810521,-0.1595374,-0.04133492,-41.32952,-31.35191,-2.052004
83.63514328,21.34147,17.97667,8.115167,0.9807295,-0.168282,-0.04037496,-42.45455,-30.99361,-3.674881
83.645139694,22.1414,15.12775,7.078664,0.9979413,-0.1503077,-0.02509515,-42.45455,-30.99361,-3.674881
83.655136585,20.48001,12.75366,6.225073,1.038009,-0.1043498,-0.02804829,-42.45455,-30.99361,-3.674881
83.665132999,16.41881,10.73568,5.98119,1.029953,-0.06471004,-0.03330879,-42.45455,-30.99361,-3.674881
83.67512989,9.711689,8.658346,5.676336,1.024318,-0.0503484,-0.04478849,-42.45455,-30.99361,-3.674881
83.685125828,5.158231,6.818423,4.944687,1.022299,-0.07281175,-0.05243641,-42.07195,-31.37115,-3.670073
83.695122242,1.650836,4.919147,4.883717,1.005687,-0.07011466,-0.04044374,-42.07195,-31.37115,-3.670073
83.705119133,-3.148756,2.426348,4.274009,0.9912488,-0.07956263,-0.03275892,-42.07195,-31.37115,-3.670073
83.715115547,-6.963816,-0.6599754,3.481389,0.9825982,-0.1117355,-0.02507834,-42.07195,-31.37115,-3.670073
83.725112438,-7.886814,-3.686946,2.81071,0.9753355,-0.1143613,-0.03080792,-42.07195,-31.37115,-3.670073
83.735108375,-8.686747,-6.595212,1.652266,0.9999764,-0.1288553,-0.02175419,-42.83914,-30.61225,-3.228189
83.74510479,-7.702215,-8.731897,0.6157629,1.02893,-0.1657491,-0.0270595,-42.83914,-30.61225,-3.228189
83.755101681,-3.702555,-9.859592,0.06702613,1.012807,-0.1652546,-0.0973822,-42.83914,-30.61225,-3.228189
83.765098095,-1.671958,-10.80923,-0.8475353,1.019048,-0.1346266,-0.1093654,-42.83914,-30.61225,-3.228189
83.775094509,-0.9950927,-10.86858,-1.030447,1.018318,-0.09578764,-0.111767,-42.47028,-30.23289,-3.678938
83.785090923,-1.056626,-10.27506,-0.908506,1.007151,-0.07229362,-0.1222822,-42.47028,-30.23289,-3.678938
83.795087814,-2.041158,-9.622183,-0.7865645,1.019512,-0.08253054,-0.1524514,-42.47028,-30.23289,-3.678938
83.805084228,-1.364292,-8.138373,-0.3597692,1.008748,-0.1067956,-0.1787481,-42.47028,-30.23289,-3.678938
83.815081119,1.097037,-6.773269,-0.3597692,1.006507,-0.1177016,-0.1974059,-42.47028,-30.23289,-3.678938
83.825077057,4.789031,-5.230107,-0.2378277,1.014053,-0.07806846,-0.1840291,-42.85487,-29.85154,-3.232244
83.835073471,6.388895,-3.568241,-0.0549154,1.022075,-0.0379882,-0.1759176,-42.85487,-29.85154,-3.232244
83.845070362,4.973631,-2.143785,0.2499384,1.028059,-0.01946561,-0.1826329,-42.85487,-29.85154,-3.232244
83.855066776,3.927566,-1.550261,0.5547922,1.036481,-0.05208444,-0.1544032,-42.85487,-29.85154,-3.232244
83.865063667,4.173698,0.2896625,1.408383,1.076665,-0.08944743,-0.1290991,-42.85487,-29.85154,-3.232244
83.875059605,7.127294,2.4857,1.774207,1.029363,-0.1402375,-0.1605895,-42.48012,-29.84872,-3.229464
83.885056019,9.219423,3.791452,1.469354,1.019261,-0.1728987,-0.1500348,-42.48012,-29.84872,-3.229464
83.89505291,9.15789,5.334614,1.713237,1.010249,-0.1334786,-0.1241862,-42.48012,-29.84872,-3.229464
83.905049324,8.850224,5.275262,2.383915,0.9790863,-0.05677256,-0.1179301,-42.48012,-29.84872,-3.229464
83.915046215,5.096697,4.9785,1.591295,0.995191,-0.03140818,-0.08925017,-42.48012,-29.84872,-3.229464
83.925042152,-1.795025,4.503681,2.140032,1.007853,-0.0312633,-0.1007581,-42.847,-30.2319,-3.230216
83.935038567,-6.963816,3.7321,3.542359,1.011067,-0.04676747,-0.102674,-42.847,-30.2319,-3.230216
83.945035458,-10.04048,3.138576,3.542359,1.019086,-0.08449493,-0.100764,-42.847,-30.2319,-3.230216
83.955031872,-9.609745,3.079224,3.725272,1.007436,-0.1129316,-0.1031292,-42.847,-30.2319,-3.230216
83.965028763,-9.302079,2.366995,3.054593,1.006386,-0.1348022,-0.1012075,-42.847,-30.2319,-3.230216
83.9750247,-7.763748,2.188938,2.505857,1.007173,-0.150871,-0.106469,-42.48798,-29.46837,-3.231492
83.985021114,-6.348484,1.892177,2.201003,1.000435,-0.1033292,-0.1007266,-42.48798,-29.46837,-3.231492
83.995018005,-8.071414,0.8831862,1.95712,1.003238,-0.07055782,-0.0835112,-42.48798,-29.46837,-3.231492
84.00501442,-9.917412,-0.06645171,2.261973,1.011349,-0.06107257,-0.07347769,-42.48798,-29.46837,-3.231492
84.015011311,-10.40968,-0.9567372,2.444886,1.01633,-0.09320861,-0.09118541,-42.48798,-29.46837,-3.231492
84.025007248,-8.132948,-1.728318,2.505857,1.020113,-0.1394957,-0.112716,-42.86075,-29.47499,-3.685774
84.035003662,-3.394889,-1.78767,2.444886,1.015238,-0.1397104,-0.125629,-42.86075,-29.47499,-3.685774
84.045000553,-0.2566939,-0.6599754,2.140032,1.019341,-0.1252748,-0.1500472,-42.86075,-29.47499,-3.685774
84.054996967,0.5432381,0.8831862,2.566827,1.021994,-0.08564278,-0.1792552,-42.86075,-29.47499,-3.685774
84.064993858,-2.348824,2.723109,2.749739,1.019515,-0.0575554,-0.1845225,-42.86075,-29.47499,-3.685774
84.074989796,-6.65615,4.563033,3.298476,1.025595,-0.06937327,-0.1615584,-43.2338,-29.48108,-4.075557
84.08498621,-8.440614,5.928138,3.420418,1.008406,-0.1138107,-0.1481168,-43.2338,-29.48108,-4.075557
84.094983101,-6.963816,6.462309,3.60333,1.015138,-0.1343583,-0.1246731,-43.2338,-29.48108,-4.075557
84.104979515,-3.764088,6.699718,3.786242,1.006937,-0.1125565,-0.1141357,-43.2338,-29.48108,-4.075557
84.114976406,-0.9335595,6.046843,3.298476,0.995864,-0.1194819,-0.1035859,-43.2338,-29.48108,-4.075557
84.124972343,0.6663046,5.512671,2.993623,1.008338,-0.1090175,-0.1021747,-42.85289,-29.85535,-3.683746
84.134968758,1.404703,4.9785,3.115564,1.017009,-0.1034,-0.09118396,-42.85289,-29.85535,-3.683746
84.144965649,1.404703,4.147567,2.993623,1.017176,-0.1120295,-0.07873906,-42.85289,-29.85535,-3.683746
84.154962063,0.6663046,3.435338,2.566827,1.01043,-0.1160416,-0.07776911,-42.85289,-29.85535,-3.683746
84.164958954,-0.3182272,2.545053,2.383915,1.008049,-0.1190306,-0.08063564,-42.85289,-29.85535,-3.683746
84.174954891,-1.179692,1.654767,2.201003,1.001873,-0.1017245,-0.08780798,-43.2338,-29.48108,-4.075557
84.184951305,-3.641021,1.179948,2.261973,1.012928,-0.09380562,-0.09596509,-43.2338,-29.48108,-4.075557
84.194948196,-5.117819,1.001891,2.079061,1.010735,-0.1070966,-0.1098365,-43.2338,-29.48108,-4.075557
84.204944611,-5.548552,0.9425385,1.95712,1.012429,-0.119816,-0.1227578,-43.2338,-29.48108,-4.075557
84.214941502,-4.37942,1.120596,2.140032,1.01484,-0.09256881,-0.1242047,-43.2338,-29.48108,-4.075557
84.224937439,-4.440953,1.47671,1.835178,1.016057,-0.1050345,-0.1084106,-43.2321,-29.48434,-4.462559
84.23493433,-3.764088,1.654767,1.835178,1.020712,-0.1195953,-0.1165508,-43.2321,-29.48434,-4.462559
84.244930744,-1.364292,1.892177,1.652266,1.015229,-0.1392203,-0.1251505,-43.2321,-29.48434,-4.462559
84.254927635,0.7278378,2.188938,1.286441,1.011241,-0.1344221,-0.1232305,-43.2321,-29.48434,-4.462559
84.264924049,1.835436,2.663757,0.9206168,1.018842,-0.1241022,-0.127075,-43.2321,-29.48434,-4.462559
84.274919987,1.835436,2.782462,0.6767338,1.02018,-0.1171498,-0.113679,-42.86692,-29.09791,-4.074804
84.284916878,1.712369,2.841814,0.5547922,0.9994451,-0.1287054,-0.1102899,-42.86692,-29.09791,-4.074804
84.294913292,3.4353,2.545053,0.6767338,0.991348,-0.08648761,-0.09927938,-42.86692,-29.09791,-4.074804
84.304910183,1.52777,2.248291,0.4328507,1.014118,-0.07912929,-0.08783514,-42.86692,-29.09791,-4.074804
84.314906597,-0.4412936,1.832824,0.859646,1.027048,-0.09371965,-0.1170471,-42.86692,-29.09791,-4.074804
84.324902535,-1.241226,2.129586,0.7986753,1.02081,-0.1250045,-0.1237282,-43.23997,-29.10399,-4.464586
84.334899426,-0.1951607,2.723109,0.3718799,1.031601,-0.1286438,-0.1199175,-43.23997,-29.10399,-4.464586
84.34489584,1.404703,2.901167,0.06702613,1.015722,-0.1390175,-0.1040941,-43.23997,-29.10399,-4.464586
84.354892731,2.635368,2.545053,-0.5426815,1.005746,-0.1521333,-0.08205883,-43.23997,-29.10399,-4.464586
84.364889145,4.419831,1.654767,-1.152389,0.9949745,-0.1494348,-0.08251934,-43.61302,-29.11007,-4.854369
84.374885082,7.127294,0.5864244,-1.396272,0.9938257,-0.1138478,-0.06769064,-43.61302,-29.11007,-4.854369
84.384881973,7.004228,-0.2445088,-1.640155,1.007999,-0.09031719,-0.07585719,-43.61302,-29.11007,-4.854369
84.394878388,5.465897,-1.075442,-1.640155,1.006305,-0.07834687,-0.09165033,-43.61302,-29.11007,-4.854369
84.404875279,3.558367,-1.906375,-1.884038,1.005816,-0.1040325,-0.0830285,-43.61302,-29.11007,-4.854369
84.414871693,4.235232,-3.093422,-2.00598,1.009812,-0.1349967,-0.076806,-43.23997,-29.10399,-4.464586
84.42486763,7.25036,-3.805651,-2.676658,1.007153,-0.1491767,-0.08062632,-43.23997,-29.10399,-4.464586
84.434864521,10.57315,-4.636584,-3.530249,1.010182,-0.1550359,-0.09020162,-43.23997,-29.10399,-4.464586
84.444860935,13.40368,-5.111403,-3.835102,1.014353,-0.1438777,-0.101219,-43.23997,-29.10399,-4.464586
84.454857826,13.52675,-4.933346,-3.774132,1.010542,-0.09692193,-0.1127103,-43.23997,-29.10399,-4.464586
84.464854241,10.81929,-4.695936,-3.65219,1.016307,-0.06674545,-0.1199067,-42.86692,-29.09791,-4.074804
84.474850178,6.573495,-4.221117,-3.530249,1.018556,-0.08275025,-0.1213423,-42.86692,-29.09791,-4.074804
84.484847069,5.035164,-3.627594,-3.103454,1.015601,-0.1071583,-0.1270737,-42.86692,-29.09791,-4.074804
84.494843483,5.958162,-3.390184,-3.286366,1.021634,-0.1165825,-0.1079388,-42.86692,-29.09791,-4.074804
84.504840374,8.542558,-2.856013,-3.774132,1.014799,-0.142083,-0.118449,-42.86692,-29.09791,-4.074804
84.514836788,12.41915,-2.677956,-3.957044,1.013253,-0.1377971,-0.1246689,-42.85905,-29.47826,-4.072776
84.524832726,13.09602,-2.143785,-4.322868,1.023416,-0.1078705,-0.1156014,-42.85905,-29.47826,-4.072776
84.534829617,12.11149,-2.084432,-4.627722,1.018176,-0.1142869,-0.115112,-42.85905,-29.47826,-4.072776
84.544826031,13.21908,-2.143785,-4.688693,1.012273,-0.1372296,-0.1136601,-42.85905,-29.47826,-4.072776
84.554822922,15.55735,-2.321842,-5.115488,1.003381,-0.1304925,-0.1016819,-42.85905,-29.47826,-4.072776
84.564819336,16.54188,-2.677956,-4.871605,0.9933788,-0.09081219,-0.09832465,-43.61023,-29.48062,-3.691336
84.574815273,14.38822,-3.212127,-4.627722,1.001851,-0.04878803,-0.0911716,-43.61023,-29.48062,-3.691336
84.584812164,10.20396,-3.686946,-4.322868,1.021415,-0.05285833,-0.1002976,-43.61023,-29.48062,-3.691336
84.594808578,6.511962,-3.508889,-3.896073,1.019691,-0.06517692,-0.1151273,-43.61023,-29.48062,-3.691336
84.604805469,3.312233,-3.27148,-3.530249,1.018154,-0.08703078,-0.1103332,-43.61023,-29.48062,-3.691336
84.614801884,3.4353,-2.856013,-3.530249,1.016069,-0.1318224,-0.1151038,-43.22343,-30.23144,-2.845995
84.624798775,7.004228,-2.856013,-3.713161,1.01358,-0.1289428,-0.1136645,-43.22343,-30.23144,-2.845995
84.634794712,8.542558,-2.915365,-3.530249,1.005922,-0.08434803,-0.1093554,-43.22343,-30.23144,-2.845995
84.644791126,8.357958,-3.152775,-3.59122,1.006724,-0.07505982,-0.105052,-43.22343,-30.23144,-2.845995
84.654788017,7.188828,-2.974718,-3.164424,1.017824,-0.06959604,-0.11608,-43.22343,-30.23144,-2.845995
84.664784431,4.112165,-2.915365,-2.554717,1.012249,-0.05797341,-0.1084161,-42.85039,-30.22536,-2.456212
84.674781322,1.220104,-2.915365,-2.310834,1.009003,-0.06680202,-0.1103225,-42.85039,-30.22536,-2.456212
84.68477726,-0.9335595,-2.796661,-1.701126,1.009893,-0.06248116,-0.1179824,-42.85039,-30.22536,-2.456212
84.694774151,-3.764088,-2.381194,-1.579184,1.021725,-0.07015844,-0.1328369,-42.85039,-30.22536,-2.456212
84.704770565,-5.425486,-1.312851,-1.21336,1.023919,-0.08326183,-0.1357088,-42.85039,-30.22536,-2.456212
84.714767456,-6.102351,-0.4819183,-0.908506,1.021574,-0.08818951,-0.1380963,-42.47395,-30.22581,-2.840433
84.72476387,-7.333015,0.527072,-0.7255937,1.023568,-0.09057982,-0.1380991,-42.47395,-30.22581,-2.840433
84.734759808,-8.132948,1.47671,-0.2987984,1.017926,-0.07565781,-0.1414432,-42.47395,-30.22581,-2.840433
84.744756699,-9.055946,2.723109,0.3718799,1.023123,-0.04106643,-0.1428969,-42.47395,-30.22581,-2.840433
84.754753113,-12.25567,3.375986,0.859646,1.018771,-0.04246549,-0.1270959,-42.47395,-30.22581,-2.840433
84.764750004,-14.04014,4.028862,1.469354,1.009171,-0.07618511,-0.1270705,-42.08517,-30.98044,-2.446595
84.774746418,-12.93254,4.147567,1.530324,1.023568,-0.1162338,-0.1270853,-42.08517,-30.98044,-2.446595
84.784742355,-10.71734,4.384976,1.469354,1.018871,-0.09912129,-0.1055456,-42.08517,-30.98044,-2.446595
84.794739246,-10.90194,3.850805,1.591295,0.9986019,-0.08336724,-0.09259276,-42.08517,-30.98044,-2.446595
84.804735661,-12.44027,3.019871,1.469354,1.001251,-0.09435996,-0.07823727,-42.08517,-30.98044,-2.446595
84.814732552,-12.99407,2.010881,1.896149,0.9987065,-0.08857455,-0.07775574,-42.84502,-30.23571,-3.681718
84.824728966,-13.54787,0.7644814,1.896149,1.001577,-0.08552762,-0.06962574,-42.84502,-30.23571,-3.681718
84.834724903,-14.77854,-0.2445088,1.530324,1.013161,-0.1057829,-0.07777651,-42.84502,-30.23571,-3.681718
84.844721794,-14.40934,-1.134794,1.286441,1.006557,-0.1176856,-0.08972634,-42.84502,-30.23571,-3.681718
84.854718208,-13.48634,-1.906375,0.9206168,1.020395,-0.1281687,-0.0969264,-42.84502,-30.23571,-3.681718
84.864715099,-11.08654,-2.143785,0.6157629,1.016725,-0.1147928,-0.1141522,-42.83914,-30.61225,-3.228189
84.874711513,-9.486679,-1.906375,0.5547922,1.011991,-0.09650825,-0.1237202,-42.83914,-30.61225,-3.228189
84.884707451,-8.994413,-1.194147,0.5547922,1.021006,-0.08377022,-0.131875,-42.83914,-30.61225,-3.228189
84.894704342,-9.117479,-0.8973849,0.859646,1.015635,-0.083522,-0.1462229,-42.83914,-30.61225,-3.228189
84.904700756,-9.179012,-0.06645171,0.859646,1.021286,-0.09891661,-0.1414431,-42.83914,-30.61225,-3.228189
84.914697647,-7.579148,0.5864244,1.530324,1.006967,-0.06262229,-0.1270702,-42.47645,-29.85581,-4.067967
84.924694061,-7.886814,1.001891,1.95712,1.006092,-0.04163006,-0.1146311,-42.47645,-29.85581,-4.067967
84.934690952,-9.302079,1.298653,2.201003,1.019464,-0.0794009,-0.1290019,-42.47645,-29.85581,-4.067967
84.94468689,-7.148416,1.832824,2.201003,1.023395,-0.1333812,-0.1419164,-42.47645,-29.85581,-4.067967
84.954683304,-3.517955,2.366995,1.835178,1.015418,-0.1495047,-0.1342412,-43.22594,-29.86143,-4.073528
84.964680195,-0.6258934,2.841814,1.1645,1.01296,-0.1479463,-0.1179657,-43.22594,-29.86143,-4.073528
84.974676609,0.9124374,2.841814,0.3109092,1.003291,-0.1519985,-0.1150763,-43.22594,-29.86143,-4.073528
