Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
13.477634907,-5.141944,0.875523700000001,3.037678,0.2747346,-0.1603077,0.90237,-19.85968,-13.34974,-14.45314
13.487546921,-2.045042,2.506578,2.362686,0.2970676,-0.1679049,0.9731763,-19.85483,-13.72434,-14.45198
13.497458458,1.733179,3.263854,1.442243,0.2905956,-0.1677963,1.009729,-19.85483,-13.72434,-14.45198
13.507370472,2.476436,1.632799,0.951339199999998,0.280378,-0.1703376,1.011727,-19.85483,-13.72434,-14.45198
13.517282486,-0.1869005,-0.1147597,0.583161800000002,0.2656481,-0.1683624,0.9604996,-19.85483,-13.72434,-14.45198
13.527194023,-4.832254,-2.50309,0.460436,0.2496271,-0.1819238,0.9082201,-19.85483,-13.72434,-14.45198
13.537106037,-7.681405,-4.017641,0.828613499999998,0.2638537,-0.2061122,0.8843997,-19.84998,-14.09893,-14.45083
13.547018051,-5.018068,-3.551625,1.503605,0.2778717,-0.212112,0.9091983,-19.84998,-14.09893,-14.45083
13.556929588,1.113798,-1.978823,2.546775,0.2959168,-0.188495,0.9322363,-19.84998,-14.09893,-14.45083
13.566841602,6.31659499999999,-0.930287099999998,3.589944,0.2962061,-0.1544464,0.9526271,-19.84998,-14.09893,-14.45083
13.576753616,5.449462,-1.512807,3.71267,0.2734053,-0.1256203,0.9563911,-19.84998,-14.09893,-14.45083
13.58666563,-0.06302445,-3.435122,3.28313,0.2434421,-0.1124063,0.9586769,-19.48381,-13.34788,-14.00537
13.596577644,-4.088998,-5.998208,2.485412,0.2254624,-0.1262332,0.9534693,-19.48381,-13.34788,-14.00537
13.606489658,-2.974113,-7.97877500000003,1.871783,0.2335514,-0.1542897,0.9464854,-19.48381,-13.34788,-14.00537
13.616401672,1.423489,-7.74576700000002,2.117234,0.267507,-0.1564415,0.9173475,-19.48381,-13.34788,-14.00537
13.626313686,5.139772,-6.69723099999998,2.424049,0.2664109,-0.1452958,0.9188724,-19.48381,-13.34788,-14.00537
13.6362257,6.06884200000002,-5.82345200000001,2.669501,0.2750438,-0.144537,0.9509681,-19.48542,-13.34971,-14.45508
13.646136761,5.263648,-3.842885,2.301323,0.2846184,-0.1481752,0.9743831,-19.48542,-13.34971,-14.45508
13.656048775,2.786126,-1.279799,1.564968,0.2901183,-0.1426788,0.992615,-19.48542,-13.34971,-14.45508
13.665960789,0.2466658,-0.930287099999998,1.012702,0.2739417,-0.1429021,0.9884416,-19.48542,-13.34971,-14.45508
13.675872803,-0.9301572,-1.920571,0.3377102,0.272668,-0.1391659,0.9639902,-19.48542,-13.34971,-14.45508
13.685784817,0.5563561,-2.50309,0.705887599999999,0.2728127,-0.1459199,0.9701859,-20.23095,-13.34638,-13.61601
13.695696831,0.866046300000002,-1.163295,1.933146,0.2828406,-0.1622533,0.9752661,-20.23095,-13.34638,-13.61601
13.705608845,0.1227897,2.157067,1.994509,0.2823451,-0.1666531,0.9694795,-20.23095,-13.34638,-13.61601
13.715520382,1.423489,4.370642,1.626331,0.2867552,-0.1487927,0.9436292,-20.23095,-13.34638,-13.61601
13.725432396,1.609303,6.1182,0.767250500000003,0.2990008,-0.1457015,0.9492984,-20.23095,-13.34638,-13.61601
13.73534441,4.148763,8.79779099999998,0.583161800000002,0.3089231,-0.1598904,0.994247,-19.46926,-14.47167,-14.00191
13.747734547,6.06884200000002,10.95311,0.583161800000002,0.3145397,-0.175309,0.999374,-19.46926,-14.47167,-14.00191
13.757646561,2.724188,12.29291,0.03089567,0.3202925,-0.1694415,0.9950384,-19.46926,-14.47167,-14.00191
13.767557621,-3.407679,15.38026,0.0922585699999997,0.3256028,-0.1620926,0.996959,-19.46926,-14.47167,-14.00191
13.777469635,-9.16791799999997,19.05013,-0.582733500000001,0.3312026,-0.1636219,0.9690478,-19.46926,-14.47167,-14.00191
13.787381649,-11.21187,22.54525,-0.09183015,0.3212446,-0.1667642,0.947992,-18.73529,-13.34782,-14.00926
13.797293663,-10.2828,24.58407,0.3377102,0.3111802,-0.157279,0.9313428,-18.73529,-13.34782,-14.00926
13.807205677,-9.10597999999999,25.69086,0.5217989,0.2915744,-0.1643778,0.9185125,-18.73529,-13.34782,-14.00926
13.817117691,-4.212874,25.57436,1.503605,0.2806796,-0.1784822,0.9362852,-18.73529,-13.34782,-14.00926
13.827029705,1.175737,26.79765,3.958122,0.2829128,-0.1956261,0.9908884,-18.73529,-13.34782,-14.00926
13.836941719,3.405506,30.11801,5.308106,0.2694347,-0.1981257,1.008762,-19.85644,-13.72617,-14.9017
13.846853256,5.449462,32.33158,6.28991200000003,0.2706738,-0.1835918,1.003566,-19.85644,-13.72617,-14.9017
13.85676527,6.19271900000002,33.20536,7.946711,0.2398802,-0.1525128,0.9934942,-19.85644,-13.72617,-14.9017
13.866677284,2.228683,28.19569,8.37625100000002,0.2066228,-0.1582992,0.9860806,-19.85644,-13.72617,-14.9017
13.876589298,2.66225,27.55492,6.84217800000002,0.2237821,-0.2056178,0.9827257,-19.85644,-13.72617,-14.9017
