Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-2.664423,8.681286,-0.1531931,0.9742987,-0.001444742,0.309245,-37.12508,-28.95401,2.325641
0.022292614,-8.858228,7.516247,3.160404,0.9956152,-0.01128264,0.2307165,-37.12646,-28.95558,1.940173
0.024769306,-7.805281,7.516247,3.71267,0.9984844,-0.00835273,0.2278285,-37.12646,-28.95558,1.940173
0.034677029,-4.088998,7.865759,4.694477,0.9815081,0.0005244727,0.2040368,-37.12646,-28.95558,1.940173
0.044584274,-3.655432,7.108484,5.553557,0.9689808,0.01484765,0.1912838,-37.12646,-28.95558,1.940173
0.054492474,-4.212874,5.477429,5.492195,0.9504221,0.04413418,0.1801267,-37.50832,-28.58415,1.170029
0.064400196,-0.2488386,4.487145,3.528581,0.9671503,0.05024989,0.1972985,-37.50832,-28.58415,1.170029
0.074307442,9.165745,5.011413,1.626331,0.9925716,0.0637366,0.2125182,-37.50832,-28.58415,1.170029
0.084215641,18.45645,6.642468,-0.09183015,1.006664,0.09118595,0.2360985,-37.50832,-28.58415,1.170029
0.094122887,21.42948,7.050232,-1.073637,1.017668,0.1287617,0.2564138,-37.50832,-28.58415,1.170029
0.104030609,16.10281,7.108484,-1.56454,1.020351,0.1662291,0.2758449,-37.87911,-28.96034,0.7876616
0.113938808,4.953958,6.933728,-0.4600076,1.001696,0.1659576,0.268333,-37.87911,-28.96034,0.7876616
0.123846054,-6.071015,5.360925,1.81042,0.9876761,0.1336679,0.2461603,-37.87911,-28.96034,0.7876616
0.133754253,-14.12296,3.380358,4.633114,0.9699435,0.08923791,0.2292228,-37.87911,-28.96034,0.7876616
0.143661976,-18.89219,1.341539,6.719453,0.9623824,0.01440269,0.2148696,-37.87911,-28.96034,0.7876616
0.153569222,-21.12196,-0.2312636,7.578534,0.9709963,-0.04606359,0.2211093,-37.50729,-28.64632,1.234467
0.163477421,-17.77731,0.9337757,6.535364,0.9920941,-0.1130709,0.2449559,-37.50729,-28.64632,1.234467
0.173385143,-11.39769,2.273571,5.124017,0.9903915,-0.08589484,0.2537955,-37.50729,-28.64632,1.234467
0.183292389,-6.690396,3.205602,3.160404,0.977859,-0.01328598,0.2611174,-37.50729,-28.64632,1.234467
