Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
32.710025787,-1.549538,-0.1730116,0.0922585699999997,0.9886889,-0.05119766,-0.1574532,-35.10846,-15.21349,-11.79811
32.719937801,-1.735352,-0.4642715,0.03089567,0.9901189,-0.04729601,-0.1564801,-35.48432,-15.21535,-12.24588
32.729848862,-1.735352,-0.6972793,0.2149844,0.9940672,-0.0516182,-0.1579859,-35.48432,-15.21535,-12.24588
32.739760399,-2.168918,-0.5225234,0.2763473,0.9979452,-0.04963555,-0.1589689,-35.48432,-15.21535,-12.24588
32.749672413,-2.41667,-0.1730116,0.2763473,1.001457,-0.05296111,-0.1542219,-35.48432,-15.21535,-12.24588
32.759583473,-2.41667,-0.1147597,0.3377102,0.9955298,-0.05208988,-0.1589629,-35.85858,-15.21538,-12.24393
32.769495487,-2.41667,0.0599961999999999,0.460436,0.9957244,-0.05930572,-0.1484493,-35.85858,-15.21538,-12.24393
32.779407024,-2.41667,0.0599961999999999,0.2149844,0.9873709,-0.05747998,-0.1502805,-35.85858,-15.21538,-12.24393
32.789318085,-2.788299,-0.2312636,0.1536215,0.9885259,-0.06859513,-0.1460438,-35.85858,-15.21538,-12.24393
32.799230099,-2.912175,-0.4060195,0.03089567,0.9889061,-0.05742609,-0.1435721,-35.85858,-15.21538,-12.24393
32.809141159,-3.469617,-0.2312636,0.03089567,0.9958726,-0.06800906,-0.1441872,-35.87313,-14.09159,-12.24739
32.819052696,-3.531555,-0.05650773,0.03089567,0.9967582,-0.06316682,-0.1475243,-35.87313,-14.09159,-12.24739
32.82896471,-3.655432,0.351256,0.03089567,0.9958072,-0.0670675,-0.1494621,-35.87313,-14.09159,-12.24739
32.838875771,-3.469617,0.351256,0.03089567,0.9947391,-0.06322423,-0.153748,-35.87313,-14.09159,-12.24739
32.848787308,-3.221865,0.46776,0.1536215,0.9942724,-0.05931629,-0.1469955,-35.87313,-14.09159,-12.24739
32.858699322,-2.974113,0.1182482,-0.03046724,0.9899021,-0.05935565,-0.1440744,-35.1133,-14.83889,-11.79927
32.868610382,-2.912175,0.351256,0.0922585699999997,0.9884458,-0.06229537,-0.1464812,-35.1133,-14.83889,-11.79927
32.878521919,-2.788299,0.001744238,-0.09183015,0.9858986,-0.05164755,-0.143986,-35.1133,-14.83889,-11.79927
32.888433933,-2.41667,-0.05650773,-0.03046724,0.9879256,-0.05597621,-0.1421129,-35.1133,-14.83889,-11.79927
32.898344994,-1.983104,-0.2312636,-0.03046724,0.9868834,-0.05553414,-0.1478622,-35.1133,-14.83889,-11.79927
32.908256531,-1.79729,-0.1730116,-0.09183015,0.9872828,-0.05752584,-0.1589228,-35.48618,-14.83735,-11.41185
32.918168545,-1.673414,-0.2895156,-0.09183015,0.9902512,-0.0579589,-0.1560722,-35.48618,-14.83735,-11.41185
32.928079605,-1.983104,-0.1730116,0.03089567,0.9931705,-0.05841745,-0.1580229,-35.48618,-14.83735,-11.41185
32.937991142,-2.292794,-0.4642715,0.1536215,0.9961486,-0.06421128,-0.1604898,-35.48618,-14.83735,-11.41185
32.947902679,-2.850237,-0.4642715,0.2149844,0.9957075,-0.06077794,-0.15182,-35.48618,-14.83735,-11.41185
32.960292339,-2.912175,-0.4060195,0.0922585699999997,0.9888051,-0.05845427,-0.1546217,-35.48917,-14.84075,-12.24703
32.9702034,-3.097989,-0.6972793,0.2149844,0.9912987,-0.06132502,-0.1532234,-35.48917,-14.84075,-12.24703
32.980115414,-3.097989,-1.163295,0.1536215,0.9860139,-0.06378267,-0.1469488,-35.48917,-14.84075,-12.24703
32.990026951,-2.540546,-1.338051,0.03089567,0.9914243,-0.06564993,-0.146051,-35.48917,-14.84075,-12.24703
32.999938011,-2.230856,-1.512807,-0.03046724,0.9893135,-0.058438,-0.1527056,-35.48917,-14.84075,-12.24703
33.009850025,-1.79729,-1.454555,-0.1531931,0.9928329,-0.0607838,-0.1460316,-35.49402,-14.46616,-12.24819
33.019761086,-1.239847,-1.454555,-0.2759189,0.9928575,-0.0661369,-0.1499087,-35.49402,-14.46616,-12.24819
33.0296731,-0.9301572,-1.687563,-0.2759189,0.9928374,-0.06858634,-0.1547265,-35.49402,-14.46616,-12.24819
33.039584637,-0.8682191,-1.629311,-0.3372818,0.9909038,-0.06713587,-0.1508576,-35.49402,-14.46616,-12.24819
33.049495697,-1.177909,-1.804067,-0.2759189,0.993744,-0.06714784,-0.160007,-35.49402,-14.46616,-12.24819
33.059407711,-1.4876,-1.804067,-0.1531931,0.9971785,-0.06319642,-0.1542505,-35.86828,-14.46619,-12.24624
33.069319248,-1.611476,-2.095326,0.03089567,0.9942439,-0.06518476,-0.1566374,-35.86828,-14.46619,-12.24624
33.079230309,-1.735352,-2.037075,0.1536215,0.9981629,-0.06415641,-0.1547462,-35.86828,-14.46619,-12.24624
33.089142323,-1.673414,-1.920571,0.3377102,0.9951652,-0.05837278,-0.1541998,-35.86828,-14.46619,-12.24624
33.09905386,-1.301785,-1.745815,0.2149844,0.9961241,-0.05885817,-0.1566127,-35.86828,-14.46619,-12.24624
