Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
181.16830492,-2.33015,1.188897,0.3637608,0.9642035,-0.06396665,-0.2235737,-53.12879,2.523393,36.10352
181.178217888,-2.33015,0.3733699,0.3023979,0.9785832,-0.07539245,-0.2175407,-52.75453,2.523423,36.10157
181.188129902,-2.268212,0.02385816,0.179672,0.9874749,-0.08011325,-0.2142933,-52.75453,2.523423,36.10157
181.198042393,-2.082398,0.664629799999999,0.241035,0.9997286,-0.08140816,-0.2129748,-52.75453,2.523423,36.10157
181.207954407,-1.710769,1.247149,0.1183091,0.9972789,-0.07851447,-0.2100519,-52.75453,2.523423,36.10157
181.217866898,-1.277203,2.528692,0.179672,0.9977081,-0.07805164,-0.2153345,-52.75453,2.523423,36.10157
181.227779388,-1.091389,3.111212,0.3637608,0.9917349,-0.07330205,-0.2200492,-52.76583,3.270784,35.64955
181.237691402,-0.8436368,3.868488,0.4251237,0.9828525,-0.07101543,-0.2252336,-52.76583,3.270784,35.64955
181.24760437,-0.5958846,4.101495,0.3637608,0.9793316,-0.06525571,-0.2280436,-52.76583,3.270784,35.64955
181.257516861,-0.3481324,4.451007,0.6092124,0.9788352,-0.06916815,-0.2333468,-52.76583,3.270784,35.64955
181.267428875,-0.03844209,4.625763,0.6092124,0.9749578,-0.0740774,-0.2357444,-52.76583,3.270784,35.64955
181.277341366,0.02349596,4.684015,0.5478495,0.9728963,-0.06976659,-0.2409784,-53.5095,2.896128,35.6546
181.289731979,0.2712482,4.800519,0.3637608,0.9659667,-0.06062779,-0.2384526,-53.5095,2.896128,35.6546
181.299643993,0.1473721,4.567511,0.5478495,0.9663999,-0.05967506,-0.2427717,-53.5095,2.896128,35.6546
181.309556484,0.2712482,4.392755,0.5478495,0.9609882,-0.0597597,-0.2460833,-53.5095,2.896128,35.6546
181.319469452,-0.1003801,3.693732,0.3637608,0.955918,-0.05698811,-0.2604227,-53.5095,2.896128,35.6546
181.329381466,-0.4720085,3.285968,0.3637608,0.9607802,-0.05059959,-0.2556235,-53.13039,2.521563,35.6538
181.339293957,-0.5339465,2.819952,0.05694623,0.9705896,-0.05192487,-0.2542826,-53.13039,2.521563,35.6538
181.349206448,-0.2242562,2.586944,0.05694623,0.9701675,-0.05628644,-0.2528673,-53.13039,2.521563,35.6538
181.359118462,0.1473721,2.295685,-0.1885054,0.9717543,-0.0576691,-0.2428079,-53.13039,2.521563,35.6538
181.369030953,0.5190004,2.353937,-0.1885054,0.9734105,-0.06486927,-0.2327878,-53.13039,2.521563,35.6538
181.37894392,1.076443,2.237433,-0.0657795900000002,0.9748986,-0.07118139,-0.2381254,-53.5095,2.896128,35.6546
181.388855934,1.510009,2.062677,-0.433957,0.9759844,-0.07403977,-0.2309521,-53.5095,2.896128,35.6546
181.398768425,2.191328,2.237433,-0.3112312,0.978654,-0.08462391,-0.2214441,-53.5095,2.896128,35.6546
181.408680916,2.810708,2.120929,-0.49532,0.9768026,-0.08800863,-0.2152075,-53.5095,2.896128,35.6546
181.41859293,3.739779,2.412189,-0.49532,0.975817,-0.08900054,-0.2171256,-53.5095,2.896128,35.6546
