Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
111.94,-0.349044,-3.001947,1.096821,0.9802477,-0.05692361,-0.2470082,-67.88428,-22.1962,15.76914
111.95,0.0857673999999997,-2.347349,0.912912400000001,0.9832358,-0.05590606,-0.2422502,-68.25479,-22.18565,16.21917
111.96,1.017506,-2.049804,0.5450944,0.9747303,-0.05310433,-0.2536061,-68.25479,-22.18565,16.21917
111.97,1.328086,-1.454715,0.2998824,0.9805979,-0.05402954,-0.2546559,-68.25479,-22.18565,16.21917
111.98,1.576549,-0.919134499999999,0.4837914,0.9801566,-0.05255555,-0.2498452,-68.25479,-22.18565,16.21917
111.99,1.328086,-0.5620809,0.4224884,0.9714565,-0.05309175,-0.2425377,-68.25479,-22.18565,16.21917
112,1.390202,-0.3240451,0.5450944,0.9749553,-0.05059902,-0.2348994,-68.25278,-22.5538,16.22294
112.01,1.576549,-0.5620809,0.1159734,0.9637026,-0.04874614,-0.2332858,-68.25278,-22.5538,16.22294
112.02,1.390202,-0.978643400000001,-0.00663260700000003,0.9671964,-0.04967245,-0.2290306,-68.25278,-22.5538,16.22294
112.03,1.452318,-1.097661,-0.0679356,0.9672232,-0.04917659,-0.2266308,-68.25278,-22.5538,16.22294
112.04,1.328086,-1.395206,-0.00663260700000003,0.9697619,-0.05205783,-0.2223785,-68.25278,-22.5538,16.22294
112.05,1.141738,-1.454715,-0.0679356,0.9696925,-0.04621888,-0.2223282,-68.62777,-21.80784,16.60141
112.06,0.5205788,-1.692751,-0.1292386,0.9783487,-0.04471881,-0.2320229,-68.62777,-21.80784,16.60141
112.07,0.3342311,-1.514224,0.1772764,0.9724542,-0.04868351,-0.2372436,-68.62777,-21.80784,16.60141
112.08,0.2721151,-1.097661,0.1772764,0.976288,-0.04915979,-0.2435318,-68.62777,-21.80784,16.60141
112.09,0.5205788,-0.978643400000001,0.05467039,0.9753019,-0.05454119,-0.2488344,-68.62777,-21.80784,16.60141
112.1,0.955390199999998,-0.681098800000003,-0.1905416,0.9752359,-0.05944225,-0.2579796,-68.25479,-22.18565,16.21917
112.11,1.26597,-0.3240451,-0.4357536,0.9749675,-0.05987186,-0.2421658,-68.25479,-22.18565,16.21917
112.12,1.141738,0.0925174100000002,-0.926177599999998,0.9744923,-0.05059589,-0.232976,-68.25479,-22.18565,16.21917
112.13,0.4584629,-0.0860094100000002,-0.5583596,0.9778365,-0.03838274,-0.2281286,-68.25479,-22.18565,16.21917
112.14,-0.1626963,0.5090799,-0.1292386,0.9791367,-0.0369528,-0.2391566,-68.25479,-22.18565,16.21917
112.15,-0.8459713,0.5685889,0.5450944,0.9719602,-0.03892468,-0.2290078,-67.8783,-22.18462,16.60132
112.16,-0.659623600000002,0.5090799,0.4224884,0.9710903,-0.05354921,-0.2339108,-67.8783,-22.18462,16.60132
112.17,-0.1005803,0.3305531,0.2385794,0.9744857,-0.05499181,-0.2373258,-67.8783,-22.18462,16.60132
112.18,0.5826947,0.1520263,0.1772764,0.9720424,-0.05354803,-0.2358411,-67.8783,-22.18462,16.60132
112.19,0.5205788,-0.02650047,0.1159734,0.9670561,-0.04775956,-0.237638,-67.8783,-22.18462,16.60132
112.2,0.4584629,0.03300848,0.1772764,0.9699531,-0.04237394,-0.2357171,-68.99948,-22.17167,16.60711
112.21,-0.1005803,-0.3835541,0.3611854,0.9722284,-0.0466598,-0.2161385,-68.99948,-22.17167,16.60711
112.22,-0.597507699999999,-0.621589799999997,0.4837914,0.9686782,-0.0442849,-0.2232558,-68.99948,-22.17167,16.60711
112.23,-0.597507699999999,-0.7406077,0.2998824,0.9745603,-0.04422953,-0.2223808,-68.99948,-22.17167,16.60711
112.24,-0.8459713,-0.859625600000002,0.4224884,0.9741247,-0.04763617,-0.2214449,-68.99948,-22.17167,16.60711
112.25,-0.721739499999999,-1.038152,0.4837914,0.9682035,-0.04770267,-0.2251947,-68.25203,-22.1803,16.60325
112.26,-0.5353917,-1.15717,0.606397400000002,0.9720526,-0.04670993,-0.2290748,-68.25203,-22.1803,16.60325
112.27,-0.4732758,-1.15717,0.5450944,0.9744488,-0.05353764,-0.2387505,-68.25203,-22.1803,16.60325
112.28,-0.2869281,-1.097661,0.2385794,0.9725119,-0.05794336,-0.2411561,-68.25203,-22.1803,16.60325
112.29,-0.4111599,-0.7406077,0.2998824,0.9728492,-0.04626488,-0.2420208,-68.25203,-22.1803,16.60325
112.3,-0.5353917,-0.443063,0.4224884,0.9788311,-0.05789854,-0.244121,-67.87905,-22.55811,16.221
112.31,-0.2869281,-0.0860094100000002,0.05467039,0.9768116,-0.06086307,-0.2513052,-67.87905,-22.55811,16.221
112.32,0.0857673999999997,-0.1455183,-0.1292386,0.9798025,-0.06667989,-0.2523554,-67.87905,-22.55811,16.221
112.33,0.5205788,0.5685889,-0.4970566,0.9801913,-0.05547501,-0.2498703,-67.87905,-22.55811,16.221
112.34,0.3342311,0.866133600000002,-0.742268600000001,0.97431,-0.04625382,-0.2425207,-67.87905,-22.55811,16.221
112.35,-0.1005803,1.580241,-0.1292386,0.9762946,-0.04476387,-0.239182,-68.62978,-21.43969,16.59764
112.36,-0.5353917,1.758768,0.05467039,0.975341,-0.04574193,-0.2382183,-68.62978,-21.43969,16.59764
112.37,-0.2248122,1.818277,-0.00663260700000003,0.9729773,-0.04769305,-0.2338883,-68.62978,-21.43969,16.59764
112.38,0.2721151,1.818277,0.1159734,0.9724961,-0.05550675,-0.2401769,-68.62978,-21.43969,16.59764
112.39,0.7069265,1.580241,-0.1292386,0.9724831,-0.0511164,-0.2372645,-68.62978,-21.43969,16.59764
112.4,0.831158300000001,1.342205,-0.1292386,0.9681898,-0.04819482,-0.2266363,-67.8783,-22.18462,16.60132
112.41,0.7069265,1.342205,-0.1292386,0.9740559,-0.05009691,-0.2286527,-67.8783,-22.18462,16.60132
112.42,0.769042399999998,1.04466,-0.00663260700000003,0.9730091,-0.0481722,-0.231976,-67.8783,-22.18462,16.60132
112.43,0.644810599999997,0.866133600000002,0.2998824,0.9700935,-0.03989277,-0.2232389,-67.8783,-22.18462,16.60132
112.44,0.2721151,0.3900621,0.2998824,0.9697106,-0.04719019,-0.2218575,-67.8783,-22.18462,16.60132
112.45,0.2721151,-0.0860094100000002,0.2998824,0.9658399,-0.04965379,-0.2208647,-68.62576,-22.17599,16.60518
112.46,0.2721151,-0.7406077,0.2385794,0.9722031,-0.05057286,-0.2214423,-68.62576,-22.17599,16.60518
112.47,0.2099992,-0.978643400000001,0.2998824,0.9711872,-0.04961573,-0.2233366,-68.62576,-22.17599,16.60518
112.48,0.1478833,-1.454715,0.5450944,0.9706686,-0.04767558,-0.223792,-68.62576,-22.17599,16.60518
112.49,0.2099992,-1.633242,0.4837914,0.9667927,-0.04916418,-0.2223118,-68.62576,-22.17599,16.60518
112.5,-0.1005803,-2.049804,0.2385794,0.9691861,-0.04915752,-0.2261794,-68.62576,-22.17599,16.60518
112.51,-0.5353917,-2.228331,0.2385794,0.969642,-0.04086281,-0.2213239,-68.62576,-22.17599,16.60518
112.52,-1.529246,-2.28784,0.606397400000002,0.978929,-0.04029445,-0.2214515,-68.62576,-22.17599,16.60518
112.53,-1.839826,-2.347349,0.912912400000001,0.9802225,-0.04326042,-0.2368293,-68.62576,-22.17599,16.60518
112.54,-1.653478,-2.168822,1.342033,0.9723312,-0.05262442,-0.2497343,-68.62576,-22.17599,16.60518
112.55,-0.8459713,-1.871277,1.158124,0.9735131,-0.06866918,-0.2489281,-68.25479,-22.18565,16.21917
112.56,0.0857673999999997,-1.871277,0.2998824,0.9750592,-0.06375149,-0.2388455,-68.25479,-22.18565,16.21917
112.57,0.893274199999998,-1.871277,0.05467039,0.9739069,-0.05404524,-0.2430599,-68.25479,-22.18565,16.21917
112.58,0.893274199999998,-1.633242,0.4224884,0.977183,-0.04380439,-0.244937,-68.25479,-22.18565,16.21917
112.59,-0.03846443,-1.15717,0.729003399999998,0.9783284,-0.04521281,-0.2339436,-68.25479,-22.18565,16.21917
112.6,-0.659623600000002,-0.978643400000001,0.729003399999998,0.9758764,-0.04523619,-0.2343881,-68.63375,-21.81942,15.76923
112.61,-0.659623600000002,-0.859625600000002,0.606397400000002,0.9748439,-0.04672496,-0.2396571,-68.63375,-21.81942,15.76923
112.62,-0.783855400000002,-0.5620809,0.851609299999997,0.972376,-0.04870579,-0.242993,-68.63375,-21.81942,15.76923
112.63,-0.2869281,-0.5620809,0.667700399999997,0.9670799,-0.05361149,-0.2410422,-68.63375,-21.81942,15.76923
112.64,0.1478833,-0.5025719,0.606397400000002,0.9715331,-0.0584404,-0.2416256,-68.63375,-21.81942,15.76923
112.65,0.7069265,-0.3835541,0.2385794,0.9725323,-0.05305529,-0.2353648,-68.62651,-22.54948,16.22487
112.66,0.7069265,-0.3835541,0.2998824,0.9710491,-0.05063159,-0.2343648,-68.62651,-22.54948,16.22487
112.67,0.5826947,-0.7406077,0.2385794,0.9745241,-0.05107505,-0.2310637,-68.62651,-22.54948,16.22487
112.68,0.2099992,-0.7406077,0.2998824,0.9773834,-0.04911776,-0.2349215,-68.62651,-22.54948,16.22487
112.69,0.2721151,-0.859625600000002,0.4224884,0.9716322,-0.05743568,-0.2334721,-68.62651,-22.54948,16.22487
112.7,0.2099992,-0.978643400000001,0.3611854,0.9676696,-0.05162561,-0.231929,-68.2468,-22.54221,17.05511
112.71,0.2099992,-1.335697,0.1772764,0.9690276,-0.05066738,-0.2391283,-68.2468,-22.54221,17.05511
112.72,0.396347,-1.395206,0.3611854,0.9670611,-0.05312863,-0.2419962,-68.2468,-22.54221,17.05511
112.73,0.2099992,-1.692751,0.1772764,0.973676,-0.05983464,-0.2292087,-68.2468,-22.54221,17.05511
112.74,0.5826947,-1.692751,0.2385794,0.9724563,-0.05600633,-0.243535,-68.2468,-22.54221,17.05511
112.75,0.769042399999998,-1.514224,0.1159734,0.9691657,-0.05843964,-0.2358414,-67.86984,-22.54029,17.50128
112.76,0.831158300000001,-1.633242,-0.1292386,0.9694632,-0.04726074,-0.2400641,-67.86984,-22.54029,17.50128
112.77,0.396347,-1.633242,-0.0679356,0.9734642,-0.04915405,-0.2353451,-67.86984,-22.54029,17.50128
112.78,0.396347,-1.395206,0.1772764,0.9801538,-0.04572116,-0.2440371,-67.86984,-22.54029,17.50128
112.79,-0.03846443,-1.276188,0.2998824,0.9778645,-0.05009218,-0.2363742,-67.86984,-22.54029,17.50128
112.8,-0.03846443,-1.335697,0.4224884,0.9745182,-0.05498253,-0.2349301,-68.25002,-22.54845,16.60702
