Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
236.050830364,0.01019068,0.2591639,-0.004623784,0.9721671,0.09743229,-0.201504,-54.27234,-26.20063,34.56176
236.060691357,-0.05192523,0.3781818,-0.004623784,0.971869,0.09455308,-0.1900232,-54.27234,-26.20063,34.56176
236.070552349,-0.05192523,0.4376907,-0.1885328,0.9713061,0.09745711,-0.1928659,-54.27234,-26.20063,34.56176
236.080412865,0.1965384,0.4376907,-0.2498358,0.9688252,0.09547256,-0.1971601,-53.89735,-26.94659,34.18329
236.090274334,0.0723065999999999,0.4971996,-0.004623784,0.9698713,0.09305941,-0.1943202,-53.89735,-26.94659,34.18329
236.10013485,0.0723065999999999,0.4376907,-0.2498358,0.9683962,0.09646183,-0.1918744,-53.89735,-26.94659,34.18329
236.109995365,0.0723065999999999,0.5567085,-0.1885328,0.9697194,0.09594547,-0.2029192,-53.89735,-26.94659,34.18329
236.119856834,0.0723065999999999,0.5567085,-0.2498358,0.9722756,0.09599856,-0.1948088,-53.89735,-26.94659,34.18329
236.12971735,0.2586544,0.735235300000002,-0.1272298,0.9732856,0.09552801,-0.1929104,-54.27309,-26.57413,34.18145
236.139578819,0.3828862,0.616217500000002,-0.2498358,0.9693042,0.0974269,-0.196192,-54.27309,-26.57413,34.18145
236.149439335,0.507118,0.4971996,-0.2498358,0.968313,0.09741457,-0.1971364,-54.27309,-26.57413,34.18145
236.159299851,0.3207703,0.4376907,-0.3111388,0.9707873,0.0950032,-0.197192,-54.27309,-26.57413,34.18145
236.16916132,0.1965384,0.675726399999999,-0.3111388,0.9782525,0.09412804,-0.1886802,-54.27309,-26.57413,34.18145
236.179021835,-0.05192523,0.616217500000002,-0.1885328,0.9707665,0.1028089,-0.1918547,-54.27033,-26.56878,34.56553
236.188882828,-0.4246207,0.3781818,-0.5563508,0.9629005,0.09735794,-0.1994557,-54.27033,-26.56878,34.56553
236.19874382,-0.3625048,0.3186728,-0.1272298,0.968875,0.08962806,-0.1986477,-54.27033,-26.56878,34.56553
236.208604336,-0.238273,0.4971996,0.05667922,0.9762469,0.0960497,-0.1905522,-54.27033,-26.56878,34.56553
236.218465328,-0.3003889,0.4376907,-0.1885328,0.9697723,0.1008428,-0.1947323,-54.27033,-26.56878,34.56553
236.230791569,-0.3003889,0.4971996,-0.1272298,0.9693187,0.09840748,-0.1942672,-54.26912,-26.1944,35.00986
236.240652084,-0.673084399999999,0.5567085,-0.0659267800000002,0.9674129,0.09742825,-0.1913731,-54.26912,-26.1944,35.00986
236.250513554,-0.673084399999999,0.4376907,-0.004623784,0.9678326,0.09887742,-0.1952004,-54.26912,-26.1944,35.00986
236.260374069,-1.107896,0.4971996,-0.0659267800000002,0.9693519,0.0989052,-0.1913882,-54.26912,-26.1944,35.00986
236.270235062,-1.107896,0.5567085,0.05667922,0.966939,0.0944989,-0.1928286,-54.26912,-26.1944,35.00986
236.280095577,-1.294244,0.4971996,0.1179822,0.9693562,0.09744175,-0.192359,-55.01779,-26.56015,34.5694
236.289957047,-1.356359,0.4971996,0.05667922,0.9731721,0.09793676,-0.199118,-55.01779,-26.56015,34.5694
236.299817562,-1.170012,0.616217500000002,0.05667922,0.9664109,0.09448345,-0.1956964,-55.01779,-26.56015,34.5694
236.309678078,-1.356359,0.5567085,0.05667922,0.9677798,0.1027682,-0.195646,-55.01779,-26.56015,34.5694
236.319539547,-1.294244,0.5567085,0.1179822,0.9742573,0.09553476,-0.1934034,-55.01779,-26.56015,34.5694
236.329400063,-1.170012,0.616217500000002,0.1179822,0.9703295,0.09842537,-0.1918854,-54.2751,-26.20598,34.17768
236.339260578,-1.170012,0.616217500000002,0.1179822,0.9738007,0.09553974,-0.1910008,-54.2751,-26.20598,34.17768
236.349122048,-1.107896,0.675726399999999,0.05667922,0.9707751,0.09988198,-0.1937963,-54.2751,-26.20598,34.17768
236.358982563,-0.797316199999999,0.735235300000002,-0.004623784,0.9723516,0.09455553,-0.1905093,-54.2751,-26.20598,34.17768
236.368844032,-0.673084399999999,0.913762199999998,-0.004623784,0.9723812,0.09700513,-0.1861763,-54.2751,-26.20598,34.17768
236.378704548,-0.5488526,0.794744300000002,-0.1272298,0.9718104,0.09453636,-0.1943353,-54.27033,-26.56878,34.56553
236.388565064,-0.3625048,0.794744300000002,0.1179822,0.9694221,0.09794875,-0.1870845,-54.27033,-26.56878,34.56553
236.400891781,-0.238273,1.151798,-0.004623784,0.9707245,0.1052381,-0.192792,-54.27033,-26.56878,34.56553
236.410752297,-0.1140411,1.092289,0.05667922,0.9717799,0.09159833,-0.1991517,-54.27033,-26.56878,34.56553
236.420613766,-0.1761571,1.092289,0.05667922,0.9684287,0.09647112,-0.1894788,-54.27033,-26.56878,34.56553
236.430474281,-0.1140411,1.211307,-0.1272298,0.9722785,0.09355823,-0.1967463,-54.27309,-26.57413,34.18145
236.440334797,-0.1140411,1.03278,-0.004623784,0.9697665,0.1013294,-0.1947281,-54.27309,-26.57413,34.18145
236.450196266,-0.238273,1.092289,0.1179822,0.9704003,0.0935633,-0.190969,-54.27309,-26.57413,34.18145
236.460056782,-0.3003889,1.151798,-0.004623784,0.9708055,0.10282,-0.1889799,-54.27309,-26.57413,34.18145
236.469917297,-0.3625048,1.151798,-0.004623784,0.9718242,0.09942258,-0.1890231,-54.27309,-26.57413,34.18145
236.479778767,-0.4246207,1.389834,-0.004623784,0.9726939,0.1008649,-0.1957321,-54.27234,-26.20063,34.56176
236.489639282,-0.3625048,1.389834,0.1179822,0.9738152,0.09652033,-0.189076,-54.27234,-26.20063,34.56176
236.499500275,-0.1140411,1.389834,0.05667922,0.9707729,0.09841668,-0.1952462,-54.27234,-26.20063,34.56176
236.509361267,-0.1140411,1.270816,-0.0659267800000002,0.9693722,0.0993992,-0.1894676,-54.27234,-26.20063,34.56176
236.51922226,-0.1761571,1.330325,-0.0659267800000002,0.9713033,0.09989742,-0.1909285,-54.27234,-26.20063,34.56176
236.529082775,-0.238273,1.449343,0.05667922,0.9727829,0.1038197,-0.1866037,-54.27832,-26.21221,33.72958
236.538943768,-0.4246207,1.330325,-0.004623784,0.9708836,0.09844825,-0.1871011,-54.27832,-26.21221,33.72958
236.54880476,-0.3625048,1.270816,-0.0659267800000002,0.9704228,0.09991667,-0.1837278,-54.27832,-26.21221,33.72958
236.558665275,-0.4867366,1.211307,0.05667922,0.9747651,0.09505621,-0.1924563,-54.27832,-26.21221,33.72958
236.568526745,-0.5488526,1.03278,0.05667922,0.9684663,0.09550539,-0.1875707,-54.27832,-26.21221,33.72958
236.580852508,-0.238273,1.092289,0.1792852,0.9742516,0.1004154,-0.1895285,-54.64606,-26.19632,34.56369
236.590713024,-0.238273,1.03278,0.05667922,0.9736858,0.1013657,-0.1943044,-54.64606,-26.19632,34.56369
236.600574493,-0.1761571,0.913762199999998,-0.004623784,0.9709039,0.09894224,-0.1851805,-54.64606,-26.19632,34.56369
236.610435009,-0.1761571,0.913762199999998,0.05667922,0.971848,0.0979647,-0.1885566,-54.64606,-26.19632,34.56369
236.620295525,-0.1140411,0.854253199999999,0.05667922,0.9728841,0.09750159,-0.1847416,-54.64606,-26.19632,34.56369
236.630156994,0.1344225,0.675726399999999,0.1792852,0.969854,0.09891321,-0.1904369,-53.90379,-26.95906,33.2871
236.640017509,0.01019068,0.675726399999999,-0.0659267800000002,0.9723943,0.09700884,-0.185218,-53.90379,-26.95906,33.2871
236.649878979,0.1344225,0.4376907,-0.004623784,0.9698693,0.1003822,-0.1880287,-53.90379,-26.95906,33.2871
236.659739494,0.3828862,0.3186728,0.1179822,0.9704206,0.09845136,-0.1851777,-53.90379,-26.95906,33.2871
