Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
154.236768246,-0.1564588,-0.00633105599999999,-0.4952962,0.9664612,0.123168,-0.2026431,-28.47963,-39.25853,17.14461
154.246628761,-0.2805527,0.1125826,-0.3721066,0.9668904,0.1265728,-0.2040581,-28.47762,-39.62667,17.14838
154.256489277,-0.2802393,-0.00640848100000002,-0.5555097,0.964895,0.1265444,-0.206905,-28.47762,-39.62667,17.14838
154.268814564,-0.2798384,0.1125073,-0.3095604,0.9683735,0.1285432,-0.2011874,-28.47762,-39.62667,17.14838
154.278675079,-0.4657565,0.05300659,-0.3703976,0.9673844,0.1256021,-0.2045525,-28.47762,-39.62667,17.14838
154.288535595,-0.4652106,0.05294001,-0.5537451,0.96681,0.1250852,-0.2112574,-28.47762,-39.62667,17.14838
154.298396587,-0.650798400000002,-0.1255598,-0.3692946,0.9644527,0.123136,-0.2064483,-28.84411,-40.35242,17.60595
154.308257103,-0.649961400000002,-0.0658744999999997,-0.246244,0.9654613,0.1172945,-0.2093872,-28.84411,-40.35242,17.60595
154.318117619,-0.3386435,0.05328218,-0.3070837,0.9640527,0.1216923,-0.2011836,-28.84411,-40.35242,17.60595
154.327978134,-0.2761608,-0.1847831,-0.4905492,0.9674394,0.1231766,-0.2026569,-28.84411,-40.35242,17.60595
154.33783865,-0.3379298,0.05324176,-0.5511975,0.9673722,0.1260868,-0.2050274,-28.84411,-40.35242,17.60595
154.347699165,-0.523775,0.05326834,-0.3666155,0.964424,0.1299629,-0.2025567,-29.21905,-40.72248,17.16355
154.357560158,-0.895695599999999,-0.00619535099999999,-0.4274002,0.9658912,0.1299758,-0.2025775,-29.21905,-40.72248,17.16355
154.367420673,-0.8947266,-0.00605674800000003,-0.4880509,0.9634074,0.1260375,-0.2088049,-29.21905,-40.72248,17.16355
154.377281189,-0.769312500000001,-0.1845012,-0.3036252,0.9615145,0.120668,-0.2088232,-29.21905,-40.72248,17.16355
154.387141228,-1.016654,-0.3032126,-0.4256573,0.9639883,0.1221622,-0.2054915,-29.21905,-40.72248,17.16355
154.397001743,-1.201724,-0.5408674,-0.3024781,0.9644652,0.1270453,-0.2021027,-28.8421,-40.72056,17.60972
154.406862259,-1.076178,-0.4212824,-0.3632472,0.9669293,0.1221899,-0.205054,-28.8421,-40.72056,17.60972
154.416722775,-0.8885569,-0.599205300000001,-0.4240746,0.9624589,0.1284785,-0.204458,-28.8421,-40.72056,17.60972
154.426583767,-1.011634,-0.538925,-0.4235035,0.9600171,0.1265051,-0.2058775,-28.8421,-40.72056,17.60972
154.438909531,-0.947851699999998,-0.4784579,-0.4842379,0.9644557,0.1250897,-0.204515,-28.4736,-40.36297,17.15592
154.448770046,-0.946583000000001,-0.656215499999997,-0.4224422,0.9639948,0.1221641,-0.2050124,-28.4736,-40.36297,17.15592
154.458630562,-0.759222000000001,-0.5364482,-0.4831761,0.9609779,0.1279735,-0.2058787,-28.4736,-40.36297,17.15592
154.468491078,-0.634056000000002,-0.4168873,-0.5438722,0.9614372,0.1255282,-0.2102187,-28.4736,-40.36297,17.15592
154.47835207,-0.757393900000001,-0.416345,-0.4818476,0.9624183,0.1230965,-0.21217,-28.4736,-40.36297,17.15592
154.488212586,-1.004906,-0.2969724,-0.664939499999998,0.9614625,0.1250471,-0.2087855,-28.09665,-40.36105,17.60208
154.498072624,-0.817276699999998,-0.1776002,-0.909200800000002,0.9639962,0.1187469,-0.2079164,-28.09665,-40.36105,17.60208
154.50793314,-1.064577,-0.2368861,-0.907981799999997,0.9605885,0.1206742,-0.2049764,-28.09665,-40.36105,17.60208
154.517793656,-1.62203,-0.2960975,-1.029216,0.9640418,0.1231539,-0.2006919,-28.09665,-40.36105,17.60208
154.527654171,-1.992376,-0.2957069,-1.027943,0.9634601,0.1221468,-0.2083593,-28.09665,-40.36105,17.60208
154.537514687,-2.362276,-0.1763924,-1.149219,0.9649172,0.1197156,-0.2112758,-28.09665,-40.36105,17.60208
154.547375679,-2.04869,-0.2950392,-1.27044,0.9601434,0.115312,-0.2064529,-28.09665,-40.36105,17.60208
154.557236195,-1.735791,-0.2947247,-1.330108,0.9604548,0.126983,-0.209234,-28.09665,-40.36105,17.60208
154.56709671,-1.919978,-0.2349951,-1.205735,0.9651766,0.1401599,-0.2101485,-28.09665,-40.36105,17.60208
