Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
89.781135559,1.769772,0.4300955,0.720174899999999,0.9522349,0.03842182,0.2204667,-41.55995,-22.07842,-3.147781
89.793494225,1.458931,0.371253,0.781266300000001,0.9439823,0.04043626,0.2238136,-41.20727,-23.19426,-1.826233
89.803381443,1.583267,0.253568,1.086723,0.9459379,0.04482213,0.2242746,-41.20727,-23.19426,-1.826233
89.813268661,1.83194,0.0770405700000001,0.964540500000002,0.9483727,0.04576247,0.2223489,-41.20727,-23.19426,-1.826233
89.823155403,2.142781,0.488938,0.8423578,0.9488627,0.04473727,0.2189882,-41.20727,-23.19426,-1.826233
89.833042622,2.51579,0.3124105,0.9034491,0.9478772,0.04184628,0.2209254,-41.57576,-22.81903,-2.294087
89.84292984,2.950967,0.488938,0.720174899999999,0.9493498,0.04323233,0.2161108,-41.57576,-22.81903,-2.294087
89.852817059,3.323976,0.371253,0.720174899999999,0.9537222,0.04270079,0.2137139,-41.57576,-22.81903,-2.294087
89.8627038,3.448312,0.5477805,0.659083499999997,0.9522666,0.04220233,0.2127529,-41.57576,-22.81903,-2.294087
89.872591019,3.448312,0.5477805,0.3536265,0.957118,0.04519353,0.2180335,-41.57576,-22.81903,-2.294087
89.882478237,3.634816,0.135883,0.1703524,0.9537329,0.04611661,0.2141776,-41.56773,-22.07007,-2.693812
89.892365456,3.323976,0.1947255,0.1703524,0.9585918,0.04657239,0.212738,-41.56773,-22.07007,-2.693812
89.902252197,3.013135,0.01819809,-0.0129218,0.9566548,0.04356105,0.2064991,-41.56773,-22.07007,-2.693812
89.912139416,2.702294,-0.2760143,-0.3183788,0.9532573,0.04356777,0.2064952,-41.56773,-22.07007,-2.693812
89.922026634,2.267117,-0.2171718,-0.196196,0.955709,0.04738663,0.2016695,-41.56773,-22.07007,-2.693812
89.931913853,1.894108,-0.3936993,-0.746018499999999,0.9590955,0.04247449,0.1992935,-41.20658,-22.8162,-1.831537
89.941800594,1.956276,-0.5113842,-0.501653,0.9561844,0.04048211,0.1959338,-41.20658,-22.8162,-1.831537
89.951687813,1.894108,-0.687911700000001,-0.684927100000003,0.9585995,0.03706869,0.1959538,-41.20658,-22.8162,-1.831537
89.961575031,1.956276,-0.3936993,-0.5627444,0.9571512,0.0410031,0.1983369,-41.20658,-22.8162,-1.831537
89.97146225,2.080612,-0.5113842,-0.684927100000003,0.9605624,0.04290102,0.1954457,-41.20658,-22.8162,-1.831537
89.981348991,1.956276,0.0770405700000001,-0.5627444,0.9639351,0.03707971,0.1974026,-41.95204,-22.43544,-2.307971
89.99123621,2.204949,0.5477805,-0.3794702,0.9566404,0.03270439,0.1969355,-41.95204,-22.43544,-2.307971
90.001123905,2.018444,0.4300955,-0.5627444,0.9644285,0.03503748,0.1911615,-41.95204,-22.43544,-2.307971
90.013482094,2.080612,0.5477805,-0.5627444,0.9639291,0.03164419,0.1921399,-41.95204,-22.43544,-2.307971
90.023369789,1.707603,0.7831504,-0.501653,0.9624859,0.03604397,0.1930779,-41.95204,-22.43544,-2.307971
90.033257008,1.769772,0.959677799999998,-0.4405616,0.9634438,0.03264062,0.1935771,-41.19812,-22.4465,-2.290811
90.043144226,1.521099,0.959677799999998,-0.4405616,0.9585781,0.03023705,0.1950265,-41.19812,-22.4465,-2.290811
90.053030968,1.956276,0.841992900000002,-0.5627444,0.9585753,0.02776636,0.1926344,-41.19812,-22.4465,-2.290811
90.062918186,1.707603,0.724307899999998,-0.3794702,0.9581102,0.03659708,0.1969175,-41.19812,-22.4465,-2.290811
90.072805405,1.83194,0.900835399999998,-0.4405616,0.9552003,0.03260659,0.1902015,-41.19812,-22.4465,-2.290811
90.082692623,1.83194,0.841992900000002,-0.3183788,0.9639319,0.03411489,0.1945321,-41.95982,-22.42709,-1.854001
90.092579842,1.645435,0.900835399999998,-0.196196,0.9654201,0.04435946,0.1959247,-41.95982,-22.42709,-1.854001
90.102466583,1.334594,1.371575,0.04816959,0.9644194,0.03609048,0.1964463,-41.95982,-22.42709,-1.854001
90.112353802,1.396763,1.136205,0.3536265,0.9600731,0.04143395,0.1949716,-41.95982,-22.42709,-1.854001
90.12224102,1.334594,1.077363,0.1703524,0.9552379,0.04580449,0.1935013,-41.95982,-22.42709,-1.854001
90.132128239,1.14809,1.25389,0.4147179,0.9537636,0.0469179,0.2026315,-41.95136,-22.05738,-2.313275
90.14201498,1.023754,1.077363,0.597992199999998,0.9615414,0.05130665,0.2040609,-41.95136,-22.05738,-2.313275
90.151902199,1.023754,1.195048,0.5369008,0.9615206,0.04596462,0.2050497,-41.95136,-22.05738,-2.313275
90.161789417,0.961585499999998,1.430418,0.659083499999997,0.9639563,0.0518751,0.2098318,-41.95136,-22.05738,-2.313275
90.171676636,1.272426,1.371575,0.720174899999999,0.9469817,0.05381331,0.2069172,-41.95136,-22.05738,-2.313275
90.181563377,1.583267,1.25389,0.597992199999998,0.9498584,0.04656807,0.2112854,-41.19812,-22.4465,-2.290811
90.191450596,1.521099,0.959677799999998,0.781266300000001,0.9406379,0.04906418,0.2141478,-41.19812,-22.4465,-2.290811
90.201338291,1.521099,0.959677799999998,0.720174899999999,0.9459612,0.04716338,0.2180108,-41.19812,-22.4465,-2.290811
90.21122551,1.272426,0.665465400000002,0.964540500000002,0.9440518,0.05542374,0.2165241,-41.19812,-22.4465,-2.290811
