Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
213.25,-0.04409736,0.0616801199999997,-0.01893475,0.9860433,-0.1070827,0.08295998,-39.73197,-16.84347,2.396572
213.26,0.0803545399999998,0.1794932,-0.0799939199999999,0.9855605,-0.107566,0.08344025,-39.73197,-16.84347,2.396572
213.27,-0.1063233,-0.1739459,-0.1410531,0.9826367,-0.1070961,0.08439882,-39.73197,-16.84347,2.396572
213.28,0.2670324,-0.1150394,-0.0799939199999999,0.986505,-0.1065293,0.0902006,-39.73197,-16.84347,2.396572
213.29,0.6403881,-0.1150394,0.1642427,0.9880011,-0.1094564,0.08633777,-39.73197,-16.84347,2.396572
213.3,1.07597,-0.291759,0.2253019,0.9904354,-0.1103878,0.08827225,-39.36882,-16.48951,2.015115
213.31,1.138196,-0.291759,0.1031836,0.9909228,-0.1103884,0.08779095,-39.36882,-16.48951,2.015115
213.32,1.262648,-0.1739459,0.2253019,0.9923477,-0.1088595,0.09503615,-39.36882,-16.48951,2.015115
213.33,0.889291900000002,-0.2328525,0.1642427,0.9908375,-0.1040098,0.09745542,-39.36882,-16.48951,2.015115
213.34,0.2048064,-0.1739459,0.2863611,0.9889316,-0.1088422,0.09985287,-39.36882,-16.48951,2.015115
213.35,-0.4174531,-0.4684785,0.2253019,0.9899043,-0.1093054,0.101302,-39.37917,-16.1208,2.388384
213.36,-0.977486700000002,-0.880824100000001,0.2253019,0.9888938,-0.1059037,0.1037195,-39.37917,-16.1208,2.388384
213.37,-1.101939,-0.586291499999998,0.04212442,0.984991,-0.1040115,0.1022658,-39.37917,-16.1208,2.388384
213.38,-0.853034799999999,-0.3506655,-0.01893475,0.9845539,-0.1065225,0.09260833,-39.37917,-16.1208,2.388384
213.39,-0.541905,0.0616801199999997,0.04212442,0.9855331,-0.1079448,0.09502054,-39.37917,-16.1208,2.388384
213.4,0.1425805,0.5329323,0.2253019,0.98356,-0.1036442,0.09068175,-39.74968,-16.11122,2.82719
213.41,0.5159362,0.3562127,0.1031836,0.9850371,-0.1051021,0.08875224,-39.74968,-16.11122,2.82719
213.42,0.6403881,0.1794932,-0.01893475,0.9859931,-0.103634,0.08972296,-39.74968,-16.11122,2.82719
213.43,0.764839999999998,-0.05613291,-0.01893475,0.9865148,-0.1070307,0.08826936,-39.74968,-16.11122,2.82719
