Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
71.72,0.498941,-0.05425814,0.3060209,0.9945961,0.02562021,-0.1256763,-37.78794,-24.67734,19.41551
71.73,0.3122632,0.1224614,0.2449617,0.9867424,0.03425242,-0.1276082,-37.78794,-24.67734,19.41551
71.74,-0.1855444,0.829339600000002,0.4281392,0.9906644,0.02948307,-0.1232654,-37.78794,-24.67734,19.41551
71.75,-0.5589002,1.300592,0.4891984,0.9887691,0.02602354,-0.1295509,-37.77804,-25.3962,19.80628
71.76,-0.3722223,0.947152599999998,0.4281392,0.9887928,0.02266243,-0.1266627,-37.77804,-25.3962,19.80628
71.77,0.001133423,0.947152599999998,0.5502575,0.9882536,0.02846122,-0.1271342,-37.77804,-25.3962,19.80628
71.78,0.498941,0.5937136,0.977671699999997,0.9838443,0.02947815,-0.117975,-37.77804,-25.3962,19.80628
71.79,0.498941,0.770433099999999,0.855553400000003,0.9872553,0.02807049,-0.116039,-37.77804,-25.3962,19.80628
71.8,0.1878113,1.006059,0.855553400000003,0.9862648,0.03140649,-0.1208599,-37.78434,-24.68352,19.03641
71.81,-0.3099964,1.241685,0.611316699999999,0.9824451,0.02645812,-0.1295662,-37.78434,-24.68352,19.03641
71.82,-0.3099964,1.006059,0.611316699999999,0.9863327,0.02649286,-0.1290736,-37.78434,-24.68352,19.03641
71.83,0.001133423,0.770433099999999,0.611316699999999,0.9839287,0.02169609,-0.1223344,-37.78434,-24.68352,19.03641
71.84,-0.0610925299999999,0.652620099999997,0.611316699999999,0.9843792,0.02510043,-0.1208783,-37.78434,-24.68352,19.03641
71.85,-0.1233185,1.064966,0.916612499999998,0.9920813,0.03103821,-0.1131249,-37.47594,-25.04184,19.42424
71.86,0.0633593799999997,1.712937,0.794494199999998,0.9926392,0.02611523,-0.122785,-37.47594,-25.04184,19.42424
71.87,0.685618899999997,1.948563,0.794494199999998,0.9912554,0.02116831,-0.1334153,-37.47594,-25.04184,19.42424
71.88,0.934522699999999,2.302002,0.672375899999998,0.9850027,0.01386466,-0.1329646,-37.47594,-25.04184,19.42424
71.89,1.121201,1.771844,0.611316699999999,0.9781548,0.01723399,-0.1291146,-37.47594,-25.04184,19.42424
71.9,1.307878,1.536218,0.4891984,0.9776043,0.02494653,-0.1319947,-37.78119,-25.03986,19.42134
71.91,1.370104,1.241685,0.794494199999998,0.9804738,0.02793851,-0.1247427,-37.78119,-25.03986,19.42134
71.92,1.307878,1.064966,0.611316699999999,0.9862227,0.03811118,-0.1285663,-37.78119,-25.03986,19.42134
71.93,1.370104,1.241685,0.916612499999998,0.9896704,0.03470652,-0.1333903,-37.78119,-25.03986,19.42134
71.94,1.245652,1.359498,0.611316699999999,0.9872579,0.0327519,-0.1334007,-37.78119,-25.03986,19.42134
71.95,0.934522699999999,1.536218,0.733434999999999,0.9815147,0.02115377,-0.1266847,-37.48944,-24.3168,19.41257
71.96,1.307878,1.477311,0.672375899999998,0.9839963,0.01584531,-0.1271723,-37.48944,-24.3168,19.41257
71.97,1.556782,1.418405,0.4281392,0.9859421,0.0158561,-0.1276498,-37.48944,-24.3168,19.41257
71.98,1.805686,1.182779,0.5502575,0.9868609,0.01979196,-0.1213659,-37.48944,-24.3168,19.41257
71.99,2.241268,1.771844,0.977671699999997,0.9882459,0.02942467,-0.1276147,-37.48944,-24.3168,19.41257
72,2.241268,1.889657,0.733434999999999,0.9868326,0.02598207,-0.1324513,-38.15064,-24.68114,19.03293
72.01,2.241268,2.184189,0.5502575,0.9800471,0.02351814,-0.1315089,-38.15064,-24.68114,19.03293
72.02,2.116816,2.360909,0.733434999999999,0.9849066,0.02262331,-0.1276379,-38.15064,-24.68114,19.03293
72.03,2.05459,2.596535,0.794494199999998,0.9888167,0.02023848,-0.1271504,-38.15064,-24.68114,19.03293
72.04,2.36572,2.596535,0.794494199999998,0.9805481,0.01972073,-0.123795,-38.15064,-24.68114,19.03293
72.05,2.67685,2.302002,0.977671699999997,0.9844163,0.0216955,-0.1228157,-38.15425,-24.67496,19.41203
72.06,2.739075,2.243096,0.916612499999998,0.9829007,0.0265627,-0.1184662,-38.15425,-24.67496,19.41203
72.07,2.36572,1.889657,0.916612499999998,0.9833218,0.03240851,-0.1145922,-38.15425,-24.67496,19.41203
72.08,1.43233,1.948563,0.916612499999998,0.9823341,0.03432781,-0.1155557,-38.15425,-24.67496,19.41203
72.09,1.245652,1.712937,0.855553400000003,0.9843225,0.03185331,-0.1232767,-37.78794,-24.67734,19.41551
72.1,1.307878,1.064966,0.672375899999998,0.984754,0.03672692,-0.1198872,-37.78794,-24.67734,19.41551
72.11,0.996748600000003,0.711526600000001,0.733434999999999,0.9814144,0.02898841,-0.1165346,-37.78794,-24.67734,19.41551
72.12,0.934522699999999,-0.05425814,0.733434999999999,0.9829076,0.02513286,-0.1160565,-37.78794,-24.67734,19.41551
72.13,0.3122632,-0.2309777,0.733434999999999,0.9916275,0.02717625,-0.1116867,-37.78794,-24.67734,19.41551
72.14,0.2500372,-0.05425814,1.038731,0.9896681,0.0286172,-0.1112061,-37.78794,-24.67734,19.41551
72.15,0.1878113,-0.05425814,0.794494199999998,0.9843687,0.0227904,-0.1088196,-37.42164,-24.67971,19.41899
72.16,0.001133423,-0.1720712,0.611316699999999,0.982884,0.02380381,-0.1025481,-37.42164,-24.67971,19.41899
72.17,-0.2477704,-0.2309777,0.4891984,0.9814485,0.02231001,-0.1059328,-37.42164,-24.67971,19.41899
72.18,-0.4344483,-0.4076972,0.4281392,0.9808948,0.028157,-0.1010962,-37.42164,-24.67971,19.41899
72.19,-0.3722223,-0.2309777,0.3670801,0.9866352,0.03648165,-0.09527291,-37.78434,-24.68352,19.03641
72.2,-0.745578099999998,0.004648373,0.4891984,0.9818466,0.02870109,-0.09530199,-37.78434,-24.68352,19.03641
72.21,-0.745578099999998,0.534807,0.5502575,0.9857132,0.03068024,-0.09384012,-37.78434,-24.68352,19.03641
72.22,-1.118934,1.418405,0.733434999999999,1.007101,0.0303808,-0.0918554,-37.78434,-24.68352,19.03641
72.23,-1.118934,2.184189,0.916612499999998,1.015042,0.01771077,-0.1082688,-37.78434,-24.68352,19.03641
72.24,-0.9944819,2.832161,0.916612499999998,1.000509,0.01367743,-0.113623,-37.48584,-24.32298,19.03347
72.25,-0.1233185,2.891068,1.038731,0.9806677,0.006663814,-0.1228577,-37.48584,-24.32298,19.03347
