Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
116.22,-0.3403839,-1.123497,-0.4159691,0.9973336,-0.01815959,-0.1859297,-46.23174,-32.30452,39.45773
116.23,-0.2788507,-1.004793,-0.2330568,1.001184,-0.01569769,-0.1907228,-46.23174,-32.30452,39.45773
116.24,-0.3403839,-0.9454404,-0.2940276,0.9987656,-0.01673928,-0.1931112,-46.23174,-32.30452,39.45773
116.25,-0.586516899999998,-1.004793,-0.2330568,1.000716,-0.0166525,-0.1878503,-46.95594,-33.45448,39.07125
116.26,-0.7711166,-1.123497,-0.2940276,0.9963687,-0.01866021,-0.1854493,-46.95594,-33.45448,39.07125
116.27,-0.4634504,-0.9454404,-0.2330568,0.9963703,-0.01861193,-0.180185,-46.95594,-33.45448,39.07125
116.28,-0.709583300000001,-1.064145,-0.5379106,0.9885762,-0.01877469,-0.1811285,-46.95594,-33.45448,39.07125
116.29,0.1518819,-1.242202,-0.659852100000001,0.9911188,-0.02463032,-0.1892672,-46.95594,-33.45448,39.07125
116.3,0.644147799999998,-1.420259,-0.4769399,0.9987771,-0.01715042,-0.1849753,-46.96969,-32.69759,38.6157
116.31,0.705681,-1.242202,-0.4769399,0.9985833,-0.00701966,-0.1926348,-46.96969,-32.69759,38.6157
116.32,0.4595481,-1.301555,-0.4769399,0.9971222,-0.007039755,-0.1916751,-46.96969,-32.69759,38.6157
116.33,0.3364816,-1.18285,-0.4769399,0.994877,-0.01732397,-0.1954971,-46.96969,-32.69759,38.6157
116.34,0.4595481,-1.301555,-0.4769399,1.000726,-0.01710753,-0.1845001,-46.96969,-32.69759,38.6157
116.35,0.5210813,-1.18285,-0.3549984,0.9972411,-0.01334148,-0.1902379,-46.61265,-31.93025,39.06593
116.36,0.5826145,-0.886087999999999,-0.5379106,0.9982978,-0.01768531,-0.1892815,-46.61265,-31.93025,39.06593
116.37,0.2749484,-1.420259,-0.4769399,0.9972787,-0.0152538,-0.1868875,-46.61265,-31.93025,39.06593
116.38,-0.03271778,-1.420259,-0.4769399,0.9973613,-0.0196081,-0.1849722,-46.61265,-31.93025,39.06593
116.39,0.2134152,-1.479612,-0.720822899999998,0.9954669,-0.02258311,-0.187361,-46.61265,-31.93025,39.06593
116.4,0.5826145,-1.776374,-0.598881400000002,0.9954116,-0.0196861,-0.189276,-46.97336,-32.6905,39.4542
116.41,0.705681,-1.717021,-0.659852100000001,0.993389,-0.015878,-0.1935806,-46.97336,-32.6905,39.4542
116.42,0.5210813,-1.657669,-0.720822899999998,0.9996938,-0.01430439,-0.1945491,-46.97336,-32.6905,39.4542
116.43,0.2749484,-1.776374,-0.720822899999998,0.9937859,-0.01097565,-0.1897539,-46.97336,-32.6905,39.4542
116.44,-0.0942510000000003,-1.717021,-0.659852100000001,0.9967623,-0.0138632,-0.1931084,-46.97336,-32.6905,39.4542
116.45,-0.4019172,-1.895078,-0.598881400000002,0.9962205,-0.01095826,-0.1931082,-47.34811,-32.69332,39.45142
116.46,-0.5249836,-1.835726,-0.659852100000001,0.9947896,-0.01234785,-0.1825767,-47.34811,-32.69332,39.45142
116.47,-0.1557842,-1.895078,-0.5379106,0.9978112,-0.01767738,-0.1873664,-47.34811,-32.69332,39.45142
116.48,0.3364816,-1.895078,-0.598881400000002,0.9958532,-0.01724328,-0.1887988,-47.34811,-32.69332,39.45142
116.49,1.197947,-2.013783,-0.4159691,1.002114,-0.01320135,-0.1854607,-46.57503,-33.82876,39.46307
116.5,1.07488,-2.310545,-0.4769399,0.9991069,-0.00895308,-0.1926352,-46.57503,-33.82876,39.46307
116.51,0.767214200000001,-2.310545,-0.598881400000002,0.9962295,-0.01144841,-0.1935867,-46.57503,-33.82876,39.46307
116.52,0.644147799999998,-2.073135,-0.4769399,0.9995927,-0.008982958,-0.1969432,-46.57503,-33.82876,39.46307
116.53,0.2134152,-2.19184,-0.3549984,1.000723,-0.01717776,-0.1921573,-46.57503,-33.82876,39.46307
116.54,0.2134152,-1.895078,-0.2940276,0.9992033,-0.01441935,-0.2060341,-46.59862,-32.68769,39.45698
116.55,-0.1557842,-1.598316,-0.2940276,0.9997916,-0.01972676,-0.2031623,-46.59862,-32.68769,39.45698
116.56,-0.586516899999998,-1.420259,-0.1720861,0.9981763,-0.01146258,-0.199333,-46.59862,-32.68769,39.45698
116.57,-0.832649800000001,-1.18285,-0.2940276,0.9996262,-0.01101818,-0.2069928,-46.59862,-32.68769,39.45698
116.58,-1.078783,-0.9454404,-0.2330568,0.9953804,-0.01834732,-0.2021978,-46.59862,-32.68769,39.45698
116.59,-0.7711166,-0.826735599999998,-0.1720861,0.9958047,-0.01490664,-0.1988494,-45.80813,-34.58712,39.08568
116.6,-0.1557842,-0.648678499999998,-0.2940276,0.9989182,-0.02507622,-0.2017237,-45.80813,-34.58712,39.08568
116.61,0.705681,-0.708030899999999,-0.3549984,0.9992713,-0.017688,-0.1916761,-45.80813,-34.58712,39.08568
116.62,1.197947,-0.589326100000003,-0.4769399,0.9944075,-0.01832707,-0.1978889,-45.80813,-34.58712,39.08568
116.63,1.44408,-0.708030899999999,-0.4159691,0.9992074,-0.01429207,-0.1921554,-45.80813,-34.58712,39.08568
116.64,1.25948,-1.004793,-0.4769399,0.9952701,-0.01254452,-0.2050706,-46.23343,-32.30125,39.84473
116.65,1.013347,-0.648678499999998,-0.598881400000002,0.9908893,-0.01253018,-0.1940557,-46.23343,-32.30125,39.84473
116.66,0.5210813,-0.648678499999998,-0.5379106,0.9899503,-0.01453637,-0.1988393,-46.23343,-32.30125,39.84473
116.67,0.3980148,-1.064145,-0.659852100000001,0.9943723,-0.01634452,-0.1935822,-46.23343,-32.30125,39.84473
116.68,0.3980148,-0.886087999999999,-0.720822899999998,0.9905178,-0.01895127,-0.2045821,-46.23343,-32.30125,39.84473
116.69,0.705681,-1.064145,-0.7817937,0.9953549,-0.01683298,-0.1959767,-45.82724,-33.81987,39.85563
116.7,0.951813900000003,-1.123497,-0.903735200000002,0.9953275,-0.01537569,-0.195977,-45.82724,-33.81987,39.85563
116.71,0.8287475,-1.064145,-0.720822899999998,0.9972204,-0.01244897,-0.1988525,-45.82724,-33.81987,39.85563
116.72,0.5210813,-1.301555,-0.8427644,0.9966335,-0.007097658,-0.1969386,-45.82724,-33.81987,39.85563
116.73,0.2134152,-1.242202,-0.659852100000001,0.9938565,-0.01493636,-0.1978889,-45.82724,-33.81987,39.85563
116.74,-0.1557842,-1.18285,-0.7817937,0.9957584,-0.01249978,-0.2012428,-46.98489,-32.30307,40.29068
116.75,-0.1557842,-1.004793,-0.5379106,0.9948584,-0.01636562,-0.1969331,-46.98489,-32.30307,40.29068
116.76,-0.0942510000000003,-1.123497,-0.4769399,1.00062,-0.01193095,-0.2026872,-46.98489,-32.30307,40.29068
116.77,0.2749484,-0.9454404,-0.598881400000002,1.001164,-0.01476567,-0.1950302,-46.98489,-32.30307,40.29068
116.78,0.951813900000003,-0.9454404,-0.659852100000001,0.9951895,-0.008124388,-0.1998072,-46.98489,-32.30307,40.29068
116.79,0.890280700000001,-0.9454404,-0.659852100000001,1.001945,-0.004580543,-0.1988628,-46.19411,-34.20303,39.85487
