Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
135.49,-0.04269973,0.05868259,-0.005687185,1.00747,-0.0636632,-0.1356851,-41.2539,-33.32443,4.538307
135.5,-0.04278138,0.0585343299999999,-0.1276024,1.007002,-0.06463996,-0.1352055,-41.2539,-33.32443,4.538307
135.51,0.203328,0.1771283,-0.1275762,1.005053,-0.06468723,-0.1361592,-41.2539,-33.32443,4.538307
135.52,0.01860823,0.1770363,-0.005512677,1.006505,-0.06416821,-0.1356833,-41.2539,-33.32443,4.538307
135.53,0.2032232,0.1769071,-0.1273324,1.009961,-0.06651648,-0.134253,-41.2539,-33.32443,4.538307
135.54,-0.1044856,0.0580547700000001,-0.1272107,1.00748,-0.0641358,-0.1342493,-41.26176,-32.94407,4.536279
135.55,0.08024531,-0.001258671,-0.005071126,1.011845,-0.06308643,-0.1352143,-41.26176,-32.94407,4.536279
135.56,-0.04274797,-0.0606281199999997,-0.1268531,1.008013,-0.06655498,-0.1342496,-41.26176,-32.94407,4.536279
135.57,0.1419827,-0.1792567,-0.2485778,1.008464,-0.0645628,-0.1299437,-41.26176,-32.94407,4.536279
135.58,0.01887321,-0.0603640899999998,-0.0653724399999999,1.006533,-0.06561233,-0.1342473,-41.26176,-32.94407,4.536279
135.59,-0.1040237,-0.06017641,-0.0652137299999999,1.006974,-0.06319584,-0.1366415,-41.62498,-33.33432,3.697022
135.6,-0.1653683,-0.1786937,-0.004027024,1.010358,-0.06162291,-0.1313835,-41.62498,-33.33432,3.697022
135.61,-0.2266745,-0.0596341,-0.1258103,1.004639,-0.068561,-0.1337646,-41.62498,-33.33432,3.697022
135.62,-0.1647793,-0.1187252,-0.0646623700000002,1.007984,-0.06512403,-0.1371214,-41.62498,-33.33432,3.697022
135.63,0.01993077,-0.0592050399999998,-0.003572084,1.007553,-0.06802627,-0.134727,-41.62498,-33.33432,3.697022
135.64,-0.1031414,-0.1777981,-0.003433578,1.006983,-0.06367721,-0.1361629,-41.25979,-32.94789,4.084777
135.65,0.0198807,-0.1182224,-0.1252176,1.009979,-0.06748361,-0.1337742,-41.25979,-32.94789,4.084777
135.66,0.0812923400000002,-0.1774636,-0.2468869,1.009032,-0.06898648,-0.1366436,-41.25979,-32.94789,4.084777
135.67,0.01965702,-0.0586664399999999,-0.06391349,1.011412,-0.06604136,-0.1385629,-41.25979,-32.94789,4.084777
135.68,0.0811848900000001,-0.1773534,-0.0637757699999998,1.007002,-0.06463557,-0.1347269,-41.25979,-32.94789,4.084777
135.69,-0.1034008,-0.0585563699999999,-0.1855797,1.007084,-0.06898548,-0.1323331,-41.62667,-33.33105,4.084024
135.7,0.0813287599999998,0.06029648,0.05834494,1.00704,-0.06653911,-0.1304193,-41.62667,-33.33105,4.084024
135.71,-0.1647517,0.000961594299999999,-0.1245449,1.003023,-0.06031876,-0.1323282,-41.62667,-33.33105,4.084024
135.72,-0.1030888,0.1789615,0.2412446,1.005999,-0.06321508,-0.1366398,-41.62667,-33.33105,4.084024
135.73,-0.3490149,-0.0585608499999999,0.0582207999999997,1.004604,-0.06659161,-0.1308936,-41.62667,-33.33105,4.084024
135.74,0.02035225,0.000753201500000002,-0.002727337,1.003693,-0.07003315,-0.133284,-42.00142,-33.33387,4.081244
135.75,0.02036534,-0.0586933299999998,0.0582468500000001,1.006175,-0.07236554,-0.1280234,-42.00142,-33.33387,4.081244
135.76,0.2663181,0.0598614599999997,0.1191828,1.008049,-0.06851558,-0.1361635,-42.00142,-33.33387,4.081244
135.77,-0.04158595,0.0597676199999998,-0.002697811,1.007985,-0.06510209,-0.1347285,-42.00142,-33.33387,4.081244
135.78,0.2659391,0.2377683,0.0583146400000002,1.01191,-0.06646482,-0.1328207,-42.00142,-33.33387,4.081244
