Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
136.869799137,-1.301785,0.933775699999999,0.767250500000003,0.9221585,0.01134126,-0.3729726,-13.85094,-31.46217,29.77432
136.879711151,-0.6204669,1.516295,0.5217989,0.9284438,0.01479847,-0.3758887,-13.85094,-31.46217,29.77432
136.889623642,0.0608516599999998,2.098815,0.889976299999999,0.9175022,0.02822633,-0.3780988,-13.85094,-31.46217,29.77432
136.899535656,0.1847278,2.040563,0.5217989,0.9214528,0.03073455,-0.3713965,-13.85094,-31.46217,29.77432
136.90944767,-0.4965908,2.157067,0.3990731,0.9131549,0.03161364,-0.3689131,-14.23627,-30.71457,29.38849
136.919360161,-2.41667,2.215319,0.705887599999999,0.9057209,0.03586021,-0.3736176,-14.23627,-30.71457,29.38849
136.929272175,-3.903184,2.098815,1.074065,0.9028367,0.02511756,-0.381345,-14.23627,-30.71457,29.38849
136.939184189,-4.522564,1.807555,1.564968,0.8925315,0.01960381,-0.3913698,-14.23627,-30.71457,29.38849
136.94909668,-5.513573,1.749303,1.871783,0.8990056,0.04242314,-0.4008808,-14.23627,-30.71457,29.38849
136.959008694,-6.69039600000003,1.982311,1.81042,0.8959339,0.05109514,-0.4041557,-13.48291,-31.08911,29.38575
136.968920708,-6.814272,2.331823,1.135428,0.908336,0.03036519,-0.4111307,-13.48291,-31.08911,29.38575
136.978833199,-5.327759,3.322106,1.135428,0.9246724,0.02091559,-0.4027019,-13.48291,-31.08911,29.38575
136.988745213,-4.770316,3.846374,1.749057,0.9158648,0.02519235,-0.3982705,-13.48291,-31.08911,29.38575
136.998657227,-5.080007,3.555114,1.994509,0.9085358,0.02559115,-0.3972398,-13.48291,-31.08911,29.38575
137.008569717,-5.513573,3.72987,1.81042,0.9085599,0.02316464,-0.3977363,-13.85877,-31.09097,28.93798
137.018481731,-4.584502,3.904626,1.503605,0.9012598,0.02113947,-0.396722,-13.85877,-31.09097,28.93798
137.028393745,-3.469617,3.205602,1.319517,0.9032869,0.01681082,-0.3948489,-13.85877,-31.09097,28.93798
137.038306236,-2.850237,3.030846,1.38088,0.9088542,0.009659227,-0.3848647,-13.85877,-31.09097,28.93798
137.04821825,-3.097989,2.623082,1.38088,0.9132877,0.01265831,-0.3781636,-13.85877,-31.09097,28.93798
137.058130264,-3.71737,2.85609,1.38088,0.9110049,0.01271202,-0.3622969,-14.22657,-31.46376,29.3908
137.068043232,-4.212874,3.263854,1.319517,0.9168437,0.01716077,-0.3599204,-14.22657,-31.46376,29.3908
137.077954769,-5.080007,3.43861,1.135428,0.9230231,0.03031893,-0.3618106,-14.22657,-31.46376,29.3908
137.087866783,-6.87620999999998,3.496862,1.319517,0.919995,0.04194046,-0.3573837,-14.22657,-31.46376,29.3908
137.097779751,-9.35373199999999,3.43861,1.871783,0.9214519,0.04195358,-0.3583574,-14.22657,-31.46376,29.3908
137.107691765,-11.70738,3.43861,2.424049,0.9156375,0.04288341,-0.3520554,-13.84609,-31.83676,29.77547
137.117603302,-13.62746,3.43861,2.914952,0.9118527,0.03021748,-0.3545055,-13.84609,-31.83676,29.77547
137.12751627,-14.61847,2.972594,3.160404,0.9114003,0.02632797,-0.3554876,-13.84609,-31.83676,29.77547
137.13990593,-15.05203,2.85609,3.467218,0.9193192,0.01623174,-0.3580289,-13.84609,-31.83676,29.77547
137.149817944,-15.29979,2.448327,3.405856,0.912492,0.01225309,-0.3608732,-13.84609,-31.83676,29.77547
137.159730911,-14.92816,1.924059,3.160404,0.9109738,0.01367142,-0.3642108,-13.85553,-31.4674,28.48943
137.169642448,-14.30878,1.865807,2.914952,0.9050963,0.01164154,-0.3675311,-13.85553,-31.4674,28.48943
137.179554462,-13.31777,1.399791,2.362686,0.8992674,0.00719789,-0.3689473,-13.85553,-31.4674,28.48943
137.18946743,-11.95513,0.9920276,1.871783,0.9052041,0.0009659065,-0.3695239,-13.85553,-31.4674,28.48943
137.199379444,-9.78729900000003,0.875523700000001,1.319517,0.9126359,-0.004745231,-0.3667497,-13.85553,-31.4674,28.48943
137.209290981,-7.18590000000003,0.5260119,1.258154,0.9122548,-0.01006109,-0.3624602,-14.5992,-31.84205,28.49447
137.219203949,-4.894192,0.642515800000001,0.951339199999998,0.9168375,-0.01088685,-0.3457025,-14.5992,-31.84205,28.49447
137.229115963,-3.159927,0.875523700000001,0.1536215,0.9158553,-0.008462294,-0.3432765,-14.5992,-31.84205,28.49447
137.239027977,-1.301785,1.05028,-0.03046724,0.9280275,-4.352152e-05,-0.3385314,-14.5992,-31.84205,28.49447
137.248940468,0.1227897,1.341539,-0.582733500000001,0.9284588,0.01261558,-0.329328,-14.5992,-31.84205,28.49447
137.258852482,0.866046300000002,1.341539,-0.889547900000002,0.9201521,0.01300223,-0.3282883,-14.22793,-31.84542,27.65734
137.268764496,1.547365,1.05028,-1.319088,0.9195555,0.02367179,-0.3262911,-14.22793,-31.84542,27.65734
137.278676987,1.361551,0.759019800000003,-1.441814,0.9214571,0.0290339,-0.3253126,-14.22793,-31.84542,27.65734
137.288589001,1.547365,0.5842639,-1.441814,0.91695,0.03136244,-0.332938,-14.22793,-31.84542,27.65734
137.298501015,1.485427,0.1765001,-1.257725,0.9173752,0.03133539,-0.3391841,-14.22793,-31.84542,27.65734
137.308413506,1.423489,-0.1730116,-1.319088,0.9113464,0.03703163,-0.3482134,-14.59088,-32.59281,28.11131
137.31832552,0.680232200000002,-0.755531299999998,-1.196362,0.9101856,0.04326574,-0.3587247,-14.59088,-32.59281,28.11131
137.328237534,0.1227897,-1.338051,-1.135,0.911598,0.04618252,-0.3606389,-14.59088,-32.59281,28.11131
137.338150024,-0.1249625,-2.037075,-1.012274,0.9097395,0.03596484,-0.3630906,-14.59088,-32.59281,28.11131
137.348062039,0.1847278,-2.037075,-1.012274,0.9185226,0.03167534,-0.3699226,-13.84721,-32.21815,28.10627
137.357974053,0.618294100000002,-2.095326,-1.135,0.9157092,0.02779878,-0.36272,-13.84721,-32.21815,28.10627
137.367886543,1.113798,-1.571059,-1.135,0.9176781,0.02587881,-0.3637114,-13.84721,-32.21815,28.10627
137.377798557,1.237675,-1.512807,-1.380451,0.9167938,0.02835432,-0.3516827,-13.84721,-32.21815,28.10627
137.387710571,1.733179,-1.338051,-1.441814,0.9217199,0.01867842,-0.3594753,-13.84721,-32.21815,28.10627
137.397623062,1.980931,-1.279799,-1.503177,0.9257015,0.02022724,-0.3508589,-13.84558,-32.59641,27.208
137.407535076,2.600312,-1.046791,-1.441814,0.9233437,0.01048574,-0.353783,-13.84558,-32.59641,27.208
137.419925213,3.653259,-0.580775400000001,-1.380451,0.9174523,0.01332672,-0.3527492,-13.84558,-32.59641,27.208
137.429837704,4.024887,-0.4060195,-1.319088,0.9139839,0.01716255,-0.3526916,-13.84558,-32.59641,27.208
137.439749718,4.148763,-0.580775400000001,-1.56454,0.9093469,0.02625272,-0.3650723,-13.84558,-32.59641,27.208
137.449661732,4.210701,-0.580775400000001,-1.441814,0.9106759,0.03449203,-0.3688709,-14.59249,-32.59464,27.6616
137.459574223,3.901011,-0.580775400000001,-1.56454,0.9066813,0.03732673,-0.3736167,-14.59249,-32.59464,27.6616
137.469486237,3.529382,-0.755531299999998,-1.503177,0.9047775,0.04123174,-0.3639699,-14.59249,-32.59464,27.6616
137.479398251,3.343568,-0.6972793,-1.748629,0.9032521,0.04118295,-0.369718,-14.59249,-32.59464,27.6616
137.489310742,3.28163,-0.930287099999998,-1.319088,0.9042289,0.04168244,-0.3692436,-14.59249,-32.59464,27.6616
137.499222756,3.157754,-1.163295,-1.257725,0.8983279,0.03915248,-0.3754479,-14.21363,-32.58938,28.94455
137.50913477,3.157754,-1.571059,-1.073637,0.8992255,0.04009854,-0.3821721,-14.21363,-32.58938,28.94455
137.51904726,3.405506,-2.153579,-1.196362,0.9012468,0.03625467,-0.3802958,-14.21363,-32.58938,28.94455
137.528959274,4.272639,-2.50309,-1.135,0.9115273,0.03395059,-0.3818467,-14.21363,-32.58938,28.94455
137.538871288,4.89202,-2.153579,-1.257725,0.9101264,0.03543007,-0.3736612,-14.21363,-32.58938,28.94455
