Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
55.87,0.0608516599999998,0.1765001,-0.3372818,0.2912378,0.05689296,0.9540811,-18.98529,-25.31435,-39.60471
55.88,0.0608516599999998,0.1765001,-0.214556,0.2857912,0.05971709,0.950789,-18.98529,-25.31435,-39.60471
55.89,-0.001086392,0.0599961999999999,-0.1531931,0.2818376,0.06159749,0.9489176,-18.98529,-25.31435,-39.60471
55.9,0.0608516599999998,0.0599961999999999,-0.3372818,0.2876541,0.06749807,0.9508237,-18.61611,-24.93998,-39.67205
55.91,-0.1869005,-0.05650773,-0.214556,0.2881484,0.06458009,0.9479188,-18.61611,-24.93998,-39.67205
55.92,-0.3107767,0.001744238,-0.2759189,0.2891016,0.06457949,0.9455091,-18.61611,-24.93998,-39.67205
55.93,-0.1869005,0.0599961999999999,-0.4600076,0.2900392,0.07042444,0.9484203,-18.61611,-24.93998,-39.67205
55.94,-0.06302445,0.001744238,-0.5213705,0.287989,0.07132642,0.9402826,-18.61611,-24.93998,-39.67205
55.95,-0.06302445,0.0599961999999999,-0.644096300000003,0.2874515,0.07909997,0.9446608,-18.99499,-24.56516,-39.60702
55.96,-0.4346527,0.1765001,-0.582733500000001,0.2861528,0.0703886,0.9508568,-18.99499,-24.56516,-39.60702
55.97,-0.5585288,0.1765001,-0.5213705,0.2870696,0.06890561,0.9431559,-18.99499,-24.56516,-39.60702
55.98,-0.4965908,0.351256,-0.5213705,0.2890228,0.06746533,0.9412076,-18.99499,-24.56516,-39.60702
55.99,-0.6204669,0.0599961999999999,-0.4600076,0.2876118,0.06650045,0.9455356,-18.99499,-24.56516,-39.60702
56,-0.6204669,0.001744238,-0.4600076,0.2861279,0.06793661,0.9455589,-18.60156,-26.06377,-39.66859
56.01,-0.5585288,0.293004,-0.4600076,0.2852325,0.06308927,0.9479358,-18.60156,-26.06377,-39.66859
56.02,-0.6204669,0.293004,-0.582733500000001,0.2930067,0.06511287,0.9454765,-18.60156,-26.06377,-39.66859
56.03,-0.744343000000003,0.2347521,-0.705459200000001,0.285834,0.05778811,0.9526965,-18.60156,-26.06377,-39.66859
56.04,-0.744343000000003,0.1182482,-0.582733500000001,0.2853612,0.05437575,0.9502773,-18.60156,-26.06377,-39.66859
56.05,-0.5585288,0.001744238,-0.5213705,0.2862989,0.05485485,0.9469107,-19.34847,-26.062,-39.21499
56.06,-0.4965908,-0.1147597,-0.1531931,0.2863447,0.0539031,0.9502651,-19.34847,-26.062,-39.21499
56.07,-0.5585288,-0.1730116,-0.09183015,0.2917231,0.05348255,0.9497324,-19.34847,-26.062,-39.21499
56.08,-0.5585288,0.001744238,-0.1531931,0.2887231,0.05780161,0.9483484,-19.34847,-26.062,-39.21499
56.09,-0.1869005,-0.2312636,-0.03046724,0.2882062,0.05973216,0.9478859,-19.34847,-26.062,-39.21499
56.1,-0.2488386,0.0599961999999999,-0.03046724,0.2861978,0.06455835,0.9484168,-19.72411,-26.0636,-39.59851
56.11,-0.1249625,0.1182482,-0.1531931,0.2823096,0.06549719,0.9518201,-19.72411,-26.0636,-39.59851
56.12,-0.06302445,0.1765001,-0.2759189,0.2827935,0.06550072,0.9513355,-19.72411,-26.0636,-39.59851
56.13,-0.1869005,-0.05650773,-0.4600076,0.2813328,0.05963186,0.9450678,-19.72411,-26.0636,-39.59851
56.14,-0.4965908,0.1182482,-0.5213705,0.2841248,0.06983875,0.9431893,-19.72411,-26.0636,-39.59851
56.15,-0.6204669,0.1182482,-0.2759189,0.2886158,0.06555066,0.9469605,-19.35146,-26.0654,-40.05017
56.16,-0.5585288,-0.05650773,-0.214556,0.28874,0.05927382,0.9517192,-19.35146,-26.0654,-40.05017
56.17,-0.6204669,0.1765001,-0.3372818,0.2882067,0.06217142,0.950783,-19.35146,-26.0654,-40.05017
56.18,-0.5585288,0.2347521,-0.214556,0.2833167,0.06015878,0.9484141,-19.35146,-26.0654,-40.05017
56.19,-0.3107767,0.001744238,-0.214556,0.2862624,0.05873828,0.9478973,-19.35146,-26.0654,-40.05017
56.2,-0.1249625,0.0599961999999999,-0.1531931,0.28781,0.05196941,0.9478379,-19.35332,-25.68741,-39.21614
56.21,-0.1249625,-0.1147597,-0.09183015,0.2877908,0.05439847,0.9488145,-19.35332,-25.68741,-39.21614
56.22,-0.1249625,-0.1147597,-0.1531931,0.2852748,0.05872104,0.9469459,-19.35332,-25.68741,-39.21614
56.23,-0.2488386,-0.05650773,-0.1531931,0.281875,0.0572267,0.9474476,-19.35332,-25.68741,-39.21614
56.24,-0.1869005,-0.1730116,-0.2759189,0.2823523,0.05820237,0.9474497,-19.35332,-25.68741,-39.21614
