Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
72.402173042,0.2652568,0.3956859,-0.06683975,0.9807598,-0.038916,-0.2009924,-30.45469,-27.49317,23.61624
72.412086487,0.4507183,0.3951157,-0.005296545,0.9803715,-0.04033313,-0.1928356,-30.45469,-27.49317,23.61624
72.421999455,0.573853199999999,0.3946011,-0.1893016,0.9753734,-0.03410938,-0.196109,-30.45469,-27.49317,23.61624
72.431912899,0.758829800000002,0.3359084,-0.1277972,0.9763515,-0.03702383,-0.1994986,-30.82734,-27.49137,24.0679
72.441826344,0.634058999999998,0.2190557,-0.005142203,0.9732925,-0.0351746,-0.2095413,-30.82734,-27.49137,24.0679
72.451739788,0.757177500000002,-0.01420898,-0.005155006,0.9763395,-0.0384935,-0.2023892,-30.82734,-27.49137,24.0679
72.461652756,0.756245999999998,0.2186338,-0.1277972,0.9744616,-0.04335553,-0.2004836,-30.82734,-27.49137,24.0679
72.471565724,0.631381100000002,0.2184506,-0.1276753,0.9743958,-0.03948738,-0.2023779,-30.82734,-27.49137,24.0679
72.481478691,0.692428799999999,0.2182128,-0.1276305,0.974934,-0.04238242,-0.2009616,-31.19511,-28.24424,23.17273
72.491392136,0.8153768,0.2762456,-0.1275088,0.9769722,-0.04475407,-0.1957146,-31.19511,-28.24424,23.17273
72.50130558,0.628733,0.2758986,-0.004796254,0.9793466,-0.04134544,-0.1985948,-31.19511,-28.24424,23.17273
72.511218548,0.566122,0.1591396,0.05653413,0.9822509,-0.03888504,-0.1986052,-31.19511,-28.24424,23.17273
72.521131992,0.3797135,0.1589946,-0.1274907,0.9763902,-0.03944271,-0.1985548,-31.19511,-28.24424,23.17273
72.531045437,0.3792366,0.1587583,-0.004643289,0.9778488,-0.04040426,-0.2004953,-31.2032,-27.49323,23.62013
72.540957928,0.5026363,0.3331867,-0.188572,0.9792602,-0.03700014,-0.2019261,-31.2032,-27.49323,23.62013
72.550871372,0.625783899999998,0.3329329,-0.0655515399999998,0.9788715,-0.04085653,-0.1966665,-31.2032,-27.49323,23.62013
72.56078434,0.748971200000003,0.2743908,-0.1882721,0.9785131,-0.04518497,-0.1890095,-31.2032,-27.49323,23.62013
72.570697784,0.871906600000001,0.3322616,-0.1882091,0.980908,-0.04761934,-0.1967304,-31.2032,-27.49323,23.62013
72.580611229,0.871064200000001,0.3319357,-0.1880498,0.9793684,-0.03987068,-0.1947439,-31.57123,-27.86628,24.0087
72.590524673,0.5605134,0.4480044,-0.1265085,0.9794084,-0.04570348,-0.1976641,-31.57123,-27.86628,24.0087
72.600437641,0.621766800000001,0.4474417,0.0577006,0.9764539,-0.04477542,-0.1985909,-31.57123,-27.86628,24.0087
72.610350132,0.682904400000002,0.621416000000001,-0.0649820400000002,0.9798434,-0.04035958,-0.1966722,-31.57123,-27.86628,24.0087
72.620263576,0.5583457,0.7370846,-0.0649775000000003,0.9818439,-0.04079971,-0.1928523,-31.57123,-27.86628,24.0087
72.630177021,0.4338072,0.5614944,-0.1876988,0.9788578,-0.04135151,-0.1985903,-31.2032,-27.49323,23.62013
72.642568111,0.3093473,0.3277514,-0.1875583,0.9762775,-0.03413546,-0.2033199,-31.2032,-27.49323,23.62013
72.652481556,0.2470985,0.3854637,-0.1874961,0.9778768,-0.03697504,-0.1937505,-31.2032,-27.49323,23.62013
72.662395,-0.0008473247,0.3847966,-0.2487392,0.977376,-0.03845078,-0.1966366,-31.2032,-27.49323,23.62013
