Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-1.735352,-0.8720351,0.09225857,1.015972,-0.09236065,-0.1200473,-34.5891,-22.32623,20.02366
0.052019119,-1.611476,-0.05650773,0.03089567,1.001411,-0.05956575,-0.1187338,-34.64743,-22.6384,20.02495
0.054496288,-1.4876,-0.1730116,-0.1531931,1.004353,-0.06147612,-0.1202142,-34.65125,-22.32597,20.08823
0.064404964,-1.425662,-0.9302871,0.03089567,1.005335,-0.06390069,-0.1226402,-34.65125,-22.32597,20.08823
0.074313641,-1.549538,-1.105043,-0.09183015,1.00738,-0.06724447,-0.1178798,-34.65125,-22.32597,20.08823
0.084221363,-1.673414,-0.7555313,-0.03046724,1.01431,-0.06857816,-0.1112306,-34.65125,-22.32597,20.08823
0.094130039,-2.045042,0.351256,0.03089567,1.008501,-0.07837746,-0.1170041,-34.65125,-22.32597,20.08823
0.104038715,-2.664423,0.9337757,0.1536215,1.014243,-0.07495435,-0.125197,-35.02412,-22.32443,20.47565
0.113946915,-2.230856,1.05028,0.2763473,1.012798,-0.07886365,-0.1276105,-35.02412,-22.32443,20.47565
0.123855591,-0.744343,0.9920276,0.2149844,1.018819,-0.08797891,-0.1234055,-35.02412,-22.32443,20.47565
0.133764267,0.3086039,1.341539,0.03089567,1.011505,-0.09049907,-0.124315,-35.02412,-22.32443,20.47565
0.143672943,0.43248,1.283287,-0.2759189,1.004538,-0.09016044,-0.1357721,-35.02412,-22.32443,20.47565
0.153580666,0.06085166,1.574547,-0.2759189,1.01125,-0.07941253,-0.1362427,-35.03035,-21.95141,20.08903
0.163489342,-0.3107767,1.982311,-0.3986447,1.014144,-0.07451797,-0.1343162,-35.03035,-21.95141,20.08903
0.173398018,-1.177909,2.273571,-0.3372818,1.013222,-0.08084261,-0.1362705,-35.03035,-21.95141,20.08903
0.183306694,-1.177909,2.157067,-0.09183015,1.012776,-0.07985108,-0.130978,-35.03035,-21.95141,20.08903
0.193214417,-0.8682191,1.807555,-0.214556,1.006837,-0.06971782,-0.126054,-35.03035,-21.95141,20.08903
0.203123093,-0.4965908,1.341539,0.2149844,1.009158,-0.06633721,-0.1342156,-34.654,-22.32911,19.3173
0.213031769,-0.3107767,0.9920276,-0.09183015,1.009531,-0.06248847,-0.1409156,-34.654,-22.32911,19.3173
0.225417137,-0.5585288,0.7590198,-0.214556,1.01066,-0.06727584,-0.131835,-34.654,-22.32911,19.3173
0.235325813,-0.806281,1.341539,-0.3372818,1.008569,-0.06541955,-0.1428469,-34.654,-22.32911,19.3173
0.245234489,-0.6824049,1.807555,-0.3986447,1.003674,-0.06450815,-0.1423154,-34.654,-22.32911,19.3173
0.255142212,-0.806281,1.632799,-0.3986447,1.009052,-0.0649287,-0.1428481,-35.01695,-23.0765,19.77127
0.265050888,-1.363724,1.807555,-0.3986447,1.006262,-0.07367102,-0.1390393,-35.01695,-23.0765,19.77127
0.274959564,-1.425662,1.458043,-0.3372818,1.000479,-0.07662717,-0.1342039,-35.01695,-23.0765,19.77127
0.28486824,-1.054033,1.225035,-0.1531931,1.00456,-0.08624642,-0.129024,-35.01695,-23.0765,19.77127
0.294775963,-0.3727147,0.8755237,-0.2759189,1.00569,-0.09200848,-0.1209101,-35.01695,-23.0765,19.77127
0.304684639,-0.1869005,1.05028,-0.1531931,1.011936,-0.08564506,-0.1242866,-35.0218,-22.7019,19.77011
0.314593315,-0.3107767,1.516295,-0.5213705,1.020174,-0.07777495,-0.1223897,-35.0218,-22.7019,19.77011
0.324501991,-0.8682191,1.691051,-0.4600076,1.01121,-0.07114047,-0.1304253,-35.0218,-22.7019,19.77011
0.334410191,-0.6824049,1.749303,-0.3986447,1.010742,-0.06625785,-0.1227059,-35.0218,-22.7019,19.77011
0.344318867,-0.1869005,1.807555,-0.3986447,1.015749,-0.07198916,-0.1179888,-35.0218,-22.7019,19.77011
0.354227543,0.6802322,2.564831,-0.4600076,1.016775,-0.06902494,-0.1098159,-34.65239,-22.32728,19.76701
0.364135742,0.6182941,2.797838,-0.3986447,1.009419,-0.07010345,-0.1131162,-34.65239,-22.32728,19.76701
0.374043942,0.494418,1.807555,-0.3372818,1.00263,-0.07357437,-0.111636,-34.65239,-22.32728,19.76701
0.383952618,0.6802322,0.9337757,-0.3372818,1.00899,-0.07349288,-0.1112141,-34.65239,-22.32728,19.76701
0.393861294,1.175737,0.8755237,-0.2759189,1.019863,-0.07866398,-0.1060674,-34.65239,-22.32728,19.76701
0.40376997,1.918993,1.458043,-0.03046724,1.025746,-0.07955816,-0.1056476,-34.65239,-22.32728,19.76701
0.413677693,2.290622,1.807555,0.09225857,1.022721,-0.07476449,-0.1089488,-34.65239,-22.32728,19.76701
0.423586369,2.66225,1.982311,0.1536215,1.016373,-0.07386366,-0.1069635,-34.65239,-22.32728,19.76701
0.433495045,2.910002,1.807555,0.3377102,1.008472,-0.0681484,-0.1078126,-34.65239,-22.32728,19.76701
0.443403721,3.033878,1.574547,-0.03046724,1.006511,-0.06524865,-0.1048942,-34.65239,-22.32728,19.76701
0.453311443,3.095816,1.399791,-0.214556,1.012456,-0.06757426,-0.1001631,-35.40068,-22.32708,19.83515
0.46322012,3.343568,1.399791,-0.1531931,1.009667,-0.07680392,-0.09683771,-35.40068,-22.32708,19.83515
0.473128796,3.405506,0.8172717,-0.09183015,1.011928,-0.0734539,-0.1107609,-35.40068,-22.32708,19.83515
0.485514164,3.28163,0.8755237,0.1536215,1.01223,-0.06769147,-0.1222491,-35.40068,-22.32708,19.83515
0.49542284,4.086825,0.46776,0.1536215,1.004582,-0.07940582,-0.1188953,-35.40068,-22.32708,19.83515
0.505331516,5.263648,0.46776,0.09225857,1.019899,-0.08791326,-0.1133317,-35.40553,-21.95248,19.83399
0.515240193,6.068842,0.7590198,-0.03046724,1.011761,-0.09621976,-0.1061094,-35.40553,-21.95248,19.83399
0.525147915,6.688223,0.7590198,-0.3372818,1.013661,-0.09573615,-0.1109254,-35.40553,-21.95248,19.83399
0.535056591,6.688223,0.8172717,-0.3986447,1.011639,-0.08847836,-0.1089377,-35.40553,-21.95248,19.83399
0.544965267,6.316595,0.351256,-0.5827335,1.009956,-0.08568209,-0.1266693,-35.40553,-21.95248,19.83399
0.554873943,6.006905,0.2347521,-0.7668222,1.005007,-0.07699362,-0.1222443,-35.02019,-22.70007,20.21982
0.564782619,6.254657,0.293004,-0.8281851,1.010859,-0.0740018,-0.1203578,-35.02019,-22.70007,20.21982
0.574690342,6.997913,0.9337757,-0.9509109,1.007923,-0.06721036,-0.1126029,-35.02019,-22.70007,20.21982
0.584599018,6.997913,0.9337757,-0.7668222,1.01126,-0.06087065,-0.1135518,-35.02019,-22.70007,20.21982
0.594507694,6.130781,0.9337757,-0.8281851,1.007813,-0.0609259,-0.1159211,-35.02019,-22.70007,20.21982
0.60441637,5.449462,0.293004,-0.7054592,1.009441,-0.06862869,-0.1092653,-35.02019,-22.70007,20.21982
0.61432457,5.635276,0.1765001,-0.6440963,1.013434,-0.07585455,-0.1098305,-35.02019,-22.70007,20.21982
0.624233246,5.263648,0.351256,-0.6440963,1.018367,-0.08162408,-0.1123153,-35.02019,-22.70007,20.21982
0.634141445,5.449462,0.9920276,-0.7054592,1.017922,-0.08648573,-0.1137841,-35.02019,-22.70007,20.21982
0.644050121,6.254657,1.516295,-0.7054592,1.028158,-0.08100764,-0.1104812,-35.02019,-22.70007,20.21982
0.653958321,6.440471,2.331823,-0.8281851,1.022131,-0.0733595,-0.1170967,-35.77356,-22.32554,20.22256
0.663866997,6.006905,2.623082,-0.9509109,1.010205,-0.05897164,-0.1188112,-35.77356,-22.32554,20.22256
0.673775673,5.449462,2.390074,-0.7054592,1.002368,-0.05371061,-0.1139021,-35.77356,-22.32554,20.22256
0.683684349,5.015896,2.390074,-0.8281851,1.012646,-0.05162608,-0.1106221,-35.77356,-22.32554,20.22256
0.693593025,4.396515,2.681334,-0.5827335,1.012601,-0.04579582,-0.1081821,-35.77356,-22.32554,20.22256
0.703500748,3.467444,2.564831,-0.3986447,1.008215,-0.04291624,-0.1033207,-34.65403,-21.94902,20.66528
0.713409424,2.166745,1.865807,-0.1531931,1.001231,-0.03624473,-0.1089736,-34.65403,-21.94902,20.66528
0.7233181,0.43248,1.05028,-0.1531931,1.007084,-0.03666684,-0.1109512,-34.65403,-21.94902,20.66528
0.733226776,-1.054033,1.166783,-0.03046724,1.014509,-0.04140585,-0.1076903,-34.65403,-21.94902,20.66528
0.743134499,-2.354732,1.108532,0.1536215,1.017068,-0.04521816,-0.1010172,-34.65403,-21.94902,20.66528
0.753043175,-2.664423,1.458043,0.5217989,1.020054,-0.04466636,-0.09527919,-35.03127,-21.95245,19.83205
0.76542902,-3.097989,1.341539,0.5831618,1.01378,-0.0515324,-0.09526691,-35.03127,-21.95245,19.83205
0.775337219,-2.974113,1.108532,0.7058876,1.012545,-0.06021065,-0.08282919,-35.03127,-21.95245,19.83205
0.785245895,-2.540546,0.5842639,0.5831618,1.016561,-0.06644908,-0.08002695,-35.03127,-21.95245,19.83205
0.795154571,-2.478608,0.8172717,0.7672505,1.02285,-0.06494123,-0.08487664,-35.03127,-21.95245,19.83205
0.805063248,-2.912175,1.749303,0.9513392,1.02373,-0.06790665,-0.09786882,-35.03127,-21.95245,19.83205
