Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
31.11579895,-6.16967699999999,1.679239,0.743324399999998,0.9485477,0.163854,-0.08128612,-35.85988,-39.42091,21.41097
31.125658989,-6.72872000000001,4.476159,1.601566,0.9533468,0.1633826,-0.08854649,-35.85988,-39.42091,21.41097
31.135519028,-6.72872000000001,7.39209699999998,2.153293,0.9500727,0.1546071,-0.08521949,-35.85988,-39.42091,21.41097
31.14537859,-6.48025699999999,9.89147200000003,2.398505,0.9471481,0.1438432,-0.09389424,-35.48414,-39.79337,21.41281
31.155239582,-5.113706,12.50986,3.93108,0.9414495,0.1272404,-0.09586994,-35.48414,-39.79337,21.41281
31.165099144,-3.312345,14.29513,5.586261,0.944369,0.1301913,-0.09444904,-35.48414,-39.79337,21.41281
31.174959183,-2.070026,16.61598,6.93492700000001,0.9620349,0.1391511,-0.08264522,-35.48414,-39.79337,21.41281
31.184819222,-0.579244300000001,19.17487,8.590108,0.9811477,0.1344476,-0.08439493,-35.48414,-39.79337,21.41281
31.194679737,0.1040308,21.4362,9.93877400000001,0.9975094,0.1603937,-0.08153395,-35.85862,-40.16255,21.03443
31.204539776,-1.324635,23.63803,11.04223,1.023287,0.1815744,-0.0740554,-35.85862,-40.16255,21.03443
31.216865063,-4.616779,27.20857,12.20698,1.055564,0.2062691,-0.05322225,-35.85862,-40.16255,21.03443
31.226725102,-8.03315400000002,30.48156,12.20698,1.074041,0.2084899,-0.02375649,-35.85862,-40.16255,21.03443
31.236584663,-10.45567,34.82571,11.71656,1.089045,0.1950431,-0.01162463,-35.85862,-40.16255,21.03443
31.246444702,-11.44953,38.33674,11.34874,1.089957,0.1688037,-0.003712679,-35.8723,-39.44497,19.6826
31.256305218,-10.51779,42.02629,11.28744,1.089502,0.1566034,-0.01195554,-35.8723,-39.44497,19.6826
31.266165257,-8.96489200000003,45.29929,10.79702,1.086535,0.1565683,-0.01430955,-35.8723,-39.44497,19.6826
31.276025295,-7.41199499999999,47.91768,10.18399,1.074777,0.1569478,-0.01509718,-35.8723,-39.44497,19.6826
31.285885334,-5.79698099999998,51.13116,9.69356200000002,1.05914,0.1524197,-0.01778771,-35.8723,-39.44497,19.6826
31.29574585,-4.181968,54.22563,9.57095500000001,1.053998,0.1460933,-0.005787831,-36.62373,-39.81606,18.85805
31.305605888,-1.573099,57.6176400000003,9.69356200000002,1.057918,0.1383183,-0.01213892,-36.62373,-39.81606,18.85805
31.315465927,0.1661467,60.1765200000001,9.632258,1.055124,0.1319855,-0.00736054,-36.62373,-39.81606,18.85805
31.325325489,2.09174,62.9734400000001,9.14183399999998,1.068479,0.1189623,-0.008139988,-36.62373,-39.81606,18.85805
31.335186482,4.700608,65.6513399999998,8.467502,1.068186,0.1155965,0.003336558,-36.62373,-39.81606,18.85805
31.345046043,7.12312899999999,67.8531699999999,8.09968399999998,1.059823,0.09660374,0.01910905,-37.76057,-39.8334,16.68738
31.354906082,10.53951,71.0071499999999,7.91577499999999,1.067549,0.0831091,0.03565703,-37.76057,-39.8334,16.68738
31.364766121,13.83165,74.0421100000001,7.854472,1.070096,0.08560064,0.04522575,-37.76057,-39.8334,16.68738
31.374626637,16.93744,77.3745999999997,7.48665400000003,1.072471,0.09097268,0.04475803,-37.76057,-39.8334,16.68738
31.386951923,21.8446,81.5997400000001,7.854472,1.067298,0.1196545,0.04938662,-38.15349,-39.12219,14.56931
31.396811962,21.96883,83.5040200000003,7.54795700000002,1.062719,0.1488587,0.06215754,-38.15349,-39.12219,14.56931
31.406672001,20.54017,86.0629000000001,7.793169,1.077479,0.1641479,0.08172338,-38.15349,-39.12219,14.56931
31.416531563,17.86918,88.91933,8.28359300000002,1.09315,0.1818674,0.09842154,-38.15349,-39.12219,14.56931
31.426392555,14.51492,91.6567499999999,7.793169,1.101027,0.1995274,0.1176263,-38.15349,-39.12219,14.56931
31.436252117,11.40913,94.6916999999997,6.81232100000002,1.110912,0.1986663,0.1241869,-38.15349,-39.12219,14.56931
31.446112156,9.11083900000002,97.2505899999999,6.56710899999998,1.111654,0.1938605,0.1385118,-39.29313,-38.02886,12.83542
31.455972195,7.80640399999998,99.1548800000003,6.32189799999997,1.110845,0.1890177,0.1466288,-39.29313,-38.02886,12.83542
31.46583271,6.19139099999999,101.1187,5.83147299999998,1.130058,0.199478,0.1656113,-39.29313,-38.02886,12.83542
31.475692749,5.13542,104.4512,5.83147299999998,1.143087,0.1908909,0.1806875,-39.29313,-38.02886,12.83542
31.485552788,4.700608,107.2481,5.279747,1.146766,0.1875763,0.1964206,-39.29313,-38.02886,12.83542
31.495412827,4.203681,109.1524,4.237596,1.139305,0.1832173,0.2194918,-41.55546,-37.66956,10.3467
