Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
18.464876175,1.594813,-7.42562799999997,1.233748,0.01960147,0.05703332,0.2276766,-17.52026,-34.10505,-30.92129
18.477201462,0.4146104,-19.863,1.785475,0.02280917,0.08238967,0.2340745,-17.52026,-34.10505,-30.92129
18.487060547,1.097885,-28.43228,2.582414,0.02057372,0.0965866,0.2620197,-16.83108,-34.84925,-30.91729
18.496920586,3.085595,-36.40648,3.379353,0.02125615,0.1083635,0.2865486,-16.83108,-34.84925,-30.91729
18.506780625,4.700608,-44.61871,3.685868,0.01750184,0.1104623,0.3359773,-16.83108,-34.84925,-30.91729
18.516640663,3.644638,-51.46224,3.440656,0.03889529,0.08026285,0.4072975,-16.83108,-34.84925,-30.91729
18.526500225,2.526551,-57.5916600000001,3.685868,0.05967548,0.01926542,0.4424265,-16.83108,-34.84925,-30.91729
18.536360264,2.899247,-64.9707700000002,5.463655,0.06709772,-0.03505657,0.472531,-16.44936,-35.21014,-30.08327
18.546219349,3.085595,-74.1946600000002,7.854472,0.111604,-0.03892398,0.5039704,-16.44936,-35.21014,-30.08327
18.556079388,1.470581,-84.90626,10.3679,0.1438029,0.002836251,0.5340534,-16.44936,-35.21014,-30.08327
18.565939426,-3.125997,-97.2841200000002,12.4522,0.1553148,0.05986239,0.5314955,-16.44936,-35.21014,-30.08327
18.575799465,-8.40584900000001,-111.7448,14.22998,0.1627222,0.1154699,0.5495896,-16.44936,-35.21014,-30.08327
18.585659504,-16.04611,-126.146,15.76256,0.1786843,0.1701074,0.5483856,-18.61824,-35.53529,-28.78796
18.595519066,-24.92868,-139.833,16.80471,0.248236,0.1946706,0.5758744,-18.61824,-35.53529,-28.78796
18.605379105,-33.25221,-147.9262,16.80471,0.3380643,0.2038508,0.6058195,-18.61824,-35.53529,-28.78796
18.615238666,-40.14708,-153.8176,15.76256,0.395561,0.1868562,0.6096486,-18.61824,-35.53529,-28.78796
18.625098228,-42.44537,-159.7685,13.92347,0.4336788,0.1793714,0.5999374,-18.61824,-35.53529,-28.78796
18.634958267,-42.9423,-167.2071,11.10353,0.4792889,0.1972483,0.5879375,-21.60243,-34.74575,-27.43575
18.644818306,-43.31499,-175.3003,7.24144199999999,0.5569921,0.2086559,0.5917183,-21.60243,-34.74575,-27.43575
18.657143116,-46.66925,-180.4181,2.153293,0.6537961,0.194363,0.5744044,-21.60243,-34.74575,-27.43575
18.667002678,-46.8556,-183.096,-1.340978,0.6925465,0.1610475,0.5524861,-21.60243,-34.74575,-27.43575
18.676862717,-40.14708,-185.5359,-3.547885,0.7191663,0.1486456,0.5563148,-21.60243,-34.74575,-27.43575
18.686722755,-32.75529,-187.4997,-6.490429,0.7563164,0.1233611,0.6034919,-26.81225,-34.26995,-24.01975
18.696582794,-25.54984,-188.3328,-10.35252,0.8035482,0.02829673,0.5751813,-26.81225,-34.26995,-24.01975
18.706442356,-9.52393499999999,-186.607,-12.25291,0.8890586,-0.06688324,0.5554289,-26.81225,-34.26995,-24.01975
18.716301918,13.52107,-182.6199,-12.43682,0.946916,-0.1000216,0.5356358,-26.81225,-34.26995,-24.01975
18.726161957,34.95106,-184.7623,-11.51728,0.9626082,-0.09965422,0.4668898,-26.81225,-34.26995,-24.01975
18.736021519,54.95238,-190.7132,-8.26821599999997,1.022601,-0.06157839,0.4869617,-32.01689,-33.04005,-19.33101
18.745881557,65.1393999999998,-194.9383,-4.590036,1.075968,0.02825213,0.5689023,-32.01689,-33.04005,-19.33101
18.755741596,60.7912800000001,-197.9137,-1.463584,1.099646,0.1060091,0.6157033,-32.01689,-33.04005,-19.33101
18.765601635,48.30598,-197.6757,2.521111,1.124288,0.1360597,0.6553793,-32.01689,-33.04005,-19.33101
18.77546072,32.777,-195.2953,5.95407899999997,1.114596,0.1212172,0.6132226,-32.01689,-33.04005,-19.33101
18.785320759,22.58999,-193.0935,8.03838099999998,1.121201,0.08556785,0.5639493,-35.31998,-34.37223,-12.00097
18.795180798,18.49034,-190.8917,9.38704699999999,1.172526,0.09661745,0.534559,-35.31998,-34.37223,-12.00097
18.805040836,16.3784,-188.6898,7.60926000000002,1.217194,0.1553719,0.5253135,-35.31998,-34.37223,-12.00097
18.814900398,10.66374,-188.3923,3.685868,1.239718,0.2010649,0.4592486,-35.31998,-34.37223,-12.00097
18.827225208,3.023479,-189.642,0.1302944,1.283339,0.2215742,0.3754193,-35.31998,-34.37223,-12.00097
18.837085247,-1.573099,-191.3082,-0.4827355,1.301682,0.2288569,0.3277786,-37.50709,-35.35544,-5.128589
18.846944809,-4.865242,-195.0573,-0.789250600000002,1.293513,0.239078,0.3476284,-37.50709,-35.35544,-5.128589
18.856804848,-11.13895,-198.8064,-2.750947,1.269364,0.1954979,0.3322704,-37.50709,-35.35544,-5.128589
18.866664886,-13.18878,-201.9008,-3.977006,1.27412,0.1277741,0.2985663,-37.50709,-35.35544,-5.128589
18.876523972,-7.90892299999997,-202.2579,-3.670491,1.310869,0.08626362,0.302005,-37.50709,-35.35544,-5.128589
18.88638401,-1.200403,-199.8775,-4.712642,1.329514,0.07423858,0.2954082,-38.94153,-36.7092,2.191792
18.896244049,6.439854,-196.7831,-5.69349,1.32723,0.05069293,0.2506765,-38.94153,-36.7092,2.191792
18.906104088,14.51492,-193.9861,-5.203066,1.331661,0.06511668,0.1937104,-38.94153,-36.7092,2.191792
18.915964127,21.22344,-191.4868,-3.915704,1.326032,0.07609226,0.1493177,-38.94153,-36.7092,2.191792
18.925823688,27.06234,-189.999,-2.015311,1.323174,0.09157626,0.1327171,-38.94153,-36.7092,2.191792
18.93568325,29.79544,-189.2849,-0.1762206,1.328299,0.1294975,0.1114001,-38.52178,-36.62442,8.591242
18.945543289,28.61523,-188.8089,1.049839,1.340792,0.1621216,0.0875374,-38.52178,-36.62442,8.591242
18.955402851,25.57156,-188.0948,0.743324399999998,1.368564,0.1783132,0.05756785,-38.52178,-36.62442,8.591242
18.96526289,23.58385,-187.4997,0.2529004,1.413489,0.1780654,0.01523512,-38.52178,-36.62442,8.591242
18.975122929,22.27941,-188.3328,-0.6053416,1.427102,0.1581453,-0.008607781,-38.52178,-36.62442,8.591242
18.984982967,22.46576,-188.7494,-0.3601296,1.413641,0.1229391,-0.02213063,-37.72475,-37.28115,14.93229
18.994843006,23.14903,-187.7972,0.5594154,1.389183,0.1202817,-0.02420047,-37.72475,-37.28115,14.93229
19.007167339,21.72037,-186.25,1.417657,1.351255,0.0980388,-0.02672281,-37.72475,-37.28115,14.93229
