Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.165550232,-1.076172,-14.98326,2.337202,-0.1032426,0.08454713,0.06912784,-18.60318,-36.93227,-27.74928
17.175410271,-9.95874700000001,-31.76478,5.034534,-0.05516998,0.08403295,0.07802233,-18.60318,-36.93227,-27.74928
17.185269356,-15.54918,-46.76104,6.99623000000001,-0.04489223,0.0632667,0.09591018,-16.35403,-37.68911,-27.36924
17.195129395,-16.66727,-60.8646500000002,8.528805,-0.03919219,0.03864095,0.1334779,-16.35403,-37.68911,-27.36924
17.204989433,-13.93417,-73.7185799999999,10.30659,-0.01562776,0.03314913,0.1704732,-16.35403,-37.68911,-27.36924
17.217313767,-10.26933,-87.0485800000003,12.82001,0.06439006,0.05848173,0.2486145,-16.35403,-37.68911,-27.36924
17.227173328,-9.46182000000001,-93.65408,14.41389,0.1402332,0.0783347,0.302809,-16.35403,-37.68911,-27.36924
17.237033367,-9.02700799999998,-99.90251,15.27213,0.1587154,0.09653323,0.3108456,-17.46999,-38.03807,-26.91159
17.246892452,-8.84066099999998,-109.8405,16.13038,0.1740003,0.1006076,0.3231213,-17.46999,-38.03807,-26.91159
17.256752491,-9.02700799999998,-119.838,16.5595,0.2268857,0.1095257,0.3703628,-17.46999,-38.03807,-26.91159
17.266611576,-9.33758799999999,-131.0257,17.29513,0.2782193,0.1271948,0.4191378,-17.46999,-38.03807,-26.91159
17.276471615,-12.1328,-142.6299,17.60165,0.3660501,0.1398988,0.4850811,-17.46999,-38.03807,-26.91159
17.286331654,-20.51845,-152.4489,16.86601,0.4184363,0.1413511,0.4891387,-20.82715,-36.87073,-25.17714
17.296190739,-25.86042,-163.101,17.04992,0.4521834,0.1372541,0.4847896,-20.82715,-36.87073,-25.17714
17.306050778,-30.76758,-174.3482,17.78556,0.5251093,0.1556215,0.5390131,-20.82715,-36.87073,-25.17714
17.315909863,-39.029,-182.6794,17.11123,0.5981622,0.1967014,0.5507779,-20.82715,-36.87073,-25.17714
17.325769901,-46.23444,-188.9874,15.45604,0.6699979,0.2518631,0.5574075,-20.82715,-36.87073,-25.17714
17.33562994,-52.50815,-197.3781,13.98477,0.7208437,0.2466643,0.4785295,-25.29074,-36.77795,-22.20933
17.345489025,-56.54568,-210.1726,12.94262,0.7369279,0.1436395,0.3475677,-25.29074,-36.77795,-22.20933
17.355349064,-49.02966,-221.7768,13.67826,0.8862841,-0.03474537,0.3084728,-25.29074,-36.77795,-22.20933
17.365208149,-26.41947,-224.9308,14.90432,1.028171,-0.08309401,0.4459687,-25.29074,-36.77795,-22.20933
17.375068188,-4.989474,-224.8118,13.18783,1.068108,-0.04904893,0.6062187,-25.29074,-36.77795,-22.20933
17.38492775,6.25350600000003,-223.8596,9.632258,1.047373,-0.06149072,0.5814908,-29.74666,-36.29831,-17.90099
17.397252083,19.35996,-214.9333,9.325744,1.06489,-0.005485762,0.5520035,-29.74666,-36.29831,-17.90099
17.407112122,25.94425,-208.0302,12.02308,1.093933,0.06569715,0.5200839,-29.74666,-36.29831,-17.90099
17.41697216,30.47871,-203.7456,13.86217,1.148282,0.08851543,0.5075219,-29.74666,-36.29831,-17.90099
17.426831246,33.02547,-203.21,14.84301,1.208245,0.1142417,0.4786116,-29.74666,-36.29831,-17.90099
17.436691284,33.02547,-206.3045,15.94647,1.259528,0.1441849,0.4268591,-34.18419,-35.78304,-11.0321
17.446550369,31.65891,-212.2554,18.09207,1.314359,0.1658938,0.3769032,-34.18419,-35.78304,-11.0321
17.456410408,31.47257,-219.813,20.17637,1.347408,0.2134849,0.4027106,-34.18419,-35.78304,-11.0321
17.466269493,26.87599,-226.5375,19.56334,1.390161,0.2617631,0.4590543,-34.18419,-35.78304,-11.0321
17.476129532,17.43437,-228.4418,16.98862,1.432294,0.2491065,0.4880573,-34.18419,-35.78304,-11.0321
17.485989571,12.15452,-225.0498,15.76256,1.443067,0.2245758,0.5389711,-37.1068,-36.73446,-2.491502
17.495848656,7.37159299999998,-219.932,15.02692,1.416112,0.205906,0.5550113,-37.1068,-36.73446,-2.491502
17.505708695,3.209827,-213.9811,14.4752,1.392092,0.2004443,0.5826219,-37.1068,-36.73446,-2.491502
17.515568256,-4.368315,-208.0898,13.43304,1.357014,0.1770912,0.5369216,-37.1068,-36.73446,-2.491502
17.525427818,-9.46182000000001,-202.4364,13.00392,1.354094,0.1427586,0.4719816,-37.1068,-36.73446,-2.491502
17.53528738,-10.26933,-195.8904,14.04607,1.364533,0.1500851,0.4546434,-38.92345,-36.6122,4.751717
17.545147419,-13.18878,-190.4156,13.67826,1.370579,0.1461463,0.428168,-38.92345,-36.6122,4.751717
17.555006981,-16.29457,-185.9524,13.18783,1.368321,0.1149318,0.4145192,-38.92345,-36.6122,4.751717
17.567331791,-16.54304,-179.4064,13.06523,1.367947,0.08713124,0.3984763,-38.92345,-36.6122,4.751717
17.577190876,-14.67956,-173.158,13.37174,1.345348,0.1020394,0.4046746,-38.92345,-36.6122,4.751717
17.587050915,-14.12051,-166.255,13.18783,1.308889,0.09334511,0.3782857,-38.50291,-37.26996,10.71061
17.59691,-13.37512,-161.5538,12.08438,1.281032,0.06820627,0.3583442,-38.50291,-37.26996,10.71061
17.606770039,-9.77240000000001,-154.7697,11.77786,1.268158,0.05828481,0.3383176,-38.50291,-37.26996,10.71061
17.616630077,-5.05159,-148.1048,12.14568,1.24823,0.07119083,0.3233761,-38.50291,-37.26996,10.71061
17.626489162,-1.759447,-141.2612,12.5135,1.252962,0.09608837,0.333582,-38.50291,-37.26996,10.71061
17.636349201,-0.765591999999998,-133.8821,12.08438,1.25795,0.1077412,0.3149205,-38.47255,-37.21115,14.93552
17.646208763,-0.0823169599999999,-126.384,11.47135,1.260214,0.1174757,0.3101784,-38.47255,-37.21115,14.93552
17.656068325,0.5388422,-118.7073,11.90047,1.246393,0.1406187,0.2856523,-38.47255,-37.21115,14.93552
17.665927887,0.600958099999998,-111.8043,12.5135,1.22595,0.1447249,0.26106,-38.47255,-37.21115,14.93552
17.675787926,-0.5171283,-103.8896,12.75871,1.209003,0.1586466,0.2503974,-38.47255,-37.21115,14.93552
17.685647488,-2.070026,-96.3914900000001,12.20698,1.19921,0.1676984,0.2218614,-35.82361,-37.54983,19.2147
17.695507049,-3.063881,-88.7148400000002,11.22614,1.188693,0.1592378,0.1965423,-35.82361,-37.54983,19.2147
17.705367088,-3.37446,-82.1688499999998,10.00008,1.181528,0.1556693,0.1702584,-35.82361,-37.54983,19.2147
17.715226173,-1.759447,-75.2658200000001,7.91577499999999,1.181768,0.1458381,0.1433368,-35.82361,-37.54983,19.2147
17.725086212,1.470581,-67.8271899999998,5.89277599999998,1.154304,0.1386054,0.09622644,-35.82361,-37.54983,19.2147
17.734945297,4.079449,-63.30452,3.501959,1.130325,0.1032383,0.06464256,-35.80843,-37.52042,21.32715
17.747270107,9.66988199999998,-54.97327,0.743324399999998,1.116111,0.1084751,0.06728535,-35.80843,-37.52042,21.32715
17.757129669,13.58318,-47.77269,-1.524887,1.082408,0.1116083,0.07402173,-35.80843,-37.52042,21.32715
17.766989708,15.50878,-41.40523,-3.363976,1.05552,0.1064928,0.07100739,-35.80843,-37.52042,21.32715
17.77684927,17.18591,-35.39483,-4.46743,1.043147,0.100485,0.05531944,-35.80843,-37.52042,21.32715
17.786708832,17.86918,-29.80099,-5.754793,1.033173,0.1154791,0.05462974,-34.68004,-37.14741,22.59786
17.796568394,17.43437,-24.68322,-7.04215600000001,1.027298,0.115914,0.05471715,-34.68004,-37.14741,22.59786
17.806428432,17.37226,-18.61331,-8.02300500000002,1.00384,0.1147361,0.05552074,-34.68004,-37.14741,22.59786
17.816287518,16.62686,-12.36487,-8.88124700000001,0.9872645,0.1243696,0.06829747,-34.68004,-37.14741,22.59786
17.826147556,14.39069,-5.87839600000002,-9.92339700000002,0.973931,0.1175168,0.08903524,-34.68004,-37.14741,22.59786
17.836007595,11.78182,0.786604499999998,-10.65903,0.9561155,0.08765583,0.08376595,-35.03658,-37.48184,24.71602
17.84586668,11.53336,6.85651600000003,-10.96555,0.9450859,0.06027874,0.07602492,-35.03658,-37.48184,24.71602
17.855726719,13.21049,13.28348,-10.96555,0.9526222,0.03305964,0.066583,-35.03658,-37.48184,24.71602
17.865585804,15.57089,19.29388,-10.47512,0.9594384,0.03408749,0.06505694,-35.03658,-37.48184,24.71602
17.875445843,17.12379,25.54232,-9.92339700000002,0.9700953,0.05221716,0.07320445,-35.03658,-37.48184,24.71602
17.885305881,15.81936,31.3742,-9.739489,0.9729034,0.06343614,0.0737383,-33.53924,-36.75033,25.59695
17.895164967,12.96203,36.13491,-9.003853,0.973026,0.08384146,0.06480397,-33.53924,-36.75033,25.59695
17.905025005,8.61391200000001,39.94349,-8.26821599999997,0.9728262,0.07646108,0.04365975,-33.53924,-36.75033,25.59695
17.917349339,4.203681,44.58518,-7.90039899999997,0.9665124,0.08360599,0.01745407,-33.53924,-36.75033,25.59695
17.9272089,1.160001,47.85817,-7.83909500000001,0.9722664,0.08508953,0.01019659,-33.53924,-36.75033,25.59695
17.937068939,-1.200403,50.7146,-8.14561100000001,0.9760336,0.07482968,-0.009590864,-33.92217,-36.76384,24.3186
17.946928024,-2.691185,52.91643,-8.39082200000002,0.9816604,0.07822983,-0.02449755,-33.92217,-36.76384,24.3186
17.956788063,-3.747156,55.05875,-8.45212599999999,0.980924,0.08254903,-0.03882658,-33.92217,-36.76384,24.3186
17.966648102,-5.237938,55.95139,-8.75863999999999,0.993643,0.08022062,-0.04094431,-33.92217,-36.76384,24.3186
17.976507187,-6.85295199999998,56.54648,-9.06515500000003,1.00475,0.08125565,-0.05067787,-33.92217,-36.76384,24.3186
17.986367226,-8.40584900000001,56.725,-9.43297400000002,1.012378,0.07540946,-0.0704831,-34.30309,-37.14548,23.04403
17.996226311,-9.15124000000001,56.54648,-9.18776100000002,1.014254,0.07345065,-0.07819355,-34.30309,-37.14548,23.04403
18.006086349,-10.14509,56.24893,-8.26821599999997,1.016062,0.07928453,-0.08392049,-34.30309,-37.14548,23.04403
18.015946388,-10.82837,54.7017,-7.961701,1.024922,0.06033718,-0.09666586,-34.30309,-37.14548,23.04403
18.025805473,-9.02700799999998,53.74956,-7.40997399999998,1.022657,0.0413261,-0.1001484,-34.30309,-37.14548,23.04403
18.035665512,-5.67275,51.90478,-6.490429,1.021816,0.05830934,-0.1110147,-34.31673,-37.54393,20.87133
18.045524597,-3.498692,49.04835,-5.754793,1.011778,0.06596209,-0.122787,-34.31673,-37.54393,20.87133
18.055384636,-2.256374,45.47781,-4.896551,1.014529,0.07374717,-0.1294693,-34.31673,-37.54393,20.87133
18.065244198,-1.262519,41.84777,-4.038309,1.000631,0.07210378,-0.1455779,-34.31673,-37.54393,20.87133
18.07510376,-0.0823169599999999,37.86067,-2.689644,0.9893895,0.06858945,-0.1478433,-34.31673,-37.54393,20.87133
18.084963799,1.967508,34.64719,-0.911856500000002,0.9753777,0.08693105,-0.1546768,-35.06494,-37.90879,20.49488
18.097288609,2.340204,27.80366,0.3142034,0.9256468,0.08214249,-0.1463412,-35.06494,-37.90879,20.49488
18.107147694,2.278088,22.7454,1.049839,0.90236,0.07369005,-0.1393719,-35.06494,-37.90879,20.49488
18.117007732,2.340204,18.1037,1.908081,0.8852527,0.08086592,-0.1318795,-35.06494,-37.90879,20.49488
18.126866818,2.153856,14.65219,2.888929,0.8820309,0.07649929,-0.1208489,-35.06494,-37.90879,20.49488
18.136726856,2.650783,11.4387,3.992383,0.8783104,0.0657787,-0.1160943,-34.70041,-37.93092,19.21267
18.146586895,3.955218,8.46325700000001,4.789322,0.8788508,0.06091536,-0.1166223,-34.70041,-37.93092,19.21267
18.15644598,5.13542,5.547319,5.341049,0.8669383,0.06173879,-0.1284255,-34.70041,-37.93092,19.21267
18.166306019,6.37773799999999,2.988435,5.95407899999997,0.8605673,0.07046723,-0.1215523,-34.70041,-37.93092,19.21267
18.176165104,5.94292600000003,0.608077699999999,6.81232100000002,0.8564348,0.08452872,-0.1252083,-34.70041,-37.93092,19.21267
18.186025143,4.638493,-1.17719,8.09968399999998,0.8453073,0.08299969,-0.1173954,-35.4539,-36.81784,19.20522
18.195884705,3.085595,-2.724423,9.14183399999998,0.8444614,0.0757054,-0.1140905,-35.4539,-36.81784,19.20522
18.205744267,1.222117,-4.450181,10.06138,0.8439825,0.08253919,-0.1073172,-35.4539,-36.81784,19.20522
18.215604305,-1.076172,-5.81888699999998,10.61311,0.850236,0.09086513,-0.1078153,-35.4539,-36.81784,19.20522
