Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
69.45,0.2475061,-0.2048454,0.01857458,0.997235,0.02127575,0.06297252,-42.78557,-34.6459,6.160499
69.46,0.4338538,-0.2643544,-0.04272842,0.9981719,0.02420197,0.06250466,-42.78557,-34.6459,6.160499
69.47,0.5580857,-0.08582757,0.2637866,1.003564,0.02815866,0.066774,-42.78557,-34.6459,6.160499
69.48,0.3717379,0.0331903,0.2024836,1.006488,0.02964607,0.06722408,-42.78557,-34.6459,6.160499
69.49,-0.000957580300000002,0.0331903,0.1411806,0.9962149,0.02809038,0.06591976,-42.78557,-34.6459,6.160499
69.5,-0.1873053,0.0331903,0.2024836,0.9986097,0.02907391,0.06301874,-43.15608,-34.63535,6.610528
69.51,-0.0630734999999998,0.1522082,0.1411806,0.9971707,0.03053373,0.06640597,-43.15608,-34.63535,6.610528
69.52,-0.1251894,0.271226,0.1411806,0.9956917,0.02709992,0.06256446,-43.15608,-34.63535,6.610528
69.53,-0.0630734999999998,0.2117171,-0.1040314,0.9942837,0.02319809,0.06351,-43.15608,-34.63535,6.610528
69.54,0.1853902,0.330735,-0.2266374,0.9991769,0.02470644,0.06489059,-43.15608,-34.63535,6.610528
69.55,0.4959697,0.2117171,-0.2266374,1.00264,0.02084209,0.06432942,-42.78034,-35.00782,6.612367
69.56,0.4338538,0.0926992400000001,-0.2879404,0.9971995,0.02370678,0.06251433,-42.78034,-35.00782,6.612367
69.57,0.309622,0.271226,-0.1653344,0.9996811,0.02617977,0.06729184,-42.78034,-35.00782,6.612367
69.58,0.1853902,0.4497528,0.0798775700000002,0.9947063,0.02220696,0.05774523,-42.78034,-35.00782,6.612367
69.59,-0.000957580300000002,0.271226,0.01857458,1.002181,0.02328739,0.06866939,-42.78034,-35.00782,6.612367
69.6,0.0611583299999998,0.330735,0.0798775700000002,0.9947721,0.02271396,0.06301975,-43.52705,-34.62569,6.996542
69.61,0.4338538,0.271226,0.1411806,0.9918528,0.02415716,0.06546955,-43.52705,-34.62569,6.996542
69.62,0.682317499999999,0.330735,0.1411806,0.9908898,0.02561756,0.06789159,-43.52705,-34.62569,6.996542
69.63,1.055013,0.0331903,-0.04272842,0.9928469,0.02612321,0.06834716,-43.52705,-34.62569,6.996542
69.64,0.868665199999997,0.2117171,0.1411806,0.9962163,0.02906725,0.06688639,-43.52705,-34.62569,6.996542
69.65,0.2475061,0.0926992400000001,0.01857458,0.9917864,0.03194983,0.06745306,-43.15608,-34.63535,6.610528
69.66,-0.0630734999999998,0.271226,-0.2879404,0.9912264,0.03241354,0.06267295,-43.15608,-34.63535,6.610528
69.67,-0.2494213,0.1522082,-0.2879404,0.9962655,0.0227343,0.06491544,-43.15608,-34.63535,6.610528
69.68,0.1853902,0.1522082,-0.04272842,0.9956446,0.02611005,0.05824399,-43.15608,-34.63535,6.610528
69.69,0.4338538,0.271226,-0.04272842,0.9952171,0.02368214,0.06062559,-43.15608,-34.63535,6.610528
69.7,0.1853902,0.0926992400000001,-0.04272842,0.9956772,0.02611933,0.0606396,-43.52303,-35.36198,7.004083
69.71,0.1232743,0.0331903,0.01857458,0.998242,0.02324552,0.06680839,-43.52303,-35.36198,7.004083
69.72,0.1853902,-0.02631863,0.01857458,0.9957213,0.02515546,0.06302683,-43.52303,-35.36198,7.004083
69.73,0.4959697,-0.1453365,0.0798775700000002,0.9971765,0.03004716,0.06640178,-43.52303,-35.36198,7.004083
69.74,0.1232743,-0.1453365,0.01857458,0.9995698,0.03444788,0.0664048,-43.52303,-35.36198,7.004083
69.75,0.309622,-0.1453365,-0.1653344,0.9941897,0.03000648,0.0626104,-42.77758,-35.00247,6.996449
69.76,0.0611583299999998,-0.1453365,0.0798775700000002,1.002006,0.03251381,0.06395777,-42.77758,-35.00247,6.996449
69.77,0.1853902,-0.2643544,0.0798775700000002,0.9986234,0.02956606,0.0644603,-42.77758,-35.00247,6.996449
69.78,-0.0630734999999998,-0.2048454,-0.2266374,0.9947859,0.02760017,0.06833199,-42.77758,-35.00247,6.996449
69.79,0.309622,-0.2048454,-0.5944554,1.000581,0.02616609,0.0615285,-42.77758,-35.00247,6.996449
69.8,0.620201600000002,-0.2643544,-0.4718494,0.9937145,0.02610026,0.06018822,-43.52981,-34.63103,6.612459
69.81,0.4959697,-0.3238633,-0.2879404,0.9947331,0.02709688,0.0640157,-43.52981,-34.63103,6.612459
69.82,0.1232743,-0.3238633,-0.1653344,1.000523,0.03103187,0.06157039,-43.52981,-34.63103,6.612459
69.83,-0.1873053,-0.3833722,-0.1653344,0.997685,0.02566297,0.06396154,-43.52981,-34.63103,6.612459
69.84,-0.3736531,-0.3833722,-0.1040314,0.997583,0.03149262,0.06161618,-43.52981,-34.63103,6.612459
69.85,-0.2494213,-0.2643544,0.0798775700000002,1.004101,0.02524721,0.06770017,-42.78034,-35.00782,6.612367
69.86,-0.1251894,-0.5023901,0.0798775700000002,1.001154,0.02521766,0.06678353,-42.78034,-35.00782,6.612367
69.87,-0.0630734999999998,-0.4428812,0.1411806,1.000272,0.02474847,0.07350093,-42.78034,-35.00782,6.612367
69.88,0.1853902,-0.2643544,0.2637866,1.001647,0.02424696,0.0662891,-42.78034,-35.00782,6.612367
69.89,0.2475061,-0.2048454,0.2024836,0.9972603,0.0251888,0.06827638,-42.78034,-35.00782,6.612367
69.9,-0.0630734999999998,0.0926992400000001,0.1411806,1.000709,0.02473792,0.06966102,-43.52504,-34.99384,7.000312
69.91,-0.0630734999999998,-0.02631863,0.2024836,0.9996673,0.02568762,0.06585028,-43.52504,-34.99384,7.000312
69.92,0.0611583299999998,0.1522082,0.01857458,0.9957879,0.0261509,0.06878468,-43.52504,-34.99384,7.000312
69.93,0.0611583299999998,0.330735,-0.2879404,0.9928815,0.01880969,0.06445136,-43.52504,-34.99384,7.000312
69.94,0.2475061,0.330735,-0.2266374,0.9952497,0.02369142,0.0630212,-43.52504,-34.99384,7.000312
69.95,0.2475061,0.330735,-0.2879404,1.004011,0.03059214,0.06582975,-43.52504,-34.99384,7.000312
69.96,0.0611583299999998,0.5092618,-0.4718494,0.9947873,0.02418298,0.06542794,-43.52504,-34.99384,7.000312
69.97,0.1853902,0.4497528,-0.4718494,0.9933714,0.01930243,0.06492773,-43.52504,-34.99384,7.000312
69.98,0.5580857,0.3902439,-0.1653344,0.9961339,0.03050841,0.06210773,-43.52504,-34.99384,7.000312
69.99,0.744433400000003,0.3902439,-0.1653344,0.9990568,0.02711334,0.05820382,-43.52504,-34.99384,7.000312
70,0.868665199999997,0.271226,0.01857458,1.001002,0.03249777,0.06205514,-43.52905,-34.25754,6.992771
70.01,0.744433400000003,0.330735,0.01857458,0.9986465,0.02322569,0.06057286,-43.52905,-34.25754,6.992771
