Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
0,-9.275472,-9.210896,0.007688423,1.001117,0.08661877,-0.1689431,-34.30418,-39.2531,12.75759
0.017250538,-9.896631,-7.723173,-0.1149176,0.9770522,0.007286926,-0.2454623,-34.68066,-39.25413,12.37544
0.027107716,-7.163531,-7.723173,-0.4214326,0.9636679,-0.007391957,-0.2353323,-34.68066,-39.25413,12.37544
0.036964893,-4.741011,-8.080227,-0.6053416,0.9606402,0.008667153,-0.2279656,-34.68066,-39.25413,12.37544
0.046823025,-4.492547,-8.556298,-0.9731596,0.9576792,0.0257217,-0.2148411,-34.68066,-39.25413,12.37544
0.056680202,-6.41814,-9.56795,-0.8505535,0.9665794,0.00776236,-0.2237451,-34.68066,-39.25413,12.37544
0.06653738,-5.859097,-9.508441,-1.463584,0.9396099,-0.00421168,-0.2387961,-34.30384,-39.31445,12.75822
0.076394558,-5.486402,-11.8888,-1.218372,0.9532265,0.01408619,-0.1928326,-34.30384,-39.31445,12.75822
0.086252213,-5.300054,-13.61456,-2.567038,0.9809145,0.02271233,-0.1639233,-34.30384,-39.31445,12.75822
0.09610939,-5.237938,-12.12683,-2.996159,1.023824,0.05066511,-0.07804305,-34.30384,-39.31445,12.75822
0.105967045,-7.598343,-10.69862,-3.547885,1.0266,0.08775073,-0.05716406,-34.30384,-39.31445,12.75822
0.115824699,-13.80993,-7.782682,-3.609189,1.106212,0.09379173,-0.06160215,-34.36813,-38.94559,12.75477
0.125681877,-17.03996,-4.450181,-6.122611,1.018084,0.08512646,-0.2175967,-34.36813,-38.94559,12.75477
0.135539055,-14.0584,-6.532994,-4.835248,0.974333,-0.05698826,-0.2502788,-34.36813,-38.94559,12.75477
0.145396233,-3.871388,-7.961209,-5.019157,0.9804599,-0.07967455,-0.215576,-34.36813,-38.94559,12.75477
0.155254364,-1.635215,-8.258754,-5.141763,0.9494709,0.01835542,-0.2133487,-34.36813,-38.94559,12.75477
0.165111542,-3.188113,-9.03237,-5.264369,0.9331173,0.1010158,-0.1918124,-33.9924,-39.31805,12.75661
0.177432537,-13.00243,-8.675316,-5.448278,0.9553849,0.1514354,-0.1648691,-33.9924,-39.31805,12.75661
0.187290669,-19.5246,-7.544646,-5.570884,0.9586046,0.1152786,-0.2117025,-33.9924,-39.31805,12.75661
0.197147846,-19.5246,-8.258754,-5.264369,0.9766551,0.1078835,-0.1502054,-33.9924,-39.31805,12.75661
0.207005024,-19.83518,-5.878396,-5.632187,1.031698,0.08988867,-0.1477874,-33.9924,-39.31805,12.75661
0.216862679,-14.24475,-5.402325,-4.957854,1.051727,-0.009186854,-0.2730216,-33.99316,-39.69155,12.3763
0.226719856,-5.113706,-6.711521,-4.528733,1.044189,-0.008062209,-0.2149216,-33.99316,-39.69155,12.3763
0.236577511,-0.2686647,-5.997414,-4.835248,1.047016,0.02464421,-0.1940802,-33.99316,-39.69155,12.3763
0.246435165,-0.2065488,-6.473485,-4.406127,1.013096,0.07347364,-0.1989351,-33.99316,-39.69155,12.3763
0.256292343,-1.014056,-7.306611,-4.283521,1.013865,0.07355779,-0.1783398,-33.99316,-39.69155,12.3763
0.266149521,1.470581,-7.544646,-3.731794,1.008305,0.03586566,-0.2245818,-32.8672,-40.0673,12.75836
0.276006699,7.806404,-9.389423,-3.24137,0.9860168,0.03230987,-0.211835,-32.8672,-40.0673,12.75836
0.28586483,13.14837,-10.34157,-2.321826,0.9975218,0.06798725,-0.1978011,-32.8672,-40.0673,12.75836
0.295722008,15.32243,-10.99616,-1.218372,0.9964172,0.1176065,-0.1992833,-32.8672,-40.0673,12.75836
0.305579186,15.1982,-11.05567,-0.3601296,0.9919238,0.1390236,-0.1870586,-32.8672,-40.0673,12.75836
