Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
30.572539329,-4.528353,5.496168,-0.1710097,0.2982481,-0.2667546,0.8608903,-21.70458,-18.41482,-24.42632
30.582427978,-3.657999,5.084271,-0.4764667,0.2962957,-0.2631984,0.8704885,-21.70458,-18.41482,-24.42632
30.592316151,-2.725477,4.437004,-1.087381,0.28607,-0.2719289,0.8714828,-20.94288,-18.43422,-24.86312
30.602204323,-2.414636,3.613209,-0.904106400000002,0.2860325,-0.2901042,0.8609944,-20.94288,-18.43422,-24.86312
30.612092972,-1.544282,2.142147,-0.2321011,0.2787659,-0.2991353,0.8422758,-20.94288,-18.43422,-24.86312
30.621981621,-0.114414,0.4357146,0.5009956,0.2773154,-0.2991683,0.8398697,-20.94288,-18.43422,-24.86312
30.63187027,0.3829313,-0.4469227,0.867544000000001,0.2802599,-0.2929085,0.8355132,-20.94288,-18.43422,-24.86312
30.641758442,0.693772100000003,-1.153032,0.867544000000001,0.2875701,-0.2737018,0.8508139,-20.93567,-18.75763,-25.31268
30.651647091,0.5072676,-1.8003,0.1344473,0.3045795,-0.260931,0.8603871,-20.93567,-18.75763,-25.31268
30.66153574,0.818108400000001,-1.623772,-0.3542839,0.3050812,-0.2565566,0.8598847,-20.93567,-18.75763,-25.31268
30.671424389,1.501958,-1.741457,-0.598649399999998,0.3070366,-0.2461979,0.8689721,-20.93567,-18.75763,-25.31268
30.681313038,0.818108400000001,-1.8003,-1.148472,0.3166841,-0.2567861,0.8786549,-20.93567,-18.75763,-25.31268
30.693673611,-1.046937,0.671084500000001,-1.209563,0.3176375,-0.2641426,0.8753268,-20.94288,-18.43422,-24.86312
30.70356226,-1.357777,3.848579,-0.720832200000002,0.3138064,-0.2699372,0.8455346,-20.94288,-18.43422,-24.86312
30.713449955,0.5072676,4.966586,0.0733558600000001,0.3017125,-0.2726572,0.8248549,-20.94288,-18.43422,-24.86312
30.723338604,2.12364,3.554366,0.6842698,0.2885513,-0.2797413,0.8378607,-20.94288,-18.43422,-24.86312
30.733227253,2.372312,0.612241999999999,1.478458,0.2763843,-0.2750328,0.8580217,-21.32708,-18.73659,-24.47817
30.743115902,2.931826,-0.5646076,1.417367,0.2851208,-0.2680817,0.8680959,-21.32708,-18.73659,-24.47817
30.753004551,3.988685,0.729926999999997,1.417367,0.3045498,-0.2577576,0.8772032,-21.32708,-18.73659,-24.47817
30.762892246,3.864348,1.553722,0.562087,0.3094161,-0.2404292,0.896839,-21.32708,-18.73659,-24.47817
30.772780895,2.185808,1.671407,0.1344473,0.3118528,-0.2275576,0.9112044,-21.32708,-18.73659,-24.47817
30.782669544,2.12364,3.789736,-0.04882693,0.3274209,-0.2168683,0.9116489,-21.32651,-18.42154,-24.48259
30.792558193,2.434481,5.613853,-1.087381,0.3201874,-0.2136682,0.896716,-21.32651,-18.42154,-24.48259
30.802446842,1.999303,7.084915,-1.698295,0.3085759,-0.2138825,0.8808335,-21.32651,-18.42154,-24.48259
30.812335491,2.558817,6.908388,-1.576112,0.2945873,-0.2014673,0.8624799,-21.32651,-18.42154,-24.48259
30.822223663,2.931826,4.907743,-1.759386,0.278643,-0.1924426,0.845103,-21.32651,-18.42154,-24.48259
30.832112312,1.564126,2.848256,-1.698295,0.2742713,-0.1789772,0.8657095,-20.9351,-18.44258,-25.31709
30.842000961,-1.171273,1.377194,-1.820477,0.2789877,-0.1890667,0.908087,-20.9351,-18.44258,-25.31709
30.851889133,-2.911981,1.730249,-1.209563,0.2880498,-0.222411,0.9265408,-20.9351,-18.44258,-25.31709
30.861777782,-1.792954,1.377194,-2.187026,0.2927763,-0.2654085,0.9176259,-20.9351,-18.44258,-25.31709
30.871665955,-3.782336,0.612241999999999,-4.080859,0.2974715,-0.3067152,0.924092,-20.9351,-18.44258,-25.31709
30.881554604,-9.50180599999998,0.4945571,-4.813955,0.2949678,-0.3435478,0.9031147,-20.9508,-19.12017,-24.46428
30.891443253,-13.54274,1.494879,-5.48596,0.2887004,-0.3517652,0.873813,-20.9508,-19.12017,-24.46428
30.901331902,-12.98322,3.142469,-4.691772,0.2752127,-0.3294969,0.8631048,-20.9508,-19.12017,-24.46428
30.913692474,-7.94760199999998,5.319641,-3.775402,0.2766988,-0.3077937,0.8817528,-20.9508,-19.12017,-24.46428
30.923581123,-1.979459,6.96723000000003,-2.064843,0.2782356,-0.2839218,0.8825957,-20.9508,-19.12017,-24.46428
30.933469772,-0.5495912,6.31996299999998,-1.453929,0.2762585,-0.2737404,0.9118782,-20.55871,-18.76315,-25.3041
30.943357468,-2.2903,5.79037999999999,-1.087381,0.2946414,-0.293792,0.9086339,-20.55871,-18.76315,-25.3041
30.953246117,-5.585212,8.14407899999999,-1.881569,0.3038513,-0.3036858,0.8995569,-20.55871,-18.76315,-25.3041
30.963134766,-11.05601,9.32093,-2.920122,0.2906716,-0.3201082,0.9068388,-20.55871,-18.76315,-25.3041
30.973023415,-13.66707,9.438614,-2.736848,0.2776272,-0.3159874,0.8875663,-20.55871,-18.76315,-25.3041
30.982912064,-13.60491,8.61482000000001,-2.064843,0.2602237,-0.3178884,0.8558153,-20.57259,-18.43259,-24.46543
30.992800236,-12.17504,6.73185999999997,-1.270655,0.257797,-0.3064393,0.872106,-20.57259,-18.43259,-24.46543
31.002688885,-9.12879799999998,6.908388,-1.331746,0.2660978,-0.2858672,0.881149,-20.57259,-18.43259,-24.46543
31.012577057,-9.68831099999998,7.084915,-1.026289,0.2790618,-0.2840059,0.9422313,-20.57259,-18.43259,-24.46543
31.022465706,-8.50711499999998,9.73282600000002,-0.659740900000002,0.3058681,-0.2733119,0.9119096,-20.57259,-18.43259,-24.46543
31.032354355,-5.523044,11.55694,-1.453929,0.3064083,-0.2786354,0.8816392,-20.55814,-18.4481,-25.30852
31.042243004,-5.83388499999998,12.20421,-1.331746,0.30054,-0.2788447,0.8994276,-20.55814,-18.4481,-25.30852
31.052131176,-7.63676199999999,11.73347,-0.4153753,0.2821481,-0.2637129,0.8993303,-20.55814,-18.4481,-25.30852
31.062019825,-9.56397399999999,12.61611,0.1955387,0.2778415,-0.2566302,0.8839002,-20.55814,-18.4481,-25.30852
31.071908474,-11.11818,12.38074,0.3177214,0.2573969,-0.2671661,0.8930676,-20.55814,-18.4481,-25.30852
31.081797123,-14.66176,10.20357,-0.1099183,0.2447016,-0.2731335,0.9156867,-19.79687,-18.08826,-25.68578
31.091685772,-18.01884,11.0862,-0.965197799999999,0.2747998,-0.2657593,0.9243401,-19.79687,-18.08826,-25.68578
31.101573467,-17.45933,14.14601,-1.820477,0.2898618,-0.2643929,0.9200221,-19.79687,-18.08826,-25.68578
31.111462116,-14.91044,17.44119,-1.698295,0.3050385,-0.2547937,0.8800744,-19.79687,-18.08826,-25.68578
31.121350765,-13.16973,20.20679,-1.453929,0.2948349,-0.2601803,0.8767236,-19.79687,-18.08826,-25.68578
31.133711338,-12.92105,20.67753,-1.087381,0.2685213,-0.2868459,0.8811567,-19.78841,-17.71855,-26.14505
