Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
24.371109963,-4.217513,5.672696,-1.331746,0.3197125,-0.2216957,0.8808857,-18.56894,-21.61136,-24.31062
24.380995274,-3.533663,6.55533299999998,-1.087381,0.3197834,-0.2340872,0.8338181,-18.25412,-21.23791,-24.30877
24.390879631,-4.65269,6.49648999999998,-1.209563,0.320207,-0.2401668,0.8506815,-18.25412,-21.23791,-24.30877
24.400764942,-7.45025699999999,6.26111999999998,-0.965197799999999,0.325017,-0.2403972,0.8684822,-18.25412,-21.23791,-24.30877
24.410650253,-11.80203,4.142791,-1.453929,0.3102821,-0.2571866,0.9161615,-18.25412,-21.23791,-24.30877
24.420535088,-13.72924,2.200989,-1.209563,0.3044164,-0.2683605,0.9171732,-18.25412,-21.23791,-24.30877
24.430420399,-8.258443,1.730249,-1.331746,0.3156654,-0.2689219,0.8811197,-18.24677,-20.86701,-24.70319
24.440304756,-2.60114,2.965941,-2.003752,0.3419501,-0.2465525,0.8824794,-18.24677,-20.86701,-24.70319
24.450190067,-1.60645,4.083949,-1.759386,0.3342063,-0.2307535,0.8958564,-18.24677,-20.86701,-24.70319
24.460075379,-3.409327,2.259832,-0.781923700000001,0.321587,-0.2252571,0.903509,-18.24677,-20.86701,-24.70319
24.469960213,-6.39339799999998,0.729926999999997,-0.4153753,0.30987,-0.2367482,0.9150959,-18.24677,-20.86701,-24.70319
24.479845047,-8.94229299999998,0.3768721,-0.904106400000002,0.3049345,-0.2616017,0.9132922,-17.87785,-21.62149,-24.29489
24.489729881,-10.4965,2.318674,-1.087381,0.3030167,-0.2721977,0.8883357,-17.87785,-21.62149,-24.29489
24.499615193,-13.97791,3.613209,-1.820477,0.2991346,-0.2672199,0.895039,-17.87785,-21.62149,-24.29489
24.509500504,-15.65645,2.259832,-1.820477,0.2908394,-0.2654335,0.9157002,-17.87785,-21.62149,-24.29489
24.519384861,-12.23721,2.848256,-1.026289,0.2999819,-0.2853518,0.9201395,-17.87785,-21.62149,-24.29489
24.529270172,-7.57459399999998,5.79037999999999,-0.4764667,0.312059,-0.2904877,0.9365305,-18.23874,-20.11805,-25.10292
24.539155007,-6.39339799999998,8.85018899999998,0.01226447,0.3034323,-0.2618053,0.9320475,-18.23874,-20.11805,-25.10292
24.549040318,-7.26375199999999,11.61579,0.4399042,0.2783232,-0.2312288,0.921765,-18.23874,-20.11805,-25.10292
24.558924675,-6.952912,11.26273,2.333737,0.2695612,-0.2250805,0.9409608,-18.23874,-20.11805,-25.10292
24.571281433,-6.08255700000002,11.85116,4.471936,0.2739522,-0.2182647,0.9414124,-18.23874,-20.11805,-25.10292
24.581166744,-6.02038900000001,14.2637,4.716302,0.2798377,-0.2231405,0.9092219,-17.4855,-20.50716,-25.08045
24.591051578,-9.50180599999998,16.02897,3.738839,0.2739063,-0.2244439,0.9515429,-17.4855,-20.50716,-25.08045
24.60093689,-12.79672,19.38299,3.189017,0.2782549,-0.2288064,0.9534935,-17.4855,-20.50716,-25.08045
24.610821247,-16.02946,20.61869,2.761377,0.2675054,-0.2452551,0.9593354,-17.4855,-20.50716,-25.08045
24.620706558,-16.77548,18.50036,3.555565,0.270467,-0.2410941,0.9448902,-17.4855,-20.50716,-25.08045
24.630591869,-14.66176,22.20743,4.716302,0.289894,-0.2387193,0.9434575,-17.85536,-20.88805,-25.5377
24.640476704,-14.35092,25.85567,4.471936,0.287401,-0.254719,0.9478639,-17.85536,-20.88805,-25.5377
24.650362015,-11.61552,27.50326,4.960668,0.2738987,-0.2547518,0.9112986,-17.85536,-20.88805,-25.5377
24.660246372,-11.24251,26.03219,5.143942,0.2496068,-0.2456008,0.9338281,-17.85536,-20.88805,-25.5377
24.670131683,-15.15911,23.97271,5.449399,0.2539152,-0.2561784,0.9435048,-17.85536,-20.88805,-25.5377
24.680016518,-11.92636,26.26756,7.221049,0.2665492,-0.2732126,0.9133072,-17.08742,-20.53536,-26.30408
24.689901829,-7.26375199999999,29.44506,7.64868900000003,0.2389207,-0.2679238,0.9050735,-17.08742,-20.53536,-26.30408
24.699786663,-6.952912,28.73895,6.85450100000001,0.2263024,-0.2594482,0.9165584,-17.08742,-20.53536,-26.30408
24.709671497,-6.02038900000001,30.85728,7.58759699999999,0.2199576,-0.2537413,0.9391256,-17.08742,-20.53536,-26.30408
24.719556808,-3.222822,34.09362,8.25960299999999,0.217556,-0.2424504,0.9448369,-17.08742,-20.53536,-26.30408
24.729441643,-6.144726,35.62352,6.67122700000001,0.2205105,-0.2302825,0.9447788,-16.00367,-19.87342,-27.13257
24.739326477,-12.17504,38.15375,3.189017,0.243819,-0.216958,0.9596464,-16.00367,-19.87342,-27.13257
24.749211788,-17.08632,41.50777,-0.1099183,0.2502289,-0.1962044,0.9480068,-16.00367,-19.87342,-27.13257
24.759096622,-19.51088,40.15439,-2.125934,0.2376139,-0.204172,0.9345669,-16.00367,-19.87342,-27.13257
24.768981934,-18.01884,38.15375,-2.125934,0.2255686,-0.2126727,0.8855422,-16.00367,-19.87342,-27.13257
24.778866291,-13.85358,34.50551,-2.675757,0.2030821,-0.2678549,0.8723297,-15.98423,-20.20995,-28.29551
24.791223049,-17.5215,25.38493,-4.019767,0.1993034,-0.3644702,0.8915696,-15.98423,-20.20995,-28.29551
24.80110836,-19.26221,22.97239,-2.003752,0.2086768,-0.4355311,0.9280084,-15.98423,-20.20995,-28.29551
24.810993195,-17.64584,24.56113,1.356275,0.2070684,-0.4619364,0.9531479,-15.98423,-20.20995,-28.29551
24.820878506,-12.85889,30.62191,4.16648,0.2037708,-0.4217555,0.9692924,-14.46778,-19.16805,-28.66533
24.830762863,-6.57990299999997,37.32995,4.65521,0.1898086,-0.3632273,1.006012,-14.46778,-19.16805,-28.66533
24.840648174,-4.466185,42.91999,2.761377,0.1831204,-0.3136294,1.032685,-14.46778,-19.16805,-28.66533
24.850533485,-1.979459,46.21517,-0.1099183,0.1612986,-0.3201827,1.014899,-14.46778,-19.16805,-28.66533
24.86041832,4.672534,45.80327,-0.2931925,0.1180795,-0.3682373,0.9544969,-14.46778,-19.16805,-28.66533
24.870303631,14.3086,42.50809,3.005743,0.08708407,-0.3949838,0.8877488,-14.46778,-19.16805,-28.66533
