Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
17.938751698,15.80064,-2.212197,-0.1099183,0.1766853,-0.2721786,0.7424729,-7.938449,-21.21594,-28.42435
17.948639393,19.34422,-4.271684,-1.576112,0.1941036,-0.2713667,0.7665347,-7.938449,-21.21594,-28.42435
17.958527088,21.76878,-6.91959600000003,-3.225579,0.2027915,-0.2740611,0.7829095,-7.938449,-21.21594,-28.42435
17.968414783,23.82033,-9.56750800000002,-4.99723,0.2235514,-0.2813613,0.8185581,-7.938449,-21.21594,-28.42435
17.978302956,23.8825,-11.68584,-6.34123999999999,0.2390314,-0.2755897,0.8483636,-6.806203,-20.4764,-28.40922
17.988190651,21.64444,-13.45111,-6.891063,0.265693,-0.2600005,0.8848652,-6.806203,-20.4764,-28.40922
17.998077869,17.47918,-13.92185,-6.70778799999998,0.2884693,-0.2443893,0.922324,-6.806203,-20.4764,-28.40922
18.007966042,13.56258,-13.5688,-6.03578300000001,0.3166445,-0.227673,0.9366993,-6.806203,-20.4764,-28.40922
18.017853737,10.95152,-12.03889,-5.424869,0.321078,-0.2176427,0.9241496,-6.806203,-20.4764,-28.40922
18.027741432,8.71346500000002,-9.97940500000002,-4.691772,0.3273267,-0.2272215,0.9357473,-7.567475,-20.83625,-28.03196
18.037629128,5.542889,-7.74339099999999,-4.447407,0.3190518,-0.2389998,0.9285835,-7.567475,-20.83625,-28.03196
18.0475173,1.191117,-6.91959600000003,-3.286671,0.3074104,-0.2454941,0.9160992,-7.567475,-20.83625,-28.03196
18.057404995,-3.906672,-8.979083,-2.003752,0.316628,-0.2648916,0.8902379,-7.567475,-20.83625,-28.03196
18.067292213,-7.76109800000001,-11.33278,-0.04882693,0.3108399,-0.2631193,0.8777184,-7.567475,-20.83625,-28.03196
18.077180386,-9.37747000000002,-10.8032,1.906098,0.3069426,-0.262524,0.8844439,-7.584656,-22.33297,-27.16766
18.087068081,-6.26906200000001,-8.44950099999998,2.639194,0.2794227,-0.2524469,0.8381932,-7.584656,-22.33297,-27.16766
18.096955776,3.615676,-5.86043100000001,1.539549,0.2893324,-0.2388141,0.7741731,-7.584656,-22.33297,-27.16766
18.106843472,14.05993,-3.153677,-2.492483,0.3188612,-0.2378751,0.8083473,-7.584656,-22.33297,-27.16766
18.116731644,22.82564,-0.2703952,-6.76888000000001,0.31207,-0.219972,0.8322952,-7.584656,-22.33297,-27.16766
18.126619339,25.37453,-0.2703952,-10.61764,0.310052,-0.2329215,0.8453432,-8.274384,-21.56673,-27.194
18.136506557,22.01745,-4.918952,-12.38929,0.3026997,-0.2334495,0.8741928,-8.274384,-21.56673,-27.194
18.148866653,14.86811,-12.27426,-11.65619,0.3373377,-0.1609821,0.9051259,-8.274384,-21.56673,-27.194
18.158754826,11.3867,-16.15787,-11.28964,0.3771017,-0.1663021,0.9128927,-8.274384,-21.56673,-27.194
18.168642044,11.20019,-17.39356,-11.16746,0.3818834,-0.2051688,0.8871248,-8.274384,-21.56673,-27.194
18.178529739,10.76501,-17.0405,-9.70126700000002,0.3556166,-0.2371065,0.8646531,-7.97786,-22.6888,-26.263
18.188417912,8.402624,-19.15883,-9.33471900000003,0.3517364,-0.2366191,0.8641652,-7.97786,-22.6888,-26.263
18.198305607,3.11833,-20.33568,-10.00672,0.3952837,-0.254255,0.8955638,-7.97786,-22.6888,-26.263
18.208192825,-3.720167,-19.09999,-9.45690200000001,0.4351797,-0.2429922,0.872468,-7.97786,-22.6888,-26.263
18.218080998,-4.590521,-16.98166,-8.235073,0.5086431,-0.2158556,0.8406736,-7.97786,-22.6888,-26.263
18.22796917,-0.05224587,-14.98102,-5.91360000000002,0.4878441,-0.1963653,0.8386278,-9.045914,-22.67314,-26.28731
18.237856388,4.672534,-16.15787,-5.180504,0.4728342,-0.1891033,0.8337648,-9.045914,-22.67314,-26.28731
18.247744083,8.27828799999998,-17.15819,-4.691772,0.4490069,-0.2037078,0.830926,-9.045914,-22.67314,-26.28731
18.257632256,10.45417,-15.5106,-3.775402,0.4397869,-0.2007176,0.8342668,-9.045914,-22.67314,-26.28731
18.267519951,9.70815600000002,-14.62796,-3.469945,0.4484201,-0.2010759,0.8765995,-9.045914,-22.67314,-26.28731
18.277407169,5.729393,-14.86333,-3.592128,0.4584396,-0.2258779,0.9128053,-9.814283,-22.64658,-25.46138
18.287295342,-0.487423,-15.27523,-4.203042,0.4700058,-0.2333397,0.9364213,-9.814283,-22.64658,-25.46138
18.297183514,-6.82857599999998,-14.27491,-4.56959,0.4875918,-0.2077098,0.9266934,-9.814283,-22.64658,-25.46138
18.307071209,-11.67769,-11.09741,-4.508498,0.4882636,-0.1650968,0.9106084,-9.814283,-22.64658,-25.46138
18.316958428,-14.47526,-7.09612300000002,-5.363778,0.4718963,-0.1494984,0.8768464,-9.814283,-22.64658,-25.46138
18.3268466,-14.04008,-5.095479,-6.21905800000003,0.4787918,-0.1511401,0.8330988,-9.444675,-23.023,-25.05838
18.336734295,-10.12349,-5.036636,-5.85250900000001,0.4573939,-0.1737276,0.8177992,-9.444675,-23.023,-25.05838
18.346621513,-5.398708,-6.15464400000001,-5.241595,0.4578234,-0.1868114,0.822194,-9.444675,-23.023,-25.05838
18.356509686,-1.109105,-5.97811599999998,-3.347762,0.4688628,-0.2169019,0.8305343,-9.444675,-23.023,-25.05838
18.368869782,2.12364,-4.448212,-1.026289,0.4974262,-0.2254502,0.8488849,-10.1986,-23.01195,-25.07554
18.378757477,2.558817,-3.094834,0.25663,0.4833121,-0.24011,0.8436529,-10.1986,-23.01195,-25.07554
18.388644695,2.061472,-1.211875,1.600641,0.4856923,-0.2582325,0.8370143,-10.1986,-23.01195,-25.07554
18.398532868,1.191117,0.729926999999997,2.700286,0.4847247,-0.2657146,0.8250279,-10.1986,-23.01195,-25.07554
18.408420563,0.9424447,2.612886,3.189017,0.4653119,-0.2646951,0.8254817,-10.1986,-23.01195,-25.07554
18.418308735,0.7559403,3.672051,3.677748,0.4696877,-0.2662437,0.8202043,-10.57624,-23.38449,-25.07881
18.428195953,1.315454,4.907743,4.227571,0.4657809,-0.2680759,0.827423,-10.57624,-23.38449,-25.07881
18.438084126,2.496649,6.673018,5.388307,0.4754756,-0.2620432,0.8413503,-10.57624,-23.38449,-25.07881
18.447971821,3.80218,7.96755199999999,6.121404,0.4730684,-0.2537028,0.8451527,-10.57624,-23.38449,-25.07881
18.457859039,3.864348,8.67366199999998,6.73231800000002,0.457525,-0.2516092,0.8528192,-10.57624,-23.38449,-25.07881
18.467747212,2.496649,9.203244,7.64868900000003,0.4507737,-0.2389352,0.8527475,-10.9471,-23.70117,-25.47209
18.477634907,1.501958,8.90903199999997,8.19851100000001,0.4318711,-0.2321021,0.8512487,-10.9471,-23.70117,-25.47209
18.487523079,1.564126,8.90903199999997,8.87051700000001,0.4193349,-0.2117045,0.8458412,-10.9471,-23.70117,-25.47209
18.497410298,1.626294,8.43829199999998,9.053791,0.4086672,-0.2032902,0.8534814,-10.9471,-23.70117,-25.47209
18.50729847,1.191117,8.61482000000001,8.56506000000003,0.3950766,-0.2012724,0.8563411,-10.9471,-23.70117,-25.47209
18.517186165,-0.3630867,7.79102499999999,7.83196300000002,0.3888101,-0.188098,0.8572294,-10.56236,-23.71505,-25.91748
18.527073383,-0.673927500000001,7.55565499999999,6.91559200000002,0.3854129,-0.1846107,0.862017,-10.56236,-23.71505,-25.91748
18.536961556,-0.4252549,6.96723000000003,5.93813000000001,0.3840081,-0.1714963,0.8595446,-10.56236,-23.71505,-25.91748
18.546849251,-0.3630867,6.14343500000001,4.960668,0.385458,-0.1719573,0.8614722,-10.56236,-23.71505,-25.91748
18.556737423,-0.4252549,5.79037999999999,4.16648,0.3781903,-0.1665506,0.8638412,-10.56236,-23.71505,-25.91748
18.566624641,-0.860432000000003,4.613531,3.372291,0.3747901,-0.1739919,0.8542566,-10.95183,-22.62284,-25.098
18.576512813,-1.046937,3.436681,3.005743,0.3641186,-0.1730185,0.8527967,-10.95183,-22.62284,-25.098
18.588872433,-1.60645,1.612564,1.845006,0.3646132,-0.1770588,0.8431993,-10.95183,-22.62284,-25.098
18.598760605,-1.730786,0.4945571,1.11191,0.362161,-0.1833628,0.8446712,-10.95183,-22.62284,-25.098
18.608647823,-1.544282,-0.2115527,0.3177214,0.3636024,-0.1862586,0.8466111,-10.95183,-22.62284,-25.098
18.618535519,-1.482114,-1.32956,-0.598649399999998,0.3674617,-0.1950744,0.8437744,-9.444675,-23.023,-25.05838
18.628423691,-1.171273,-2.565252,-1.331746,0.3742207,-0.1988396,0.8534197,-9.444675,-23.023,-25.05838
